Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E06_491252
Composite Element REF	Signal
AACS	7.02850538906296
FSTL1	7.99361289321552
ELMO2	5.31993874208622
CREB3L1	4.10892734839
RPS11	10.5691254930376
PNMA1	6.97426586877629
MMP2	5.42948336467184
SAMD4A	3.72550356117247
SMARCD3	5.76062584976451
A4GNT	3.77360728209956
C9orf39	3.03022005677774
PKNOX2	4.00938237966
RALYL	3.91072039985372
ZHX3	4.0971236080742
ERCC5	4.95717583234381
RXFP3	3.42172405789664
APBB2	3.63702114593967
BBOX1	5.61631561908303
PRO0478	2.8258394111861
GCSH	9.40069354464343
XDH	3.65375717621436
EDN1	6.31738293971329
MTERF	7.12957781422526
PDCL3	7.80975880808294
CLK4	4.94072679206201
KCNG1	4.02947630135608
CXCR4	7.89277532641679
DECR1	7.88759361595778
SALL1	3.49133886064755
PTPRR	3.25372329380117
CADM4	3.574933466649
IRAK1	8.80985475860917
CFHR5	3.42553056196161
HNRPD	6.68712981302735
TMSB10	12.5504173042175
CXCL3	3.81840976247517
LMAN1	3.70434578730224
SUHW1	3.37791135831944
CHD8	4.39721855415786
SUMO1	8.56206374047118
GP1BA	3.45925687368155
OR7A10	3.57413753186791
DDB1	7.8800630795466
CHRNA10	4.07050440426413
STYK1	3.79956908147418
MYO9B	4.02739646895212
CCNI	9.18886649065304
MMP7	9.01014612745652
EP300	5.68190934084677
CRNKL1	6.17581296861456
C9orf45	3.21474643613533
XAB2	4.28873655483037
RTN1	3.41497601417099
HIC2	3.59395752800895
TBX10	3.51940122010992
CENPQ	5.91859377072921
UTY	3.1760665961977
OR2W1	3.08069718872668
ATP5G2	11.1780590504993
ZEB1	3.62191783089246
ZG16	3.69837084521687
ERG	3.78518802912517
PARN	6.46717503562742
SOD2	5.02267428001797
JOSD3	8.68979221052882
ADAM5P	3.33211920440487
CHD9	6.43733300369706
hCG_40738	3.44325190882309
STK16	5.85343254174135
PDE1C	3.50596549076037
SEMA4D	4.45140142412558
AGPAT1	5.88885591417953
TOB2	5.58088166300257
BANK1	3.49150621530814
MAP3K3	4.93785662809059
MAX	5.17228237064064
GRM2	4.10710833978963
OSBPL8	7.59044622337977
PROSC	5.94912156331447
NR4A2	6.23426297926111
RICS	5.11327288629321
PIR	5.12475255099564
PPCS	9.61158364762402
IPO9	5.53389312750137
LONP1	6.00833355360785
EVC	3.69511750137059
CXCL13	5.27846746615944
SCYL3	6.15338085910474
KIAA1199	4.16642071090744
SORL1	7.07305498618035
NAT10	5.32208796110182
CHD1	5.20230919111552
SYN3	3.57811742987896
DMC1	4.02453166800338
SLC22A2	3.5694091229769
SERPINF1	5.93900907480879
C20orf27	6.40787299999409
OR7A17	3.40840256744415
RPS6KA5	4.14333182812565
LHB	3.13032310749056
TAOK3	4.9618729504363
STK25	5.60753745418628
SLC12A4	3.62563583349333
BRCA1	4.06772221400535
GBL	5.81317827905699
C14orf108	7.60295955256364
CDC25B	5.69991330228312
BMP3	3.21957830268774
MAP1LC3C	4.05469870399734
TMEM180	3.35059339229883
CRYGC	3.72914740855152
SLK	5.66027494247505
POU3F1	3.22801026481654
C20orf32	3.99655822259359
USP52	5.54661402181841
HIGD1B	4.56629076852193
BAZ1B	5.80140780560948
USP6NL	5.14482065337612
SLCO2B1	3.97574329491935
ABCD4	4.32259702108971
DIMT1L	7.30905051779413
SLC25A46	7.94831741006599
LARP7	6.96752109459406
TEK	3.83500882858936
CD160	3.60733663564161
TERF2IP	7.17323397184567
PHF20	5.64275199643048
COL1A1	6.54113963761096
KIAA0090	5.89416432407507
GTPBP1	4.60267168376109
GRK5	3.68082371017915
AP1S2	4.99722178468389
RAB33B	5.69834614995111
CA11	4.58318482516972
ALDOC	4.60573733035499
NUDT1	5.50265410505779
ZNF212	5.41342701508998
ACBD3	7.32333065374166
ZNF83	7.44049383928595
PRDM2	4.54142338692921
GDPD5	4.53485473938167
PDCD4	6.32803333807832
CEP350	5.1835885896031
FOXP3	3.14850761448496
SMYD3	6.11111990621258
CST7	3.99471407244693
SELL	4.62736544557281
CIAO1	6.72865679368032
LGI2	3.75999969508136
WDR45	7.56278602720072
ANKRD6	7.30418112047602
LTBP4	4.19791511462468
PSCD3	3.34379187366942
PYY	3.37274751568808
KCNC1	3.32567519801871
SIRT6	4.36116016482846
CCL19	4.20978784705252
ARHGEF9	4.05213699724388
ABR	4.19802261481367
C10orf22	6.01754534849407
STK17A	5.23791845900967
FOXE1	3.43917726427182
GML	3.43303701395236
CNGA3	3.08165051777801
CD38	3.8034233533465
ZDHHC6	7.59967793376885
NEFH	3.74496365651092
PGBD5	3.71643307626857
CTDSP2	6.79961334660102
RMND5B	5.41590974653071
ZNF257	3.67366944720792
DUSP4	3.44278863198620
FLJ22167	7.36354393679217
EXOSC7	6.83977968434189
ROR2	3.54529304016411
FOXM1	4.71104693651984
ZBTB48	4.99038818851295
BUD31	9.35604864693625
MAOA	4.72349857225967
CCDC41	5.10158830463044
TNNT3	3.6163653185117
FBXO11	5.43554805941804
GYPC	7.30059987554862
PLIN	3.57611281823838
RFXAP	3.53178931224173
C6orf15	3.67345023723898
RNF4	7.48885427330488
F8A1	8.0922614635154
