Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C07_472022
Composite Element REF	Signal
AACS	6.61009079550624
FSTL1	8.71151206805345
ELMO2	5.87947640170824
CREB3L1	4.39976437879602
RPS11	9.42698181611921
PNMA1	9.07778518197567
MMP2	8.60990903867885
SAMD4A	3.71021220198997
SMARCD3	6.73863337746113
A4GNT	3.59767943909294
C9orf39	3.08109719542421
PKNOX2	3.78828779889491
RALYL	3.05483166191999
ZHX3	4.34207412528645
ERCC5	5.84706164845221
RXFP3	3.07538154292379
APBB2	3.97872293861806
BBOX1	6.38032418672572
PRO0478	3.08590663159622
GCSH	7.1298257117614
XDH	3.48455827450692
EDN1	4.07476359564516
MTERF	5.68014186446564
PDCL3	7.13152793284988
CLK4	5.46485967348857
KCNG1	3.90963814076575
CXCR4	9.01578185953527
DECR1	8.32221410807946
SALL1	2.96926416126244
PTPRR	3.29158147101766
CADM4	3.44084750208841
IRAK1	8.63528558366489
CFHR5	3.0397965949998
HNRPD	7.54306782089287
TMSB10	11.8314988065417
CXCL3	3.69501201446662
LMAN1	4.93618150768574
SUHW1	3.28172759207441
CHD8	6.32494632670536
SUMO1	7.96926301930327
GP1BA	3.40519159393978
OR7A10	3.61419253988333
DDB1	7.08907816885711
CHRNA10	3.49182985937549
STYK1	3.2995497156361
MYO9B	4.03098564846843
CCNI	10.3091889144162
MMP7	10.8497676801955
EP300	6.04739054966135
CRNKL1	7.07381420040545
C9orf45	3.52318527983733
XAB2	3.71851761658541
RTN1	4.41961215747728
HIC2	3.72785191947146
TBX10	3.40492078896776
CENPQ	3.80518700054736
UTY	3.11798989066268
OR2W1	2.88509196152583
ATP5G2	10.4725619421098
ZEB1	4.17390263126591
ZG16	3.48049550369988
ERG	3.53400727673477
PARN	6.4476486613648
SOD2	5.69832421002564
JOSD3	7.8412032525708
ADAM5P	3.04455321017323
CHD9	6.38065367692834
hCG_40738	4.04390156035775
STK16	4.76786418063269
PDE1C	3.44315248509835
