Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A09_543662
Composite Element REF	Signal
AACS	6.63954308320972
FSTL1	7.51086290214845
ELMO2	5.59556197089008
CREB3L1	3.94506459583932
RPS11	9.81035932588086
PNMA1	9.43815159804206
MMP2	7.2002665944745
SAMD4A	3.72699911221003
SMARCD3	4.86846548711608
A4GNT	3.38980146628761
C9orf39	3.40739834964985
PKNOX2	4.00382154806936
RALYL	3.07403625020463
ZHX3	4.25856258356285
ERCC5	5.59232049975115
RXFP3	3.1862046349244
APBB2	4.26996816640172
BBOX1	5.70552450262718
PRO0478	3.38027728043796
GCSH	6.77930797190985
XDH	3.69327201468641
EDN1	3.65898284856886
MTERF	6.39991532750695
PDCL3	7.3947883178703
CLK4	6.30723528018767
KCNG1	3.78903905858385
CXCR4	7.95365332001377
DECR1	7.02913992725271
SALL1	3.19988363169448
PTPRR	3.37327154388975
CADM4	3.50569757436179
IRAK1	8.00944816226827
CFHR5	3.29803696926085
HNRPD	8.66005782356263
TMSB10	11.6236053566688
CXCL3	3.73602147892256
LMAN1	3.54102191430942
SUHW1	3.423808256124
CHD8	6.01661142517127
SUMO1	7.1442000034213
GP1BA	3.20132393009928
OR7A10	4.00009923057686
DDB1	7.68552154368694
CHRNA10	3.63321753581552
STYK1	3.28033595016565
MYO9B	4.4254279884721
CCNI	10.8590049366212
MMP7	4.84295164029596
EP300	6.09920925941831
CRNKL1	7.11677861831466
C9orf45	3.59954559653219
XAB2	4.34345100878251
RTN1	3.59694928753559
HIC2	5.1117963304005
TBX10	3.48269485284846
CENPQ	4.64190665367976
UTY	3.15449736739496
OR2W1	2.84934143259091
ATP5G2	10.3302167794763
ZEB1	3.56297498257221
ZG16	3.69618224283153
ERG	3.73780538175998
PARN	7.48555676649564
SOD2	4.50885913371889
JOSD3	7.84329418114331
ADAM5P	3.22009088361625
CHD9	6.0361786442657
hCG_40738	3.83778680857452
STK16	4.27310009490128
PDE1C	3.72957998248126
SEMA4D	5.41704898131508
AGPAT1	6.51425197667524
TOB2	5.82843336116496
BANK1	3.73701818550226
MAP3K3	5.76551779079729
MAX	4.66990915383954
GRM2	3.86804237329161
OSBPL8	7.6738386032094
PROSC	5.29833810706162
NR4A2	6.21258321316442
RICS	5.09330810591149
PIR	4.59701637276534
PPCS	8.73711301016271
IPO9	6.35842812856791
LONP1	7.1063199597426
EVC	4.0430995620982
CXCL13	5.61678259154803
SCYL3	5.0161472128991
KIAA1199	5.18032531812445
SORL1	7.91863070936342
NAT10	6.39024769186138
CHD1	6.35505248473648
SYN3	3.72523549558192
DMC1	3.96530580187232
SLC22A2	3.46003774577084
SERPINF1	7.00807652962151
C20orf27	5.71265136374925
OR7A17	2.96276312245761
RPS6KA5	5.04851082079432
LHB	3.8006944562584
TAOK3	5.0329529055615
STK25	5.36636397311372
SLC12A4	3.7584897957741
BRCA1	4.19229161029772
GBL	5.92609253963042
C14orf108	7.14823078272814
CDC25B	7.56073503258051
BMP3	2.97539205553383
MAP1LC3C	3.3517714870436
TMEM180	3.85150124599734
CRYGC	3.70632042410176
SLK	5.6516499914303
POU3F1	3.31394697750458
C20orf32	3.80057291382230
USP52	7.48444297213101
HIGD1B	4.00742444433967
BAZ1B	6.22790820685836
USP6NL	5.9158048126377
SLCO2B1	3.95184762421798
ABCD4	4.72295612304039
DIMT1L	5.5578300157953
SLC25A46	6.64522457755093
LARP7	6.50137521631051
TEK	3.88391816554970
CD160	3.58955685988843
TERF2IP	7.75118811723885
PHF20	6.53674723465698
COL1A1	7.754748074824
KIAA0090	5.92484122088392
GTPBP1	4.59306337234599
GRK5	3.82120973510357
AP1S2	4.4023503529197
RAB33B	4.11614800546201
CA11	4.17385079646327
ALDOC	4.91632469033304
NUDT1	5.51321868976875
ZNF212	4.98764238257087
ACBD3	7.58854823612203
ZNF83	7.00024832157564
PRDM2	5.36067859778271
GDPD5	4.72433273548206
PDCD4	5.61770924629071
CEP350	5.83862064156046
FOXP3	3.31336565470311
SMYD3	5.74535037609096
CST7	3.95995861112907
SELL	3.79051912763360
CIAO1	6.3100528643457
LGI2	3.86427070154316
WDR45	7.03899431965022
ANKRD6	7.2292066678727
LTBP4	3.58406148895346
PSCD3	3.33004960273666
PYY	3.29993156611999
KCNC1	3.28778972509108
SIRT6	4.11123295750887
CCL19	4.29276886100101
ARHGEF9	4.71279250574105
ABR	4.0603397097107
C10orf22	6.28907356243059
STK17A	4.73712972507151
FOXE1	3.47688486091337
GML	3.27420736526803
CNGA3	3.14284621920145
CD38	3.70750616399457
ZDHHC6	6.54233984328273
NEFH	7.82756842170853
PGBD5	3.22276704918139
CTDSP2	7.43876228910199
RMND5B	5.13218151943268
ZNF257	3.32502321186172
DUSP4	3.62290462923364
FLJ22167	5.66923543135485
EXOSC7	6.23020196006394
ROR2	3.33464360128242
FOXM1	5.04106336166284
ZBTB48	5.09673654488812
BUD31	8.08500556589935
MAOA	3.9880402498092
CCDC41	4.42219273564562
TNNT3	3.71829664953166
FBXO11	5.96878647991675
GYPC	5.18530587121214
PLIN	3.52816493668166
RFXAP	3.42260980909609
C6orf15	3.81264718277280
RNF4	8.6002574188061
F8A1	7.25682789341806
PPP1R3D	4.16414491063711
GRB2	7.40239121200235
TPM3	3.43644328580993
SYT13	3.83104817804675
EPB42	3.63468898621661
RP5-1077B9.4	5.54626098322257
EIF1	10.3415159729034
CETN3	6.04085155879847
FPGT	4.95413648137514
PRY	3.46246021022008
NTHL1	5.6165365047926
POLR2B	8.70892663033799
RPS28	11.7097419191378
GDF10	3.25519861714268
COQ9	7.08244989204405
P2RX3	2.84703621653279
GCC2	6.15030712196368
RARRES3	4.92012120369748
PLXNA1	6.20762610646057
WBP4	4.46326966445739
KIAA0100	6.85384292801447
PMF1	7.32566133779962
HS2ST1	5.24305875163026
CRELD2	5.07985567443314
C8G	3.1770277231615
CD82	5.29518444389044
PMM1	4.96016919173129
CBLL1	3.87858597525436
LIM2	3.44004653633576
VAX2	4.08636983164951
SETDB1	5.1661903649136
LRAP	4.40576355917876
GCLM	5.00109459818752
CPEB3	3.68626337868208
PPM1A	5.81971845027509
INTS1	4.45969163297304
MMP16	3.26048715915838
CAMTA1	4.23300242755969
SAMSN1	3.98614115442773
DRD3	2.80016022504060
GMPPA	4.4187976391284
C11orf73	4.03237755647663
AIPL1	3.67262960243367
PTP4A2	9.26139267159068
IL24	3.49024678641576
BDKRB1	3.48260992680677
HPCA	3.69867552669598
MLF1	6.77074252041514
SEC14L1	5.62476824160913
CHFR	6.89350225663769
EMILIN1	4.0141076711999
THADA	6.58044478831523
TAF12	5.91914847854535
NDUFS4	6.69229027296851
ID1	4.75816698443943
PIK3CB	5.02196930859011
COL18A1	7.75550059830825
PDZD3	3.22255894007005
TBC1D17	4.68479612446584
COX8A	9.28851634527097
CDCA4	6.00763522397082
C2orf44	4.69877936863613
C9orf16	7.52406890174404
ERBB2IP	8.28190357481427
EMX2	8.38744994113915
FUS	6.21350193359441
NIPSNAP3B	3.95453020657526
TF	3.46845488266301
CXorf56	6.82243176426144
CLCN4	3.97736928619348
PWP2	6.73586080186396
MMP15	4.64406112350408
MTMR14	7.02247567651475
NPR1	7.43722986875262
DNAL4	5.37548070034705
ELAC2	4.53323288030925
ASS1	11.4406682105711
IPP	6.14990477295773
TMEM59	8.56301700809828
POLR2J	9.80846177080095
SEC23IP	5.05463859570911
RGS4	3.81358657628206
UQCRC1	8.71267476594148
SNX6	8.4038422601534
DDX18	5.80775170517154
POLG	4.61291842806436
ADAM23	3.71086369991230
ZNHIT2	4.0795687674091
TFR2	3.6080168673875
NCDN	4.57252699669735
RAG1	3.24526544679883
POMT1	5.07312773768122
CYP1A1	3.53194656848259
SNAPC1	4.82928819989801
GNA11	5.24222322715546
CCDC52	2.93625116346284
CAPN1	6.06142426374309
DDHD2	7.19176634449936
UPF3A	6.45974127925193
LAGE3	6.49172174146682
GNRHR	3.23300989055162
UNC13B	4.94650011101269
TTLL4	4.82246210722777
PPBP	2.97536074069993
HTR3A	3.36657448344126
SDC2	4.36377129838378
ANKRD49	6.6605224943476
BTF3	9.9236100321525
COX7A2	10.4080076783815
SARS	7.28566777091253
C13orf18	3.57708786230626
CACNB1	4.08544782136792
QKI	5.02126026424522
SETMAR	5.63716103753903
LAMB4	3.43331927748898
MAN2B1	8.61228730643328
EML3	5.05936740283750
ACADL	3.38553185993955
OFD1	8.39372902073817
CGA	3.60474199513723
EIF3EIP	10.4237449213649
PEX16	4.99650064203808
GNG12	6.85272836977582
HABP4	4.86096049875717
CNTN2	3.57522138247161
ASNSD1	6.20771992947459
FUT4	3.41857016579828
DBH	3.38213571624607
CD53	5.99574455477458
HIST1H2BJ	3.26000654314076
TFAP2B	3.23789337503992
ACF	3.80925491402445
TMEM11	5.88381732360878
CDH8	3.35579869651041
C3orf32	3.48824517763725
AGPS	4.50105115480120
C4orf18	3.26544193018140
PCCB	8.06901356437217
IPO13	5.21250677514087
PECI	6.84616026268108
UNG	7.85613682713987
C6orf105	3.71897062909881
GSTP1	7.8923195349497
SUV420H1	6.6446326269378
ARHGAP15	3.971841805444
LTBR	7.29857360253338
TDRKH	3.29057506236306
PSG4	3.56492200457921
SLC9A3R1	6.14253028317999
NBPF3	10.3211078484761
SLC9A3	3.34897258101211
OSBP	6.95216455307418
PRR5	5.80094599978886
CHMP7	5.69741494658868
ADRA1A	3.18552547285039
ASAH1	5.95819230816849
FKBP4	7.2728018986168
ZNF350	4.26821915490519
DOM3Z	5.2482243792639
GIPR	3.73078749458819
AHI1	5.41215296220893
BST1	3.72554901399952
NCR2	3.76171272541778
NADSYN1	5.10802969999818
UBE2W	5.55987732491542
RGS14	3.6855121333282
KRT15	3.79685366608881
SCN11A	4.09636240840521
GFI1	3.53116178197249
FHL1	6.22498673054541
SMC6	5.32674258372589
GATA1	3.72189730647668
OSGEP	4.84071829070744
ARMC6	4.77843772934241
HK3	3.84011673456312
PSMD5	6.62177075322176
RSU1	7.76997400491087
RPL4	11.9551829536269
MAD2L1	5.86901663968367
RBPMS	4.38821086219013
EIF4A3	8.64382404929892
E4F1	6.10142351820654
DLEC1	3.92390467053892
PRPF3	5.51648850991386
EMR1	3.00750930737504
CHMP2B	6.23844483008797
CAMSAP1	4.50349579680066
RPS21	10.4759589927339
XCR1	3.74053665575914
ARID5A	4.43779282977619
RBM6	6.45167672246661
UBE2N	7.77752452298437
KLF4	3.81666153205769
MGC4172	5.88317790369856
LMO4	7.116061205208
KLKB1	3.45755184367195
HDAC3	5.98188767636952
HP	3.59552771192232
SCHIP1	4.69632680952538
BTK	4.59057311635319
KRCC1	8.20494391249816
PRND	3.18861615988960
C6orf27	3.64153285692026
PIGL	4.20999304849253
CLCA1	3.9604158024763
C1orf112	4.02037113688596
OLFML2A	6.11471791267813
HUS1	4.63803126773847
SFRS6	8.26288296716178
CXCR7	4.95079694948293
UIMC1	5.92879132481744
FXYD2	3.76059367039371
GOT2	7.59178426251448
ZNF667	3.71389210080972
TFEC	3.68121921327493
ATP7B	4.89995760114913
RAB38	3.58937649811976
POLD2	7.07893942264259
PPM1H	4.74815619362149
DCX	3.29840677390390
NFYC	5.65282276762761
ZNF228	3.14911307637063
KIN	6.35416663870602
PLSCR4	6.01240886016276
HIST1H4I	4.36536449715648
PPARGC1A	3.06324266381963
HIG2	5.66367796711634
KCNK10	4.0470551642314
EXOC1	8.1590022235024
OR6A2	3.74972818457494
ETFA	7.94490772581273
PDAP1	5.66422276179443
C19orf6	3.50583347669143
POLRMT	4.27504319467328
ZNF146	8.39930961226684
MIA2	3.39807027188958
LY6G6E	3.19791376519902
EIF4E2	7.71328130647608
NENF	4.89116931845626
HOXB5	3.85130841265491
ZNF324	4.83825900115567
CUGBP1	3.78581122944164
ENTPD7	4.56875438332176
TTC13	5.85054578692746
GJB5	3.33042989488876
PRSS22	4.46301041901114
CYP3A5	3.28240268879929
MBOAT5	4.5759787630261
CUL4B	5.55425427369557
CENPJ	3.52913156472375
KIAA0664	6.60917546848603
PITX1	3.9454366919288
PDGFRB	6.00344808395461
RDX	6.36085953907024
CELSR3	4.98432666298465
JUND	6.54109425145182
ITSN1	5.2697202511706
CHRNB1	4.02858750364056
EHBP1L1	3.85176705257761
C19orf2	5.48696461323911
FETUB	3.16650116241877
