Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F08_516470
Composite Element REF	Signal
AACS	6.38027199512684
FSTL1	7.39322887216535
ELMO2	5.03606022665172
CREB3L1	3.83172822308935
RPS11	9.79043908477377
PNMA1	8.37016829368492
MMP2	7.24769301867214
SAMD4A	3.76199235359868
SMARCD3	9.14020412402455
A4GNT	3.5942162681413
C9orf39	3.38629129297771
PKNOX2	4.6339546122966
RALYL	3.51838602441904
ZHX3	4.48035509761277
ERCC5	4.86595957268515
RXFP3	3.17696778557832
APBB2	4.20774450116049
BBOX1	6.89409362424727
PRO0478	2.99357238377047
GCSH	6.60446149501288
XDH	3.62293969602512
EDN1	3.60245228961941
MTERF	5.78052324765669
PDCL3	7.38478019363696
CLK4	5.66926171145511
KCNG1	4.09911212130342
CXCR4	7.65612182146432
DECR1	7.8890020037057
SALL1	3.61216208409603
PTPRR	3.27282538647917
CADM4	3.41850235430856
IRAK1	8.54814705328992
CFHR5	3.42059724770207
HNRPD	7.72275480134283
TMSB10	12.4015294127579
CXCL3	4.42725516272353
LMAN1	4.07042889973768
SUHW1	3.19942388221869
CHD8	5.947628912653
SUMO1	8.43822864667883
GP1BA	3.16120324816137
OR7A10	3.72372447183626
DDB1	7.66333594066376
CHRNA10	3.45797159167555
STYK1	4.6178362295365
MYO9B	3.95117913390756
CCNI	10.2441101734322
MMP7	8.98749328417376
EP300	5.1720228867181
CRNKL1	5.43782622209572
C9orf45	3.22454168377330
XAB2	3.82304073826997
RTN1	4.30950619096394
HIC2	3.48899128133449
TBX10	3.49864496749129
CENPQ	4.69404166189269
UTY	3.36473822072401
OR2W1	2.92761305272552
ATP5G2	10.1556232024859
ZEB1	3.41376000565414
ZG16	3.81182435624027
ERG	3.88496186628884
PARN	7.23239120918288
SOD2	6.76374515894098
JOSD3	8.05112445200413
ADAM5P	3.18159102468382
CHD9	4.8306843441240
hCG_40738	3.73415183000112
STK16	4.38433253701778
PDE1C	3.8118821584535
SEMA4D	5.4142950311387
AGPAT1	5.49190115894724
TOB2	5.59068469528138
BANK1	4.67819703856203
MAP3K3	5.06232189109646
MAX	5.22673306581919
GRM2	3.76773640611654
OSBPL8	6.92346804029383
PROSC	5.31207528043225
NR4A2	4.26246609189722
RICS	5.00580047738776
PIR	7.32289458874716
PPCS	9.89996313109428
IPO9	5.330345090216
LONP1	6.78234429397912
EVC	3.86327251978472
CXCL13	8.81062978132495
SCYL3	5.57804346933247
KIAA1199	3.67181800073848
SORL1	7.290314349896
NAT10	7.80961967829602
CHD1	5.32762939046892
SYN3	3.53814570327055
DMC1	4.31931586025232
SLC22A2	3.65776361809782
SERPINF1	7.61406759517884
C20orf27	5.13459944311529
OR7A17	3.25113852849254
RPS6KA5	4.97540902474086
LHB	3.25877102601489
TAOK3	4.79869001889685
STK25	4.965316019618
SLC12A4	3.50489425370500
BRCA1	3.53100812991546
GBL	6.25036391554615
C14orf108	7.06807940696143
CDC25B	5.83012889261424
BMP3	3.48361087468983
