Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C05_452020
Composite Element REF	Signal
AACS	4.79927351766121
FSTL1	7.95268615615211
ELMO2	4.86717059944753
CREB3L1	4.28521635979246
RPS11	9.50410673501808
PNMA1	7.49068919873079
MMP2	7.60507377446991
SAMD4A	3.67022930770838
SMARCD3	7.31484403256096
A4GNT	4.05164524986786
C9orf39	3.3396231887743
PKNOX2	4.15885233939017
RALYL	2.97575247707300
ZHX3	4.19200664458998
ERCC5	6.62689665218692
RXFP3	3.45498235926494
APBB2	4.2273236207509
BBOX1	4.25962920410367
PRO0478	3.38810178949766
GCSH	7.46910220797453
XDH	3.65685023662384
EDN1	4.19953815936997
MTERF	4.56679174676453
PDCL3	6.02460335740196
CLK4	6.1070063027073
KCNG1	4.21241741915193
CXCR4	6.37403865087192
DECR1	8.21472435460786
SALL1	3.09222645480011
PTPRR	3.49719486685363
CADM4	3.53642177365616
IRAK1	8.2946614107135
CFHR5	3.63718293238777
HNRPD	7.23171235966437
TMSB10	11.2779615986038
CXCL3	3.41353715967697
LMAN1	3.69384391940782
SUHW1	3.35264641331558
CHD8	5.79382791915787
SUMO1	7.51371506822063
GP1BA	3.50421890024531
OR7A10	3.67943886334903
DDB1	6.08260143075294
CHRNA10	3.64853774085697
STYK1	3.61516083146387
MYO9B	4.39644368619464
CCNI	10.3014400953861
MMP7	8.02185412318143
EP300	5.56736683272049
CRNKL1	4.71147572848778
C9orf45	3.37934028868021
XAB2	4.20806523496453
RTN1	3.5950238631806
HIC2	3.81017121275908
TBX10	3.93513159007002
CENPQ	3.59417092646056
UTY	3.17322039721362
OR2W1	3.01277898933148
ATP5G2	10.4650116879423
ZEB1	3.66585135961269
ZG16	3.77149158523985
ERG	4.11843688492396
PARN	6.12927609831202
SOD2	4.56348793622065
JOSD3	8.54240703662297
ADAM5P	3.41905852026068
CHD9	4.75794204137146
hCG_40738	3.86150297743354
STK16	4.25560131878266
PDE1C	3.85179859539289
SEMA4D	4.65053115211176
AGPAT1	5.91442081000531
TOB2	5.30932105206062
BANK1	3.38750042751661
MAP3K3	5.59268582555763
MAX	5.14142302639804
GRM2	3.84302096033101
OSBPL8	6.96028834799265
PROSC	5.07044052867489
NR4A2	4.80270439442254
RICS	4.53667776171448
PIR	4.86607761680936
PPCS	7.86049548994347
IPO9	6.1461038935928
LONP1	6.20146527841249
EVC	4.91334442901762
CXCL13	4.32282116509374
SCYL3	5.05834984621313
KIAA1199	5.09017397614859
SORL1	7.8708286277222
NAT10	5.79512241495333
CHD1	4.9910383268957
SYN3	3.60975994267322
DMC1	4.06258672285402
SLC22A2	3.60451217003933
SERPINF1	7.89338254670099
C20orf27	5.14582426843984
OR7A17	3.26671091995166
RPS6KA5	5.19353994855107
LHB	3.83644539291152
TAOK3	4.47114902012408
STK25	4.83789486464533
SLC12A4	3.73751700274138
BRCA1	3.83634445229306
GBL	5.89193867190129
C14orf108	7.53236579503865
CDC25B	5.72576720923542
BMP3	3.76607531806317
MAP1LC3C	3.51573676803132
TMEM180	3.76297726380182
CRYGC	3.97185750118316
SLK	5.50982658027067
POU3F1	3.65182426650466
C20orf32	4.34297217106919
USP52	5.87307569844301
HIGD1B	4.27122734010367
BAZ1B	6.24142693552048
USP6NL	5.22579464579141
SLCO2B1	4.48273165258069
ABCD4	4.65042114886120
DIMT1L	5.01834350538482
SLC25A46	5.12493740555503
LARP7	5.99608001016039
TEK	3.54350601237186
CD160	4.34315263508617
TERF2IP	6.72531653424368
PHF20	5.7813257918932
COL1A1	8.28060625906928
KIAA0090	5.18390444312868
GTPBP1	4.31622434658381
GRK5	3.81213528527481
AP1S2	4.27284930100069
RAB33B	3.92694942751735
CA11	4.76314285327503
ALDOC	4.53154328246676
NUDT1	5.95642818283784
