Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E12_491248
Composite Element REF	Signal
AACS	6.62986451530253
FSTL1	6.43662551747387
ELMO2	5.63912383937452
CREB3L1	3.64222360506661
RPS11	10.2073578581223
PNMA1	7.84821163957693
MMP2	4.24230595810248
SAMD4A	3.93828542570568
SMARCD3	6.0009502351051
A4GNT	3.60691289469142
C9orf39	3.31183338856580
PKNOX2	4.17464412240348
RALYL	3.68409142765394
ZHX3	4.17668236333145
ERCC5	4.34420730820042
RXFP3	3.19094772898081
APBB2	3.78551792180905
BBOX1	3.16317285592236
PRO0478	3.00510297675898
GCSH	7.35811700379155
XDH	3.89536596873487
EDN1	4.48185534250294
MTERF	6.47882712874947
PDCL3	8.10724948717435
CLK4	5.42552403128266
KCNG1	3.75660304696839
CXCR4	8.79499465313362
DECR1	8.56340204927534
SALL1	3.27618774675838
PTPRR	3.77146226686238
CADM4	3.26325816657290
IRAK1	8.6825936736653
CFHR5	3.30855526285757
HNRPD	7.65977100237837
TMSB10	12.1162644714553
CXCL3	4.62800625456273
LMAN1	3.98869361359206
SUHW1	3.52123571365607
CHD8	5.77632850713375
SUMO1	7.79218499936452
GP1BA	3.17314123473637
OR7A10	3.65984339337004
DDB1	7.83923647194054
CHRNA10	3.72190835937302
STYK1	3.63309001408409
MYO9B	4.10353626254783
CCNI	10.0725130764320
MMP7	5.88704644736897
EP300	5.86978509512602
CRNKL1	6.88997094664915
C9orf45	3.30304825577484
XAB2	4.24673306124531
RTN1	4.50085257496286
HIC2	3.52066879137967
TBX10	3.66170884782644
CENPQ	4.61575556880954
UTY	3.17718698682220
OR2W1	2.85123815505114
ATP5G2	10.9566937765772
ZEB1	3.18182984150068
ZG16	3.59185889129417
ERG	3.64985193432683
PARN	6.52006962526466
SOD2	7.18592239512367
JOSD3	8.66276647677292
ADAM5P	3.39096320203269
CHD9	5.591393254162
hCG_40738	3.72805730732275
STK16	5.1379139097893
PDE1C	3.51162575231874
SEMA4D	5.27987578463921
AGPAT1	6.5241087273524
TOB2	5.6768352714567
BANK1	4.331497460164
MAP3K3	5.41426044441639
MAX	5.25738669164491
GRM2	3.88050314160228
