Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D10_458726
Composite Element REF	Signal
AACS	6.23964892881636
FSTL1	9.80612988562271
ELMO2	4.83606374631025
CREB3L1	4.62890860346819
RPS11	9.58761901985433
PNMA1	8.05670022049026
MMP2	9.13565919165689
SAMD4A	4.36841680502461
SMARCD3	8.61633009155385
A4GNT	3.73817072346359
C9orf39	3.15702012287925
PKNOX2	3.98064645938266
RALYL	3.3044181709745
ZHX3	4.22689178559830
ERCC5	6.45388186578858
RXFP3	3.20150999843403
APBB2	4.10468544646103
BBOX1	7.31749693994713
PRO0478	3.06046291309391
GCSH	7.62660750554658
XDH	3.58308701526635
EDN1	5.35588927494727
MTERF	6.00731647628706
PDCL3	7.04592426591036
CLK4	4.89130274942927
KCNG1	3.38269051160338
CXCR4	8.2311417677543
DECR1	8.63543837569837
SALL1	2.84613012706266
PTPRR	3.56765486995067
CADM4	3.2384968735256
IRAK1	9.23022307288456
CFHR5	3.11300479418879
HNRPD	8.27770838549106
TMSB10	11.9158570458433
CXCL3	4.80566732611962
LMAN1	4.98038009627069
SUHW1	3.99082753137073
CHD8	6.10552075825708
SUMO1	7.58026742474762
GP1BA	3.28333129684765
OR7A10	3.6160889769585
DDB1	7.90330652339224
CHRNA10	3.61053297857905
STYK1	3.25880207417546
MYO9B	4.33431107143896
CCNI	10.6363099772485
MMP7	8.0045745296198
EP300	5.94077651801959
CRNKL1	7.25418106064822
C9orf45	3.05140561989973
XAB2	3.71237008797338
RTN1	4.48020666402873
HIC2	3.89312883619935
TBX10	3.41009352256289
CENPQ	4.13517193242205
UTY	3.14703361883862
OR2W1	2.94982412875640
ATP5G2	10.4417437522257
ZEB1	4.511401114213
ZG16	3.77916727717428
ERG	3.90974982690877
PARN	6.99348816539883
SOD2	6.62048900066433
JOSD3	6.94386557225439
ADAM5P	3.16209286326495
CHD9	5.83722917604611
hCG_40738	3.87363541787891
STK16	4.90292625079649
PDE1C	3.51396138683401
SEMA4D	5.48202109185483
AGPAT1	5.74134549402701
TOB2	5.61564232044102
BANK1	3.32057361182636
MAP3K3	5.14321347796147
MAX	4.81393909475234
GRM2	3.50028439329756
OSBPL8	8.17536208346441
PROSC	5.62428766936562
NR4A2	5.27829616894711
RICS	4.57311367360689
PIR	4.98132417355539
PPCS	8.78484428572385
IPO9	6.31839441161475
LONP1	6.86514743910791
EVC	4.40866067082936
CXCL13	5.64756415459801
SCYL3	4.99855565487132
KIAA1199	5.40333585316944
SORL1	8.13951856554641
NAT10	7.55021025385459
CHD1	6.00326174462281
SYN3	3.51880548838576
DMC1	3.81305504298032
SLC22A2	3.40055844227771
SERPINF1	8.9779697856897
C20orf27	4.97348778778606
OR7A17	3.21639655527931
RPS6KA5	4.90300231333479
LHB	3.1531300166719
TAOK3	5.26403877878767
STK25	5.15204294127494
SLC12A4	3.58425869072213
BRCA1	3.85122271126569
GBL	4.47232431980862
C14orf108	8.45926012610738
CDC25B	6.24124274413346
BMP3	3.26992723051701
MAP1LC3C	3.27981699638308
TMEM180	3.46452643167215
CRYGC	3.45602183552998
SLK	6.97340816974626
POU3F1	3.30076519420947
C20orf32	3.86645650055369
USP52	4.99926613539334
HIGD1B	3.6532914144641
BAZ1B	6.45155649813131
USP6NL	5.32702846673786
SLCO2B1	4.21485239312559
ABCD4	4.15059300673799
DIMT1L	6.70875680380256
SLC25A46	7.2590212609288
LARP7	6.89563352238503
TEK	3.50518025320819
CD160	3.57056265667034
TERF2IP	7.68649005457058
PHF20	5.57354607079027
COL1A1	9.61704467152544
KIAA0090	5.86549881566983
GTPBP1	4.17375413482734
GRK5	4.08475600784268
AP1S2	5.6649580548628
RAB33B	3.93397514036827
CA11	3.99177924160896
ALDOC	4.66560146784543
NUDT1	6.07034978771916
ZNF212	6.28127763506009
ACBD3	7.904508390031
ZNF83	6.10412184949128
PRDM2	4.4658745025454
GDPD5	4.70006490603156
PDCD4	5.6486425123004
CEP350	6.38961190989771
FOXP3	3.35928950956287
SMYD3	7.9088914524368
CST7	4.97468651969241
SELL	4.30026024265215
CIAO1	5.53346115541499
LGI2	3.79102543254071
WDR45	6.41765901237571
ANKRD6	7.53215934861708
LTBP4	3.61806539872119
PSCD3	3.42548612715050
PYY	3.13188646897375
KCNC1	3.03282329550145
SIRT6	4.06415248562413
CCL19	4.10045172915421
ARHGEF9	5.06425513160664
ABR	4.58123874630126
C10orf22	7.17190320311187
STK17A	5.33263853121046
FOXE1	2.93638372484471
GML	3.08823263251951
CNGA3	3.38280052176634
CD38	3.51040441881963
ZDHHC6	7.19413071580605
NEFH	7.39187681784933
PGBD5	3.64001683557539
CTDSP2	7.26803621043236
RMND5B	4.16505357548005
ZNF257	3.37714167361611
DUSP4	4.67762954091758
FLJ22167	5.65617595243545
EXOSC7	6.62553038108688
ROR2	4.32599874826587
FOXM1	5.11569474584364
ZBTB48	3.94996996015225
BUD31	8.0919826608816
MAOA	4.69115096863417
CCDC41	4.88593659673974
TNNT3	3.36401519441007
FBXO11	5.73605875426891
GYPC	6.57176826423478
PLIN	6.18458633582872
RFXAP	3.37776272228426
C6orf15	4.64468851077036
RNF4	8.9828027469833
F8A1	9.21101044617044
PPP1R3D	4.15625778681858
GRB2	7.55802698076575
TPM3	3.48150838938507
SYT13	3.82384281479144
EPB42	3.27228991056386
RP5-1077B9.4	4.70324364264261
EIF1	10.5315474467627
CETN3	7.15014005845718
FPGT	4.47854301556228
PRY	3.44081696708621
NTHL1	4.85126646822842
POLR2B	9.16881807874467
RPS28	11.7696341828842
GDF10	3.1905759980116
COQ9	6.88990143317905
P2RX3	2.95582449970861
GCC2	6.02373066873149
RARRES3	5.17498799005302
PLXNA1	5.73501995012975
WBP4	4.7197691939697
KIAA0100	5.75240504654716
PMF1	7.15450169386477
HS2ST1	6.57198971329532
CRELD2	6.8426046065358
C8G	3.10337954291761
CD82	6.07515725131570
PMM1	4.49721472774267
CBLL1	3.91532222693822
LIM2	3.16385862865061
VAX2	3.91588329846817
SETDB1	4.90312481433725
LRAP	3.02279075426385
GCLM	6.75305664935855
CPEB3	3.08654055764056
PPM1A	6.39976581275272
INTS1	4.2146887863362
MMP16	3.20901391557102
CAMTA1	3.98601482382183
SAMSN1	5.36228297355597
DRD3	2.88399281386959
GMPPA	5.14466135431677
C11orf73	5.20722393870465
AIPL1	3.49916840905013
PTP4A2	9.0667194025752
IL24	3.37917064252413
BDKRB1	3.87111788340084
HPCA	3.55055446018835
MLF1	6.86107289285492
SEC14L1	6.64315179704345
