Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B12_547248
Composite Element REF	Signal
AACS	7.32627119868011
FSTL1	9.22566816308027
ELMO2	6.12725270473444
CREB3L1	4.19572393439107
RPS11	9.87117204186722
PNMA1	9.12609047674697
MMP2	8.05623020628112
SAMD4A	3.88551448058482
SMARCD3	6.56188876270717
A4GNT	3.63049732773596
C9orf39	3.26747480740966
PKNOX2	5.85963516003745
RALYL	3.21009415151228
ZHX3	4.64757370598011
ERCC5	5.24850250882879
RXFP3	2.96367099980761
APBB2	4.67430607785947
BBOX1	3.28165812674004
PRO0478	2.98343447898881
GCSH	7.30612776403006
XDH	3.59723625400485
EDN1	5.15120518290452
MTERF	6.31873807612117
PDCL3	7.80523119206219
CLK4	5.75609367904222
KCNG1	4.96224329694073
CXCR4	7.70284832109069
DECR1	6.92991041102911
SALL1	6.28210004464932
PTPRR	3.54470484133923
CADM4	3.3970413326363
IRAK1	7.67639810227265
CFHR5	3.19841311643535
HNRPD	7.91045041442454
TMSB10	11.9226727726853
CXCL3	3.49158719429252
LMAN1	4.20009668412940
SUHW1	3.64939949298678
CHD8	7.35545890950165
SUMO1	8.18471798497651
GP1BA	3.24207912730665
OR7A10	3.50930662969173
DDB1	7.51625897614854
CHRNA10	3.72555712671049
STYK1	3.20691866322419
MYO9B	4.81666475430208
CCNI	10.5433450547218
MMP7	9.60819705756714
EP300	6.81874218903597
CRNKL1	7.48018114276265
C9orf45	3.34384580832709
XAB2	4.05747684713218
RTN1	4.02271795896214
HIC2	4.02135753491651
TBX10	3.31004412475103
CENPQ	4.34198118272721
UTY	3.20244072764454
OR2W1	2.65067291683919
ATP5G2	10.6622790552745
ZEB1	3.95682216923096
ZG16	3.39787148699969
ERG	3.58572063032465
PARN	7.18718743245516
SOD2	6.42612857001194
JOSD3	7.92102497102523
ADAM5P	3.15721847095229
CHD9	7.12618613047846
hCG_40738	4.12813816077102
STK16	4.88800304309307
PDE1C	3.51676308484038
SEMA4D	5.77424354860025
AGPAT1	6.74176146779386
TOB2	6.2580657941075
BANK1	5.44114458279502
MAP3K3	5.62214300055418
MAX	5.764774828075
GRM2	3.67042653122417
OSBPL8	7.73646789372581
PROSC	6.07069372144854
NR4A2	3.78296012782796
RICS	5.36286404422046
PIR	6.91999132069047
PPCS	9.80249181202966
IPO9	6.28468800541605
LONP1	7.10620220881076
EVC	4.96687927467261
CXCL13	5.8441788697312
SCYL3	5.75275946352757
KIAA1199	8.05954696512854
SORL1	8.2622788315457
NAT10	6.81590381190213
CHD1	6.29725494832251
SYN3	3.37256128446326
DMC1	3.7544801897539
SLC22A2	3.85853227802553
SERPINF1	10.1888408409145
C20orf27	5.96902011282787
OR7A17	3.16567482675608
RPS6KA5	4.72974125683068
LHB	3.37707109201354
TAOK3	6.03155044753164
STK25	6.69870848142742
SLC12A4	3.46705360757372
BRCA1	3.89768936663609
GBL	5.88755875583993
C14orf108	8.57161945543739
CDC25B	6.60974923601788
BMP3	3.22072533973986
MAP1LC3C	3.23168702108949
TMEM180	3.41790078991003
CRYGC	3.91843044695957
SLK	6.52238409709557
POU3F1	3.13086431179059
C20orf32	3.78411350900666
USP52	6.18925842228298
HIGD1B	3.88522325548967
BAZ1B	6.38499264359456
USP6NL	7.04393092178756
SLCO2B1	4.25837194016770
ABCD4	4.82544475785158
DIMT1L	6.08631767034414
SLC25A46	6.90732163438883
LARP7	7.59366740132539
TEK	3.64528120818081
CD160	3.44955195449843
TERF2IP	7.28596374317046
PHF20	6.13181646410416
COL1A1	8.0422501861618
KIAA0090	6.57026952386121
GTPBP1	4.50055428925545
GRK5	3.92923592053946
AP1S2	5.30708821651539
RAB33B	4.29603230516115
CA11	5.33383915123654
ALDOC	6.20949575640551
NUDT1	5.04950559215786
ZNF212	6.13825320456178
ACBD3	7.38916601288668
ZNF83	6.99491636179985
PRDM2	4.89718766171775
GDPD5	6.42583286162328
PDCD4	6.62256754252243
CEP350	6.25521807043176
FOXP3	3.16031600816151
SMYD3	7.20618210087646
CST7	4.33648054483882
SELL	3.75717817318641
CIAO1	6.32218246919771
LGI2	3.93874621636957
WDR45	7.0776693159779
ANKRD6	7.21614666299969
LTBP4	4.36810116454258
PSCD3	3.32515198531984
PYY	3.06262904531477
KCNC1	2.96654030388500
SIRT6	3.82649815534924
CCL19	3.96426691370141
ARHGEF9	6.30250031572546
ABR	4.82411833153466
C10orf22	7.17064684221529
STK17A	4.63061030472053
FOXE1	3.10944315972886
GML	3.18801875163026
