Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A10_451968
Composite Element REF	Signal
AACS	6.84874909631235
FSTL1	7.84067478883356
ELMO2	5.10674023781341
CREB3L1	3.91227336699258
RPS11	9.94523582912374
PNMA1	8.28734940592103
MMP2	5.72822788784467
SAMD4A	3.89095444918196
SMARCD3	6.09483735376046
A4GNT	3.62848525617529
C9orf39	3.22425197639549
PKNOX2	3.83708997490736
RALYL	3.09717747029046
ZHX3	4.08259542148237
ERCC5	6.20568021232059
RXFP3	3.01508491427321
APBB2	3.42643944650171
BBOX1	4.15206259821508
PRO0478	2.95486517891856
GCSH	7.43912081639441
XDH	5.07774721284956
EDN1	5.1620430617756
MTERF	6.39197131941475
PDCL3	7.82329259536683
CLK4	7.34341929002151
KCNG1	3.97083964295117
CXCR4	7.23958163189029
DECR1	8.45375830909497
SALL1	3.10978698465475
PTPRR	3.33101094635315
CADM4	3.50705807919344
IRAK1	9.13237640797098
CFHR5	3.20014249452752
HNRPD	8.09706877909619
TMSB10	11.1543752937923
CXCL3	4.82002524739577
LMAN1	3.84827488017425
SUHW1	3.76002650539072
CHD8	6.20349990686402
SUMO1	8.6645936558695
GP1BA	3.42182509771845
OR7A10	3.78245788310923
DDB1	7.3969957504055
CHRNA10	3.77965614240592
STYK1	3.90141695544757
MYO9B	4.3898564644843
CCNI	10.1413463099096
MMP7	9.36516756319046
EP300	6.58984267225217
CRNKL1	6.21306742444805
C9orf45	3.21247738624035
XAB2	4.08032651442305
RTN1	4.18088450199115
HIC2	4.08806323925124
TBX10	3.62632041782881
CENPQ	5.34131331273571
UTY	3.18460873216394
OR2W1	2.80244990317713
ATP5G2	10.4196587021904
ZEB1	3.15925389519579
ZG16	3.49741039771369
ERG	3.66339110469968
PARN	6.33023004881322
SOD2	6.15815354761375
JOSD3	7.35950601442715
ADAM5P	3.37915001388374
CHD9	5.32689355346887
hCG_40738	3.87121820659365
STK16	5.21809683450525
PDE1C	3.53186818041136
SEMA4D	6.86860009250443
AGPAT1	5.7286821171437
TOB2	6.02076431911721
BANK1	3.20916388513881
MAP3K3	5.36743061574545
MAX	4.96529866702425
GRM2	3.57828376965317
OSBPL8	7.94985778346384
PROSC	7.09654208966812
NR4A2	5.80860994764205
RICS	6.38390134847711
PIR	6.82334517750269
PPCS	9.23420054805475
IPO9	6.44355418569649
LONP1	6.68747532271873
EVC	4.25175081289987
CXCL13	4.01968132557602
SCYL3	5.03440270210584
KIAA1199	5.39882978770603
SORL1	8.98524375029253
NAT10	7.34177234541393
CHD1	6.32624060887652
SYN3	3.74397458244774
DMC1	3.80237426694325
SLC22A2	3.71688904569218
SERPINF1	5.01799246587004
C20orf27	5.76192551958275
OR7A17	3.18613887964729
RPS6KA5	4.52178480457630
LHB	3.24453441821381
TAOK3	5.313206203186
STK25	6.15580769447913
SLC12A4	3.64182464935443
BRCA1	3.27508284863854
GBL	4.78763508212053
C14orf108	7.95445175412938
CDC25B	6.9386501220306
BMP3	3.14824226671582
MAP1LC3C	3.26410651984810
TMEM180	3.23932683651528
CRYGC	4.76238690530625
SLK	7.03270308899465
POU3F1	3.1515223218373
C20orf32	3.84423682702896
USP52	5.91670518330551
HIGD1B	3.82991547582991
BAZ1B	6.3757790903489
USP6NL	4.30371442665934
SLCO2B1	4.3475129681734
ABCD4	4.61021101512146
DIMT1L	5.92016882756655
SLC25A46	6.82280721356053
LARP7	7.38506283871903
TEK	3.61719368935555
CD160	3.66989239838904
TERF2IP	6.97637628940461
PHF20	6.16718443627866
COL1A1	6.24755076794049
KIAA0090	5.56747824797758
GTPBP1	4.40070917765883
GRK5	3.74569011947543
AP1S2	5.29991997097781
RAB33B	5.45558408757861
CA11	4.04238696829709
ALDOC	4.48965248688147
NUDT1	6.19388204866403
ZNF212	5.69183785325017
ACBD3	7.1261320798082
ZNF83	7.36022031703559
PRDM2	4.9052177713376
GDPD5	6.29295824176946
PDCD4	5.74821127961256
CEP350	6.28714744821178
FOXP3	3.31118592741006
SMYD3	4.68630142766461
CST7	3.91299529077894
SELL	3.84332485533705
CIAO1	6.51225134552548
LGI2	3.72433304777342
WDR45	7.17109706470924
ANKRD6	8.04350612380093
LTBP4	4.23350294781236
PSCD3	3.32411529369114
PYY	3.23366999309211
KCNC1	3.14051869755085
SIRT6	4.1826953159222
CCL19	3.44359288268122
ARHGEF9	4.38719274873046
ABR	4.72725542287031
C10orf22	6.97508570077964
STK17A	4.40431730201619
FOXE1	4.42328290377779
GML	3.35409788420958
CNGA3	2.83647216795912
CD38	3.45237711923058
ZDHHC6	7.32140255778417
NEFH	7.1518192666768
PGBD5	4.42113745063774
CTDSP2	8.12328328242725
RMND5B	6.78571406542289
ZNF257	4.1583548220221
DUSP4	4.59922355547975
FLJ22167	5.22151573143027
EXOSC7	5.9429316329952
ROR2	3.94754402009165
FOXM1	5.77513441331315
ZBTB48	5.01834333557504
BUD31	7.21989523534858
MAOA	3.84040779496223
CCDC41	4.36965564916914
TNNT3	3.96264267022859
FBXO11	5.53232988309476
GYPC	6.09802244185708
PLIN	3.55270567920305
RFXAP	3.40230819137929
C6orf15	6.94997343214868
RNF4	7.97435086660365
F8A1	8.53308836266492
PPP1R3D	4.69420302519158
GRB2	7.3563068835572
TPM3	3.18610970450702
SYT13	4.09059123078258
EPB42	3.52944092054355
RP5-1077B9.4	5.5440998898379
EIF1	10.5286763478629
CETN3	6.96964262701001
FPGT	5.04870537382692
PRY	3.34174832514902
NTHL1	5.30986391083131
POLR2B	8.3375993096217
RPS28	11.6080380806751
GDF10	3.14180265059900
COQ9	6.62922719993585
P2RX3	2.81808652633919
GCC2	7.1070902961986
RARRES3	8.64628875174453
PLXNA1	6.70219002144293
WBP4	5.26313936876
KIAA0100	6.4590495789555
PMF1	6.29243889442063
HS2ST1	5.83278148601284
CRELD2	6.40763614811866
C8G	3.17784530301303
CD82	7.29385314717993
PMM1	4.5569993362542
CBLL1	4.5011284404211
LIM2	3.50142563553569
VAX2	4.99148759240145
SETDB1	5.45930253206553
LRAP	6.49157141475635
GCLM	6.71618090735492
CPEB3	3.77245956305526
PPM1A	6.43913718016372
INTS1	4.45295819921695
MMP16	3.16199556430912
CAMTA1	3.36336239605140
SAMSN1	5.12100081992179
DRD3	2.68320506504877
GMPPA	4.90796639304132
C11orf73	7.0786122698123
AIPL1	3.77186491426158
PTP4A2	8.95699449337631
IL24	3.3147838867409
BDKRB1	3.25471133475776
HPCA	3.33961136465225
MLF1	7.60060735724239
SEC14L1	7.0829880828122
CHFR	5.48269780670777
EMILIN1	3.30622360160063
THADA	6.3209933071753
TAF12	5.21354984175139
NDUFS4	7.95782773791793
ID1	5.70411524917419
PIK3CB	4.39601205111108
COL18A1	7.8218929730947
PDZD3	3.49512942639084
TBC1D17	5.08653618445649
COX8A	10.2152127368443
CDCA4	6.55311340844272
C2orf44	4.32740777414804
C9orf16	7.60605735587522
ERBB2IP	8.28326600706509
EMX2	7.62497122078919
FUS	6.47869618692054
NIPSNAP3B	3.64278151717856
TF	3.2050232886533
CXorf56	6.15604896513887
CLCN4	3.69899645891225
PWP2	5.31013526363557
MMP15	3.74189074084738
MTMR14	6.58701783381143
NPR1	6.5105230976489
DNAL4	5.88614793419473
ELAC2	4.49822386143296
ASS1	11.2406348621052
IPP	6.01767175134591
TMEM59	9.98886901873031
POLR2J	8.16118832943991
SEC23IP	5.0274948454204
RGS4	3.72014320275845
UQCRC1	8.83950954535369
SNX6	6.93082385633888
DDX18	6.15509383425374
POLG	4.98944933292882
ADAM23	4.1746247707467
ZNHIT2	6.00946712760607
TFR2	3.33251042429238
NCDN	4.24304349325613
RAG1	3.27018537816045
POMT1	5.59094938947705
CYP1A1	3.39486784826207
SNAPC1	4.96086931476482
GNA11	5.82428666618704
CCDC52	3.08451581406713
CAPN1	7.9061868085517
DDHD2	6.8146228504198
UPF3A	6.24351570147478
LAGE3	6.34089392075189
GNRHR	3.07892769918368
UNC13B	5.23770625236466
TTLL4	4.86060545769693
PPBP	2.99376377872999
HTR3A	7.7009582187956
SDC2	4.9313034497518
ANKRD49	7.32152504884557
BTF3	10.6237899722868
COX7A2	10.8494010919287
SARS	8.26661799678647
C13orf18	3.81024536246566
CACNB1	4.14907088997865
QKI	5.82294079976562
SETMAR	6.4268472343291
LAMB4	3.40737721299279
MAN2B1	6.67313629816435
EML3	5.71630715433807
ACADL	3.06029682520795
OFD1	8.44366698577456
CGA	3.44405703913698
EIF3EIP	10.5695305788204
PEX16	5.54604485459482
GNG12	7.55883196780738
HABP4	5.22332991349606
CNTN2	3.55421011812781
ASNSD1	7.67951349563289
FUT4	3.9486755697923
DBH	3.26077958597999
CD53	6.86717550223292
HIST1H2BJ	3.51119840319441
TFAP2B	3.17007924252557
ACF	3.6243514871537
TMEM11	6.25635843925377
CDH8	3.30050073111622
C3orf32	3.56298522713462
AGPS	5.37886316587602
C4orf18	3.09644316318284
PCCB	8.04564152773233
IPO13	4.83905910513112
PECI	7.49462917415172
UNG	7.99135446244474
C6orf105	3.48514398626165
GSTP1	10.5365417700088
SUV420H1	8.6508670264658
ARHGAP15	3.9494310762472
LTBR	7.27373272165373
TDRKH	3.04515289486014
PSG4	3.54445451888185
SLC9A3R1	6.51735401303429
NBPF3	9.50387376726021
SLC9A3	3.40229804119481
OSBP	6.49746448859001
PRR5	5.05957023397352
CHMP7	5.58119414446077
ADRA1A	3.12373526947332
ASAH1	6.99297549339135
