Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A04_547348
Composite Element REF	Signal
AACS	7.39083885940518
FSTL1	6.84709654490524
ELMO2	6.7280872096877
CREB3L1	3.69260049766305
RPS11	9.57597587874093
PNMA1	8.2519814718392
MMP2	6.57274705740479
SAMD4A	3.71263436281549
SMARCD3	7.62146682715917
A4GNT	3.53784579013873
C9orf39	3.19481290206856
PKNOX2	4.03462200207066
RALYL	3.29799626258048
ZHX3	4.27292488536402
ERCC5	5.14939749212668
RXFP3	2.88214037602452
APBB2	4.3469509667406
BBOX1	3.74332965104396
PRO0478	3.0910949094093
GCSH	8.33299124446443
XDH	3.60989438896031
EDN1	3.41465917383748
MTERF	6.39175412697049
PDCL3	7.9356093941759
CLK4	6.48603254573742
KCNG1	4.46356802599749
CXCR4	8.28516964429431
DECR1	8.21042848442314
SALL1	3.19895499652911
PTPRR	3.24929591858261
CADM4	3.19787358172310
IRAK1	9.2778098179279
CFHR5	3.18365143270366
HNRPD	7.88000046957885
TMSB10	11.6153739233485
CXCL3	3.30814832404027
LMAN1	4.34470943675617
SUHW1	3.28477130148078
CHD8	6.73481358766259
SUMO1	8.1414562377588
GP1BA	3.14974479410359
OR7A10	3.71109358249017
DDB1	7.2961824609983
CHRNA10	3.53378811648462
STYK1	3.81271425364239
MYO9B	4.49673116532953
CCNI	10.3226547793170
MMP7	4.8483966726078
EP300	7.16606268559014
CRNKL1	7.02012082795372
C9orf45	3.17990711636440
XAB2	4.39780178180647
RTN1	6.11881737848832
HIC2	4.28244284801789
TBX10	3.48454143454267
CENPQ	4.76229230790759
UTY	3.08909029517297
OR2W1	2.97215910679981
ATP5G2	10.3090320546533
ZEB1	3.73125241838092
ZG16	3.19044412878837
ERG	3.62896543333404
PARN	7.30452595896487
SOD2	6.53841370084021
JOSD3	7.54089306956599
ADAM5P	3.08527323743937
CHD9	6.64568063839722
hCG_40738	3.75030861342013
STK16	5.50014602164783
PDE1C	3.71755845366822
SEMA4D	6.13539491465447
AGPAT1	7.08239840099258
TOB2	7.02311134846124
BANK1	3.51820710886666
MAP3K3	5.89262600572328
MAX	5.24838712269598
GRM2	3.55729319063800
OSBPL8	7.62379131161245
PROSC	6.89497444111153
NR4A2	5.34872180668566
RICS	5.32261049821624
PIR	5.82864554475243
PPCS	9.55071438073618
IPO9	6.01320423933068
LONP1	7.96985504779936
EVC	5.07336885406653
CXCL13	3.88426919337323
SCYL3	6.11212256900157
KIAA1199	5.51032485145218
SORL1	7.44439276723317
NAT10	6.23214670787548
CHD1	6.63540327924982
SYN3	3.64677457460988
DMC1	4.12779931174677
SLC22A2	3.43694646371906
SERPINF1	7.70971804869461
C20orf27	5.17550675970684
OR7A17	2.84034680201921
RPS6KA5	4.37975076835061
LHB	3.40500313983898
TAOK3	6.11175208358234
STK25	7.20478141648456
SLC12A4	3.57531603350379
BRCA1	4.11407845289601
GBL	6.4395885694227
C14orf108	8.3184894377987
CDC25B	7.5286176920401
BMP3	3.30558600209564
MAP1LC3C	3.13929294057091
TMEM180	3.47441868365384
CRYGC	3.63889213749853
SLK	6.9616980290816
POU3F1	3.18966336679261
C20orf32	3.81679412635118
USP52	7.42150680473493
HIGD1B	4.01874844486948
BAZ1B	6.32760664107259
USP6NL	5.23853331739228
SLCO2B1	5.85114329709153
ABCD4	4.63001254827844
DIMT1L	5.98434770004182
SLC25A46	7.62117032857161
LARP7	6.8529052067634
TEK	3.60016166721285
