Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B07_451986
Composite Element REF	Signal
AACS	7.0865667964666
FSTL1	8.63733596589071
ELMO2	5.07460486210205
CREB3L1	3.56291141809314
RPS11	9.96409166527334
PNMA1	8.9246175371276
MMP2	6.1742891991712
SAMD4A	3.87124265167542
SMARCD3	5.60463353401578
A4GNT	3.86846548711608
C9orf39	3.20084773117654
PKNOX2	4.20878922960552
RALYL	3.07834287077426
ZHX3	4.3448124957512
ERCC5	5.15682035911765
RXFP3	3.04167786531685
APBB2	4.43211048050313
BBOX1	5.85236139005578
PRO0478	2.96524431770239
GCSH	8.43323406927128
XDH	3.46148581721674
EDN1	3.78945384592275
MTERF	5.93456310914393
PDCL3	7.5274974089311
CLK4	6.41619344740234
KCNG1	4.36011205525295
CXCR4	7.19124314685778
DECR1	7.13065555194953
SALL1	6.21949750769052
PTPRR	3.13499919145573
CADM4	3.4722867577719
IRAK1	8.84776371745408
CFHR5	3.26197121871993
HNRPD	7.95631978669237
TMSB10	11.8087256112328
CXCL3	3.45934205980082
LMAN1	3.81775843686012
SUHW1	3.37008845449052
CHD8	6.3760527701359
SUMO1	8.32036771267865
GP1BA	3.30474944716018
OR7A10	3.72875372617134
DDB1	7.49747764552355
CHRNA10	3.62656628963481
STYK1	3.63794915335016
MYO9B	4.51252504015756
CCNI	9.9875049072902
MMP7	4.02204603729556
EP300	6.21890078442503
CRNKL1	6.26784710058326
C9orf45	3.17741786509312
XAB2	3.81760787900917
RTN1	4.00075085281118
HIC2	4.01750593028575
TBX10	3.65034061327504
CENPQ	4.36112280761948
UTY	3.28545330121500
OR2W1	2.92021735867077
ATP5G2	10.1708845747552
ZEB1	3.30359334022579
ZG16	3.63658103481467
ERG	3.5470505491513
PARN	6.73843247932236
SOD2	4.5032128606552
JOSD3	8.08367311673064
ADAM5P	3.14163413160972
CHD9	4.99687909728213
hCG_40738	3.4751185218682
STK16	5.82210417519588
PDE1C	3.53159337220051
SEMA4D	5.3303022756408
AGPAT1	5.90480318890925
TOB2	5.71377371668621
BANK1	3.37357105485109
MAP3K3	5.01434966010856
MAX	4.930057727631
GRM2	3.90387688228680
OSBPL8	6.5869264664031
PROSC	5.88123618683194
NR4A2	4.13165273990296
RICS	4.7528810191149
PIR	6.9198084285008
PPCS	10.3548626103139
IPO9	6.35242847238013
LONP1	6.4682503972432
EVC	4.10281911896458
CXCL13	3.88747034680415
SCYL3	5.73225397695072
KIAA1199	5.77049966858906
SORL1	8.50522484463165
NAT10	6.79790875156640
CHD1	5.27913898760277
SYN3	3.35793142395369
DMC1	3.64001727702415
SLC22A2	3.50922760592830
SERPINF1	5.22089918338302
C20orf27	5.76391066030532
OR7A17	3.28488946069880
RPS6KA5	4.46704203653936
LHB	3.61499801613739
TAOK3	4.2111712021845
STK25	6.6113764119127
SLC12A4	3.60204943271111
BRCA1	3.64974966232639
