Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B08_543596
Composite Element REF	Signal
AACS	7.57441336397999
FSTL1	8.16039818578913
ELMO2	4.85382294437397
CREB3L1	4.4519331088948
RPS11	9.96256774651635
PNMA1	8.22987203210531
MMP2	6.75075042541407
SAMD4A	3.76668297155354
SMARCD3	4.79961650834382
A4GNT	3.60763463626078
C9orf39	3.30978510352118
PKNOX2	3.89662592190637
RALYL	3.48138692991929
ZHX3	4.27154124950444
ERCC5	5.52786663909532
RXFP3	3.07315307723018
APBB2	5.13303760885215
BBOX1	6.47437374875453
PRO0478	2.95585393622729
GCSH	8.04415861940825
XDH	3.33302455864212
EDN1	3.9165524879321
MTERF	6.38370982886302
PDCL3	7.13257330966746
CLK4	5.48132114537178
KCNG1	3.44972170863156
CXCR4	8.25785322236983
DECR1	8.46937626129056
SALL1	3.25742424410378
PTPRR	3.29651409313968
CADM4	3.73644900339146
IRAK1	7.72851387383454
CFHR5	3.44281166018132
HNRPD	7.47191443163037
TMSB10	12.9019425950591
CXCL3	3.40030566134659
LMAN1	3.48773983392182
SUHW1	3.48741416684132
CHD8	7.1241189447542
SUMO1	8.82713798700507
GP1BA	3.60248117407999
OR7A10	3.86964655298409
DDB1	7.23096607669542
CHRNA10	3.66418900982393
STYK1	4.29166858511626
MYO9B	3.93037767419229
CCNI	10.0401027276712
MMP7	8.66752078327326
EP300	5.5083634995592
CRNKL1	6.32919973895914
C9orf45	3.29863512708319
XAB2	4.72979228007318
RTN1	4.18151611145468
HIC2	3.85467428759709
TBX10	3.54948105438418
CENPQ	4.13737862766978
UTY	3.15586095346933
OR2W1	2.95021992254054
ATP5G2	10.4044633573194
ZEB1	3.19768314480721
ZG16	3.7189870331115
ERG	3.67549429260889
PARN	7.30651204956925
SOD2	4.63033912287182
JOSD3	7.21008077063707
ADAM5P	3.12130063465311
CHD9	5.38917310420022
hCG_40738	3.98056191882698
STK16	5.14572135771462
PDE1C	3.69272201519140
SEMA4D	6.24595158286013
AGPAT1	6.68958769990336
TOB2	5.54249477295194
BANK1	6.09892473062734
MAP3K3	4.45238214687774
MAX	5.03273772294543
GRM2	3.68279853524671
OSBPL8	7.16192777395422
PROSC	6.04657250514827
NR4A2	4.39938563396737
RICS	4.59989400553135
PIR	5.20638900824856
PPCS	9.76998318272754
IPO9	6.63397976978929
LONP1	6.42196374313549
EVC	3.94735040712871
CXCL13	4.71770936492538
SCYL3	5.28469082909021
KIAA1199	6.34962773758254
SORL1	6.51117294164236
NAT10	7.91593015092404
CHD1	5.48145197236541
SYN3	3.72259263983865
DMC1	3.74050484865291
SLC22A2	3.52998951839247
SERPINF1	6.71126870153596
C20orf27	5.23599593823626
OR7A17	3.23602470590562
RPS6KA5	4.61202807403005
LHB	3.60920072356711
TAOK3	4.48994483006293
STK25	6.92350730253128
SLC12A4	3.63426434030302
BRCA1	3.86988268781907
GBL	5.84613452785889
C14orf108	8.89908000680199
CDC25B	6.23885354650492
BMP3	3.41741410372676
MAP1LC3C	3.34337835281197
TMEM180	3.29702077729067
CRYGC	3.46663213809916
SLK	4.6947194152556
POU3F1	3.16360514876548
C20orf32	3.72143738921729
USP52	4.65682285678691
HIGD1B	3.95157153266967
BAZ1B	7.16421628040882
USP6NL	5.36383117366527
SLCO2B1	4.02375469164757
ABCD4	4.67073673897412
DIMT1L	5.02565428021241
SLC25A46	6.41222146050902
LARP7	6.67753986468202
TEK	3.77500084882203
CD160	3.5882345981605
TERF2IP	6.78932597914406
PHF20	5.94830502126382
COL1A1	7.27029532647204
KIAA0090	6.64582343012793
GTPBP1	4.17429941072024
GRK5	3.60371371836929
AP1S2	4.51325303212663
RAB33B	5.542170606118
CA11	5.2309339840242
ALDOC	4.13565872201321
NUDT1	5.38602770840098
ZNF212	5.2468939439466
ACBD3	6.98144507956691
ZNF83	6.76275844170554
PRDM2	4.87270089738799
GDPD5	4.34014036530729
PDCD4	5.12590640032173
CEP350	5.98859151520948
FOXP3	3.35086690172229
SMYD3	6.87787217129099
CST7	4.19527442348118
SELL	3.73666607248791
CIAO1	6.48392977708087
LGI2	3.99722712641293
WDR45	7.64370846975316
ANKRD6	6.34092243620953
LTBP4	4.18038906237286
PSCD3	3.60140628257398
PYY	3.19224675413571
KCNC1	3.25568775170872
SIRT6	3.77753164632498
CCL19	3.81949150118572
ARHGEF9	3.83759656018742
ABR	4.55090997163768
C10orf22	9.4812204916721
STK17A	4.12708106015602
FOXE1	3.57915627848750
GML	3.19472439688082
CNGA3	3.1671332785475
CD38	3.21270624761291
ZDHHC6	6.01128305671489
NEFH	3.36494162345584
PGBD5	3.38282123017538
CTDSP2	6.14988911689561
RMND5B	6.53883010557235
ZNF257	4.27497838154481
DUSP4	4.81251557772785
FLJ22167	4.39997984739677
EXOSC7	7.35707191697397
ROR2	3.57254087434947
FOXM1	5.66488982519869
ZBTB48	4.87571223564041
BUD31	8.82068674846365
MAOA	3.82402439362022
CCDC41	4.07102447559171
TNNT3	3.62292004085845
FBXO11	5.61823548707773
GYPC	5.46229731615064
PLIN	3.78157533238574
RFXAP	3.7300962043166
C6orf15	3.7961262746491
RNF4	8.76745738400417
F8A1	7.80752443785406
PPP1R3D	3.57948259959989
GRB2	7.10372001424051
TPM3	3.10662891038948
SYT13	3.48570465067487
EPB42	3.48590655442852
RP5-1077B9.4	5.42935884997367
EIF1	10.0084794024775
CETN3	6.85536249134156
FPGT	5.03213790011666
PRY	3.58178730512704
NTHL1	4.95595509751534
POLR2B	9.20871125093227
RPS28	11.5902230199987
GDF10	3.83722368911857
COQ9	7.80021464469977
P2RX3	2.93811668656704
GCC2	6.88731703585405
RARRES3	4.51187025683604
PLXNA1	5.1335857914435
WBP4	4.35962919990562
KIAA0100	6.36947594091824
PMF1	7.29499661675475
HS2ST1	6.0435943973069
CRELD2	6.02659655258628
C8G	3.17480380175770
CD82	6.69517295060795
PMM1	4.59307500163586
CBLL1	4.5652258733127
LIM2	3.32248961214262
VAX2	3.32079958502546
SETDB1	5.78642957394382
LRAP	3.78923333084116
GCLM	5.70976642010702
CPEB3	3.52169160683528
PPM1A	6.39744171521613
INTS1	4.10146728141733
MMP16	3.17110439665804
CAMTA1	4.96134423637140
SAMSN1	4.36542083535254
DRD3	3.07930215148829
GMPPA	4.93940058228517
C11orf73	6.1339919331503
AIPL1	4.11374852380538
PTP4A2	9.67127390726204
IL24	3.54153446059216
BDKRB1	3.34076396460056
HPCA	3.67574333813354
MLF1	5.62183032372024
SEC14L1	5.7234773240065
CHFR	6.57989284222195
EMILIN1	3.61132777868803
THADA	6.26640582361891
TAF12	5.84946313502308
NDUFS4	8.89384031644769
ID1	6.64224972069528
PIK3CB	3.60412663313432
COL18A1	10.0167078197593
PDZD3	3.34910112477963
TBC1D17	5.59340206552209
COX8A	9.86752911882913
CDCA4	7.25205656885816
C2orf44	4.05704725796521
C9orf16	9.62376586421224
ERBB2IP	6.86315840598631
EMX2	9.32955096720002
FUS	6.27652088286614
NIPSNAP3B	3.33363540972963
TF	3.24122732103884
CXorf56	5.12472131896155
CLCN4	3.5720734709556
PWP2	7.85785478992448
MMP15	4.78880135796425
MTMR14	6.27210121508807
NPR1	6.38470326665676
DNAL4	4.82566989911772
ELAC2	4.71190764797687
ASS1	10.6398193840773
IPP	6.11330881893375
TMEM59	10.1194906790145
POLR2J	10.0343922904057
SEC23IP	5.18153142803853
RGS4	4.19558427510013
UQCRC1	9.81474800589608
SNX6	9.52258488345118
DDX18	6.97822646750008
POLG	4.60350319838405
ADAM23	3.78351055673772
ZNHIT2	4.29338071415405
TFR2	3.6982501205652
NCDN	4.41668853354137
RAG1	3.4488757620816
POMT1	5.40513587850895
CYP1A1	3.32998967706114
SNAPC1	6.29125067054782
GNA11	4.99529160937685
CCDC52	2.90945933339001
CAPN1	6.72046012593346
DDHD2	6.7601779133539
UPF3A	5.51098902590229
LAGE3	5.90641391854631
GNRHR	3.08138867515991
UNC13B	5.38502056401562
TTLL4	4.38525760242639
PPBP	2.92719120041989
HTR3A	3.970349316575
SDC2	5.51207287348204
ANKRD49	8.03903918119462
BTF3	10.3703996693259
COX7A2	10.7998210188614
SARS	8.46502327527234
C13orf18	3.77768885250866
CACNB1	3.92799229799058
QKI	5.74471960763302
SETMAR	5.6548302611081
LAMB4	3.33062164449508
MAN2B1	6.38215247537817
EML3	4.47025074695748
ACADL	3.38389093615785
OFD1	7.49727930420376
CGA	3.49771932191994
EIF3EIP	9.46752060175572
PEX16	6.06982455736969
GNG12	7.45228636718698
HABP4	5.3311471156697
CNTN2	3.59970755476378
ASNSD1	7.49312322132829
FUT4	4.8110941834972
DBH	3.56060373862689
CD53	6.70207342174055
HIST1H2BJ	4.13448115777486
TFAP2B	3.18123826162579
ACF	3.80342374752238
TMEM11	6.37247121537483
CDH8	3.27471270256978
C3orf32	4.19246424835059
AGPS	5.18350257340385
C4orf18	3.38574327781466
PCCB	7.93940022356406
IPO13	5.19372221154296
PECI	9.02648646396211
UNG	7.39854565217151
C6orf105	3.74955971831974
GSTP1	8.80909571168423
SUV420H1	7.11116289859449
ARHGAP15	4.79119002040712
LTBR	6.55655236179917
TDRKH	3.29019311802045
PSG4	3.40941825886388
SLC9A3R1	5.93361880450914
NBPF3	9.07294004768133
SLC9A3	3.7903559548171
OSBP	6.40858293370528
PRR5	4.33463296369651
CHMP7	5.97807464659976
ADRA1A	3.09756505816015
ASAH1	6.92981354577698
FKBP4	8.11068831910453
ZNF350	4.68368461221515
DOM3Z	5.63447396460388
GIPR	3.72314658168278
AHI1	4.58598715336201
BST1	3.50943240629567
NCR2	3.4951323549003
NADSYN1	4.87784821264038
UBE2W	6.4442579039264
RGS14	4.11742687064029
KRT15	3.76190766961001
SCN11A	3.79051425558646
GFI1	3.76886447099238
FHL1	3.86987948816331
SMC6	6.0598916686911
GATA1	3.74170418080373
OSGEP	7.33680753662507
ARMC6	4.62771899985261
HK3	3.40937759831564
PSMD5	7.46408427519953
RSU1	6.45717782446344
RPL4	11.3766181222506
MAD2L1	7.56853927916691
RBPMS	5.13215578339059
EIF4A3	9.03144342869365
E4F1	5.47299630424764
DLEC1	3.36281308951188
PRPF3	5.48159362663615
EMR1	3.26558857963455
CHMP2B	7.39515179354398
CAMSAP1	4.45620787893771
RPS21	9.0193842336622
XCR1	3.41423372947748
ARID5A	4.23098014449062
RBM6	5.61340763573165
UBE2N	8.13746571834098
KLF4	3.77722701685962
MGC4172	5.13197891414597
LMO4	6.98701630868124
KLKB1	3.18843943854352
HDAC3	6.80675836290182
HP	3.49589185833587
SCHIP1	5.19968776937479
BTK	3.96684918235685
KRCC1	8.27387454792655
PRND	3.31787434617313
C6orf27	3.81244830176208
PIGL	3.70751206181032
CLCA1	3.97053626932252
C1orf112	4.94282570723756
OLFML2A	4.8385561107821
HUS1	5.13725775524403
SFRS6	7.30492139114649
CXCR7	5.66966374811856
UIMC1	6.04270474045834
FXYD2	3.4841036494208
GOT2	7.80618880163137
ZNF667	4.19636018915415
TFEC	3.80752522396788
ATP7B	5.08948361758535
RAB38	5.71671868885285
POLD2	7.59151161784514
PPM1H	5.21304190464955
DCX	3.29519579683656
NFYC	6.05118088915324
ZNF228	3.74591585276531
KIN	5.10275825983221
PLSCR4	4.21523125536852
HIST1H4I	4.18131698106561
PPARGC1A	3.77947350113854
HIG2	9.90323387929935
KCNK10	4.05520596455693
EXOC1	8.36696487344177
OR6A2	3.77563549655107
ETFA	8.00763282892071
PDAP1	5.53256852616563
C19orf6	3.42856412921145
POLRMT	4.12235549976468
ZNF146	7.25211418872813
MIA2	3.20593028379104
LY6G6E	3.27576873238102
EIF4E2	9.14471253728003
NENF	5.38322821538655
HOXB5	3.8410650104058
ZNF324	4.74229709906211
CUGBP1	4.73947799799809
ENTPD7	3.91140104021029
TTC13	5.66784882879391
GJB5	3.2769707643118
PRSS22	4.43330284759648
CYP3A5	3.23291813697056
MBOAT5	5.72960974958603
CUL4B	4.63700488888195
CENPJ	3.46394737493201
KIAA0664	6.05978343173246
PITX1	3.34434264410564
PDGFRB	5.35259711682583
RDX	5.75119751752113
CELSR3	4.33874780589525
JUND	5.83230720717194
ITSN1	5.12447254271106
CHRNB1	3.63766995157357
EHBP1L1	3.75362492842277
C19orf2	6.56424894114866
FETUB	3.12075266662104
CAMK2B	3.46743577281252
