Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_B10_458674
Composite Element REF	Signal
AACS	6.20314782987869
FSTL1	7.42419499937123
ELMO2	4.82643298305869
CREB3L1	3.80870587642058
RPS11	9.847024265288
PNMA1	7.97124436356198
MMP2	6.50563700770238
SAMD4A	3.83164028761246
SMARCD3	6.22495612325911
A4GNT	3.53804917405482
C9orf39	3.33537495178160
PKNOX2	4.29237485811915
RALYL	3.35060027113002
ZHX3	4.37589426749181
ERCC5	6.23055966334944
RXFP3	3.12962481899648
APBB2	3.87225910628604
BBOX1	8.68867163136713
PRO0478	3.04966511731914
GCSH	8.40126573289995
XDH	3.97675909879203
EDN1	4.89755264764365
MTERF	5.93283749258697
PDCL3	7.56702417688647
CLK4	5.85169843742549
KCNG1	3.28073920018528
CXCR4	9.61648669908393
DECR1	9.45088652931867
SALL1	3.43868603029992
PTPRR	3.65599085103579
CADM4	3.4206328392325
IRAK1	8.85296367152179
CFHR5	3.3862790557184
HNRPD	8.11531390403502
TMSB10	11.7941723059632
CXCL3	3.66848770796213
LMAN1	3.60907286517268
SUHW1	3.30082718382365
CHD8	6.25011362045582
SUMO1	8.06105420886304
GP1BA	3.33704922593761
OR7A10	3.78574698620329
DDB1	7.5952973248433
CHRNA10	3.50618673862866
STYK1	3.79369924896073
MYO9B	3.90844768853178
CCNI	9.88799003244049
MMP7	9.26080154789903
EP300	6.54445947151365
CRNKL1	6.03842221264515
C9orf45	3.21193967149048
XAB2	3.83204870736664
RTN1	3.59439386165607
HIC2	4.02616982792006
TBX10	3.4182098405222
CENPQ	4.33711907001166
UTY	3.08650621969053
OR2W1	2.74820247418645
ATP5G2	10.4977822924369
ZEB1	3.40472762266031
ZG16	3.33239077472237
ERG	3.61218211139943
PARN	8.3056736661274
SOD2	7.1145860721172
JOSD3	7.61725569148765
ADAM5P	3.24365893163067
CHD9	6.34630825659355
hCG_40738	3.64375591352514
STK16	4.67554027182356
PDE1C	3.48206541980615
SEMA4D	5.25728884922997
AGPAT1	6.3360224137935
TOB2	6.42227166802535
BANK1	3.70837688396981
MAP3K3	4.90005898010918
MAX	4.97101574063834
GRM2	3.48391219193625
OSBPL8	7.4035627506784
PROSC	5.43329163950045
NR4A2	7.35951834685308
RICS	5.32315772822492
PIR	7.37922789867918
PPCS	9.12933223262638
IPO9	6.41956278243861
LONP1	7.80846108339777
EVC	4.23987337487244
CXCL13	7.08419884629272
SCYL3	5.17570182122918
KIAA1199	5.09777737551257
SORL1	8.74994449217574
NAT10	7.3709175022833
CHD1	6.13805582629286
SYN3	3.64883952783171
DMC1	4.0313648421963
SLC22A2	3.62460985340246
SERPINF1	6.8328860555411
C20orf27	5.26854471298055
OR7A17	3.06904028785558
RPS6KA5	4.58913117906914
LHB	3.24756974517268
TAOK3	4.79205906292797
STK25	5.37278749514899
SLC12A4	3.70136082769734
BRCA1	3.77831670380535
GBL	4.77629265953389
C14orf108	9.14479389734132
CDC25B	7.75870540367659
BMP3	3.41101295748343
MAP1LC3C	3.34204671803017
TMEM180	3.94202161675146
CRYGC	3.37095008509246
SLK	5.49513943210694
POU3F1	3.32032405001951
C20orf32	4.01750694973574
USP52	5.53252275065928
HIGD1B	3.56361640796001
BAZ1B	6.86097678555476
USP6NL	5.47318376453369
SLCO2B1	3.69102654896699
