Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E04_516378
Composite Element REF	Signal
AACS	7.0140218328693
FSTL1	8.64954235567723
ELMO2	5.33334496352073
CREB3L1	4.26024766094159
RPS11	9.6304967722717
PNMA1	6.84104436894595
MMP2	8.86907539677778
SAMD4A	3.73700931149368
SMARCD3	7.79868191171232
A4GNT	3.74567678564571
C9orf39	3.64108265105731
PKNOX2	4.02174401088447
RALYL	3.29289436889944
ZHX3	4.34946792463603
ERCC5	5.93470698234899
RXFP3	2.95809980209948
APBB2	4.51653010824832
BBOX1	6.66618271113576
PRO0478	3.18301712177864
GCSH	7.3373381106827
XDH	3.71311398509461
EDN1	4.29564241531557
MTERF	6.52644180814751
PDCL3	6.92504358448524
CLK4	6.26841749705654
KCNG1	3.63140789043738
CXCR4	8.85710463752766
DECR1	7.68932823464332
SALL1	3.20657606394021
PTPRR	3.50519382465689
CADM4	3.59261717007064
IRAK1	8.71701993890885
CFHR5	3.10526273307585
HNRPD	8.20068073259698
TMSB10	11.7056978735731
CXCL3	4.87108685419673
LMAN1	4.94111228016526
SUHW1	3.33496501031795
CHD8	5.87139288581337
SUMO1	7.37177411898141
GP1BA	3.17176106593253
OR7A10	3.7167607567241
DDB1	7.12227333839451
CHRNA10	3.67241185307307
STYK1	3.60358673095771
MYO9B	4.98545171496225
CCNI	9.82048322699443
MMP7	9.06422173956444
EP300	5.5711862488359
CRNKL1	7.29935882236481
C9orf45	3.10805698704033
XAB2	4.35779655160962
RTN1	4.1241713351056
HIC2	3.74608392471913
TBX10	3.63207331825296
CENPQ	3.85647254758212
UTY	3.15578175895468
OR2W1	3.08220184096536
ATP5G2	10.2740941590965
ZEB1	3.58211084898526
ZG16	3.40787662960538
ERG	3.53254593583752
PARN	6.0322468856286
SOD2	5.90137091833998
JOSD3	7.89536938974085
ADAM5P	3.40850156436200
CHD9	5.85236329520064
hCG_40738	3.83057748734092
STK16	4.33883497373789
PDE1C	3.67616918926835
SEMA4D	5.3698229573955
AGPAT1	6.32238577130725
TOB2	5.44097178934938
BANK1	4.59941131744329
MAP3K3	5.58386403074079
MAX	4.94839726626648
GRM2	3.65910287435615
OSBPL8	6.74261669670166
PROSC	5.11423274354618
NR4A2	6.13977584425551
RICS	4.60388878874485
PIR	4.01313266293416
PPCS	8.60272389397244
IPO9	6.13037982956932
LONP1	8.11673690326173
EVC	4.42674309113404
CXCL13	5.20780883231957
SCYL3	4.82706848122668
KIAA1199	7.25153730858235
SORL1	7.6615702292368
NAT10	7.18588036433463
CHD1	6.54680122204481
SYN3	3.59920573158087
DMC1	3.82488485777210
SLC22A2	3.51247018482134
SERPINF1	8.35454627674721
C20orf27	6.13308340324301
OR7A17	2.99174525349984
RPS6KA5	4.65618762961653
LHB	3.76317963709577
TAOK3	4.73012679021164
STK25	4.89133594298725
SLC12A4	3.51017017152390
BRCA1	3.74035959758190
GBL	4.95062041299757
C14orf108	6.80172986689682
CDC25B	7.88927658968883
BMP3	3.17837474898721
MAP1LC3C	3.30044333594370
TMEM180	3.81783434406361
CRYGC	3.53203244551674
SLK	6.6123161071585
POU3F1	3.07276688690685
C20orf32	3.76753749978584
USP52	6.16811445546205
HIGD1B	3.93493945256462
BAZ1B	6.32635089373208
USP6NL	5.08868085437554
SLCO2B1	4.73676081708968
ABCD4	4.31501270401305
DIMT1L	6.12117034307885
SLC25A46	7.73030811496328
LARP7	7.16432785575153
TEK	3.52990471081560
CD160	3.54194736693314
TERF2IP	7.33597159219812
PHF20	5.72985761207835
COL1A1	9.02602220955646
KIAA0090	5.73212445868181
GTPBP1	4.46329935369612
GRK5	3.94477085260775
AP1S2	5.39234218806792
RAB33B	4.03674862365655
CA11	4.22926021933822
ALDOC	5.99888494964288
NUDT1	5.44814933357931
ZNF212	5.50483522895327
ACBD3	7.59501418519459
ZNF83	7.2461372041838
PRDM2	4.82192235451063
GDPD5	4.36424261536110
PDCD4	5.90448606407236
CEP350	5.73751514603733
FOXP3	3.22267493659933
SMYD3	7.05741173102844
CST7	5.46503959705247
SELL	5.27340136000599
CIAO1	5.95536780207558
LGI2	3.58747389734335
WDR45	6.12295308293238
ANKRD6	6.00040272715261
LTBP4	3.67820445465152
PSCD3	3.28171273724332
PYY	3.15959405966932
KCNC1	3.26069130430501
SIRT6	3.81704102389721
CCL19	3.93919241937194
ARHGEF9	4.90947471554085
ABR	4.54607406624172
C10orf22	5.74280663306393
STK17A	5.06034779164731
FOXE1	3.34011482336733
GML	3.03079003777208
CNGA3	3.04906664075757
