Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_B06_458666
Composite Element REF	Signal
AACS	6.05882841672137
FSTL1	8.79134504977427
ELMO2	5.29278191770064
CREB3L1	3.53103205358089
RPS11	9.98153305235642
PNMA1	7.58042707594288
MMP2	7.57604048534669
SAMD4A	3.68471427530731
SMARCD3	7.62069504346784
A4GNT	3.70100138350836
C9orf39	3.44451460103086
PKNOX2	3.6431732708005
RALYL	3.53907880182059
ZHX3	4.36309525701821
ERCC5	5.0579656198804
RXFP3	3.12369770137406
APBB2	4.40064143336863
BBOX1	7.6379667260013
PRO0478	2.99275590622925
GCSH	8.3135581633898
XDH	3.48474485307332
EDN1	4.64766932610166
MTERF	6.10331054246317
PDCL3	7.61930441087144
CLK4	5.82876890872147
KCNG1	3.43525592913957
CXCR4	7.48818338339198
DECR1	7.57826142318097
SALL1	3.22943435789632
PTPRR	3.23026617726733
CADM4	3.48122665183097
IRAK1	8.06703809934606
CFHR5	3.51076634062648
HNRPD	6.86731183070719
TMSB10	12.4136432933983
CXCL3	3.95343254966841
LMAN1	3.8537333000664
SUHW1	3.70383040348818
CHD8	4.51755550062217
SUMO1	8.12490302313823
GP1BA	3.32882528421848
OR7A10	3.66886302440772
DDB1	7.42740722692489
CHRNA10	3.6245198320732
STYK1	3.18053824325939
MYO9B	3.95793849981797
CCNI	9.25791003588079
MMP7	10.3491713329257
EP300	4.87370759667740
CRNKL1	6.44493879052
C9orf45	3.30681684607951
XAB2	3.90595305438787
RTN1	4.34002610237107
HIC2	3.60988176754505
TBX10	3.71590157543174
CENPQ	5.05677396673839
UTY	3.16473065226655
OR2W1	2.97997418146819
ATP5G2	10.0944888195077
ZEB1	3.81312454198271
ZG16	3.81187618239981
ERG	3.66939256408739
PARN	5.83627192094237
SOD2	7.56185579181759
JOSD3	7.59501600693809
ADAM5P	3.19768179516456
CHD9	4.99840501145477
hCG_40738	3.25884778275146
STK16	6.51433843181153
PDE1C	3.53490768185284
SEMA4D	4.21133357431715
AGPAT1	4.81226006907378
TOB2	4.58242628034438
BANK1	3.76843806680738
MAP3K3	5.0826728904303
MAX	5.22522303225174
GRM2	3.87019245618005
OSBPL8	6.85336276827153
PROSC	5.21675281379284
NR4A2	4.18936551363621
RICS	3.64643851513125
PIR	5.99027919761733
PPCS	9.43867245301893
IPO9	5.07361140101013
LONP1	6.19372386563959
