Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A11_471882
Composite Element REF	Signal
AACS	6.19402954021207
FSTL1	9.24158768366629
ELMO2	5.26529512272541
CREB3L1	4.02915341068951
RPS11	9.54962064936025
PNMA1	7.76147129079145
MMP2	5.89233417439349
SAMD4A	3.7011430350976
SMARCD3	4.77765384125488
A4GNT	3.76723934147834
C9orf39	3.54789968020838
PKNOX2	4.16491705144458
RALYL	3.45161560548956
ZHX3	4.55571111780632
ERCC5	5.61296532093328
RXFP3	3.18762149972045
APBB2	3.81790078398062
BBOX1	3.07851145465999
PRO0478	3.18342987965961
GCSH	7.79628592422061
XDH	3.6000425360984
EDN1	5.33735526224608
MTERF	5.14065037364113
PDCL3	7.0764620287398
CLK4	4.73455592898885
KCNG1	5.92003240461346
CXCR4	7.61620095608186
DECR1	6.88765887183414
SALL1	4.27323145251426
PTPRR	3.36880070344239
CADM4	3.5224657559795
IRAK1	7.44707956775458
CFHR5	3.32428288473989
HNRPD	7.28732474407348
TMSB10	11.5671960953556
CXCL3	3.65244259798663
LMAN1	4.37193068272685
SUHW1	3.71641727120965
CHD8	6.21158860873955
SUMO1	8.03019108865832
GP1BA	3.36138187803177
OR7A10	4.04068637444753
DDB1	7.57015160536482
CHRNA10	3.63082334835261
STYK1	4.5355315681556
MYO9B	3.98366636075769
CCNI	10.2809765949018
MMP7	11.776084685716
EP300	5.91271010918478
CRNKL1	7.02367060969117
C9orf45	3.26304148576888
XAB2	4.44921704708528
RTN1	3.8497312259657
HIC2	3.90246307491014
TBX10	3.74560057531545
CENPQ	3.97705181825454
UTY	3.18941377756291
OR2W1	2.95476678054170
ATP5G2	10.2304569060343
ZEB1	3.61662579180387
ZG16	3.51301129275203
ERG	4.1740709290788
PARN	6.75804780559109
SOD2	4.51602303172519
JOSD3	7.9448161508567
ADAM5P	3.25370959028601
CHD9	5.56228062752273
hCG_40738	4.19573729892626
STK16	5.14310555283534
PDE1C	3.51448760892368
SEMA4D	5.69620103095215
AGPAT1	6.86964231745087
TOB2	6.30876590929777
BANK1	3.81783951497458
MAP3K3	5.58274818814656
MAX	4.85216009732696
GRM2	3.76645318527661
OSBPL8	7.8410726908736
PROSC	5.53873231986542
NR4A2	4.24585122138523
RICS	5.16086007853092
PIR	4.29977760856413
PPCS	7.97736404513258
IPO9	6.15420437339345
LONP1	6.65294844772703
EVC	4.21264079874808
CXCL13	4.2192846421682
SCYL3	4.844290279795
KIAA1199	5.63837978742875
SORL1	10.1334307346002
NAT10	5.74715742092618
CHD1	5.22865240349996
SYN3	3.94724658920092
DMC1	4.01775890170062
SLC22A2	3.53176064265306
SERPINF1	6.33367102904099
C20orf27	6.16089607595042
OR7A17	3.06262147017955
RPS6KA5	4.54182155820586
LHB	3.60340913355829
TAOK3	4.30993008899697
STK25	5.90138205945476
SLC12A4	3.80178994941819
BRCA1	3.57219053843193
GBL	4.96905200487103
C14orf108	7.11377792806331
CDC25B	4.88637729010268
BMP3	3.27251403447966
MAP1LC3C	3.20117463927756
TMEM180	4.20419753323539
CRYGC	3.8159384932726
SLK	5.38332328514837
POU3F1	3.33973422206619
C20orf32	3.98087800541421
USP52	4.39376253234982
HIGD1B	3.9442215316551
BAZ1B	6.35071558782804
USP6NL	5.11107723102576
SLCO2B1	3.91923942372548
