Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E05_491250
Composite Element REF	Signal
AACS	5.69909508699107
FSTL1	9.95002720251385
ELMO2	5.71172420562996
CREB3L1	4.40370654231594
RPS11	10.3835028589226
PNMA1	7.47119703307396
MMP2	9.89812851528416
SAMD4A	4.10797017734938
SMARCD3	5.64727176388191
A4GNT	3.59179943962795
C9orf39	3.55429678825697
PKNOX2	4.2612388506222
RALYL	3.43958324337091
ZHX3	4.24901273208767
ERCC5	6.1086745574212
RXFP3	3.06338964984115
APBB2	4.8219983348018
BBOX1	6.3589886278047
PRO0478	2.97042743592780
GCSH	7.20264294166654
XDH	5.23569537670747
EDN1	4.12702798792842
MTERF	5.39443155442595
PDCL3	6.73979235040779
CLK4	6.40967294393428
KCNG1	3.84122773157367
CXCR4	8.28323025188444
DECR1	7.78696971034561
SALL1	2.95958926940877
PTPRR	3.71552175220937
CADM4	3.35329519208778
IRAK1	9.09736637410976
CFHR5	3.2592892702913
HNRPD	7.92978122582087
TMSB10	12.1512807574928
CXCL3	4.29973010473113
LMAN1	3.92873982885293
SUHW1	3.56184938396007
CHD8	5.01146290307028
SUMO1	7.40784020344954
GP1BA	3.26453079582703
OR7A10	3.84053255832044
DDB1	7.5440829050824
CHRNA10	3.49233878529607
STYK1	3.45222728730408
MYO9B	4.46476372169427
CCNI	10.6123023818846
MMP7	6.85055837667092
EP300	6.68773981934724
CRNKL1	6.27164596577225
C9orf45	3.52307972584876
XAB2	4.11990808787333
RTN1	5.39855817723081
HIC2	4.15285422524381
TBX10	3.46444354544535
CENPQ	4.28801525735762
UTY	3.18556479192937
OR2W1	2.84605435472662
ATP5G2	9.95881597178632
ZEB1	4.41781672595867
ZG16	3.46479674478525
ERG	4.10044033962643
PARN	7.0474557868008
SOD2	6.38611667193462
JOSD3	6.9629830872789
ADAM5P	3.16641642003415
CHD9	6.64884961921698
hCG_40738	4.02802778413934
STK16	4.97441336438588
PDE1C	3.60272921681627
SEMA4D	6.09901240744404
AGPAT1	6.3023623916692
TOB2	6.49617940400762
BANK1	4.95903379669123
MAP3K3	6.07565622815155
MAX	5.32111597065091
GRM2	3.76567034325239
OSBPL8	7.94131121014084
PROSC	6.14649798132529
NR4A2	7.47954185421688
RICS	4.8259684482353
PIR	4.84182709754753
PPCS	8.51340099616517
IPO9	6.18721945579672
LONP1	6.40926350957601
EVC	4.73447582114724
CXCL13	5.11658351472998
SCYL3	5.13877582180546
KIAA1199	6.91618444024242
SORL1	7.80596423907772
NAT10	6.71848448413682
CHD1	7.39178204792728
SYN3	3.71363193655586
DMC1	3.99873623407682
SLC22A2	3.74014503983467
SERPINF1	9.78745763315118
C20orf27	5.41252992104185
OR7A17	2.98915547948658
RPS6KA5	4.80060757075141
LHB	3.4310736531826
TAOK3	5.15422771001223
STK25	5.37230633983601
SLC12A4	3.58022290789992
BRCA1	3.96508381229185
GBL	5.66927285061241
C14orf108	8.13537737797476
CDC25B	7.85018712384873
BMP3	3.21680978923365
MAP1LC3C	3.57437467211916
TMEM180	3.69926488946444
CRYGC	3.64596785634667
SLK	6.14816653278636
POU3F1	3.10437671921743
C20orf32	3.77016793690429
USP52	5.24734765246338
HIGD1B	4.0222424983808
BAZ1B	7.01755741160984
USP6NL	4.48383447040826
SLCO2B1	5.298649529042
ABCD4	4.72624051081219
DIMT1L	5.87821578440895
SLC25A46	7.66964796288562
LARP7	5.58258155843344
TEK	4.13866678307455
CD160	3.76166738342452
TERF2IP	7.67422363137774
PHF20	6.06830857424013
COL1A1	9.94127350422444
KIAA0090	5.8964864228451
GTPBP1	4.77550258126256
GRK5	4.61893770156395
AP1S2	6.61491862296567
RAB33B	4.32915141443105
CA11	4.86355979699558
ALDOC	4.49170033707387
NUDT1	4.1015418200938
ZNF212	4.9491673486927
ACBD3	7.15440357252073
ZNF83	6.0591841866571
PRDM2	5.03659990405787
GDPD5	5.74501301545717
PDCD4	5.34906898991147
CEP350	5.84255722932847
FOXP3	3.21053134050248
SMYD3	6.64291897897539
CST7	6.11276909912626
SELL	6.97691621351734
CIAO1	6.17197190027324
LGI2	4.52880902998029
WDR45	6.54651676230145
ANKRD6	5.47061965518069
LTBP4	3.85917560191134
PSCD3	3.23036924136956
PYY	3.06373063924114
KCNC1	3.24491587064668
SIRT6	3.964670309683
CCL19	5.24028401639057
ARHGEF9	4.68286860151712
ABR	4.84256758723138
C10orf22	6.76596902823545
STK17A	5.15141439712563
FOXE1	5.34352257675822
GML	3.32664000852953
CNGA3	3.09528980727659
CD38	5.85750838056444
ZDHHC6	7.21416701758042
NEFH	4.25255124498436
PGBD5	3.74961771711988
CTDSP2	7.52413563592488
RMND5B	6.0468800337578
ZNF257	2.99373363743577
DUSP4	5.10269259315206
FLJ22167	4.93940784636839
EXOSC7	6.04359122689642
ROR2	4.42868717924795
FOXM1	5.41240806956664
ZBTB48	4.29189856916153
BUD31	6.42977398485863
MAOA	5.07970921739783
CCDC41	3.7721865887663
TNNT3	3.83228402522355
FBXO11	5.48434622411514
GYPC	7.77139264592247
PLIN	7.24099508168134
RFXAP	3.13309626305026
C6orf15	3.81157587831934
RNF4	9.23373420237468
F8A1	8.16679136354183
PPP1R3D	4.4805498627034
GRB2	7.52270076887894
TPM3	3.25520740717986
SYT13	3.83762090799194
EPB42	3.57606090504714
RP5-1077B9.4	5.11314631995366
EIF1	10.5732444120048
CETN3	6.41960804295526
FPGT	5.03833110999469
PRY	3.47717584892957
NTHL1	5.48948258953904
POLR2B	8.75750385083244
RPS28	11.8238780830939
GDF10	3.04093631710989
COQ9	7.74998989731242
P2RX3	2.82954022689286
GCC2	7.27495009595549
RARRES3	7.44125757142289
PLXNA1	6.45154190955965
WBP4	4.5012606427005
KIAA0100	6.48778778847603
PMF1	6.80871687296618
HS2ST1	6.91034628590609
CRELD2	7.74715127312209
C8G	3.04150341767366
CD82	6.46994122324625
PMM1	5.75899801368475
CBLL1	4.38129051323218
LIM2	3.31183269580461
VAX2	3.94635464242789
SETDB1	4.91702682932815
LRAP	3.30230186269286
GCLM	6.44833463028201
CPEB3	3.53900091869622
PPM1A	5.74896721959251
INTS1	4.10806719960175
MMP16	3.28746228133986
CAMTA1	4.09494315364542
SAMSN1	7.11121369164656
DRD3	2.99815025916803
GMPPA	5.29779788850588
C11orf73	5.32144343517099
AIPL1	3.96837623477869
PTP4A2	9.85380077172509
IL24	3.27830382670711
BDKRB1	4.48380950516825
HPCA	3.35149275727373
MLF1	5.6332319506065
SEC14L1	6.48645980274782
CHFR	5.87226117324023
