Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_F03_297912
Composite Element REF	Signal
AACS	6.76957496557383
FSTL1	8.57462216661935
ELMO2	5.55837960472375
CREB3L1	3.85480904468232
RPS11	10.0313855409824
PNMA1	8.25515884515755
MMP2	6.74002858462715
SAMD4A	3.66813567215826
SMARCD3	6.43096802865649
A4GNT	3.57644478776699
C9orf39	3.56409819144267
PKNOX2	5.46373551548765
RALYL	4.43893839219685
ZHX3	4.39515990170874
ERCC5	6.38835251296828
RXFP3	3.12760175736227
APBB2	3.81752356755596
BBOX1	5.81313990961997
PRO0478	2.94409683964943
GCSH	8.40517743800857
XDH	3.59890325936619
EDN1	4.01077667051354
MTERF	6.12657372318452
PDCL3	7.25301198154029
CLK4	6.57388128879747
KCNG1	4.3256190701707
CXCR4	8.875685054287
DECR1	8.2189353624027
SALL1	5.21829834444573
PTPRR	3.39291232731894
CADM4	3.59619237276697
IRAK1	8.03952804811038
CFHR5	3.12950030803058
HNRPD	8.18623259890406
TMSB10	11.1384154002174
CXCL3	3.70229466772986
LMAN1	4.48326594292948
SUHW1	3.41564752174073
CHD8	5.83519238148957
SUMO1	7.2040097209638
GP1BA	3.54523611677153
OR7A10	3.26916806588803
DDB1	7.78414656619945
CHRNA10	4.35834307567689
STYK1	3.41390949716269
MYO9B	3.74423703289639
CCNI	10.8292664213054
MMP7	8.27569272859964
EP300	6.13974118923921
CRNKL1	6.76646865378161
C9orf45	3.17662728068359
XAB2	4.70318565061666
RTN1	6.39530087187039
HIC2	4.10020675426833
TBX10	3.69672668069073
CENPQ	3.78461607631747
UTY	3.07064017144292
OR2W1	2.85390116447375
ATP5G2	10.7832150820677
ZEB1	4.12796095564892
ZG16	7.56172320162213
ERG	4.23776576088238
PARN	6.73630912463997
SOD2	4.41689195670429
JOSD3	7.5894793688114
ADAM5P	3.17120917835491
CHD9	6.62889703703737
hCG_40738	3.82166130593994
STK16	5.4672571430684
PDE1C	4.00205664974622
SEMA4D	5.77157540631749
AGPAT1	6.1054926239238
TOB2	6.23090819213631
BANK1	5.23016339904545
MAP3K3	5.29437899771079
MAX	5.68600630799997
GRM2	3.79881913450011
OSBPL8	6.60595068858935
PROSC	6.6359714710113
NR4A2	5.93843879964012
RICS	6.95069337928501
PIR	5.78434529287435
PPCS	8.77079382758756
IPO9	6.06263563235654
LONP1	6.6292812375932
EVC	4.43618362311065
CXCL13	4.11774565698933
SCYL3	5.75413812566745
KIAA1199	4.67399566658174
SORL1	10.3983586766404
NAT10	6.99711692770764
CHD1	5.82897310422879
SYN3	3.45818167026298
DMC1	3.89087348236708
SLC22A2	3.59480432771983
SERPINF1	8.87946798815132
C20orf27	5.90432416756696
OR7A17	3.08876640670447
RPS6KA5	4.83296870162469
LHB	3.36879257896148
TAOK3	4.70473257369751
STK25	5.529832882522
SLC12A4	3.69269232840381
BRCA1	3.73610924482275
GBL	5.40329684140663
C14orf108	7.5753537767567
CDC25B	5.39066137715403
BMP3	3.23632140291446
MAP1LC3C	3.36513431541444
TMEM180	3.44759771443734
CRYGC	3.79385252094189
SLK	5.42878147217301
POU3F1	3.24367331196628
C20orf32	3.99614174614907
USP52	6.33273371629815
HIGD1B	4.17994021260861
BAZ1B	5.93467522170603
USP6NL	5.72787040349865
SLCO2B1	4.18662388660268
ABCD4	4.60385665072042
DIMT1L	6.44011676535863
SLC25A46	6.52628598074579
LARP7	7.33702145074625
TEK	3.72918621064516
CD160	3.53836029477952
TERF2IP	8.62318312986933
PHF20	5.5804629605232
COL1A1	5.39584134777732
KIAA0090	5.65290950884942
GTPBP1	4.7714890665023
GRK5	4.12932358462504
