Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_F07_586110
Composite Element REF	Signal
AACS	6.8981653356729
FSTL1	8.23404555492694
ELMO2	5.21562838346461
CREB3L1	3.58099422390953
RPS11	10.0454427281190
PNMA1	7.97091527897093
MMP2	6.67612592095202
SAMD4A	3.83610613506603
SMARCD3	7.57772246888176
A4GNT	3.45171243571559
C9orf39	3.73479601913871
PKNOX2	3.52101616258067
RALYL	3.19445358837493
ZHX3	4.26906488225742
ERCC5	6.11934312450676
RXFP3	2.83140515467686
APBB2	5.77026746441916
BBOX1	5.16591337994838
PRO0478	3.06152660960513
GCSH	10.5199249823515
XDH	3.63306173599937
EDN1	4.60338581449398
MTERF	6.90613404050544
PDCL3	7.93772213693719
CLK4	6.27279051042468
KCNG1	3.34795895252649
CXCR4	9.07597312022222
DECR1	8.9119817359911
SALL1	3.15894184040933
PTPRR	3.42595192034146
CADM4	3.55611729684026
IRAK1	8.81697239667236
CFHR5	3.28018583534614
HNRPD	8.9699284525904
TMSB10	12.4636591935745
CXCL3	8.595409449633
LMAN1	4.15513445485775
SUHW1	3.49642775929028
CHD8	6.56637543839628
SUMO1	8.47596010561576
GP1BA	3.11702063698879
OR7A10	3.61699207991832
DDB1	7.73309975279426
CHRNA10	3.64608391442820
STYK1	5.8105821267938
MYO9B	4.34164667564609
CCNI	10.0336125428498
MMP7	8.93956029399741
EP300	6.57520960837236
CRNKL1	7.10481131783299
C9orf45	3.1652313441571
XAB2	4.17646034611365
RTN1	3.73440728665031
HIC2	3.86568098422909
TBX10	3.45330580538337
CENPQ	4.66327719081795
UTY	3.22290085986293
OR2W1	2.74328372758917
ATP5G2	10.5676369998538
ZEB1	3.5417344897805
ZG16	3.21295109798476
ERG	3.79623016772403
PARN	7.0445500418691
SOD2	7.14974649939809
JOSD3	8.27109152426603
ADAM5P	3.15715153538210
CHD9	6.1379392307173
hCG_40738	3.68170060028761
STK16	4.75729162438478
PDE1C	3.51688376586752
SEMA4D	5.58670134356022
AGPAT1	7.00970255041206
TOB2	6.74074703850433
BANK1	5.47846302921181
MAP3K3	5.98979448229867
MAX	5.21732365043272
GRM2	3.64842089252411
OSBPL8	8.05800328717475
PROSC	5.79010076763867
NR4A2	6.95774317774587
RICS	6.43226764188684
PIR	6.68007552988383
PPCS	9.26128103822895
IPO9	6.59807908688105
LONP1	7.32148706396599
EVC	4.47991690331443
CXCL13	7.11865328116465
SCYL3	5.91417013390171
KIAA1199	4.7493572668445
SORL1	7.94412311972115
NAT10	7.19315730181907
CHD1	7.39665455628709
SYN3	3.71834358434316
DMC1	4.25947691906191
SLC22A2	3.53429563852255
SERPINF1	9.5818526861384
C20orf27	5.89122634571225
OR7A17	3.17619856842474
RPS6KA5	4.49332213480957
LHB	3.3722480111004
TAOK3	5.35646889604889
STK25	7.0126905147628
SLC12A4	3.55545544246346
BRCA1	3.41909132002308
GBL	5.63206111133199
C14orf108	9.07245354225254
CDC25B	6.12943081617788
BMP3	3.17210409493954
MAP1LC3C	3.39660073116336
TMEM180	3.65186969279182
CRYGC	3.47384197473341
SLK	7.24328019786448
POU3F1	3.12479939777907
C20orf32	3.65164823981516
USP52	5.6589525682539
HIGD1B	3.66141376449079
BAZ1B	6.25677118121781
USP6NL	5.88846010719428
SLCO2B1	4.20402420338412
ABCD4	4.63152912217088
DIMT1L	6.2288402638383
SLC25A46	8.31100128121749
LARP7	7.33326128560099
TEK	3.53730740101409
CD160	3.64327358755414
TERF2IP	9.34356134126275
PHF20	5.85023711309347
COL1A1	7.17090061570726
KIAA0090	5.72197561337933
GTPBP1	4.59854086775027
GRK5	4.19021442149511
AP1S2	5.45979329971623
RAB33B	4.5503200658873
CA11	4.66230611441834
ALDOC	6.5239140139264
NUDT1	5.35485588625726
ZNF212	5.95689951829567
ACBD3	8.5315813555821
ZNF83	7.26930120896229
PRDM2	4.93695975354588
GDPD5	4.51233972924816
PDCD4	6.29956145349024
CEP350	7.23291872233885
FOXP3	3.25980172650738
SMYD3	7.84923318038899
CST7	5.15681326275328
SELL	5.03527869505676
CIAO1	6.86698777022847
LGI2	3.37434782074717
