Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B10_547256
Composite Element REF	Signal
AACS	7.22158092641914
FSTL1	8.58450977135645
ELMO2	5.54682512070257
CREB3L1	3.66303184906338
RPS11	9.92301395337089
PNMA1	7.00824018891249
MMP2	6.69419133280543
SAMD4A	3.8750094800048
SMARCD3	8.1719757166863
A4GNT	3.56231941215692
C9orf39	2.97242041812425
PKNOX2	4.52714873073715
RALYL	3.2718060886051
ZHX3	4.4754354721417
ERCC5	6.16744678260304
RXFP3	3.11144231785254
APBB2	5.60014748545316
BBOX1	5.89330606786788
PRO0478	3.01592627702062
GCSH	8.692132101875
XDH	3.80744444853401
EDN1	4.55915918287953
MTERF	6.18047708551445
PDCL3	7.19495503995523
CLK4	6.05127649528546
KCNG1	3.48279811125718
CXCR4	9.09424347434445
DECR1	8.59906676573541
SALL1	3.07173664944856
PTPRR	3.70178838406405
CADM4	3.41677111727064
IRAK1	9.36821375845453
CFHR5	3.54221761187168
HNRPD	7.96943676238972
TMSB10	11.9349525863737
CXCL3	4.01939560266817
LMAN1	3.90270999790088
SUHW1	3.22112228646454
CHD8	5.84718249174745
SUMO1	8.00420674783159
GP1BA	3.28687399216439
OR7A10	3.86754731110037
DDB1	7.51770482597904
CHRNA10	3.90869661255179
STYK1	4.09098220660446
MYO9B	4.22959776788874
CCNI	10.2868737102242
MMP7	9.5422125334344
EP300	5.78578349746296
CRNKL1	6.19705332436709
C9orf45	3.21295347208798
XAB2	4.22077743600086
RTN1	4.05747040176059
HIC2	3.6496311580477
TBX10	3.5918884450496
CENPQ	3.57469676465991
UTY	3.23919847485944
OR2W1	2.91594427928432
ATP5G2	9.96031274375823
ZEB1	3.25208111895881
ZG16	3.34754405640138
ERG	3.58920217270145
PARN	6.53990282699097
SOD2	6.13228116380223
JOSD3	7.80956649538297
ADAM5P	3.32821513240427
CHD9	6.02978766398761
hCG_40738	4.08775676000863
STK16	6.01542662286777
PDE1C	3.66113950250376
SEMA4D	5.22364293015792
AGPAT1	7.25122884160972
TOB2	5.68371448493526
BANK1	3.17422366064335
MAP3K3	5.41558137787281
MAX	4.80369471795177
GRM2	3.87417746840205
OSBPL8	5.56870962574651
PROSC	5.92601080557312
NR4A2	4.05309711363144
RICS	5.43818257031157
PIR	6.2513731863567
PPCS	9.58074517543425
IPO9	6.32772833246551
LONP1	6.60797489123958
EVC	4.49213129921498
CXCL13	4.10191990430127
SCYL3	5.33667653090528
KIAA1199	7.01865524245416
SORL1	8.7383811422164
NAT10	6.16670709784667
CHD1	5.18703652044316
SYN3	3.66748645868877
DMC1	3.79085327103335
SLC22A2	3.64411669933115
SERPINF1	4.56442921525291
C20orf27	6.62467800707908
OR7A17	3.29206067394226
RPS6KA5	3.77067175585944
LHB	3.63564151975429
TAOK3	4.60185340146121
STK25	6.50707332720446
SLC12A4	3.69124022887395
BRCA1	3.36255186821796
GBL	5.36455055192938
C14orf108	8.46186821132669
CDC25B	6.93801121458237
BMP3	3.29107399708554
MAP1LC3C	3.37430350604318
TMEM180	3.56357893821779
CRYGC	3.69322861809072
SLK	6.73309892506228
POU3F1	3.48621586431501
C20orf32	3.91429479298916
USP52	5.78488880531063
HIGD1B	3.86576469854164
BAZ1B	5.73804029173009
USP6NL	6.27340192917669
SLCO2B1	4.38198923050497
ABCD4	4.22377945780099
DIMT1L	5.69249046333027
SLC25A46	8.11496631203455
LARP7	7.4618683361939
TEK	3.51394801805219
CD160	3.73793717529428
TERF2IP	7.40304948228185
PHF20	5.75879271520212
COL1A1	5.45635065474251
KIAA0090	6.19845298512618
GTPBP1	4.23627351500710
GRK5	3.68365548839433
AP1S2	5.04214111858539
RAB33B	4.72019300063419
CA11	6.39430070596943
ALDOC	4.68983443121853
NUDT1	5.24439519488738
ZNF212	5.52422664297746
ACBD3	7.21945555749793
ZNF83	7.61356692129503
PRDM2	5.6294086517106
GDPD5	6.40471735957071
PDCD4	6.33420998790873
CEP350	5.50800520719284
FOXP3	3.38486357047464
SMYD3	6.8982187650921
CST7	4.14434970578295
SELL	3.56251774490253
CIAO1	6.49954873127317
LGI2	3.82833563581758
WDR45	7.23928458479076
ANKRD6	8.22636941412598
LTBP4	4.3854867025424
PSCD3	3.47084502508906
PYY	3.25574565887234
KCNC1	3.136246752684
SIRT6	4.35909080591947
CCL19	3.9815260844103
ARHGEF9	4.26560202771626
ABR	4.72753942049358
C10orf22	7.14550307562577
STK17A	4.97241577261325
FOXE1	3.17606964067577
GML	3.09342256155758
CNGA3	2.86619225473542
CD38	3.59209884116216
ZDHHC6	7.70961867190019
NEFH	3.18834978681772
PGBD5	3.63721544230774
CTDSP2	6.332074666365
RMND5B	5.18030892629104
ZNF257	3.07448857706555
DUSP4	3.21191368627036
FLJ22167	5.96584028662971
EXOSC7	7.41787890543258
ROR2	4.97863811071929
FOXM1	4.99070888044128
ZBTB48	5.07408232248202
BUD31	8.2026771642953
MAOA	4.3264478661107
CCDC41	4.4466324094572
TNNT3	3.47579402942326
FBXO11	5.14572042495544
GYPC	6.19363890276842
PLIN	3.36864766250117
RFXAP	3.59585251341356
C6orf15	4.95489090867666
RNF4	8.39178047493
F8A1	8.03768971180824
PPP1R3D	4.42255219597244
GRB2	6.43738164730045
TPM3	3.13796830234586
SYT13	3.66247791184074
EPB42	3.39960246288197
RP5-1077B9.4	6.03475648731966
EIF1	9.7661550050146
CETN3	6.49646750192093
FPGT	5.39288377331376
PRY	3.21365959438011
NTHL1	4.95651494706433
POLR2B	9.26630759002857
RPS28	11.5662259561247
GDF10	3.74158085692446
COQ9	8.73430866568822
P2RX3	2.96921233297425
GCC2	7.0814512551538
RARRES3	8.53295856967853
PLXNA1	6.4233748574554
WBP4	4.1071987140267
KIAA0100	6.04185546610295
PMF1	7.88650604839164
HS2ST1	5.34595256009637
CRELD2	6.58491262489028
C8G	3.03181880105586
CD82	5.5038778909104
PMM1	5.6493453264569
CBLL1	5.31185514109765
LIM2	3.52523080739958
VAX2	3.82653908049112
SETDB1	5.58760803317183
LRAP	4.20064257160611
GCLM	7.5574363557548
CPEB3	4.54036255719280
PPM1A	5.80354948413045
INTS1	4.60948853261449
MMP16	3.07426561675918
CAMTA1	5.11360499063587
SAMSN1	5.20511116430263
DRD3	2.79678565577847
GMPPA	5.68314519077748
C11orf73	6.94509032232492
AIPL1	3.77512587118385
PTP4A2	9.60805489311233
IL24	3.57263072891653
BDKRB1	3.22969853304761
HPCA	3.63154077853148
MLF1	6.58310423580073
