Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_B03_433730
Composite Element REF	Signal
AACS	6.06606224796883
FSTL1	7.92597161140911
ELMO2	6.02785032846775
CREB3L1	3.71470071176959
RPS11	9.88654186422539
PNMA1	8.49696565484604
MMP2	4.31855411822475
SAMD4A	3.69492288105048
SMARCD3	5.33853210743915
A4GNT	3.64508975471757
C9orf39	3.2865759506208
PKNOX2	4.12798991427926
RALYL	3.38547103536007
ZHX3	4.34948506758181
ERCC5	6.17101854942148
RXFP3	2.98838062190574
APBB2	4.00222253878199
BBOX1	3.69589349065534
PRO0478	3.03112451259802
GCSH	7.45302780253163
XDH	3.99613105463068
EDN1	3.71796158051804
MTERF	6.04216183036735
PDCL3	7.84780996841185
CLK4	7.6784441135423
KCNG1	3.87194169972296
CXCR4	7.78633584198155
DECR1	8.74833669990566
SALL1	3.09917538223999
PTPRR	3.39421211482708
CADM4	3.2401844247162
IRAK1	8.60350331157509
CFHR5	3.14545067679019
HNRPD	8.52835836180669
TMSB10	12.0143334833687
CXCL3	3.74569976078322
LMAN1	3.94179503020253
SUHW1	3.72960985330309
CHD8	6.68927277362307
SUMO1	7.80873866944279
GP1BA	2.99702464381715
OR7A10	3.84818947605299
DDB1	7.57110058745766
CHRNA10	3.64728087796835
STYK1	3.39212688617868
MYO9B	4.01192487233862
CCNI	9.8639282864025
MMP7	6.82424781400041
EP300	6.82884385153928
CRNKL1	7.66812971938493
C9orf45	3.22297586504795
XAB2	4.66657585523621
RTN1	3.47204760226715
HIC2	4.41751943756802
TBX10	3.69484234815133
CENPQ	4.18960214225344
UTY	3.14243960237191
OR2W1	2.86332432655
ATP5G2	10.8415368992258
ZEB1	3.15645855432985
ZG16	3.39075399072016
ERG	3.38329836455454
PARN	7.37267446065513
SOD2	5.78926656947738
JOSD3	8.87905949768862
ADAM5P	3.26792923215043
CHD9	6.18125949657982
hCG_40738	3.91588703578217
STK16	5.58926813305826
PDE1C	3.78532993413466
SEMA4D	4.78271992391415
AGPAT1	5.90549057395145
TOB2	7.57316534616682
BANK1	4.18275213714608
MAP3K3	5.33893301426918
MAX	5.24409027935876
GRM2	3.71303582519808
OSBPL8	7.19809082904995
PROSC	6.57844099148966
NR4A2	7.41588667163039
RICS	4.51836525214107
PIR	4.50602204722024
PPCS	8.5354858865691
IPO9	6.34421950114467
LONP1	7.80185930264941
EVC	4.16242068016408
CXCL13	5.31481568829149
SCYL3	5.63012322967825
KIAA1199	4.26255784919922
SORL1	7.37450927927634
NAT10	7.09769235588769
CHD1	7.67404384937762
SYN3	3.50483110803853
DMC1	3.98430918982379
SLC22A2	3.49917437136843
SERPINF1	4.87336487950923
C20orf27	7.1559469355737
OR7A17	3.17997892514181
RPS6KA5	4.97528428766343
LHB	3.23531673779224
TAOK3	4.70855580605011
STK25	5.52844969905955
SLC12A4	3.77151838433515
BRCA1	5.09766037178289
GBL	6.62524653536532
C14orf108	7.03917844396778
CDC25B	6.85353581551302
BMP3	3.25333521760335
MAP1LC3C	3.50906132772785
TMEM180	3.84028820794472
CRYGC	3.67182458604680
SLK	6.44407334701318
POU3F1	3.16273444166448
C20orf32	3.68374692665109
USP52	6.88461762072883
HIGD1B	3.58706099660213
BAZ1B	6.17931140598296
USP6NL	5.54527100176718
SLCO2B1	4.0097782260718
ABCD4	4.54241046115579
DIMT1L	6.33634678506608
SLC25A46	8.0008385156622
LARP7	8.15508225022172
TEK	3.48751304002397
CD160	3.95903839702508
TERF2IP	7.62671165402248
PHF20	6.65286706865101
COL1A1	5.51995100955089
KIAA0090	5.99309197077067
GTPBP1	4.59720317163747
GRK5	3.49914711485505
AP1S2	4.18260560959472
RAB33B	4.91478082404578
CA11	5.38534977351377
ALDOC	7.00338923352469
NUDT1	5.74137697398152
ZNF212	5.01139755352484
ACBD3	7.86368465352574
ZNF83	6.72283233227933
PRDM2	4.45615284568448
GDPD5	4.75260992896235
PDCD4	6.09233389820596
CEP350	6.42752257528345
FOXP3	3.32726302674437
SMYD3	7.73626896506091
CST7	4.12833910329858
SELL	5.23524105652543
CIAO1	6.5384524219583
LGI2	3.62993197665807
WDR45	7.32190305399608
ANKRD6	7.7761357028318
LTBP4	3.55157684759928
PSCD3	3.27792713018819
PYY	3.10568811423009
KCNC1	2.99763958601652
SIRT6	4.16664060107828
CCL19	4.02091857869186
ARHGEF9	5.74067437552535
ABR	4.34620638671819
C10orf22	6.04583263615265
STK17A	4.43626153953808
FOXE1	3.20168841602601
GML	3.18987431519441
CNGA3	3.11943463541022
CD38	5.62930781092509
ZDHHC6	7.49308069818089
NEFH	3.23636461746639
PGBD5	3.3946991025753
CTDSP2	6.70425385091743
RMND5B	6.54576790350898
ZNF257	3.21627768419571
DUSP4	4.98225910206096
FLJ22167	7.0039378391559
EXOSC7	7.91889871359019
ROR2	3.42295107796984
FOXM1	4.5449438039329
ZBTB48	5.00032707392361
BUD31	7.87371125714445
MAOA	4.64748697271924
CCDC41	6.10317157097478
TNNT3	3.81646818422293
FBXO11	5.49165141155461
GYPC	5.18893740226281
PLIN	3.32051769830877
RFXAP	3.26887419433039
C6orf15	4.01659340359894
RNF4	7.82508873004374
F8A1	8.13643233091721
PPP1R3D	4.95132233802649
GRB2	6.92566064537558
TPM3	3.21849775687482
SYT13	3.7523971855062
EPB42	3.51494070453047
RP5-1077B9.4	5.66213147077015
EIF1	11.1268342656032
CETN3	8.29613679958952
FPGT	5.4084051590731
PRY	3.46802300525729
NTHL1	6.87501951374395
POLR2B	8.57947626955723
RPS28	11.9216933237285
GDF10	3.16586585643049
COQ9	8.23326697436797
P2RX3	2.93088763693163
GCC2	7.21766281986525
RARRES3	8.20859933524213
PLXNA1	6.07231663703071
WBP4	4.35507655343456
KIAA0100	6.931491473248
PMF1	7.07968675933771
HS2ST1	5.85257541734496
CRELD2	7.19914152043166
C8G	3.30485024919704
CD82	5.81638322016123
PMM1	5.14762852123208
CBLL1	5.06274447886711
LIM2	3.32246526867047
VAX2	3.30836125207987
SETDB1	5.70296253387388
LRAP	3.89516633436424
GCLM	5.59773660335226
CPEB3	4.07779935903264
PPM1A	5.76779640599432
INTS1	4.18625814390365
MMP16	3.12702562561771
CAMTA1	3.54428199159566
SAMSN1	5.01470703464728
DRD3	2.8065921985389
GMPPA	5.53588071754097
C11orf73	5.62598022793083
AIPL1	3.70275565523242
PTP4A2	9.14440276702844
IL24	3.32637668051704
BDKRB1	3.24926915064899
HPCA	3.34960911164714
MLF1	7.91269695402914
SEC14L1	6.36751260176044
CHFR	5.30255037791999
EMILIN1	3.28213243343537
THADA	6.70549064856959
TAF12	6.33557953811405
NDUFS4	9.0020460019724
ID1	4.21451923218819
PIK3CB	3.87388610402171
COL18A1	7.42584143930022
PDZD3	3.2179644997547
TBC1D17	5.02871530306924
COX8A	10.0122330539064
CDCA4	6.15409572178111
C2orf44	4.91210713266518
C9orf16	7.93776101317165
ERBB2IP	8.44192759453384
EMX2	8.54410708470877
FUS	6.95007393837216
NIPSNAP3B	3.88420751110142
TF	3.18632328916267
CXorf56	5.88687383933648
CLCN4	3.50484419796231
PWP2	6.97090641695096
MMP15	4.8665328124556
MTMR14	6.63129886199133
NPR1	5.93293928975442
DNAL4	6.51333617339724
ELAC2	4.84348109189031
ASS1	11.4010146388398
IPP	5.38679858734480
TMEM59	8.83444269460757
POLR2J	8.66338991022519
SEC23IP	5.59982387654214
RGS4	3.53786877147056
UQCRC1	10.0005328758110
SNX6	7.77162678461868
DDX18	6.85114949403307
POLG	4.81847812631997
ADAM23	4.12281188418505
ZNHIT2	5.63488813787518
TFR2	3.29122691857267
NCDN	4.69449679186588
RAG1	3.40333130185147
POMT1	5.77089542854853
CYP1A1	3.56807579756369
SNAPC1	6.87525073927584
GNA11	5.11903070878123
CCDC52	2.95345439731496
CAPN1	6.81622763506423
DDHD2	8.02192577636229
UPF3A	6.19571087006286
LAGE3	6.974075458971
GNRHR	3.13423170842
UNC13B	5.95035939483423
TTLL4	4.63591403104811
PPBP	2.85755564898847
HTR3A	5.45266869380758
SDC2	3.5383460844082
ANKRD49	7.07865379904595
BTF3	10.6424682139506
COX7A2	10.9022047909297
SARS	8.24595332317095
C13orf18	3.34438328304006
CACNB1	4.25701758960308
QKI	5.79839793377257
SETMAR	6.16053236840736
LAMB4	3.62003956419059
MAN2B1	6.49952452308946
EML3	5.46058825414025
ACADL	3.09647404827728
OFD1	8.35286674534064
CGA	3.5811480467797
EIF3EIP	10.3568307388493
PEX16	5.73535965538339
GNG12	7.10831227939035
HABP4	4.27668699617054
CNTN2	3.5811847181221
ASNSD1	6.92609579803506
FUT4	3.62313656794861
DBH	3.51242991606019
CD53	6.74006071114057
HIST1H2BJ	3.38019575235964
TFAP2B	3.30506909346274
ACF	3.77551735023268
TMEM11	5.76107070422967
CDH8	3.42775362790206
C3orf32	3.58240296421774
AGPS	5.28470226491406
C4orf18	3.03868527275075
PCCB	7.48555295864632
IPO13	5.32717776153369
PECI	7.38754946597822
UNG	8.14182712396788
C6orf105	3.97607110532707
GSTP1	9.70065274922815
SUV420H1	7.65001206916555
ARHGAP15	4.08362572675286
LTBR	6.44192404958688
TDRKH	3.39599257678972
PSG4	3.44251580847206
SLC9A3R1	6.32964320860837
NBPF3	9.27935425626045
SLC9A3	3.76493646666836
OSBP	6.28054042107374
PRR5	4.51115653016686
CHMP7	5.89024080165134
ADRA1A	3.10510843946766
ASAH1	6.61514589813378
FKBP4	6.80323620618563
ZNF350	4.33580480848715
DOM3Z	4.83736971128829
GIPR	3.88795425254085
AHI1	6.06811090526635
BST1	4.14714715217418
NCR2	3.64596631763516
NADSYN1	5.98660210218994
UBE2W	6.75035145118623
RGS14	5.41909993787617
KRT15	3.86859133270377
SCN11A	3.95871943528578
GFI1	3.70591824816795
FHL1	5.06298239763645
SMC6	6.5098409535658
GATA1	3.7139013278621
OSGEP	5.79527979720376
ARMC6	6.01641912678053
HK3	3.34783719896516
PSMD5	6.23803176894974
RSU1	7.29122987002281
RPL4	11.7618059408336
MAD2L1	7.99217752603285
RBPMS	4.92929272714628
EIF4A3	9.0380251036509
E4F1	6.29253101183383
DLEC1	4.49863936815927
PRPF3	6.92869989562915
EMR1	3.44480183024697
CHMP2B	7.79255718255425
CAMSAP1	4.39533931588759
RPS21	10.4848559529574
XCR1	3.16766131060092
ARID5A	4.03738139078827
RBM6	7.2557766281676
UBE2N	7.46144010297389
KLF4	3.99016413792851
MGC4172	5.57680954318901
LMO4	6.84599819261163
KLKB1	3.41067648588980
HDAC3	7.3058418826604
HP	4.18871696134605
SCHIP1	5.03988727057273
BTK	4.18297061284619
KRCC1	7.53228184055342
PRND	3.1014275258818
C6orf27	3.50785547919606
PIGL	3.71751797790211
CLCA1	3.63724087472762
C1orf112	4.24311818509191
OLFML2A	4.23894040568845
HUS1	4.75456031584496
SFRS6	7.40642366662565
CXCR7	3.51534035539924
UIMC1	6.96162305629382
FXYD2	3.49351833340246
GOT2	8.16510787470751
ZNF667	4.63893245055603
TFEC	3.70161285065287
ATP7B	5.19502189701476
RAB38	4.21746876495165
POLD2	7.06345762375444
PPM1H	6.51205671343671
DCX	3.25161864040723
NFYC	6.07898403604570
ZNF228	3.62269152989324
KIN	6.04936532838105
PLSCR4	6.16698086676954
HIST1H4I	3.95937320886141
PPARGC1A	2.79614786600884
HIG2	6.59253687778169
KCNK10	3.93819953276991
EXOC1	8.44214407300071
OR6A2	3.68753362933142
ETFA	8.31406498468957
PDAP1	5.35232582130109
C19orf6	3.56467353793773
POLRMT	4.67023795368782
ZNF146	7.27080773763536
MIA2	3.21580713689794
LY6G6E	3.16122647184343
EIF4E2	7.01963806356921
NENF	4.71450179818961
HOXB5	5.15579302861485
ZNF324	4.25793865753629
CUGBP1	4.85350107447029
ENTPD7	4.30717620631737
TTC13	7.00806062443729
GJB5	3.17187572333137
PRSS22	4.98558747522102
CYP3A5	3.84609578125699
MBOAT5	4.1290553136019
CUL4B	6.03239269133127
CENPJ	3.40162367475124
KIAA0664	6.32981139029897
PITX1	4.60651873663759
PDGFRB	4.36094109585766
RDX	5.69360350884018
CELSR3	4.13445342590096
JUND	5.92553053576709
ITSN1	5.16539099519537
CHRNB1	3.37308856732683
EHBP1L1	4.33910310762232
C19orf2	9.23771777503889
FETUB	3.22332019047929
CAMK2B	3.32853989403267
DCTN1	5.85102164097162
TNKS2	6.69137730395472
MRTO4	7.78523483337487
C1QBP	6.23436224955042
TTC3	7.84084437150987
NDUFB8	8.93699326053747
CADPS2	5.22452269558958
EDG2	3.76716052281799
MYF5	3.13797002161737
SEMA3G	4.40148097740464
IL23A	3.66364246528476
GJA9	3.63376830020543
R3HDM2	7.60554146051142
C5	3.78705931474952
SLC2A10	5.37402869795115
TRIM45	5.4868850924542
TSP50	3.62378595430234
PAQR3	6.13059821231859
ANKRD26	3.33027423345724
TCP1	8.73804173530787
TMED7	7.61615831976496
CMA1	3.09389060677047
PTCRA	4.36779771684266
HCRTR1	3.39014074154246
FST	3.51442476136697
PAWR	4.39887544246791
LDLR	4.61175675273717
ASTN2	4.17414135222822
SCRN1	7.37770567268672
GPATCH8	6.93424120949728
KIF4A	6.72208654957108
TANC2	4.06969444893918
ZMYM5	3.56088718336109
PGM1	6.70270334975403
ZNF586	4.72796749267386
POLR3G	4.26127960329661
CPD	6.51954219635504
SNCAIP	5.4525562183553
DCT	3.51063657590318
HLA-DOA	3.94605455598154
TANK	6.23389156885008
RCAN1	4.47114480185574
UPK1B	3.2356011645053
DNAJB4	4.76893310382962
UGT1A8	3.01556001700646
LIMD2	3.23782526694559
HIST1H4L	3.47290237909577
PECR	4.21781322404849
HSPA2	6.95899575490678
SERP1	8.81531976963557
TACR2	3.30721026096142
NUP85	7.38054403136593
CD177	3.44688098803401
GPR135	3.06167508884178
PIGG	7.74124405394516
LGR5	3.35232353110186
JAK2	3.69338124494702
DPYSL4	3.20585215043238
TM9SF4	6.7742218280348
PTHR1	3.70204741544457
SIRPG	3.19525219211043
ZNF264	4.7830322911455
BICD1	5.79970039080205
RAB5A	7.60326355303696
FLJ13224	3.05177218452046
METTL5	8.82088439972874
HERC6	8.09344786953793
CASP1	5.96329008198039
USP9Y	2.88062093586505
LRP1B	3.03440656449161
XAF1	7.79294832820058
PLA2G4C	3.82762220490480
APOA2	3.04899632299246
SPAG6	3.04372421128992
KALRN	3.21001966306274
SECTM1	6.81327801524313
THOC7	9.56063382302142
IFNAR1	4.09422236916748
TCTA	7.6333023592464
NY-REN-7	3.44166359876225
TALDO1	8.99944834618218
B2M	12.0552686975134
LPPR4	3.37835518993722
SQLE	7.09169250695119
SEPHS1	6.23382619657141
EIF5A	5.83487876568116
FAM49A	3.87644116096828
YTHDC2	5.84157941539402
EHD2	3.89148020555647
NCF1	3.99600766532591
SPG7	6.47597036881873
ZNF614	3.53590752606306
HOXA5	2.99043969445085
NUP133	8.19018909719302
FGF12	4.09208495930935
SLMO2	8.91531128414769
INPP5B	4.5505319148969
PPID	7.35971015612444
SNTA1	4.41719787483906
IL20RA	4.33350015751514
UBE2J1	5.56830117771227
CACNG2	3.07374393470469
GCM1	3.31102942326724
ELF1	6.09891927072259
TLR5	5.72117670434047
TCFL5	6.72178646001257
C1orf107	6.32489662376304
C19orf22	6.70570050983178
SAFB2	6.48883834129418
MAP3K7IP1	4.31315180293355
NCK2	7.16153588020034
OXA1L	8.32667648664086
KIAA0652	5.39101907402748
KLRG1	3.66881207192134
FRAG1	6.47727320251688
ZSCAN12	2.90797610851372
PSMD12	7.67698028380495
E2F4	5.42935105946611
CLEC4M	3.44531902717393
KIAA0999	5.6535152394059
CLDN10	6.60025492299216
MGC13053	4.14120035020451
TAC1	2.76569401373939
GYPA	3.37573203605116
HPCAL4	3.33429442929349
TRAIP	4.86321607854529
MEX3D	3.67151731161037
KIAA0232	7.59392778871934
ERCC8	5.21262209852705
NFAT5	4.8918484917919
GPX4	9.5295804426214
CSPG4LYP1	3.14915355553555
KIAA0368	5.92222006892827
FBXO3	5.93354343873306
DVL1	5.8605637827044
CMKLR1	3.51913146716179
GPR157	3.33760951706196
TYMS	7.7745710269354
OR52A1	3.17026525765335
PEF1	7.16127860841695
ZNF750	4.13383441202035
ALG9	6.4047643873061
MCM5	5.47115112925362
SDK2	3.32192025245717
BAIAP3	4.13234942014643
RABGGTB	7.92584143931627
KCNK7	3.30702774647860
PTP4A3	5.30743291682335
ANKRD40	4.78023687413207
CALCOCO2	7.92265308497753
TMSL8	5.29069176303483
SNCA	4.17669088421622
ZNF551	3.86375997809122
HBQ1	3.23800464537273
ARHGAP26	5.16722686212278
GEMIN6	6.94393566261631
HRAS	6.4976787611181
KLRC4	2.59567498556994
BSDC1	6.06063162033708
DSC1	3.56221808073593
RNF43	5.87510681370686
NDUFAF1	6.80817489882149
MAP2K4	4.96450577440767
FOLR2	4.78126795317191
LYZL6	3.59585478926973
EPB41L3	3.27090623545306
TEKT2	6.91461405729653
CDKN2B	3.33467715007807
WSB1	6.54859640389986
ZNF480	3.37626107655969
MAP3K6	3.63355824076656
PROS1	4.18567261144376
PSMB8	8.25773757479242
HN1	7.80229773915596
MAS1	3.50725157176084
APOL1	7.16467756628398
CSHL1	3.33779473553264
ZBTB7C	2.87576715915717
AHCTF1	7.29319012565071
SAE2	8.71525737727855
ITGA2	4.0003365307942
AP2S1	7.96733190351512
P15RS	7.20999557615438
MME	3.243627846375
VAT1	7.01743796532826
MAST4	4.99108323378517
TUFM	9.4662707983074
KRT33B	3.27132951421063
THEG	3.82501572766520
KCTD2	5.35564185066403
WDR26	8.3092091800087
MFI2	3.29864869009689
KRT34	3.19576357714563
NR4A3	3.60654844341781
SGSM3	4.95676874013581
ARSA	4.06581251315035
TOMM22	5.4573392934107
SOCS3	3.62282835043481
UNKL	3.98812391977785
POP4	9.37119862116354
BHLHB3	9.2324067270291
MALL	4.11163413849134
SOX15	3.3340416360536
CCNA2	5.53611272524055
PARK2	3.30653471685452
GPR124	3.87229302275102
TMEM132A	5.81233920422622
CGRRF1	5.75440841909521
RUVBL2	8.64235043223718
MCAT	6.89425713547416
WNT10B	3.6979450311663
ISCA1	5.96451308944355
RPAP1	5.36541549533356
C12orf48	4.89675376880242
RAI16	5.40539703411267
RPL27	10.0027245545902
EPN1	3.63969652889861
MAGI1	3.70108770905967
GBX2	3.18870383341155
SLC35A1	7.24051447777623
GAL	5.06135998485217
SLC14A2	3.48947830203653
RDH11	6.98008892326167
ZNF518	4.57406082546015
PCYT1B	3.44692148840424
AUH	6.6311863830759
EIF3H	11.2093947601883
KIF1B	5.46665242421584
MBD2	4.5708338470234
AMOTL2	7.78605929720703
C6orf120	6.02984527892475
PIGT	7.77183650999823
PSRC1	6.12906836662919
PLA2G10	4.28461091697638
ALAS1	8.00454298464832
FOXO1	6.12420305243596
C17orf62	7.57523973602292
KIF5C	6.0673690360033
DUSP10	5.75310063011039
CRLF3	7.53219348091059
CLCNKB	3.45239069383770
PSMA5	8.43326871357826
FARS2	6.04249184251818
CCDC28A	7.10824207849739
AMPD3	4.87988720404689
PIAS1	6.9324860119339
ADCYAP1R1	3.40070566024514
TMEM134	7.26225717889602
CDH20	2.82411813725366
FBXO7	7.91645280812877
FLJ14213	3.86520946961648
ZNF3	6.29832845708052
LRRFIP1	7.39175176742826
TMEM49	9.73146136251102
CNOT2	7.60466033903481
CBX2	2.93108401293115
ZC3H14	6.94272415793003
ALDH5A1	6.17073362829952
HNT	3.36504538386236
SERPINA4	2.93948882496771
FLJ20920	6.9179788674237
CRTAP	5.99882849461278
DDX50	7.77906345089299
STYXL1	7.66003910300851
TK2	4.79902741533215
BLVRB	7.35292518963193
STMN1	6.5852588537162
GUCA2A	3.48931169207160
DPP6	2.79388595091959
GALNT10	4.36957924261869
STK39	5.4004208515524
MMP24	4.61729930441093
CKS2	9.12693081502169
RHO	3.80098963042751
BANF1	9.749481462275
CR1	2.90987477697671
RPS6KA2	5.76448298254609
HMBS	6.04327732176588
C20orf112	3.8746316167345
SLC25A24	6.91255799537223
MRPL22	9.27431899833354
SLC25A15	5.4299340818672
GADD45B	5.40808246547329
TDP1	5.87383392434861
ZNF287	3.52290402476026
DAAM2	4.68067790341134
C11orf57	7.04581197700331
RFK	5.99725710865404
ZFYVE9	3.97115962114755
TCTN3	6.96533196268006
STCH	5.32303716295875
LOC283871	3.45918256626314
NDUFB3	7.60254868217177
DEFB4	3.70867672376078
FPR1	3.69402635376500
FMNL1	4.29775129881944
SEPT7	8.95009663809993
PTCD2	6.37528527513912
GNLY	3.54394760964661
GRAMD1C	6.68560313320143
ZNF165	6.24385748379282
TR2IT1	3.72971823355727
ARMCX3	7.58972291450726
NDE1	5.9079948060312
MAGEF1	7.12198842339983
ITGA10	3.61356770812431
ARHGDIB	7.11843023093806
FSHB	3.72037944030829
ANXA2	9.1542308009268
HLCS	4.02137092182998
MCF2L	3.77527962177346
AK1	6.21692343741829
FH	7.02128398940392
LGALS2	3.80475613616344
SYNPO2L	2.80460618446969
KIAA1045	3.41673620335349
C1orf183	4.90016311653246
MAGEA8	2.9283253549266
DGCR8	4.88983767088287
GSR	5.52983300164319
NEU2	3.34588408961775
HIST1H4B	3.51249164495949
CACNA1C	3.01086099521151
FAM20B	6.75639333500246
HES2	3.2312668924605
PDCD6	9.28512306842472
INTS7	5.69780126272057
AMPH	3.83455591989
UCKL1	7.39167940625915
ASB4	3.00018555734671
C10orf97	5.06348658987263
ALDH1L1	3.80963017727407
CCL23	3.08152293435689
OBSL1	5.18811431130909
SLC12A7	7.90718105652981
THAP4	6.34391816975063
RBM4B	6.49171733830336
OGFRL1	3.93005213131928
KIAA0831	6.53745256311115
C12orf11	7.57697038452164
PPP1R15A	5.33023428950339
KIAA0240	5.40877390041251
CD1B	3.31233956950587
FCGR2A	4.964759046951
MDC1	4.89771299804532
MAN1A1	3.59684376411606
KRT9	3.63962444457522
HTR1A	3.27441910522672
OCEL1	5.64290972715017
ATP11B	5.66257222329586
NLGN4X	3.19294006252265
FBXO34	8.04965215655814
ALOX12	3.29655764220485
RB1CC1	8.70004944995411
PCDH12	4.3489189727165
RPE	4.74386028452406
EIF4E	7.30605668154568
CSDC2	4.12734072371154
ABHD5	4.32645390095135
TMBIM1	6.70491110422246
PET112L	6.81708846556099
P2RXL1	3.37948704361812
F2RL2	3.19356340943527
TRMT1	8.8127078893872
IMPG2	4.94570494171686
LRRC32	4.82905461944614
BGLAP	6.11366062534211
HTR4	3.33520550889145
MRAS	4.26594863022803
TRAF6	4.75232265662617
AXL	4.54012792030793
ATP2C2	4.04035762137959
LMNB1	6.63123757150776
TELO2	5.07474497965215
PNPLA3	4.01732768537242
CSNK1E	6.79084680960681
SRP14	10.0922053200953
KCNQ4	3.35909657166037
PIK3C2B	6.30932507707203
C15orf15	8.60554123444892
TUBB2B	2.91687999784222
USP15	6.00365103947023
C12orf41	7.61285039133595
CEND1	4.01266971648503
RNF31	5.11546869763884
TCEAL2	3.24844416542572
PTGER2	3.7963899048253
UBN1	6.9807208858332
SLC5A7	3.1397955129485
SLC31A1	5.46273091071545
ADAM29	3.5010788614429
ST7L	4.09804397356604
GFOD1	4.35280129569731
CTNNA1	10.0122148070251
HRBL	3.90535734694179
CBX4	3.82713081362084
NTRK2	3.371118838969
FOXN3	4.68396200855272
MFGE8	4.47186991468174
PFKFB2	3.80922311422127
TAS2R4	3.64949751388485
SH3TC2	3.21785995411228
IL10	3.50394338259802
PXMP4	6.17741649635849
RNF167	6.12356699464995
PRMT5	8.06709720074557
TSKU	4.64511878777877
ATPIF1	9.02600008239019
ETV3	3.37656513404004
PAK7	3.3118775860415
PDLIM1	9.84038695199457
CEP63	5.80699273027207
WDFY3	5.18047344328407
RNF126	4.98967401419554
DPM1	9.1035445863013
CLIC4	6.19239411192965
ACR	3.86577045549173
KLK7	9.71789779881631
ALOX5AP	5.15786730738954
LRP1	4.8067613123922
TNK1	5.35874951346223
TAS2R9	3.02231091475379
ZNF16	6.93107427143543
POLR1B	6.10899273190357
SLC8A2	3.7692500846134
OLFM4	2.82318936940790
TACC1	4.8533977030227
SAMHD1	8.51724394591435
ATP13A2	5.07892786201015
KRT4	3.71908325926411
PAX6	3.46194849871695
SCG2	3.47707712963736
SLC17A6	3.31215063822607
TUBB4	4.09046282031804
PADI4	3.06008370330908
FMO3	3.31983113503988
NLK	4.71029461449608
POU4F3	3.04238513126031
MDM2	3.50107387914745
CAPNS1	8.7910306010443
SDF4	6.21829183979556
ITGBL1	3.01655310926908
TAP2	3.96727015377612
OR2C1	3.37735485411346
KLHDC3	5.82623240462042
EFHD2	5.6566064177954
GALR3	3.73372300361997
NBEA	4.30599616825612
ABCA6	3.13617680258541
ABBA-1	3.66044894051248
GNAI1	4.60095267517243
CLDN3	9.49143991190941
AKT2	3.28430802965089
EGFR	3.91960714757403
VPS4B	6.51290390698623
RBM16	7.78816620260284
GALNT6	5.72931869014317
ZDHHC3	5.9827138072517
SLC25A4	7.60208535000074
CYB5B	5.20566350952132
NDRG1	8.41917106535445
SESN1	4.96611771085848
GBE1	7.13729153174089
MRPL46	5.92858813093476
CLASP1	6.12639868912908
FARP2	5.45412380033233
ACOT11	3.83347692887968
LDHAL6B	2.85750496350991
MAPKAPK3	6.53025308090528
NCAM2	3.24181008301436
AFAP1	4.06172765440935
PRKD2	6.59872622011864
OR2H2	3.15464013404838
ZFP36L1	6.18042138873678
DZIP1	4.4238400506633
GPR161	3.75870489544503
RNF146	5.47781433411067
NKX3-1	3.93615256584486
CCNB2	7.42308679330322
ZNF10	4.72428714021837
WDR74	6.8459528403474
FAM134A	7.7571212916045
PCNP	9.00662210512374
PURA	5.99177733898788
DNPEP	7.55170626703304
ERBB2	5.83945956745988
CREB1	5.29989258930833
NEO1	6.32180192289762
DDX3Y	3.23207744937548
RPS3A	12.7295759374266
MXRA7	8.54778850730651
LGALS3	10.6414771814667
GLT8D1	8.38910127020867
TMPRSS3	7.1785791485712
UPB1	3.14116183059739
LAT	4.13399459753890
CLDN14	3.70454884989766
DHX38	5.30532993696092
KCNA3	3.12305557761675
BTBD1	7.45815775940397
TARS2	6.24638529039439
SKIV2L2	8.98834716045504
ABCF1	7.25698563948863
CDT1	3.34888804914130
ZHX2	6.26684471879573
FCF1	5.28423769986065
LRRC49	5.31076683522198
GUCY1B2	3.15449752191196
CD28	3.23431254215924
SMARCA4	6.41957564068432
SEPT2	8.57885924484575
SOHLH2	3.32281332751675
MCOLN3	3.90900218890853
LRP8	5.88629299557684
TAGLN3	4.60599882543846
MASP2	3.69907940864946
GPATCH3	4.44876790477556
TTRAP	7.29344189923283
