Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B02_464072
Composite Element REF	Signal
AACS	6.94569824500897
FSTL1	6.99003599444222
ELMO2	5.6216147182685
CREB3L1	3.57287563225562
RPS11	10.0888721675994
PNMA1	6.76125386361003
MMP2	6.73103733074357
SAMD4A	3.79271375281701
SMARCD3	5.56204160730598
A4GNT	3.82361865145927
C9orf39	3.36769468736575
PKNOX2	3.81095086907286
RALYL	3.36319086050393
ZHX3	4.52533584564924
ERCC5	6.47444022220027
RXFP3	3.13214573993255
APBB2	4.22596552691269
BBOX1	5.67583431032165
PRO0478	3.00465698903168
GCSH	8.81024447975348
XDH	3.54153989589236
EDN1	5.80846019959319
MTERF	6.55371142948535
PDCL3	6.8199418564771
CLK4	5.82615761703082
KCNG1	5.22861981898313
CXCR4	7.58308460437514
DECR1	8.02681349714028
SALL1	3.12046650189329
PTPRR	3.81695082186321
CADM4	3.53993441077786
IRAK1	8.60607475635797
CFHR5	3.11694467350676
HNRPD	7.77407701590748
TMSB10	11.8941102815867
CXCL3	3.97301675998003
LMAN1	4.39251042354073
SUHW1	3.50661714834548
CHD8	4.95623655632394
SUMO1	7.61551334789463
GP1BA	3.26200076387116
OR7A10	3.99231153102282
DDB1	7.38946486839866
CHRNA10	3.53533684775153
STYK1	4.03991370260052
MYO9B	4.30988735795003
CCNI	10.6197690740162
MMP7	11.0962665263455
EP300	6.41334772644219
CRNKL1	6.87943797939872
C9orf45	3.59383628813313
XAB2	4.08711057777871
RTN1	6.2897487484475
HIC2	4.09497809649961
TBX10	3.45289952377816
CENPQ	4.05200644503601
UTY	3.11424037025641
OR2W1	2.6763704452257
ATP5G2	10.6811837114597
ZEB1	3.74326369340932
ZG16	3.38129381422264
ERG	3.51630827668415
PARN	6.59062850717613
SOD2	6.09875707000985
JOSD3	8.35452784871701
ADAM5P	3.13768396916995
CHD9	6.03461343891492
hCG_40738	3.61712955414761
STK16	4.91596269152039
PDE1C	3.49443727730196
SEMA4D	6.25787753019646
AGPAT1	6.00314574223961
TOB2	6.85698376794305
BANK1	5.91854227341942
MAP3K3	4.83837135022202
MAX	5.21395202953908
GRM2	3.94205276850015
OSBPL8	7.33226660731379
PROSC	5.09743710619631
NR4A2	4.61487257966222
RICS	5.91277085886833
PIR	4.95717344062496
PPCS	8.38133580216222
IPO9	6.65811372518219
LONP1	5.55913315314534
EVC	4.35409357853522
CXCL13	7.01488968882484
SCYL3	5.30899262880968
KIAA1199	7.84749229765626
SORL1	8.34928109381535
NAT10	6.39666174152789
CHD1	5.47823501908874
SYN3	3.55922116210497
DMC1	3.75913296627739
SLC22A2	3.86477378341909
SERPINF1	6.28013201679585
C20orf27	6.16951738319944
OR7A17	3.33049048614198
RPS6KA5	5.05656412726996
LHB	3.31888175105658
TAOK3	5.31463689916257
STK25	5.4620451373324
SLC12A4	3.60607373945242
BRCA1	3.53087719735647
GBL	5.36275424193976
C14orf108	8.211259595502
CDC25B	6.28331504533815
BMP3	3.1422540161458
MAP1LC3C	3.30902039360049
TMEM180	3.77392685853977
CRYGC	3.67908347481010
SLK	6.660587014077
POU3F1	3.30682143422113
C20orf32	3.8102076995989
USP52	4.85556932567479
HIGD1B	3.89077164136434
BAZ1B	6.53468117891283
USP6NL	5.61290392132859
SLCO2B1	4.62440860837396
ABCD4	4.53308265772406
DIMT1L	5.58090132442731
SLC25A46	6.22289349175621
LARP7	7.08591975683488
TEK	3.64349621957823
CD160	3.77295422879813
TERF2IP	7.66574978193337
PHF20	6.62818975155705
COL1A1	5.88221436993422
KIAA0090	4.84503381502012
GTPBP1	4.60037210814346
GRK5	4.18205103400259
AP1S2	6.22756306531056
RAB33B	5.46687181963272
CA11	5.61363076547559
ALDOC	6.85653438230131
NUDT1	6.02587761674542
ZNF212	5.20897389129501
ACBD3	7.74658894566401
ZNF83	7.13718363182636
PRDM2	4.99644228335175
GDPD5	4.88134281112592
PDCD4	6.62052390249267
CEP350	6.23101238267058
FOXP3	3.24466303178794
SMYD3	7.9321503089643
CST7	6.11587536845848
SELL	5.10043263961305
CIAO1	6.37884054887716
LGI2	3.52229740430737
WDR45	6.39563859498957
ANKRD6	7.53088719626187
LTBP4	3.80457851603903
PSCD3	3.33305841816559
PYY	3.07604833515211
KCNC1	3.31685671050648
SIRT6	3.79263363306156
CCL19	4.06728827870229
ARHGEF9	4.88267019321572
ABR	4.53418590631598
C10orf22	6.75660182543355
STK17A	5.21114891730008
FOXE1	3.70993549699743
GML	3.18427259926313
CNGA3	3.10576147620085
CD38	5.45206549660224
ZDHHC6	7.33575534196367
NEFH	4.51413685566609
PGBD5	3.82959461403983
CTDSP2	7.15690967776275
RMND5B	5.15805289987847
