Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G01_516428
Composite Element REF	Signal
AACS	6.69756882796823
FSTL1	8.37438523509614
ELMO2	4.82264279026736
CREB3L1	4.91119913150382
RPS11	9.97027584541368
PNMA1	6.69118643905657
MMP2	8.33596287195892
SAMD4A	4.03849522458713
SMARCD3	7.07816009381334
A4GNT	3.43252010944938
C9orf39	3.10671675914329
PKNOX2	4.08517807462862
RALYL	3.37943482172503
ZHX3	4.37720880900929
ERCC5	5.8397684415721
RXFP3	3.31256420485448
APBB2	4.03497674069705
BBOX1	3.69905122958014
PRO0478	3.0805595998147
GCSH	7.27169639783432
XDH	3.57212772573985
EDN1	3.96089378906251
MTERF	6.93491633317188
PDCL3	6.97411450597248
CLK4	6.92912419736448
KCNG1	3.85042789581683
CXCR4	7.89567650754688
DECR1	7.66409013696713
SALL1	3.35110624735564
PTPRR	4.31592761036079
CADM4	3.41868506489863
IRAK1	7.54661001852943
CFHR5	3.53965344457109
HNRPD	6.51045174664416
TMSB10	12.0597327753663
CXCL3	4.33599271130904
LMAN1	3.53303677967108
SUHW1	3.24029377134571
CHD8	5.05629570653557
SUMO1	7.96532262588056
GP1BA	3.30279327343204
OR7A10	4.10173464099557
DDB1	6.54638687647498
CHRNA10	3.42252255447127
STYK1	3.67843035841386
MYO9B	3.89300946571576
CCNI	9.00047476597183
MMP7	10.5602196993611
EP300	5.08239856342781
CRNKL1	5.86750970091863
C9orf45	3.36260644370247
XAB2	3.94576896067528
RTN1	4.11627034210798
HIC2	3.65977034921003
TBX10	3.37327619103292
CENPQ	4.07907944548202
UTY	3.17400278912311
OR2W1	2.80733742885906
ATP5G2	10.3997428692744
ZEB1	3.57313552196208
ZG16	3.3842271238487
ERG	4.30764164285918
PARN	6.0068985586297
SOD2	7.33072612499431
JOSD3	7.9025451419342
ADAM5P	3.24739111752389
CHD9	5.81887332482309
hCG_40738	3.78068493347133
STK16	4.64408412445258
PDE1C	3.40800832646651
SEMA4D	4.43440960024631
AGPAT1	5.50313216758046
TOB2	5.43089084642574
BANK1	3.30087325546006
MAP3K3	4.88931354383912
MAX	5.32832800597425
GRM2	4.11418475790283
OSBPL8	7.68802401641869
PROSC	5.84497521950795
NR4A2	3.99702257576319
RICS	4.57693787180581
PIR	4.73386840731436
PPCS	8.54739515704153
IPO9	5.67629812546096
LONP1	5.67971621823442
EVC	3.72474198734745
CXCL13	5.97104530749971
SCYL3	5.90504906885051
KIAA1199	6.40343038729918
SORL1	8.56631515953027
