Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C02_491128
Composite Element REF	Signal
AACS	7.29070118303874
FSTL1	8.32974214943857
ELMO2	5.01232155653289
CREB3L1	4.86620385954858
RPS11	10.2481648661829
PNMA1	6.99978311357535
MMP2	6.3945992847896
SAMD4A	3.61867988551474
SMARCD3	4.37966418735048
A4GNT	3.72704015406839
C9orf39	3.51530546105962
PKNOX2	4.31821551370225
RALYL	3.40514769711348
ZHX3	3.91752896749929
ERCC5	5.6998191771359
RXFP3	3.09789549465249
APBB2	4.1356037726478
BBOX1	3.91021185933249
PRO0478	3.1100398995001
GCSH	7.55805758619421
XDH	3.86606865296614
EDN1	4.91688191075542
MTERF	6.77854380634363
PDCL3	6.87192854341446
CLK4	5.42571379307894
KCNG1	4.30083262873007
CXCR4	5.39730774437438
DECR1	7.04156424281035
SALL1	3.43906779143264
PTPRR	3.3438830735584
CADM4	3.30109033079698
IRAK1	8.31841399662336
CFHR5	3.41505289164398
HNRPD	7.0881302223479
TMSB10	12.0960142424334
CXCL3	3.85403323452984
LMAN1	3.58553394321018
SUHW1	3.80896250609222
CHD8	6.32123077751904
SUMO1	7.96312503633944
GP1BA	3.15955264057924
OR7A10	3.75994465114232
DDB1	7.73776206670223
CHRNA10	3.8378006648365
STYK1	4.46876385548949
MYO9B	4.92791718008832
CCNI	11.3978665268163
MMP7	4.08010673229330
EP300	6.09146137485924
CRNKL1	6.38342586380071
C9orf45	3.30434505438149
XAB2	4.52251304896727
RTN1	3.46260311745638
HIC2	3.74762508954841
TBX10	3.60371054947896
CENPQ	5.41611418176181
UTY	3.11493343810472
OR2W1	3.07513455902871
ATP5G2	10.6631811877695
ZEB1	3.5058173677258
ZG16	3.62235863879776
ERG	4.15042241239632
PARN	7.39098261320575
SOD2	3.96395986231454
JOSD3	7.85197754731353
ADAM5P	3.42266215933804
CHD9	5.64506918927905
hCG_40738	3.75370714200979
STK16	4.66475769562519
PDE1C	3.86665609151213
SEMA4D	5.6093296979799
AGPAT1	6.31785130445472
TOB2	6.50521672618707
BANK1	3.98228234563716
MAP3K3	4.97463059751986
MAX	4.89667525145862
GRM2	3.80487171534183
OSBPL8	7.8199941712033
PROSC	4.99853645947044
NR4A2	4.15411658723480
RICS	6.08162532704103
PIR	3.80350415714933
PPCS	8.84259914001436
IPO9	6.3348062920218
LONP1	6.17451962728752
EVC	3.83430486410741
CXCL13	4.34089935231109
SCYL3	5.41187880721167
KIAA1199	3.7096956500782
SORL1	8.63395195244795
NAT10	5.8862134415897
CHD1	5.07249688468683
SYN3	3.68847859397488
DMC1	3.97053328529052
SLC22A2	3.66646186747907
SERPINF1	7.29696968292282
C20orf27	5.497745022018
OR7A17	3.11522054355569
RPS6KA5	4.88798770909732
LHB	3.58846108317948
TAOK3	5.24534190982615
STK25	5.61103110303087
SLC12A4	3.65230232017403
BRCA1	4.12505915688299
GBL	6.22268834855710
C14orf108	8.06680429674438
CDC25B	5.75468426805319
BMP3	3.30591909708141
MAP1LC3C	3.36099171499307
TMEM180	3.93162077590636
CRYGC	3.45345690691903
SLK	5.7551381928681
POU3F1	3.25914097313992
C20orf32	4.01154906439558
USP52	6.34277473303443
HIGD1B	4.53916697748692
BAZ1B	6.3954371212176
USP6NL	5.55309289577959
SLCO2B1	3.89199603945864
ABCD4	4.28325088541698
DIMT1L	5.34086187413639
SLC25A46	7.46638718872719
LARP7	6.05723686156662
TEK	3.92337654516014
CD160	3.87344261050833
TERF2IP	6.73853659113694
PHF20	5.99402811421955
COL1A1	6.68630730592916
KIAA0090	5.55892326395777
GTPBP1	4.66909331585228
GRK5	3.70778354587054
AP1S2	4.41991749940798
RAB33B	4.40889864994982
CA11	4.48356155105705
ALDOC	6.19316512423065
NUDT1	5.42644174998853
ZNF212	5.23760093960941
ACBD3	7.64944225460019
ZNF83	6.00634868073092
PRDM2	4.80604716309253
GDPD5	4.64737761550555
PDCD4	5.93652624844381
CEP350	5.68657255105165
FOXP3	3.26515831792641
SMYD3	6.01632186266152
CST7	3.51887390682808
SELL	4.058108023517
CIAO1	6.44946417319884
LGI2	3.85026143929404
WDR45	6.09606734156507
ANKRD6	4.59941790115574
LTBP4	3.88511086486828
PSCD3	3.651298750054
PYY	3.31768296456823
KCNC1	3.25815351756189
SIRT6	4.25629335719399
CCL19	4.36889766092928
ARHGEF9	3.89446577738866
ABR	4.50163069605791
C10orf22	6.73805730523365
STK17A	4.48509127456774
FOXE1	3.72873566857777
GML	3.4096425187487
CNGA3	3.03349441851943
CD38	3.70339299570686
ZDHHC6	6.36790700268316
NEFH	3.71028578480988
PGBD5	3.12715066528145
CTDSP2	6.96891362519674
RMND5B	5.28100731038607
ZNF257	4.45361062989657
DUSP4	4.18175569879665
FLJ22167	4.85710321335742
EXOSC7	6.44644588430846
ROR2	3.38657824668928
FOXM1	5.38353542240376
ZBTB48	4.35275267788801
BUD31	7.63170972967803
MAOA	6.51504264346911
CCDC41	4.42094824204352
TNNT3	4.30435926018103
FBXO11	6.16306595288502
GYPC	5.3998283840209
PLIN	3.82238313638195
RFXAP	3.30414671566878
C6orf15	3.77221166307026
