Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A02_547340
Composite Element REF	Signal
AACS	7.21514043824995
FSTL1	8.18410215707411
ELMO2	5.66322582346563
CREB3L1	4.22325124357149
RPS11	9.89949439300142
PNMA1	8.07278471083563
MMP2	7.97413350379507
SAMD4A	3.69363083749073
SMARCD3	4.05008295638843
A4GNT	3.48470736722192
C9orf39	3.10297173597044
PKNOX2	4.34502414311143
RALYL	3.17710180500732
ZHX3	4.63998107777747
ERCC5	6.47966938924994
RXFP3	2.98325545399069
APBB2	4.96536834038854
BBOX1	5.7342418807891
PRO0478	2.93759688189773
GCSH	8.30258607580547
XDH	3.69586047155902
EDN1	3.55237312692274
MTERF	7.54933815530099
PDCL3	7.87389961787397
CLK4	5.24507840724768
KCNG1	3.97922752661891
CXCR4	7.68867355200742
DECR1	7.78582569375137
SALL1	3.17087403346103
PTPRR	3.48328402806246
CADM4	3.35920812750651
IRAK1	8.45343656000336
CFHR5	3.29325847655895
HNRPD	8.34902267663645
TMSB10	12.1644601388565
CXCL3	3.99545577646241
LMAN1	4.5218409838536
SUHW1	3.32632140296092
CHD8	6.06436286913312
SUMO1	8.11037179292006
GP1BA	3.27024712707641
OR7A10	3.70583284382714
DDB1	7.20669365068062
CHRNA10	3.71779720620551
STYK1	3.88706486015343
MYO9B	4.37614102576606
CCNI	10.0764188052673
MMP7	5.06210593817905
EP300	6.6566051085898
CRNKL1	6.8003873715442
C9orf45	3.10531389415263
XAB2	4.8595723206914
RTN1	4.45446736052567
HIC2	3.80400700982158
TBX10	3.35897629084977
CENPQ	4.85943668073667
UTY	3.21002992217937
OR2W1	2.97853599644767
ATP5G2	10.5866750044114
ZEB1	3.54441395382906
ZG16	3.39570539805619
ERG	3.55553057007975
PARN	7.60211152260442
SOD2	6.03751226770454
JOSD3	8.03458422305988
ADAM5P	3.12685190643612
CHD9	5.80810614321123
hCG_40738	3.98222175485653
STK16	4.72919399168805
PDE1C	3.76459910020469
SEMA4D	5.39355961810097
AGPAT1	7.45093811514135
TOB2	6.7690921579714
BANK1	3.25391657162338
MAP3K3	5.83553619112158
MAX	5.34236173439564
GRM2	3.77134226688091
OSBPL8	7.62781360768159
PROSC	6.04251755891802
NR4A2	5.12704688627483
RICS	5.17735201227763
PIR	6.83683156042255
PPCS	10.4850663310669
IPO9	6.02321577163201
LONP1	7.991006744142
EVC	3.97548643328217
CXCL13	7.3817025505074
SCYL3	5.67840016114847
KIAA1199	7.76296641976444
SORL1	7.20720874350271
NAT10	7.02136109347525
CHD1	6.09290969721426
SYN3	3.49718048886150
DMC1	3.86040313328705
SLC22A2	3.58899581276886
SERPINF1	7.9467812789513
C20orf27	6.30750865645896
OR7A17	3.26411067300203
RPS6KA5	5.79537304898847
LHB	3.55237125052880
TAOK3	5.20481484232048
STK25	6.1040839271718
SLC12A4	3.64876460805771
BRCA1	4.51270237138066
GBL	6.60791824407152
C14orf108	7.14444913566856
CDC25B	7.48726707124299
BMP3	3.20437606658925
MAP1LC3C	3.16281909333791
TMEM180	4.03691275071602
CRYGC	3.57305171033414
SLK	5.80757926826575
POU3F1	3.06936552051894
C20orf32	3.75969398170395
USP52	6.87561044352623
HIGD1B	3.96817959565696
BAZ1B	6.85387794629792
USP6NL	6.5180485879607
SLCO2B1	4.58425754361119
ABCD4	4.66776276466228
DIMT1L	6.40280234090964
SLC25A46	7.52391461198085
LARP7	7.90398487941224
TEK	3.71353115093459
CD160	3.6416466266113
TERF2IP	7.61766161068116
PHF20	5.9384366458768
COL1A1	8.0722319030372
KIAA0090	6.79428784360202
GTPBP1	4.48324182906616
GRK5	3.83979534719989
AP1S2	6.36787315161268
RAB33B	5.21535776756717
CA11	4.57744888233406
ALDOC	6.97971589185306
NUDT1	6.41831859102473
