Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_F11_297938
Composite Element REF	Signal
AACS	6.10994476282294
FSTL1	10.5753037984759
ELMO2	6.40591362192271
CREB3L1	3.97620250587032
RPS11	9.78228089615693
PNMA1	7.65946964264645
MMP2	7.88965017298679
SAMD4A	3.78671621635725
SMARCD3	5.97836334579461
A4GNT	3.59221189928348
C9orf39	4.1774543642042
PKNOX2	6.02829325215616
RALYL	3.66345484476801
ZHX3	4.65120402725049
ERCC5	5.96353095650685
RXFP3	2.98684727333863
APBB2	5.92362744015432
BBOX1	5.05446289293763
PRO0478	2.97917003535606
GCSH	7.59747076463942
XDH	3.87125760057902
EDN1	3.65378527017784
MTERF	5.9362906185981
PDCL3	6.57239422707771
CLK4	5.72695765355252
KCNG1	5.37189187564028
CXCR4	5.52860529294295
DECR1	7.81442424159473
SALL1	5.12196076642493
PTPRR	3.97017550778389
CADM4	3.56842226295342
IRAK1	9.04331237038292
CFHR5	3.09593764751582
HNRPD	8.0022216801922
TMSB10	11.7136717874085
CXCL3	4.38934131569571
LMAN1	3.62766690724654
SUHW1	3.4630107933163
CHD8	6.9558441832304
SUMO1	8.059918726662
GP1BA	3.58604065828652
OR7A10	3.29256780098635
DDB1	7.15451451868117
CHRNA10	3.80704797408184
STYK1	4.4283484149339
MYO9B	4.52774699262582
CCNI	10.6511734737133
MMP7	8.633361122882
EP300	5.8515985584273
CRNKL1	5.12281899183485
C9orf45	3.02833456902359
XAB2	4.32067469135582
RTN1	7.14673118207569
HIC2	4.51565869719184
TBX10	3.58053886727134
CENPQ	3.8275532069991
UTY	3.19915979697865
OR2W1	3.05649731617939
ATP5G2	9.96632413762258
ZEB1	4.31414314357209
ZG16	3.3739265106599
ERG	4.0538158705676
PARN	6.30660688823112
SOD2	4.85635115005583
JOSD3	7.49619501129314
ADAM5P	3.33341184776414
CHD9	5.55079691722564
hCG_40738	4.06668557487998
STK16	4.33903417532282
PDE1C	3.40462667745477
SEMA4D	5.47052842992786
AGPAT1	5.51906102069765
TOB2	5.05232956921381
BANK1	3.76169548142719
MAP3K3	4.9607239624566
MAX	4.74686885574532
GRM2	3.45261804952159
OSBPL8	7.36373293947565
PROSC	7.65803154702812
NR4A2	3.52291300183321
RICS	4.59384118806252
PIR	5.9355133604334
PPCS	8.03811857060122
IPO9	6.9241600959862
LONP1	6.29447533844828
EVC	4.20355546653176
CXCL13	3.7189293570317
SCYL3	6.1261295584447
KIAA1199	5.19901537598221
SORL1	5.63090098260576
NAT10	6.87877201712047
CHD1	5.47088274877047
SYN3	3.51466397681173
DMC1	3.8897274956162
SLC22A2	3.36182025040297
SERPINF1	9.950441896985
C20orf27	5.74067190533143
OR7A17	3.01590824688761
RPS6KA5	4.21662094771413
LHB	3.37824325244096
TAOK3	4.51729153054685
STK25	6.6361797408691
SLC12A4	3.60580039184673
BRCA1	3.94161192657147
GBL	4.59343135971462
C14orf108	6.71753335255167
CDC25B	7.98039465337864
BMP3	3.58587990839522
MAP1LC3C	4.84729653788326
TMEM180	3.56585305404957
CRYGC	3.64282502613513
SLK	6.21904721796128
POU3F1	3.1941699513856
C20orf32	3.89687015135635
USP52	5.61217434803954
HIGD1B	3.92071620739889
BAZ1B	6.4995714792967
USP6NL	5.9871767350997
SLCO2B1	4.01126053168263
ABCD4	4.31951115989155
DIMT1L	5.87750535445837
SLC25A46	6.86452009188039
LARP7	6.0113806611243
TEK	4.03041793389643
CD160	3.73876035456928
TERF2IP	7.7015324788307
PHF20	6.40707011300555
COL1A1	7.59706640039764
KIAA0090	6.0098540685742
GTPBP1	4.25249378693754
