Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_D12_452052
Composite Element REF	Signal
AACS	5.79093199870614
FSTL1	8.38136141684598
ELMO2	5.25558964994091
CREB3L1	4.87060327654419
RPS11	9.57078799604416
PNMA1	6.33616764741187
MMP2	8.70566644899868
SAMD4A	3.85888147614344
SMARCD3	7.15418459106338
A4GNT	3.82091594353334
C9orf39	3.14876950056557
PKNOX2	5.3377070965456
RALYL	3.06938387824124
ZHX3	4.35518747939502
ERCC5	5.50855778426332
RXFP3	3.22220308058271
APBB2	3.80737094092415
BBOX1	5.90751711846569
PRO0478	3.31024858965142
GCSH	7.18966547793728
XDH	3.99191233237520
EDN1	3.74652744221385
MTERF	5.69116460301383
PDCL3	5.99193965813479
CLK4	5.61214149393809
KCNG1	4.31527908178739
CXCR4	5.79804555335006
DECR1	6.48592325566346
SALL1	3.32320020549082
PTPRR	3.26347180605724
CADM4	3.53142917608131
IRAK1	8.2725305504937
CFHR5	3.34956780980216
HNRPD	7.52649028435109
TMSB10	11.5584495586221
CXCL3	4.79403563232926
LMAN1	3.66409795153393
SUHW1	3.46237558249333
CHD8	6.30708321219475
SUMO1	7.02640760697713
GP1BA	3.33505186164985
OR7A10	4.05616718428984
DDB1	7.34689647191851
CHRNA10	3.80080147621339
STYK1	3.35501120396743
MYO9B	4.26241132147627
CCNI	10.0365403783893
MMP7	5.80372200924291
EP300	6.03526073733766
CRNKL1	4.73305246784357
C9orf45	3.47305181386354
XAB2	4.45828957716807
RTN1	3.7808042589957
HIC2	4.05678487954012
TBX10	3.87014569407701
CENPQ	3.35215323786790
UTY	3.18877973234719
OR2W1	2.86146946895519
ATP5G2	9.66624145115782
ZEB1	3.93875150989598
ZG16	3.66153891589948
ERG	3.88182980281668
PARN	6.93703035986428
SOD2	4.48456687879234
JOSD3	8.16345558856136
ADAM5P	3.38155219232172
CHD9	5.84765333985881
hCG_40738	3.82790765836165
STK16	3.9468662164052
PDE1C	3.65880115714518
SEMA4D	6.27788911468426
AGPAT1	6.5232933390159
TOB2	6.49801502807666
BANK1	4.20856510397544
MAP3K3	5.74303066004935
MAX	4.98466043796027
GRM2	4.04046966669982
OSBPL8	7.01061022572356
PROSC	5.50098771917042
NR4A2	3.75994871349742
RICS	5.71819608472805
PIR	4.6442836340407
PPCS	8.93332587337903
IPO9	6.18173811019318
LONP1	6.98706672041898
EVC	4.73416496060382
CXCL13	3.91402638842051
SCYL3	4.43357296184636
KIAA1199	5.53088945790943
SORL1	8.78589881111147
NAT10	6.83948378773232
CHD1	5.70810340605682
SYN3	3.43321394462273
DMC1	3.93444252892797
SLC22A2	3.8421342180985
SERPINF1	8.43357805545292
C20orf27	5.06803543942755
OR7A17	2.94207129810058
RPS6KA5	4.29389130549483
LHB	3.99009963469087
TAOK3	5.58712476525851
STK25	4.49928035050656
SLC12A4	3.90080758140901
BRCA1	4.05479589860253
GBL	5.76950898635501
C14orf108	8.05028726304954
CDC25B	6.66648245528794
BMP3	3.38124007315854
MAP1LC3C	3.32210928442995
TMEM180	4.25692634280648
CRYGC	3.58595954083669
SLK	5.45171998065508
POU3F1	3.45090389255761
C20orf32	4.1923134357782
USP52	5.32046605212472
HIGD1B	4.00227164926767
BAZ1B	7.49406000106546
USP6NL	5.72577760856575
SLCO2B1	4.06131943823257
ABCD4	4.63330191573816
DIMT1L	5.23626855092578
SLC25A46	5.96591063822204
LARP7	6.2797505556872
TEK	3.56201341615125
CD160	3.75770902764249
TERF2IP	7.20859085191696
PHF20	5.81573322604085
COL1A1	8.2983098562102
KIAA0090	5.39544640453405
GTPBP1	4.43783904555676
GRK5	3.63388789294486
AP1S2	4.91913620050680
RAB33B	4.34800705654016
CA11	4.4415752095275
ALDOC	5.53909655574376
NUDT1	4.44665575495296
ZNF212	5.40089480676811
ACBD3	7.62026133501006
ZNF83	5.48854834795496
PRDM2	4.95444092664685
GDPD5	6.40448856465661
PDCD4	5.02818346158746
CEP350	6.6247511766734
FOXP3	3.52098116554465
SMYD3	5.50707235908157
CST7	4.56041213995283
SELL	3.57332566960091
CIAO1	6.3161626006388
LGI2	3.89266259628058
WDR45	6.56200328118001
ANKRD6	4.95117824439656
LTBP4	4.04417930224679
PSCD3	3.72727349900087
PYY	3.32200624168738
KCNC1	3.34908168191971
SIRT6	4.19957575053026
CCL19	3.84550440768553
ARHGEF9	4.19676884758441
ABR	4.8021629180887
C10orf22	5.93541120516645
STK17A	4.24017132003669
FOXE1	3.40670067640966
GML	3.29425544216726
CNGA3	3.06855558137715
CD38	3.50423733088629
ZDHHC6	6.34381707956442
NEFH	4.82519793548226
PGBD5	3.50786273616165
CTDSP2	6.95570382143667
RMND5B	5.40137641920309
ZNF257	3.37245155352815
DUSP4	5.96911543543432
FLJ22167	4.85464166631155
EXOSC7	5.53761323163449
ROR2	3.67067245549071
FOXM1	5.06113218377530
ZBTB48	4.69408917983776
BUD31	7.7779186617377
MAOA	3.84404503216587
CCDC41	4.48597507738235
TNNT3	4.12025591547423
FBXO11	5.79424093544463
GYPC	5.94602456175745
PLIN	3.77683168530896
RFXAP	3.62647694731873
C6orf15	4.61526771815588
RNF4	8.02381102550864
F8A1	8.51203970901447
PPP1R3D	4.96665963913378
GRB2	7.89632131612959
TPM3	3.07154337753658
SYT13	4.14909973815946
EPB42	3.62213629625798
RP5-1077B9.4	5.2546222484888
EIF1	9.21858052932828
CETN3	5.84517033716089
FPGT	4.58874059445471
PRY	3.46444815728534
NTHL1	5.35877620289436
POLR2B	7.92744939048448
RPS28	11.1052008577247
GDF10	3.08085525340722
COQ9	7.37870946911229
P2RX3	3.42554682450427
GCC2	6.13052437436853
RARRES3	6.03962560083016
PLXNA1	6.52235344388735
WBP4	5.10322584829903
KIAA0100	5.61426893958706
PMF1	6.7501570863414
HS2ST1	5.03697142286654
CRELD2	6.37470706456497
C8G	3.23978293066217
CD82	6.14578540573557
PMM1	4.28127409710615
CBLL1	4.33120535283901
LIM2	3.49351686750942
VAX2	4.62464855973167
SETDB1	5.15233064881085
LRAP	3.24171496021643
GCLM	4.71246581185578
CPEB3	3.43057837566491
PPM1A	5.63779751126646
INTS1	4.30928316088553
MMP16	3.32029980772026
CAMTA1	3.26447152210529
SAMSN1	3.99648357430612
DRD3	2.87393922023974
GMPPA	4.62696091150068
C11orf73	4.50676942572745
AIPL1	3.77344520353663
PTP4A2	8.1141394719742
IL24	3.40237052235672
BDKRB1	3.74964093644447
HPCA	3.59713916476614
MLF1	4.98668359909906
SEC14L1	7.72348274025762
CHFR	5.24779629376536
EMILIN1	3.91451214493028
THADA	6.91738455465668
TAF12	4.40245184787106
NDUFS4	7.11750835729375
ID1	4.68727817338416
PIK3CB	4.27611346935533
COL18A1	7.63693255934335
PDZD3	3.34794800728815
TBC1D17	5.23796541736197
COX8A	9.29918076297449
CDCA4	7.61438128474334
C2orf44	4.89855175464545
C9orf16	8.49405584925708
ERBB2IP	7.2178623201512
EMX2	9.22817809407628
FUS	6.08699319147797
NIPSNAP3B	3.42669383159862
TF	3.61320864458346
CXorf56	5.18406113290132
CLCN4	3.87224369798868
PWP2	4.57886477161138
MMP15	6.10497187985684
MTMR14	6.55201527790715
NPR1	6.3712476850222
DNAL4	4.73431052652349
ELAC2	4.85864438723058
ASS1	10.7005269239388
IPP	5.45114745915769
TMEM59	9.46958493425114
POLR2J	8.93260837764278
SEC23IP	4.74815721754386
RGS4	3.78785743541866
UQCRC1	7.56830036580375
SNX6	7.36363483226235
DDX18	6.81278024441823
POLG	5.00946131842999
ADAM23	4.03874470998849
ZNHIT2	5.13145853859773
TFR2	3.54863191321235
NCDN	4.58203812687580
RAG1	3.44137625062057
POMT1	4.62329902567879
CYP1A1	3.94783505950746
SNAPC1	5.78343661880433
GNA11	5.61624213259184
CCDC52	2.82587336942329
CAPN1	7.1806990924452
DDHD2	6.13935618157983
UPF3A	4.84975346124687
LAGE3	6.35314803726524
GNRHR	3.26789109511725
UNC13B	5.35335631145398
TTLL4	4.03976346855369
PPBP	5.32257075408332
HTR3A	3.98980305584925
SDC2	4.46207822270936
ANKRD49	7.24359429097814
BTF3	9.09196829979612
COX7A2	10.2610789857071
SARS	7.17084745072502
C13orf18	3.48277251272207
CACNB1	4.0814728730663
QKI	5.30569412030169
SETMAR	4.59514420636009
LAMB4	3.32954918800509
MAN2B1	6.55166813468011
EML3	6.17168838888142
ACADL	3.25381979171177
OFD1	7.51186567351135
CGA	3.94951309717747
EIF3EIP	9.41398798045821
PEX16	5.56789307808661
GNG12	7.10075167449112
HABP4	5.07559845556627
CNTN2	3.59241517626177
ASNSD1	6.62261970787692
FUT4	3.75820420039019
DBH	3.51851737513598
CD53	5.48835294341054
HIST1H2BJ	3.15375503124283
TFAP2B	3.34412994834200
ACF	3.65342864393775
TMEM11	5.71744863305887
CDH8	3.39555335449128
C3orf32	3.43148089855618
AGPS	4.34043827592149
C4orf18	3.48436822963413
PCCB	7.36296420977927
IPO13	5.57590584652726
PECI	6.32461320189187
UNG	7.21789647940568
C6orf105	3.86936340375076
GSTP1	8.55747118071248
SUV420H1	6.76020746194827
ARHGAP15	4.47134031803679
LTBR	6.89816911916837
TDRKH	3.36491317818009
PSG4	3.49853894166648
SLC9A3R1	6.56641039666181
NBPF3	9.11818733944756
SLC9A3	3.59266678025996
OSBP	6.19194853056831
PRR5	4.8291362268612
CHMP7	5.96923930148538
ADRA1A	3.25339567202391
ASAH1	6.23780251491712
FKBP4	5.66025535413976
ZNF350	4.03772171309603
DOM3Z	4.85824532603639
GIPR	3.93579892516357
AHI1	4.29929900580585
BST1	4.58159022492614
NCR2	3.78671751235013
NADSYN1	5.2720929546468
UBE2W	5.46015726543956
RGS14	4.0906661719858
KRT15	4.53707463717506
SCN11A	3.80356840279698
GFI1	3.9496506788202
FHL1	3.89344106045554
SMC6	5.70469922866873
GATA1	3.90381281549073
OSGEP	4.92566010214482
ARMC6	4.96176611053459
HK3	3.74417655852469
PSMD5	6.81885275338008
RSU1	7.58783152703303
RPL4	11.7220695552003
MAD2L1	6.01342116228955
RBPMS	4.83907871749287
EIF4A3	8.63401634157333
E4F1	5.4507063419234
DLEC1	3.90057765242268
PRPF3	5.23012117134858
EMR1	3.26020314550056
CHMP2B	5.56502837754141
CAMSAP1	4.65403448450018
RPS21	9.10267257222818
XCR1	3.41491422544730
ARID5A	4.94994209485261
RBM6	5.1848187565514
UBE2N	7.15540517818686
KLF4	4.03231079305616
MGC4172	3.94213431486404
LMO4	6.76066371289997
KLKB1	3.58859020947973
HDAC3	5.47995845980853
HP	7.66604701470856
SCHIP1	5.60844096108207
BTK	4.09138825064209
KRCC1	7.42970146298276
PRND	3.17800812491792
C6orf27	4.05225841512351
PIGL	3.74964042500963
CLCA1	4.16421244341412
C1orf112	3.75023142043954
OLFML2A	6.04917734688883
HUS1	4.57233581845354
SFRS6	6.42114053326072
CXCR7	7.90879298234698
UIMC1	5.24594143100521
FXYD2	3.94387254568273
GOT2	7.57453105015737
ZNF667	3.31236353042956
TFEC	3.41799205747500
ATP7B	4.37741006405072
RAB38	2.79951700892792
POLD2	6.78012861814509
PPM1H	5.43291790153265
DCX	3.23177182301149
NFYC	5.8406226424747
ZNF228	2.86631556289498
KIN	4.74352514326487
PLSCR4	5.2636379959842
HIST1H4I	4.15723420190289
PPARGC1A	3.28761812227291
HIG2	7.52101951841623
KCNK10	4.51456682665598
EXOC1	7.2818329862454
OR6A2	3.58435263601162
ETFA	7.07699609874904
PDAP1	4.87270625103263
C19orf6	3.71619305099438
POLRMT	4.34023641525721
ZNF146	6.60881903155648
MIA2	3.41952716449957
LY6G6E	3.33524436119184
EIF4E2	7.38306799349886
NENF	5.11530040842091
HOXB5	6.36092850775458
ZNF324	4.60311784460252
CUGBP1	4.03196465002704
ENTPD7	4.07435268155077
TTC13	4.94783095825689
GJB5	3.4657188429558
PRSS22	5.30035744839148
CYP3A5	3.50589221838812
MBOAT5	4.16353451651494
CUL4B	4.40963242003464
CENPJ	3.54002738375489
KIAA0664	6.93601818540614
PITX1	3.44457159650534
PDGFRB	6.06524272593763
RDX	5.41779805871986
CELSR3	4.50751218301888
JUND	6.28647104339391
ITSN1	4.73078034393279
CHRNB1	4.59821496690704
EHBP1L1	3.62443393287886
C19orf2	5.12486154234296
FETUB	3.11382179492334
CAMK2B	3.31149472723607
DCTN1	6.52852791540038
TNKS2	6.8274028925524
MRTO4	7.14172439538507
C1QBP	5.84682853761625
TTC3	7.67102592520083
NDUFB8	8.8326942906667
CADPS2	4.06423539256179
EDG2	4.58900656021971
MYF5	3.05006817210096
SEMA3G	3.47885242716744
IL23A	4.34633030716004
GJA9	3.9075054745182
R3HDM2	7.4607443432857
C5	4.23683624349805
SLC2A10	6.64897465878697
TRIM45	4.78474505999766
TSP50	4.39738896404987
PAQR3	3.98861257684256
ANKRD26	3.59760283770726
TCP1	6.59219444487436
TMED7	6.15331204415961
CMA1	2.96730815392828
PTCRA	4.79163936097934
HCRTR1	3.96856098256744
FST	4.32842635220102
PAWR	3.75484551230669
LDLR	4.05176073597081
ASTN2	4.07346381834035
SCRN1	6.55397280272362
GPATCH8	6.82318499526348
KIF4A	4.72818833323256
TANC2	4.35813713032171
ZMYM5	3.97405505955666
PGM1	8.29020436966746
ZNF586	4.21672143934269
POLR3G	3.81970305511529
CPD	5.24907872225767
SNCAIP	4.09362646355504
DCT	3.6462627091287
HLA-DOA	3.61128421003205
TANK	5.9476183905269
RCAN1	4.13680685710303
