Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_D09
Composite Element REF	Signal
AACS	6.64127441645663
FSTL1	7.82814026213148
ELMO2	6.10352697830461
CREB3L1	3.63165211978213
RPS11	9.91219715198221
PNMA1	7.68315108191618
MMP2	7.73448191983613
SAMD4A	3.83040166411504
SMARCD3	7.5427917143398
A4GNT	3.84932071829182
C9orf39	3.52257518600469
PKNOX2	3.89610647356367
RALYL	4.47474011923732
ZHX3	4.34144077613624
ERCC5	4.93318645581326
RXFP3	2.86583236484728
APBB2	4.50620381217705
BBOX1	6.4846242803548
PRO0478	3.09859693914158
GCSH	8.82221253681938
XDH	3.51420597754132
EDN1	3.54330469448926
MTERF	6.19396338888512
PDCL3	7.71524354968116
CLK4	7.16650851776169
KCNG1	5.97873786152879
CXCR4	8.92020708911636
DECR1	6.74733713015615
SALL1	3.11332916976682
PTPRR	3.43143983486378
CADM4	3.19136259239384
IRAK1	8.42459368375194
CFHR5	3.22146307178840
HNRPD	8.12659892885998
TMSB10	11.3675452615581
CXCL3	3.98934425601066
LMAN1	4.11674768901841
SUHW1	3.36034036020671
CHD8	5.41016198928781
SUMO1	7.77145178867231
GP1BA	3.37988796546264
OR7A10	3.88466512703089
DDB1	7.1343415529292
CHRNA10	3.68401735296389
STYK1	3.28974382430787
MYO9B	4.28803061086471
CCNI	10.3416738190714
MMP7	9.28240678961581
EP300	6.43901844348535
CRNKL1	7.80737526500488
C9orf45	3.07107686533060
XAB2	4.97544532417853
RTN1	3.79762650125839
HIC2	3.96859894873522
TBX10	3.47981306850374
CENPQ	4.92690881148364
UTY	3.16422441480382
OR2W1	2.84804167867700
ATP5G2	10.7284961246301
ZEB1	3.24891171497197
ZG16	3.44006377699012
ERG	3.51561430680284
PARN	7.92204208814345
SOD2	5.7241582581411
JOSD3	8.63576903753929
ADAM5P	3.22088723045852
CHD9	5.69260337078755
hCG_40738	3.89689130241549
STK16	5.19620122682486
PDE1C	3.61748517709957
SEMA4D	5.11426086684036
AGPAT1	6.47079240883342
TOB2	5.57355161794742
BANK1	3.08254978269164
MAP3K3	5.72722093215376
MAX	5.10019616502498
GRM2	3.71180180658432
OSBPL8	7.70028900054878
PROSC	6.49742867188524
NR4A2	4.2967011627767
RICS	4.56951134126716
PIR	5.61572335734378
PPCS	8.94221979485262
IPO9	6.8096059412
LONP1	7.45031833414237
EVC	4.39964691986619
CXCL13	4.12355010294111
SCYL3	7.0996582575764
KIAA1199	6.76590217591178
SORL1	7.51043448182683
NAT10	6.92815788706046
CHD1	6.55963417222335
SYN3	3.30694489146211
DMC1	4.2489675791795
SLC22A2	3.90166120376628
SERPINF1	5.46453615335364
C20orf27	6.10395639205867
OR7A17	3.15352636484334
RPS6KA5	5.00412100433472
LHB	3.51025976956888
TAOK3	4.51337268174561
STK25	5.79798937023934
SLC12A4	3.58057578410986
BRCA1	5.05105489848044
GBL	6.77830627528066
C14orf108	7.6110046413277
CDC25B	8.08990995947371
BMP3	3.18606707448471
MAP1LC3C	3.26427406863859
TMEM180	3.39731910495774
CRYGC	3.76559093301255
SLK	5.40937228905119
POU3F1	3.21799584718381
C20orf32	3.72187739019497
USP52	7.72504718534981
HIGD1B	3.98186547138278
BAZ1B	6.25268997219225
USP6NL	4.93949438479338
SLCO2B1	4.25076536700842
ABCD4	4.50084151493942
DIMT1L	5.94836625121361
SLC25A46	7.6699144506834
LARP7	7.50396315080108
TEK	3.42481585346634
CD160	3.70596759059387
TERF2IP	7.55848272422674
PHF20	6.40388385693425
COL1A1	5.14720135303711
KIAA0090	6.78106359780587
GTPBP1	4.6371215596236
GRK5	3.61030362358906
AP1S2	5.1557894779095
RAB33B	4.45603174006263
CA11	4.93462807430646
ALDOC	6.09505586949168
NUDT1	5.36760444722591
ZNF212	5.73362733530201
ACBD3	7.52992412647336
ZNF83	7.10695408375618
PRDM2	4.80770916282451
GDPD5	6.85384701986862
PDCD4	6.47855609932721
CEP350	5.96054306894983
FOXP3	3.29758339557653
SMYD3	7.49119302116664
CST7	3.87214363400451
SELL	3.82538342017556
CIAO1	6.49277884556486
LGI2	3.81330140673608
