Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B03_547220
Composite Element REF	Signal
AACS	7.21414403762937
FSTL1	9.92899810325967
ELMO2	6.31733822045469
CREB3L1	4.65724549557151
RPS11	9.7411811904366
PNMA1	8.29910178925562
MMP2	8.11367620267541
SAMD4A	3.84382293213091
SMARCD3	5.67467191095936
A4GNT	3.49333752868992
C9orf39	3.0493867676848
PKNOX2	3.81602660951161
RALYL	3.23724016327114
ZHX3	4.48734620293252
ERCC5	5.4699848064138
RXFP3	3.08884144275619
APBB2	4.39630727053461
BBOX1	5.0034546036796
PRO0478	3.04944576567442
GCSH	6.97544401216657
XDH	3.53182952008262
EDN1	3.60539745152331
MTERF	6.10915378596809
PDCL3	8.1171571708957
CLK4	5.93669840823928
KCNG1	4.03985715754588
CXCR4	5.82689862874983
DECR1	8.05894200848998
SALL1	2.95329088718467
PTPRR	3.36217968327859
CADM4	3.45505337049636
IRAK1	8.3668736540786
CFHR5	3.21978625144927
HNRPD	7.43229555440547
TMSB10	11.9598729379319
CXCL3	3.63109366187757
LMAN1	4.031912839163
SUHW1	3.37544676136917
CHD8	5.76444845927767
SUMO1	8.2347997469107
GP1BA	3.57405412500796
OR7A10	3.76760841824093
DDB1	7.42678032254996
CHRNA10	3.93751076836188
STYK1	3.56181781028290
MYO9B	4.70855170161578
CCNI	9.83935518496688
MMP7	5.62693663362149
EP300	6.26037717870301
CRNKL1	6.50633748744411
C9orf45	3.41205486180951
XAB2	4.19448244497504
RTN1	4.87570192553216
HIC2	4.94818629727573
TBX10	3.61335322505936
CENPQ	3.83466720763231
UTY	3.14268623460676
OR2W1	2.93704095949672
ATP5G2	10.5639907028660
ZEB1	3.83825784683903
ZG16	3.65362817745243
ERG	3.45512814179611
PARN	7.0060491727603
SOD2	4.0105234961105
JOSD3	7.1029664514961
ADAM5P	3.15465573863775
CHD9	6.15028852586974
hCG_40738	4.20140410396404
STK16	5.73050081880582
PDE1C	3.71677749981418
SEMA4D	5.06105865997568
AGPAT1	6.52985813599471
TOB2	5.82616964538727
BANK1	3.53626037942338
MAP3K3	5.65179668165158
MAX	4.71814862239625
GRM2	3.69218042785769
OSBPL8	7.48438839082059
PROSC	5.89213884603871
NR4A2	4.85380410240225
RICS	5.68178358551341
PIR	4.65616307468692
PPCS	9.25476928112547
IPO9	6.46024452354674
LONP1	7.49204252469384
EVC	4.50693161130340
CXCL13	4.11937368156122
SCYL3	5.15234937334821
KIAA1199	4.87975645167014
SORL1	7.31092724975581
NAT10	5.88036814745268
CHD1	6.28820188294818
SYN3	3.70395097883804
DMC1	3.93593773092595
SLC22A2	3.44393794812718
SERPINF1	8.46635718952789
C20orf27	5.16714599156625
OR7A17	3.17380185660214
RPS6KA5	4.06476167468885
LHB	3.80930143469596
TAOK3	4.57223738589692
