Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B04_451992
Composite Element REF	Signal
AACS	7.17627588910366
FSTL1	8.16679519368376
ELMO2	6.63385408877336
CREB3L1	3.73964651259088
RPS11	9.88832065248696
PNMA1	9.18660620613398
MMP2	4.75671654340099
SAMD4A	3.55347414921376
SMARCD3	5.16429823617862
A4GNT	3.52854961491425
C9orf39	3.13453097980239
PKNOX2	4.22245796980627
RALYL	3.18800652315768
ZHX3	4.50116307178484
ERCC5	5.83536309171907
RXFP3	2.98624915615361
APBB2	4.2748169045964
BBOX1	3.13040685426290
PRO0478	2.8021070923636
GCSH	8.90817782726692
XDH	3.78229859582925
EDN1	4.22110340076788
MTERF	6.63343518382846
PDCL3	8.26362897064357
CLK4	5.61743428309885
KCNG1	3.83071267676705
CXCR4	6.45713285045284
DECR1	9.13391811195619
SALL1	3.21813098820756
PTPRR	3.23614604950751
CADM4	3.55579687883657
IRAK1	8.48521991720455
CFHR5	3.14913323854877
HNRPD	8.85986763234546
TMSB10	11.5312863816554
CXCL3	3.40562880095662
LMAN1	3.60625801363281
SUHW1	3.80555407383371
CHD8	6.80273781709753
SUMO1	8.3109860316016
GP1BA	3.21496960361117
OR7A10	3.59261089739648
DDB1	7.7696089628618
CHRNA10	4.31264355287853
STYK1	3.48278051231309
MYO9B	4.7035006175024
CCNI	9.64144399566942
MMP7	5.17145918789959
EP300	7.05155182546602
CRNKL1	8.49060682287598
C9orf45	3.19027908689257
XAB2	5.3954486272911
RTN1	3.54075912975864
HIC2	4.81429631951519
TBX10	3.51319724044278
CENPQ	5.1254431109345
UTY	3.03577605182315
OR2W1	2.97333292709838
ATP5G2	10.4201754790393
ZEB1	3.30427778384299
ZG16	3.37040698652404
ERG	3.63490142844224
PARN	6.57280903376338
SOD2	4.34579450475639
JOSD3	8.55036551505305
ADAM5P	3.35188334119981
CHD9	5.68412289754162
hCG_40738	3.83788745589445
STK16	5.3909816951156
PDE1C	3.50140012241305
SEMA4D	4.64025155689266
AGPAT1	6.75430412099265
TOB2	6.2088680968771
BANK1	3.22356162600609
MAP3K3	4.94696114058341
MAX	4.86675710268788
GRM2	3.53927005925175
OSBPL8	7.44227964034113
PROSC	7.29314605373813
NR4A2	6.12904053051272
RICS	4.92956318261753
PIR	5.8603183494078
PPCS	7.966236464874
IPO9	6.89843643030519
LONP1	8.58141817431006
EVC	4.65612029354454
CXCL13	3.82658242884213
SCYL3	5.29748978103419
KIAA1199	4.04301509771643
SORL1	6.98186416519644
NAT10	7.59245441386194
CHD1	6.23839526316379
SYN3	3.34862618496268
DMC1	4.00735001397994
SLC22A2	3.54493236952546
SERPINF1	3.88058581344331
C20orf27	8.27550461978109
OR7A17	3.24121771789663
RPS6KA5	4.74375142093926
LHB	3.34598097574401
TAOK3	4.99715630381746
STK25	6.6217639354281
SLC12A4	3.86051509721121
BRCA1	4.63452370712555
GBL	6.02632401724428
C14orf108	7.71452370308354
CDC25B	9.1294448091504
BMP3	3.26519065998076
MAP1LC3C	3.40330399364212
TMEM180	3.78376281643616
CRYGC	3.89339069432803
SLK	5.96864368073878
POU3F1	3.248782032203
C20orf32	3.88353964564829
USP52	6.16117940889359
HIGD1B	3.96154754972529
BAZ1B	7.12859618080373
USP6NL	6.34242250483194
SLCO2B1	3.85512453814886
ABCD4	4.85084009113287
DIMT1L	6.5394176273285
SLC25A46	6.59786842481898
LARP7	7.62667656740783
TEK	3.38080307210717
CD160	3.49180649974431
TERF2IP	7.52767123923258
PHF20	6.7902322453918
COL1A1	5.76653153710743
KIAA0090	5.71077186272002
GTPBP1	4.59357793572804
GRK5	3.69256644538134
AP1S2	6.7498147115071
RAB33B	4.86762365958167
CA11	4.22974531971712
ALDOC	6.09304724207292
NUDT1	6.30803663884471
ZNF212	5.98796134414947
ACBD3	7.04450568488064
ZNF83	7.13991429991
PRDM2	5.02070990054048
GDPD5	5.16263365206949
PDCD4	6.2576420578628
CEP350	6.33237533975159
FOXP3	3.25340808001646
SMYD3	7.51127164790244
CST7	3.62547441906834
SELL	3.50227557204609
CIAO1	6.96896528849447
LGI2	4.4687249578856
WDR45	7.18256560362322
ANKRD6	5.85792614941076
LTBP4	4.62589218668972
PSCD3	3.77310237405191
PYY	3.37389465859597
KCNC1	3.27962857450406
SIRT6	3.92747398621662
CCL19	3.60344671494638
ARHGEF9	4.9147945987742
ABR	4.38884476609444
C10orf22	6.66917172986607
STK17A	4.91875571141997
FOXE1	3.34237095864451
GML	3.0745161792779
CNGA3	2.84323005079993
CD38	3.02625967518152
ZDHHC6	7.70212479865472
NEFH	6.2278067291261
PGBD5	3.55736833948709
CTDSP2	7.12431744994876
RMND5B	5.55424291284307
ZNF257	4.69424681765034
DUSP4	3.17429026605284
FLJ22167	6.1361381486152
EXOSC7	7.38218797242453
ROR2	3.23748803346333
FOXM1	5.77762775782013
ZBTB48	4.76995968336603
BUD31	8.03014207731779
MAOA	4.70329582291033
CCDC41	5.31237447199068
TNNT3	4.06789023861187
FBXO11	6.08596496507629
GYPC	5.38859242031434
PLIN	3.39669074340885
RFXAP	3.57999029365754
C6orf15	3.70559421206300
RNF4	8.32184044986628
F8A1	7.56759464451945
PPP1R3D	5.51249357394504
GRB2	7.28185958114177
TPM3	3.0758249630778
SYT13	4.25144773714672
EPB42	3.46656493052132
RP5-1077B9.4	5.01423335382730
EIF1	10.1775405896866
CETN3	8.63141144316054
FPGT	4.8819451557188
PRY	3.47414187233327
NTHL1	5.32314549344061
POLR2B	9.4907235920123
RPS28	12.4010815841635
GDF10	3.21784768022311
COQ9	7.47145171071225
P2RX3	2.90869267334527
GCC2	7.34810663756128
RARRES3	3.14347663814493
PLXNA1	6.48093475459898
WBP4	4.82033158970507
KIAA0100	6.75628490399711
PMF1	7.29295529385309
HS2ST1	5.93415075509923
CRELD2	6.76038819275578
C8G	3.23112740848732
CD82	5.33299042525365
PMM1	5.78731773098602
CBLL1	5.36344447989315
LIM2	3.46807211700383
VAX2	5.80572281747833
SETDB1	5.71239727336205
LRAP	2.81033265022577
GCLM	5.42226473755031
CPEB3	3.34837926792652
PPM1A	5.9664804565335
INTS1	4.63709092755556
MMP16	3.08524924468195
