Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A03_471890
Composite Element REF	Signal
AACS	7.50366502239089
FSTL1	6.55559539668519
ELMO2	6.3314554998576
CREB3L1	3.74594989942830
RPS11	9.28014122274285
PNMA1	9.09555863592973
MMP2	5.51879756604073
SAMD4A	3.59255387183497
SMARCD3	6.38573380021708
A4GNT	3.59004434102557
C9orf39	3.22773946498792
PKNOX2	5.71536097528826
RALYL	3.68624788091563
ZHX3	4.29359456994834
ERCC5	5.45779504191283
RXFP3	2.91382265600533
APBB2	3.62673649260206
BBOX1	3.81961448103603
PRO0478	3.11775691071486
GCSH	9.22739795564694
XDH	3.89730954940200
EDN1	3.26727004807582
MTERF	5.96648802560038
PDCL3	8.5016628859693
CLK4	5.25952260626229
KCNG1	5.19973434149497
CXCR4	8.55608407681248
DECR1	8.07989033375587
SALL1	3.40952637926883
PTPRR	3.36224470884923
CADM4	3.38729768245893
IRAK1	8.36918862745149
CFHR5	3.15834942835742
HNRPD	8.05867782779926
TMSB10	11.4857161958117
CXCL3	3.58976576789594
LMAN1	5.11512193689746
SUHW1	3.5537090861673
CHD8	8.93049119529624
SUMO1	8.27838522334749
GP1BA	3.29592626219289
OR7A10	3.58395065867635
DDB1	7.80296652966903
CHRNA10	3.41826531073772
STYK1	3.44309884909891
MYO9B	6.4501451253967
CCNI	10.2197273258308
MMP7	10.1166775801586
EP300	6.72961151277506
CRNKL1	7.43849987083662
C9orf45	3.23639658956189
XAB2	4.00441216851995
RTN1	3.27538654197362
HIC2	3.6975375439722
TBX10	3.57508204947098
CENPQ	3.69239766189558
UTY	3.09256650351077
OR2W1	3.11101019021670
ATP5G2	10.4876835374111
ZEB1	3.33944839935143
ZG16	3.60624524738835
ERG	3.55677054659448
PARN	6.81428614785387
SOD2	3.71588440333909
JOSD3	7.73583395176727
ADAM5P	3.1564556224919
CHD9	5.67895414277948
hCG_40738	4.45164629005682
STK16	4.93618186720806
PDE1C	3.64530891789265
SEMA4D	5.46323361241752
AGPAT1	6.50022943532072
TOB2	6.71759516326478
BANK1	5.03005735619435
MAP3K3	4.68838382653244
MAX	5.25298513814619
GRM2	3.72437302050914
OSBPL8	7.1840013354309
PROSC	5.86728505628347
