Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_B11
Composite Element REF	Signal
AACS	7.35366819529885
FSTL1	9.26175463141844
ELMO2	6.20269629274721
CREB3L1	4.09317945337435
RPS11	10.0611809777711
PNMA1	8.87891913128229
MMP2	8.21032695887624
SAMD4A	4.05184468989194
SMARCD3	8.25446179283687
A4GNT	3.58499082025305
C9orf39	3.33036642863527
PKNOX2	3.90429568219336
RALYL	3.22526805172409
ZHX3	4.71330962855126
ERCC5	6.61348025504337
RXFP3	2.85366668179277
APBB2	5.16108081780298
BBOX1	7.93333875171214
PRO0478	2.98961355983992
GCSH	9.75724858520466
XDH	3.93113497431347
EDN1	3.74048631991828
MTERF	7.03770127256479
PDCL3	7.23454469023648
CLK4	6.78378199635933
KCNG1	3.62004874004687
CXCR4	6.82092996278067
DECR1	8.48648668624196
SALL1	3.22062424106133
PTPRR	3.24246646296426
CADM4	3.48550443839606
IRAK1	10.2122130076493
CFHR5	3.00980914433006
HNRPD	8.06556898007301
TMSB10	12.2471372630616
CXCL3	3.59128389894706
LMAN1	4.89764404124848
SUHW1	3.44230166408429
CHD8	6.13939834071239
SUMO1	8.32982206349568
GP1BA	3.13596270604079
OR7A10	3.6255831082536
DDB1	7.08591327525047
CHRNA10	3.55801167780804
STYK1	3.7858488363453
MYO9B	4.46476658787929
CCNI	9.6744140594578
MMP7	7.83953962736662
EP300	6.23406017763149
CRNKL1	6.97702543224904
C9orf45	3.11813251288028
XAB2	3.89462332598706
RTN1	3.86218282319426
HIC2	4.16604934988302
TBX10	3.55602406827411
CENPQ	4.86411348790505
UTY	3.04892467181519
OR2W1	2.85416405569874
ATP5G2	10.1388393978924
ZEB1	4.03863286549284
ZG16	3.41090236129217
ERG	3.96986365286046
PARN	7.25985544700693
SOD2	5.84648358304077
JOSD3	7.97216506813583
ADAM5P	3.14242370927214
CHD9	7.11313169096741
hCG_40738	4.02895434865123
STK16	5.58614078850951
PDE1C	3.69286958882892
SEMA4D	5.47479828437037
AGPAT1	5.73292446995002
TOB2	6.26195343396825
BANK1	4.56330370360756
MAP3K3	5.64339294549294
MAX	5.60363358857662
GRM2	3.65661830969187
OSBPL8	7.78228139615066
PROSC	5.58787970012938
NR4A2	6.0956967332098
RICS	4.38063690037623
PIR	5.39289909824001
PPCS	9.00964275870898
IPO9	5.8693143553013
LONP1	7.20593132752864
EVC	4.61134173839249
CXCL13	4.14014622628399
SCYL3	5.77558958539815
KIAA1199	6.64574417641675
SORL1	8.16963283066322
NAT10	6.91957823499886
CHD1	6.78170438811971
SYN3	3.44247505767459
DMC1	3.88495180833029
SLC22A2	3.69989053917158
SERPINF1	8.77227701533244
C20orf27	5.82479825187925
OR7A17	3.10041531443268
RPS6KA5	4.90965681675561
LHB	3.29792491820520
TAOK3	5.3610020260807
STK25	5.58952451529894
SLC12A4	3.55510046422657
BRCA1	4.47514116348281
GBL	5.83694363557774
C14orf108	8.76075222552215
CDC25B	7.25351397644815
BMP3	3.09516213636716
MAP1LC3C	3.06914652110292
TMEM180	3.13139761962516
CRYGC	3.48475923263324
SLK	6.01323508425428
POU3F1	3.06579575308172
C20orf32	3.68452573709495
USP52	6.96130033741626
HIGD1B	3.64936243189657
BAZ1B	7.17812973526734
USP6NL	5.12555157718108
SLCO2B1	4.483493774437
ABCD4	5.2546925953846
DIMT1L	6.3410356777491
SLC25A46	7.51145335594857
LARP7	7.65811961044066
TEK	3.68344967758023
CD160	3.59469773621666
TERF2IP	8.55543905897457
PHF20	6.38096975297702
COL1A1	9.0197227201641
KIAA0090	6.44897529613254
GTPBP1	4.2790692557782
GRK5	4.00541279021995
AP1S2	5.34750134370738
RAB33B	5.40561490897912
CA11	4.80003488411507
ALDOC	5.82576596163616
NUDT1	5.65491688171805
ZNF212	6.1770485638189
ACBD3	6.93045934170681
ZNF83	7.54046472584515
PRDM2	5.23683201108095
GDPD5	5.74812813786596
PDCD4	5.80300960638444
CEP350	6.36577616919577
FOXP3	3.11466867243245
SMYD3	7.0229857598559
CST7	4.60520051800572
SELL	4.00594504107222
CIAO1	6.7441687551953
LGI2	3.54114566535281
WDR45	6.97341806749752
ANKRD6	7.83936614259994
LTBP4	5.48243870563077
PSCD3	3.44719360626719
PYY	3.06156813918844
KCNC1	3.07811952787195
SIRT6	4.06649704484647
CCL19	3.81708651325993
