Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G09_516358
Composite Element REF	Signal
AACS	6.65758166402432
FSTL1	7.98376098146972
ELMO2	5.64185540152267
CREB3L1	3.94936695240246
RPS11	9.58938678551901
PNMA1	6.66584322932536
MMP2	7.60557333496923
SAMD4A	3.49250553503706
SMARCD3	6.16262704518854
A4GNT	3.6464815843347
C9orf39	3.12354394610085
PKNOX2	4.16477437769260
RALYL	3.21385045507958
ZHX3	4.45599487981196
ERCC5	5.37724840021262
RXFP3	3.21346040201617
APBB2	3.73963343178376
BBOX1	4.96558553057234
PRO0478	3.13151364607083
GCSH	7.394442545156
XDH	3.57921337562149
EDN1	3.51165639304433
MTERF	6.26744494550674
PDCL3	7.70283574762313
CLK4	5.70161676337729
KCNG1	4.61594029384949
CXCR4	9.2237214314494
DECR1	7.10936440479567
SALL1	3.14777088252826
PTPRR	4.89830098162849
CADM4	3.63975227311093
IRAK1	9.30106883411785
CFHR5	3.48440498670778
HNRPD	7.82065627076046
TMSB10	11.7872074139434
CXCL3	4.36405902450315
LMAN1	3.78833161486662
SUHW1	3.34739077142936
CHD8	4.87841880707216
SUMO1	8.10566270038984
GP1BA	3.21659578671144
OR7A10	3.95658291906945
DDB1	7.35275793030646
CHRNA10	3.70033493721346
STYK1	3.45882786448728
MYO9B	4.27129787948646
CCNI	10.3354927185438
MMP7	6.34951854298315
EP300	5.82322475088865
CRNKL1	6.26229933673554
C9orf45	3.18212789007874
XAB2	4.03877216749114
RTN1	3.59960427586149
HIC2	3.67551852071495
TBX10	3.51705551458341
CENPQ	3.95568936774116
UTY	3.20448801185357
OR2W1	2.96874684906961
ATP5G2	10.4524519036740
ZEB1	3.74006647736212
ZG16	3.63459460664187
ERG	3.68175753252635
PARN	6.86307624224421
SOD2	5.50060388626381
JOSD3	7.7943356427347
ADAM5P	3.21850204342205
CHD9	4.36514913680683
hCG_40738	3.8488763870174
STK16	5.21614799547852
PDE1C	3.39276483587326
SEMA4D	4.98947930400227
AGPAT1	5.99267829521647
TOB2	5.33146055702762
BANK1	3.92990481414591
MAP3K3	5.10347767477058
MAX	4.57142074977665
GRM2	3.97444627529499
OSBPL8	6.4582969626124
PROSC	6.27825518505915
NR4A2	3.97704299384946
RICS	5.02668603561591
PIR	7.12171894286062
PPCS	8.84074489054477
IPO9	6.2212668718879
LONP1	6.58320801386921
EVC	3.72005352048776
CXCL13	4.33440014457698
SCYL3	5.07283883536147
KIAA1199	4.28512546782443
SORL1	7.81611335283586
NAT10	7.18149336375283
CHD1	6.03789293305787
SYN3	3.49107066123589
DMC1	3.88025294868464
SLC22A2	3.45203670676698
SERPINF1	8.5143767208711
C20orf27	5.69549593722914
OR7A17	3.37478014938320
RPS6KA5	3.90843797623461
LHB	3.76463331618010
TAOK3	4.57179834812952
STK25	6.10112515559637
SLC12A4	3.69993712375943
BRCA1	3.75270475506822
GBL	5.42602834317961
C14orf108	6.15693127384159
CDC25B	7.75499542679458
BMP3	3.49912655044833
MAP1LC3C	3.58530745667511
TMEM180	3.35251912795502
CRYGC	3.88985261397367
SLK	6.5426387056548
POU3F1	3.42207439315788
C20orf32	3.92550898551344
USP52	5.70323160077435
HIGD1B	4.04895210250067
BAZ1B	6.18788710139036
USP6NL	5.83874123232713
SLCO2B1	4.28600211072362
ABCD4	4.12351016194565
DIMT1L	6.33054943365496
SLC25A46	6.79240824136056
LARP7	7.22710955598935
TEK	3.41349687330048
CD160	3.87872515815664
TERF2IP	7.01383617297937
PHF20	6.11516449261046
COL1A1	8.14655034213716
KIAA0090	5.63379855954623
GTPBP1	4.26880453556903
GRK5	3.75460537207368
AP1S2	5.62748523626164
RAB33B	4.31858776744893
CA11	3.92236599497443
ALDOC	5.74294865787727
NUDT1	5.54975000941336
ZNF212	5.47790929838150
ACBD3	7.2545405091602
ZNF83	5.60357756298469
PRDM2	4.48771800242028
GDPD5	4.92906648087195
PDCD4	5.69049977698646
CEP350	4.95685264862441
FOXP3	3.42067780922474
SMYD3	7.30617005018708
CST7	6.05697699746973
SELL	4.09008059021575
CIAO1	6.15828007944369
LGI2	4.06332809200856
WDR45	6.04246529068931
ANKRD6	6.32466469983039
LTBP4	3.71198922875101
PSCD3	3.47227460878504
PYY	3.27457323350959
KCNC1	3.13060543880854
SIRT6	3.95990830416138
CCL19	4.00695623915206
ARHGEF9	3.78785315205430
ABR	4.42033613063675
C10orf22	5.56511846872468
STK17A	4.43688789571994
FOXE1	3.32053876942083
GML	3.23498812371948
CNGA3	3.16158831311262
CD38	3.88783426723149
ZDHHC6	7.043624432429
NEFH	3.81876139703018
PGBD5	4.0336330413931
CTDSP2	6.4124321047127
RMND5B	5.03271015035306
ZNF257	3.99949488453071
DUSP4	4.62043742943012
FLJ22167	4.89522052224679
EXOSC7	5.24955546943604
ROR2	3.96769390437185
FOXM1	5.10118961099299
ZBTB48	4.6805619126699
BUD31	8.61751779764044
MAOA	3.61182101469338
CCDC41	3.96980429445614
TNNT3	4.13068021514464
FBXO11	4.95459907081716
GYPC	5.89992386802467
PLIN	3.60119417849525
RFXAP	3.61327250462061
C6orf15	4.21474732531728
RNF4	8.25071029511526
F8A1	8.55216647437368
PPP1R3D	5.34969454602479
GRB2	7.01369376076215
TPM3	3.13377359329052
SYT13	4.00079296602207
EPB42	3.69640227140609
RP5-1077B9.4	5.29982441228158
EIF1	10.7035120234636
CETN3	7.39514930877469
FPGT	4.94560645233297
PRY	3.52638807646195
NTHL1	5.24390671817687
POLR2B	8.88446167728336
RPS28	11.4219505210455
GDF10	2.98192694788190
COQ9	6.76113585277906
P2RX3	2.89367944244116
GCC2	6.78229949580679
RARRES3	7.78801272369166
PLXNA1	5.98662796645744
WBP4	5.00007601432908
KIAA0100	6.09999367090322
PMF1	6.70132761618605
HS2ST1	5.55259182737278
CRELD2	6.55910187015284
C8G	3.13022521344978
CD82	6.20841730487846
PMM1	4.71285189668196
CBLL1	4.62799067460413
LIM2	3.34844518864453
VAX2	4.08568980481916
SETDB1	5.40816489528058
LRAP	5.59023410102207
GCLM	6.20218197790558
CPEB3	3.24382814569132
PPM1A	5.20256821694828
INTS1	3.83152509369171
MMP16	3.18990311276206
CAMTA1	4.3512557676583
SAMSN1	4.666001165507
DRD3	2.85658975584500
GMPPA	5.12762993609591
C11orf73	5.49761749143835
AIPL1	3.9130633350712
PTP4A2	9.05215010157799
IL24	3.59052617524879
BDKRB1	3.17361782176705
HPCA	3.71092632237983
MLF1	6.55464423634651
SEC14L1	6.1408149518552
CHFR	5.40766194832171
EMILIN1	4.02424504389694
THADA	5.7882640978829
TAF12	6.20764099940987
NDUFS4	8.55569941740699
ID1	6.0368832461044
PIK3CB	3.65783850804504
COL18A1	7.27954427253775
PDZD3	3.07162487892582
TBC1D17	4.97490537420726
COX8A	9.968942092957
CDCA4	5.90280318102606
C2orf44	4.5285006117022
C9orf16	7.87460197621365
ERBB2IP	7.9038240296834
EMX2	6.95515421306502
FUS	5.69749310892704
NIPSNAP3B	3.35963657193474
TF	3.33267472140268
CXorf56	4.90617607155782
CLCN4	3.56392369294753
PWP2	6.81686598385142
MMP15	4.05128479413003
MTMR14	5.9633105459713
NPR1	6.75913916485077
DNAL4	5.3182964825834
ELAC2	4.49862999531572
ASS1	11.0534803184533
IPP	5.48745918810097
TMEM59	9.94004532898308
POLR2J	9.00778405142708
SEC23IP	5.58604008543917
RGS4	4.67577692853254
UQCRC1	8.22189166837634
SNX6	7.49330942862585
DDX18	7.34194047607128
POLG	4.7729464789334
ADAM23	4.48567984060008
ZNHIT2	4.77443479612954
TFR2	3.39007315535094
NCDN	4.24391949850926
RAG1	3.64341177319597
POMT1	4.94092425224069
CYP1A1	3.56790642029194
SNAPC1	5.37897968409349
GNA11	5.01355644571968
CCDC52	2.90597544943858
CAPN1	7.19157901516379
DDHD2	6.5907051371589
UPF3A	5.10752647272497
LAGE3	6.99035840945113
GNRHR	3.15270199920639
UNC13B	4.08196642102895
TTLL4	4.81920096594313
PPBP	2.94109409654354
HTR3A	5.10747363405322
SDC2	5.1136113489966
ANKRD49	6.45709864922217
BTF3	10.6430762509272
COX7A2	10.5289844901960
SARS	8.36479778877443
C13orf18	3.56803832745559
CACNB1	3.99935965249244
QKI	5.73833877226501
SETMAR	5.79266391428523
LAMB4	3.32878310918566
MAN2B1	6.4200514437687
EML3	5.47182899259802
ACADL	3.17538766937171
OFD1	7.6597523869648
CGA	3.54143295850709
EIF3EIP	10.078485720423
PEX16	4.88746318831705
GNG12	7.16371922790179
HABP4	4.57456246231262
CNTN2	3.62801727171762
ASNSD1	7.14920721581952
FUT4	3.82709213489395
DBH	3.52135733919838
CD53	7.44485072807297
HIST1H2BJ	3.22274199514135
TFAP2B	3.30806456095418
ACF	3.7412584576367
TMEM11	5.47480187320603
CDH8	3.63135315519042
C3orf32	3.99216775615
AGPS	4.16567712662169
C4orf18	3.29550649649553
PCCB	7.39314532259765
IPO13	4.55123945768733
PECI	6.23340669052269
UNG	6.88589238970221
C6orf105	3.88710624156398
GSTP1	8.79748016048807
SUV420H1	7.0666185739967
ARHGAP15	3.93228486989719
LTBR	6.59057928368405
TDRKH	3.26148464065977
PSG4	3.63912306636053
SLC9A3R1	6.43649411983026
NBPF3	9.09924297525144
SLC9A3	3.75472972811826
OSBP	6.02521561555746
PRR5	4.77820559603094
CHMP7	5.23840678033629
ADRA1A	3.13763957124665
ASAH1	6.41861687280742
FKBP4	7.09898607284285
ZNF350	3.44850793048863
DOM3Z	5.73391256328787
GIPR	3.58255388064897
AHI1	4.59703433743293
BST1	4.58782248724663
NCR2	3.69280000660089
NADSYN1	4.49683403340658
UBE2W	6.24607920008563
RGS14	4.12355262881669
KRT15	5.37316160139383
SCN11A	3.72235123972605
GFI1	3.72662698071282
FHL1	5.58677531964106
SMC6	5.84140358420003
GATA1	3.98090920072152
OSGEP	4.79787304050589
ARMC6	5.01625860345651
HK3	3.42996267786784
PSMD5	6.3265756896127
RSU1	7.2212748384186
RPL4	11.9545159186082
MAD2L1	7.97846582142478
RBPMS	4.7609829215472
EIF4A3	9.18176464464201
E4F1	4.91700077967109
DLEC1	3.54529021172558
PRPF3	6.02000854791465
EMR1	2.91242843474531
CHMP2B	7.0689994646661
CAMSAP1	4.1819202025075
RPS21	10.8039855357628
XCR1	3.59790296914259
ARID5A	4.14668597421614
RBM6	5.7250004681224
UBE2N	7.15284215913185
KLF4	3.92330671840891
MGC4172	4.73955298736245
LMO4	6.47921642845661
KLKB1	3.30904135566355
HDAC3	6.46410509586895
HP	7.82028532595887
SCHIP1	5.35265961263624
BTK	4.14663361832673
KRCC1	7.74171055756505
PRND	3.00415101513829
C6orf27	3.55129262383911
PIGL	3.48379794476299
CLCA1	3.99075829787846
C1orf112	4.23217145270673
OLFML2A	4.73000299109823
HUS1	4.787883832616
SFRS6	8.53269027005435
CXCR7	4.83248173596558
UIMC1	6.80753642604322
FXYD2	3.65668954991815
GOT2	7.21684338149108
ZNF667	3.34709889019759
TFEC	3.98399802780561
ATP7B	4.69336135650857
RAB38	4.38278390206382
POLD2	7.02234613775985
PPM1H	4.58663469313073
DCX	3.29932625898491
NFYC	5.72564303544006
ZNF228	2.81446032765311
KIN	6.06366020981102
PLSCR4	4.66110459071475
HIST1H4I	3.86842865448203
PPARGC1A	3.12367291852095
HIG2	7.7051953146872
KCNK10	4.09013972457069
EXOC1	7.49392689302463
OR6A2	3.39934860159822
ETFA	8.57918931682236
PDAP1	5.99460428580498
C19orf6	3.56540788490894
POLRMT	3.87108929894612
ZNF146	7.27388137572031
MIA2	3.25269964362295
LY6G6E	3.27613960180314
EIF4E2	7.8003032327487
NENF	5.53259706081132
HOXB5	3.72160739839224
ZNF324	3.96172814073008
CUGBP1	3.82677064449544
ENTPD7	3.47304871628499
TTC13	5.54413303312529
GJB5	3.45230057113849
PRSS22	4.50553730944356
CYP3A5	4.93248610204501
MBOAT5	3.90538213856444
CUL4B	5.32217091395487
CENPJ	3.54889620672459
KIAA0664	5.87526405283747
PITX1	4.35013661846806
PDGFRB	4.92380168993103
RDX	6.27718110567026
CELSR3	3.78476272946443
JUND	5.865175575042
ITSN1	5.1176513441488
CHRNB1	3.39443325537774
EHBP1L1	4.1531955925171
C19orf2	7.05538190787159
FETUB	3.23751720902471
CAMK2B	3.47938704558128
DCTN1	5.70530417335333
TNKS2	5.84534532701468
MRTO4	7.85853426988945
C1QBP	6.37134740317017
TTC3	8.17171327660314
NDUFB8	8.21964063138542
CADPS2	6.21581750302904
EDG2	4.61709378519705
MYF5	3.06922881370456
SEMA3G	3.52919627753329
IL23A	4.32806156085484
GJA9	3.4567106026556
R3HDM2	7.11497329963324
C5	3.71884336105838
SLC2A10	5.68511363385328
TRIM45	4.42230503651316
TSP50	4.22807502015124
PAQR3	4.59089446771156
ANKRD26	3.75491440764285
TCP1	8.96340827516592
TMED7	6.5703610256797
CMA1	3.06148919899668
PTCRA	4.15528874095024
HCRTR1	3.70641697180485
FST	4.0633106446585
PAWR	3.92095793705425
LDLR	4.7625075510803
ASTN2	3.75218083693211
SCRN1	5.51037073301914
