Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B07_443088
Composite Element REF	Signal
AACS	7.88107941053352
FSTL1	7.17429331428175
ELMO2	4.58340384019906
CREB3L1	3.61313713597583
RPS11	10.3439739966833
PNMA1	6.59026871439237
MMP2	7.71921071507924
SAMD4A	3.80775229466407
SMARCD3	7.1680112856665
A4GNT	4.04011794896662
C9orf39	3.39427401142681
PKNOX2	4.48031034723495
RALYL	3.52715493656134
ZHX3	4.6935435328663
ERCC5	7.70651899336066
RXFP3	3.22579493992433
APBB2	3.82081799971332
BBOX1	6.55774250612239
PRO0478	2.83253137671309
GCSH	9.51376301029816
XDH	3.94550956364972
EDN1	3.45680947234497
MTERF	6.20076243861835
PDCL3	6.47812217346184
CLK4	5.87211253289236
KCNG1	3.72354971260559
CXCR4	5.34942607879478
DECR1	7.5218239745805
SALL1	3.77941258217827
PTPRR	3.48592730813984
CADM4	3.39727979957027
IRAK1	8.73447158306012
CFHR5	3.35890816750342
HNRPD	7.79915482053397
TMSB10	10.6558963266563
CXCL3	4.18885064822134
LMAN1	4.74459130634315
SUHW1	3.60037846059991
CHD8	4.77747706659217
SUMO1	7.24603308516355
GP1BA	3.46902306321794
OR7A10	3.81494529927736
DDB1	7.24037675859517
CHRNA10	4.1418935273232
STYK1	3.60683633029371
MYO9B	4.02932076335995
CCNI	11.3100806087399
MMP7	6.81169365591812
EP300	6.10496580313349
CRNKL1	5.9924721477
C9orf45	3.36590255724062
XAB2	4.36741995055551
RTN1	3.7695004108527
HIC2	4.12337896457059
TBX10	3.68445864065174
CENPQ	3.75723179652387
UTY	3.17572892370984
OR2W1	2.99759979242262
ATP5G2	10.7501410329453
ZEB1	3.40434160227796
ZG16	3.60700300510458
ERG	3.82038817555443
PARN	6.5278092625152
SOD2	4.60786836563990
JOSD3	9.34120226515242
ADAM5P	3.3972224718527
CHD9	6.91296012569223
hCG_40738	3.580017100277
STK16	5.00257211408609
PDE1C	3.88459517112808
SEMA4D	5.30328827998151
AGPAT1	5.99389202332885
TOB2	6.10589748166316
BANK1	6.91932372478722
MAP3K3	5.3637203757091
MAX	5.36091739263609
GRM2	3.90685574003689
OSBPL8	6.75367572595642
PROSC	6.08435896103223
NR4A2	3.49246067098287
RICS	4.21744361873091
PIR	4.35822635455722
PPCS	9.13523300542111
IPO9	5.5914376559489
LONP1	6.87128232704183
EVC	4.09187341622339
CXCL13	4.05209403409847
SCYL3	5.16896142400848
KIAA1199	5.69128049003876
SORL1	8.20619939398344
NAT10	6.0836640283624
CHD1	6.11873343141716
SYN3	3.92574321407219
DMC1	3.61631505813163
SLC22A2	3.54468350136309
SERPINF1	5.0210755335929
C20orf27	5.19134843417102
OR7A17	3.50492867359539
RPS6KA5	4.33506726801201
LHB	3.49364940265141
TAOK3	4.23916117353069
STK25	5.51753603793275
SLC12A4	3.96054492483618
BRCA1	3.91887788273112
GBL	5.2045283100224
C14orf108	7.87484611716373
CDC25B	4.44267044854178
BMP3	3.21176548732608
MAP1LC3C	3.45773906737102
TMEM180	3.5777876886815
CRYGC	3.51612080542665
SLK	5.07932901063515
POU3F1	3.41483321242237
C20orf32	3.95907829545914
USP52	5.3818418059638
HIGD1B	3.59873042207153
BAZ1B	6.21447120798657
USP6NL	4.88301136003273
SLCO2B1	4.14006382333654
ABCD4	4.77577111177479
DIMT1L	5.86711280189468
SLC25A46	6.13398158900672
LARP7	6.85289397059378
TEK	3.46972142481766
CD160	3.91821668780873
TERF2IP	7.43158202247986
PHF20	5.79865521700225
COL1A1	5.78977500524794
KIAA0090	5.2317582023134
GTPBP1	4.52561925541943
GRK5	3.6747764176657
AP1S2	4.72223125426318
RAB33B	4.49787412458872
CA11	4.86662213658751
ALDOC	4.52100681414045
NUDT1	5.05666533025656
ZNF212	5.06560464166896
ACBD3	7.83966379312716
ZNF83	6.69669951673194
PRDM2	4.66115277093721
GDPD5	4.35254404713718
PDCD4	5.78192665705517
CEP350	5.47852178504973
FOXP3	3.30646532324395
SMYD3	6.24856345562092
CST7	3.98504496572896
SELL	3.70804887269879
CIAO1	5.67081700827733
LGI2	4.08357070698344
WDR45	7.2788716639699
ANKRD6	7.34855838153923
LTBP4	4.33030378032793
PSCD3	3.37209599985198
