Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A05_451962
Composite Element REF	Signal
AACS	5.16640094213517
FSTL1	8.91474725329587
ELMO2	4.9915676028717
CREB3L1	5.6666963344057
RPS11	9.75385584897892
PNMA1	7.13161349356577
MMP2	9.46611792047398
SAMD4A	3.8855223003971
SMARCD3	5.94043691385137
A4GNT	3.91806169489252
C9orf39	3.27427818571768
PKNOX2	4.20111210606625
RALYL	3.95498681452498
ZHX3	4.58787592414904
ERCC5	6.40260368660103
RXFP3	3.02018323966499
APBB2	3.84876313417290
BBOX1	3.77593754948070
PRO0478	3.36743914784063
GCSH	6.4541217917019
XDH	3.83803697059368
EDN1	4.07208925078744
MTERF	5.33613644930285
PDCL3	5.56361431340382
CLK4	6.42725529062278
KCNG1	4.26518293229919
CXCR4	6.00207588423523
DECR1	6.91977042910313
SALL1	3.13380165173445
PTPRR	3.39193108164085
CADM4	3.52624824529569
IRAK1	7.76653487328449
CFHR5	3.22008482999217
HNRPD	6.58638581474267
TMSB10	11.5804155742859
CXCL3	3.65417732610744
LMAN1	3.46895870054448
SUHW1	3.53783927474608
CHD8	6.53079398949162
SUMO1	6.20131106596738
GP1BA	3.44252909652672
OR7A10	3.92712300520757
DDB1	6.89533471700735
CHRNA10	3.63831316192369
STYK1	3.46628113067097
MYO9B	4.73187719248146
CCNI	9.7516755228624
MMP7	8.1669413443027
EP300	6.67815598068121
CRNKL1	4.68101637996403
C9orf45	3.10811953784436
XAB2	4.47809142952372
RTN1	3.61866498856616
HIC2	4.30682699558534
TBX10	3.61627287396112
CENPQ	3.51380408503206
UTY	3.18986436406881
OR2W1	3.15355141323481
ATP5G2	9.54961230694235
ZEB1	4.25241481448093
ZG16	3.51845278185373
ERG	4.00476755610595
PARN	6.7005611063268
SOD2	4.22037360385891
JOSD3	7.18018598160361
ADAM5P	3.23223602153987
CHD9	5.77312773435023
hCG_40738	3.97024766730896
STK16	4.18014241720659
PDE1C	3.63424627927901
SEMA4D	4.80867455544293
AGPAT1	6.32387005366968
TOB2	6.57898405247661
BANK1	3.2214017068676
MAP3K3	5.62495293152827
MAX	4.90180259663443
GRM2	3.61424388542418
OSBPL8	7.17262207139112
PROSC	5.35054780235327
NR4A2	4.28740394233841
RICS	5.26597165782044
PIR	3.73213967845779
PPCS	8.1209625479455
IPO9	6.67352280772939
LONP1	7.11682033216144
EVC	5.05671129920313
CXCL13	5.05675511715915
SCYL3	4.55712417908070
KIAA1199	5.64743998087603
SORL1	7.88697074789717
NAT10	6.15961192032263
CHD1	5.95675872749816
SYN3	3.42454627286675
DMC1	4.12296255886354
SLC22A2	3.67929570889772
SERPINF1	9.50665685337728
C20orf27	5.11016721666062
OR7A17	2.8920338507532
RPS6KA5	3.88074525863137
LHB	3.73099111794297
TAOK3	5.09033569077575
STK25	4.97903253557838
SLC12A4	3.92400365553251
BRCA1	3.79231003105486
GBL	4.82519084951348
C14orf108	6.78668252013364
CDC25B	6.04791336238557
BMP3	3.28711503087306
MAP1LC3C	3.41705761137656
TMEM180	3.60525048875683
CRYGC	3.77489561662028
SLK	5.29177606542454
POU3F1	3.48065463051492
C20orf32	3.93640834846506
USP52	5.41513053889283
HIGD1B	3.91229639519646
BAZ1B	6.90765885536258
USP6NL	4.81686979141803
SLCO2B1	4.18919642633149
ABCD4	4.61409602329724
DIMT1L	5.0124144869733
SLC25A46	5.01334209909702
LARP7	6.14643955871053
TEK	3.93446160646906
CD160	3.67387611887052
TERF2IP	7.2198516723115
PHF20	5.98781444673373
COL1A1	9.01310863291911
KIAA0090	4.97018937814311
GTPBP1	4.36731756072037
GRK5	3.87462917798046
AP1S2	5.07372481530546
RAB33B	4.32595168842654
CA11	4.23568150087798
ALDOC	4.8152592705672
NUDT1	5.08236217747981
ZNF212	5.23327736210789
ACBD3	7.91135970974989
ZNF83	6.44487713473684
PRDM2	4.87757350202104
GDPD5	6.2949336751773
PDCD4	5.2587376772463
CEP350	6.13214040431703
FOXP3	3.37916006377104
SMYD3	5.6468211487599
CST7	5.65465285285673
SELL	4.06816717396406
CIAO1	5.75163507374652
LGI2	3.8963428448252
WDR45	5.88425922375873
ANKRD6	5.48821587474377
LTBP4	4.18429878442246
PSCD3	3.38540309838251
PYY	3.36553283769581
KCNC1	3.23450200586138
SIRT6	4.24964515842879
CCL19	4.01618156632408
ARHGEF9	4.35624803869550
ABR	4.84482536885196
C10orf22	5.3693519957406
STK17A	4.31564490819795
FOXE1	3.33157782372819
GML	3.29827293347137
CNGA3	3.04832971324021
CD38	3.74917995780630
ZDHHC6	5.98372289042199
NEFH	3.52278707831964
PGBD5	4.07869565278957
CTDSP2	6.67193318532062
RMND5B	6.08188582677222
ZNF257	4.77472533928325
DUSP4	4.21708427573252
FLJ22167	5.15278368346738
EXOSC7	5.55338625772715
ROR2	4.11704394857056
FOXM1	5.03591294585919
ZBTB48	5.08705650031082
BUD31	7.26636206974541
MAOA	3.77573766120402
CCDC41	4.72023663761117
TNNT3	4.0566785588805
FBXO11	5.13205220687210
GYPC	6.58820107993291
PLIN	4.00266533130764
RFXAP	3.65404279090289
C6orf15	4.60445753595148
RNF4	7.64068933645699
F8A1	8.59292997084541
PPP1R3D	4.69168495653833
GRB2	7.2469762625704
TPM3	3.14802762518539
SYT13	3.80528069676188
EPB42	3.79350230280352
RP5-1077B9.4	5.1505682168057
EIF1	8.82353216387956
CETN3	5.21982893040684
FPGT	4.21022691280524
PRY	3.54778309549686
NTHL1	4.81601557085415
POLR2B	7.5009287774351
RPS28	11.0568873897085
GDF10	3.16136580608571
COQ9	6.50110839030422
P2RX3	2.95585092167166
GCC2	5.45511697652936
RARRES3	5.2953011927631
PLXNA1	6.67934586289892
WBP4	5.05576400998761
KIAA0100	6.15574887574443
PMF1	6.20766438103012
HS2ST1	4.86139478200375
CRELD2	6.54913788474201
C8G	3.29611704988218
CD82	5.86963827015196
PMM1	4.46779333902879
CBLL1	4.01838765525146
LIM2	3.47002292508496
VAX2	4.53634849034232
SETDB1	5.09381953943448
LRAP	3.06302174512578
GCLM	3.6747017553993
CPEB3	3.56389681830373
PPM1A	5.18644661876622
INTS1	4.58493716172141
MMP16	3.30000951658437
CAMTA1	3.97481962149586
SAMSN1	4.69392121230453
DRD3	2.80048681095332
