Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G04_516406
Composite Element REF	Signal
AACS	6.8585102724887
FSTL1	9.55757354719724
ELMO2	4.92599768062523
CREB3L1	4.31923136463583
RPS11	9.61346047057769
PNMA1	7.20601452589683
MMP2	9.1495803012229
SAMD4A	3.72549617625297
SMARCD3	5.44173463546853
A4GNT	3.61082311221946
C9orf39	3.35106053877827
PKNOX2	3.90399177257131
RALYL	3.22324063606245
ZHX3	4.43760617406019
ERCC5	5.50595422764603
RXFP3	3.11921439778802
APBB2	5.12031793961154
BBOX1	3.62825061532651
PRO0478	2.89720492976579
GCSH	7.72974924229466
XDH	3.83826708134627
EDN1	3.35951151041260
MTERF	5.92299880560782
PDCL3	7.69286958882892
CLK4	6.15685907996922
KCNG1	4.33411858374748
CXCR4	8.25336869148573
DECR1	7.96405939890622
SALL1	3.64576792001031
PTPRR	3.45655370047017
CADM4	3.42072393413197
IRAK1	8.98350858779238
CFHR5	3.11834863790138
HNRPD	7.76992599691837
TMSB10	11.9122429363022
CXCL3	4.60790876504529
LMAN1	3.85469872930141
SUHW1	3.80447128354889
CHD8	6.6364800303357
SUMO1	7.89365074611281
GP1BA	3.32483634635040
OR7A10	3.67674425477828
DDB1	7.4286089804403
CHRNA10	3.45149738835133
STYK1	4.0529814028961
MYO9B	4.48341627639611
CCNI	10.8232140587744
MMP7	9.84669685828644
EP300	6.09387545892439
CRNKL1	6.29825964664854
C9orf45	3.03648571321754
XAB2	3.95408286395092
RTN1	4.30928274449347
HIC2	3.95212019611467
TBX10	3.56529119556941
CENPQ	3.87114618521415
UTY	3.24070167325663
OR2W1	2.91844664368014
ATP5G2	10.2491758207256
ZEB1	4.2952728823796
ZG16	3.37885298165726
ERG	3.97077260260714
PARN	7.66816792493941
SOD2	6.16289682716043
JOSD3	6.81755518492832
ADAM5P	3.16831204941336
CHD9	5.47245658493831
hCG_40738	4.10024301381595
STK16	5.02840826188645
PDE1C	3.29986059680149
SEMA4D	6.89476938767934
AGPAT1	6.00855411652695
TOB2	6.12511813634491
BANK1	4.06560201227263
