Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C01_472036
Composite Element REF	Signal
AACS	5.91597918941349
FSTL1	7.80548145387603
ELMO2	6.48623317585033
CREB3L1	3.61603926800906
RPS11	9.48472322201235
PNMA1	8.14505210347575
MMP2	4.09085140864426
SAMD4A	3.97967577520505
SMARCD3	7.28772181902714
A4GNT	3.67351385792568
C9orf39	3.73285482687557
PKNOX2	4.20197177497925
RALYL	3.4346653833638
ZHX3	4.56094780602149
ERCC5	4.9458135133367
RXFP3	3.00708631139115
APBB2	3.51213883835667
BBOX1	4.21934048363001
PRO0478	2.83884017846585
GCSH	9.20806568161927
XDH	3.52277079843191
EDN1	3.8081418965375
MTERF	6.14531772758433
PDCL3	8.24045784854169
CLK4	5.1655136737103
KCNG1	4.34022758490639
CXCR4	6.59320189161876
DECR1	5.6196681168178
SALL1	5.27135829835692
PTPRR	3.37634242980731
CADM4	3.49206600278445
IRAK1	7.06662465018549
CFHR5	3.24607049926975
HNRPD	8.04732464384143
TMSB10	11.9363943292291
CXCL3	3.50396957844065
LMAN1	4.7405812257023
SUHW1	3.18559549031148
CHD8	4.90232763571053
SUMO1	8.32870231590692
GP1BA	3.29993436011622
OR7A10	3.69379245939219
DDB1	6.8866106095293
CHRNA10	3.60167366385731
STYK1	3.49287637408550
MYO9B	3.82513678145511
CCNI	10.1340726462689
MMP7	6.50698074751347
EP300	5.66947193502512
CRNKL1	7.77798666460826
C9orf45	3.21168128334834
XAB2	4.33271104724871
RTN1	4.494153779907
HIC2	3.50159048802765
TBX10	3.48895402820293
CENPQ	4.88554008100297
UTY	3.30120506739416
OR2W1	2.97984809447566
ATP5G2	10.8910775137479
ZEB1	3.29072831793013
ZG16	3.53679441744409
ERG	3.6141759111764
PARN	6.97004777130831
SOD2	4.74245921967529
JOSD3	7.3346421011148
ADAM5P	3.05281378822428
CHD9	5.93248916581958
hCG_40738	3.94214881549106
STK16	5.46893049437535
PDE1C	3.50093290951152
SEMA4D	5.70429733935204
AGPAT1	6.62992308572085
TOB2	5.79510170026776
BANK1	3.01333749830371
MAP3K3	4.42034384146349
MAX	5.03365152343659
GRM2	3.61762047466570
OSBPL8	7.4973290139256
PROSC	7.68488909519716
NR4A2	3.90342706773342
RICS	4.36515514543605
PIR	5.95418042132157
PPCS	8.86570741091782
IPO9	6.31998627401321
LONP1	6.71955750504737
EVC	4.0508540210299
CXCL13	4.00900966882011
SCYL3	5.84538390233833
KIAA1199	5.10165754778362
SORL1	7.32898562024871
NAT10	6.40704871213255
CHD1	6.42340294255671
SYN3	3.26698207841772
DMC1	3.73299348881837
SLC22A2	3.43394016479267
SERPINF1	3.54211627595192
C20orf27	5.78198706987482
OR7A17	3.12434569290397
RPS6KA5	4.56121381612001
LHB	3.38654088410098
TAOK3	3.79693582856296
STK25	5.74183387035827
SLC12A4	3.67244142057365
BRCA1	4.03790599989161
GBL	5.83038232031757
C14orf108	7.41895329873488
CDC25B	6.07891402169454
BMP3	3.28415945747092
MAP1LC3C	3.50054638761381
TMEM180	3.5177781014744
CRYGC	4.99464942707871
SLK	4.8452379232854
POU3F1	3.20632804222905
C20orf32	3.92241172995089
USP52	6.4287226995286
HIGD1B	4.03579115106741
BAZ1B	6.20000281318126
USP6NL	5.76060148689993
SLCO2B1	3.85792899612556
ABCD4	4.57575792547297
DIMT1L	6.5203471167547
SLC25A46	6.95873146951912
LARP7	7.61946718873358
TEK	3.50225820910562
CD160	3.62511395827413
TERF2IP	8.9560168015315
PHF20	6.30249947901665
COL1A1	4.87630419346227
KIAA0090	6.39647347640437
GTPBP1	4.23542747658376
GRK5	3.61605688514645
AP1S2	4.35513342926516
RAB33B	4.01895706743225
CA11	5.13928591362102
ALDOC	4.09158759823061
NUDT1	5.58426557336859
ZNF212	5.87100184956472
ACBD3	7.26948541989961
ZNF83	5.97085289270283
PRDM2	5.21647352759328
GDPD5	3.84436576169017
PDCD4	6.6854833671919
CEP350	5.23636593140209
FOXP3	3.32801456825622
SMYD3	7.48557949054874
CST7	3.79001911014314
SELL	3.54626557634068
CIAO1	6.34845775106261
LGI2	4.14700799106314
WDR45	5.90866757210227
ANKRD6	4.73972355304858
LTBP4	7.48819699306613
PSCD3	3.31477918558264
PYY	3.29484633743765
KCNC1	3.01088386786280
SIRT6	3.87730594818263
CCL19	3.52228052016105
ARHGEF9	3.91607443599154
ABR	4.22326096705294
C10orf22	6.31757656914921
STK17A	5.20790532367992
FOXE1	3.78277550523831
GML	3.28941035060315
CNGA3	2.99439297479128
CD38	3.42197978919848
ZDHHC6	6.4540037797554
NEFH	5.19617645774596
PGBD5	3.37820884910154
CTDSP2	6.7989858999578
RMND5B	5.99071355396666
ZNF257	3.77932851379669
DUSP4	3.51337340467388
FLJ22167	6.512450773972
EXOSC7	7.15790152972683
ROR2	3.69230230007439
FOXM1	4.70635151822677
ZBTB48	4.61300310400661
BUD31	8.50065712821338
MAOA	4.7174429849158
CCDC41	5.08464394401492
TNNT3	4.45172727405907
FBXO11	6.0473126606416
GYPC	3.83111546228214
PLIN	3.52305315662144
RFXAP	3.59988322540684
C6orf15	3.60497257516018
RNF4	8.53266102392489
F8A1	6.8132404314644
PPP1R3D	4.27522212633076
GRB2	5.48427848434921
TPM3	3.13644813369415
SYT13	3.96969154188586
EPB42	3.70050226555239
RP5-1077B9.4	4.89912233608404
EIF1	10.3117480378842
CETN3	9.38489583983724
FPGT	6.46681059636095
PRY	3.55321256840425
NTHL1	5.6975973541394
POLR2B	8.53068482397034
RPS28	11.2472708609894
GDF10	3.28613356827858
COQ9	7.34269322772472
P2RX3	2.81008636748051
GCC2	7.90987486851126
