Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G10_298044
Composite Element REF	Signal
AACS	6.33371811068929
FSTL1	8.55491305011497
ELMO2	5.23923592092644
CREB3L1	3.57204420260218
RPS11	9.83287784860383
PNMA1	7.6503019326811
MMP2	6.51023344619222
SAMD4A	3.81270602906115
SMARCD3	8.64522490744453
A4GNT	3.71651701811666
C9orf39	3.42817778867666
PKNOX2	3.79525016545975
RALYL	3.5859467082799
ZHX3	4.2331623612684
ERCC5	7.08205042275052
RXFP3	3.07648290602873
APBB2	4.49803402524696
BBOX1	8.20294628427316
PRO0478	2.96954988617542
GCSH	7.05824644884588
XDH	4.58122587168475
EDN1	5.30471770141403
MTERF	5.88638417486846
PDCL3	6.61672370952215
CLK4	6.96661669366205
KCNG1	3.71131187399124
CXCR4	6.77370244823953
DECR1	8.53795441516855
SALL1	3.15290821212424
PTPRR	3.65629413860637
CADM4	3.34447214285513
IRAK1	9.11494391972891
CFHR5	3.54628536191305
HNRPD	7.01832482618836
TMSB10	12.1736196515578
CXCL3	5.56517810018131
LMAN1	3.73459582620284
SUHW1	3.76826894407078
CHD8	4.84324605968776
SUMO1	6.79375927002581
GP1BA	3.34174248965705
OR7A10	3.47336897070258
DDB1	7.87272588089304
CHRNA10	3.75286805775587
STYK1	4.66589168516061
MYO9B	4.40166767893227
CCNI	10.3791574190706
MMP7	11.1880847232067
EP300	5.86561859644715
CRNKL1	5.3839307398083
C9orf45	3.96882426441132
XAB2	4.233130902699
RTN1	3.62362578386387
HIC2	4.13764598089039
TBX10	3.53299684318335
CENPQ	4.00215694104999
UTY	3.32012762057791
OR2W1	2.79759474093255
ATP5G2	10.7639962395490
ZEB1	3.25825446483791
ZG16	3.57073890146102
ERG	3.59197116952426
PARN	6.39876756446136
SOD2	6.46877690397154
JOSD3	8.28867038285604
ADAM5P	3.17189358524824
CHD9	5.58496582571524
hCG_40738	3.99966330467511
STK16	4.34233541783207
PDE1C	3.71892193838306
SEMA4D	5.55120741621258
AGPAT1	5.53235271463279
TOB2	5.68867749998222
BANK1	5.12538241042095
MAP3K3	5.88501075814398
MAX	5.4234444921148
GRM2	3.81343450592058
OSBPL8	6.52590069838645
PROSC	6.48124574815633
NR4A2	4.21934521085029
RICS	4.94738465470323
PIR	5.30168331741452
PPCS	9.05012597946416
IPO9	6.77462953688227
LONP1	7.78647254900951
EVC	4.58331878642425
CXCL13	4.16015256233749
SCYL3	6.25913924866478
KIAA1199	6.95025632726666
SORL1	7.03949006267705
NAT10	7.53092421541551
CHD1	5.30587930782379
SYN3	3.49619415777408
DMC1	3.79833632532977
SLC22A2	3.65173275282165
SERPINF1	5.21608966136392
C20orf27	6.78155032024907
OR7A17	3.24947300850689
RPS6KA5	5.01885556079164
LHB	3.60464868965735
TAOK3	4.74071708862632
STK25	5.85456110854871
SLC12A4	3.69141511180585
BRCA1	3.83481098177144
GBL	4.85677039369345
C14orf108	6.96703201429263
CDC25B	9.4301475169129
BMP3	3.10426952902472
MAP1LC3C	3.44404679921352
TMEM180	3.42702543737035
CRYGC	3.53671688511409
SLK	6.52908198535887
POU3F1	3.19819771652027
C20orf32	3.94597233818281
USP52	6.23635206202053
HIGD1B	3.92657235097052
BAZ1B	6.54729241883403
USP6NL	5.28422343577014
SLCO2B1	3.64534795249645
ABCD4	4.44187176060739
DIMT1L	6.89004045677004
SLC25A46	6.81506397516341
LARP7	5.94355969167612
TEK	3.50309940369040
CD160	3.56479632324547
TERF2IP	7.11229313854778
PHF20	5.89579473324661
COL1A1	6.10149870033973
KIAA0090	6.21953399154937
GTPBP1	4.61398309406524
GRK5	3.7792221938461
AP1S2	3.94343780420393
RAB33B	3.76440674677795
CA11	5.41670167510629
ALDOC	5.04365797090973
NUDT1	5.81465179358878
ZNF212	5.0920714059913
ACBD3	6.41474729236469
ZNF83	7.38614588657306
PRDM2	4.9380046616004
GDPD5	4.548279485733
PDCD4	6.68998869681917
CEP350	5.67918830688506
FOXP3	3.24857662905469
SMYD3	6.39184549072159
CST7	4.26000611228075
SELL	3.76182825483838
CIAO1	6.13011914097989
LGI2	3.98690749661987
WDR45	6.87581542639192
ANKRD6	7.17383173908232
LTBP4	3.76517064349927
PSCD3	3.20684550074417
PYY	3.27398578004167
KCNC1	3.08564880177227
SIRT6	3.79950821470709
CCL19	3.84444056916434
ARHGEF9	4.84078282087243
ABR	4.70138621177647
C10orf22	7.29753036207495
STK17A	5.12438829296365
FOXE1	3.40823915583831
GML	3.15957712263865
CNGA3	3.16319758380146
CD38	3.5001210938854
ZDHHC6	8.21617967850156
NEFH	3.25326696887679
PGBD5	4.58218000626375
CTDSP2	7.36387073275583
RMND5B	5.60799813624658
ZNF257	3.15503019815653
DUSP4	5.60964103798945
FLJ22167	6.33098770331823
EXOSC7	6.95132820820261
ROR2	3.83956980485797
FOXM1	4.71244398065221
ZBTB48	5.30401521767083
BUD31	7.37212483538443
MAOA	5.36376314553047
CCDC41	4.71386620183605
TNNT3	3.88399383897569
FBXO11	5.28063429240051
GYPC	5.56833574139416
PLIN	3.69362658403828
RFXAP	3.60388935454872
C6orf15	3.88564219887804
RNF4	9.11214802842317
F8A1	8.30726168890024
PPP1R3D	5.16710800534619
GRB2	6.2763750565345
TPM3	3.35719181959940
SYT13	3.54660754590421
EPB42	3.54847975788806
RP5-1077B9.4	5.13085865729451
EIF1	10.7205108522309
CETN3	5.40465344096438
FPGT	4.38409956361502
PRY	3.62394990130255
NTHL1	4.17510071570543
POLR2B	9.25469850552087
RPS28	12.3756434902819
GDF10	3.39554158776924
COQ9	7.8735397683681
P2RX3	2.86125230757790
GCC2	7.3546241561148
RARRES3	9.61037831440912
PLXNA1	6.69978518893138
WBP4	3.68622800077837
KIAA0100	5.47897915939338
PMF1	6.49498348147315
HS2ST1	5.38618273302117
CRELD2	6.6000502515542
C8G	3.24851423513372
CD82	5.77880495513504
PMM1	5.28969992837758
CBLL1	4.00309631827242
LIM2	3.28541731797802
VAX2	3.49475220908382
SETDB1	5.04729651645113
LRAP	3.31374967781446
GCLM	6.94740249165964
CPEB3	3.23103245790049
PPM1A	4.94405348542363
INTS1	4.33611478733686
MMP16	3.14347149997362
CAMTA1	4.76761831826079
SAMSN1	3.8199107784883
DRD3	2.89943446466498
GMPPA	4.7185159443034
C11orf73	5.05284545579179
AIPL1	3.66462370952188
PTP4A2	10.0769043017011
IL24	3.40382991087819
BDKRB1	3.46991725815150
HPCA	3.52247701065387
MLF1	6.32710400717429
SEC14L1	5.98976659625656
CHFR	5.24590444864387
EMILIN1	3.05867683703062
THADA	6.66323581472182
TAF12	6.06221696606573
NDUFS4	8.92843641706403
ID1	5.11859657137919
PIK3CB	3.81629971612177
COL18A1	6.60983342199545
PDZD3	3.12776216414282
TBC1D17	4.80525186023482
COX8A	10.0838050539138
CDCA4	5.92375998794596
C2orf44	4.46826295311023
C9orf16	8.62184395864788
ERBB2IP	6.28772858160004
EMX2	8.42059763317461
FUS	5.78341683476873
NIPSNAP3B	3.43862271086055
TF	5.82222586259706
CXorf56	5.12286858646107
CLCN4	3.79154368164758
PWP2	6.07710484541959
MMP15	4.12385743795695
MTMR14	6.20385697483322
NPR1	8.0570317182915
DNAL4	5.39577481244715
ELAC2	4.74148457674373
ASS1	11.4010797607912
IPP	5.49578038543866
TMEM59	10.2211190405030
POLR2J	8.96620600702964
SEC23IP	6.05135881771162
RGS4	3.74329739176763
UQCRC1	9.94564520598442
SNX6	7.1580549036538
DDX18	6.87236893261425
POLG	4.58123184919956
ADAM23	3.8918331059277
ZNHIT2	4.98976616323923
TFR2	3.57492573114907
NCDN	4.85732356324646
RAG1	3.20694891057892
POMT1	5.24881937508823
CYP1A1	3.46878535435409
SNAPC1	4.58282661573357
GNA11	5.36759738239769
CCDC52	3.55091595869598
CAPN1	6.9197037913792
DDHD2	7.68642967527023
UPF3A	6.99323764066716
LAGE3	6.65549796824547
GNRHR	3.28595485642254
UNC13B	6.42061318048129
TTLL4	4.227256334084
PPBP	3.51231356437195
HTR3A	6.95297953610826
SDC2	5.46768912540059
ANKRD49	7.46075821428219
BTF3	10.0257080057741
COX7A2	10.7912386179436
SARS	9.25935206206872
C13orf18	3.86232066487232
CACNB1	3.90584832537689
QKI	4.8369211057045
SETMAR	6.02853135598499
LAMB4	3.56947900769317
MAN2B1	5.6866776951689
EML3	5.7349372846833
ACADL	3.31280860494408
OFD1	8.20523483760041
CGA	3.48882620833726
EIF3EIP	10.2615616835573
PEX16	5.38081033673028
GNG12	8.92201304279018
HABP4	5.41515285203019
CNTN2	3.33913356186935
ASNSD1	6.84905369675997
FUT4	4.05843688585574
DBH	3.44569878481541
CD53	5.53256115462376
HIST1H2BJ	3.57619206877437
TFAP2B	3.49461745599189
ACF	3.74412121557946
TMEM11	6.08628186910215
CDH8	3.46778799173467
C3orf32	4.32210144298463
AGPS	4.96995769054003
C4orf18	3.22582655886311
PCCB	6.77508346127537
IPO13	5.45564842265848
PECI	7.01137144700428
UNG	6.6524664504232
C6orf105	4.07898110528053
GSTP1	8.3297711598478
SUV420H1	8.02340192061237
ARHGAP15	3.44761297348305
LTBR	7.00243837204622
TDRKH	3.62658411287629
PSG4	4.10459715401548
SLC9A3R1	7.31218665342853
NBPF3	9.70339806541226
SLC9A3	3.61724986138258
OSBP	6.86816401591561
PRR5	4.50894736292188
CHMP7	5.88928401773475
ADRA1A	3.12936084927942
ASAH1	7.14914068297408
FKBP4	7.57784599222553
ZNF350	4.7657864665361
DOM3Z	5.36705648708457
GIPR	3.45862851759538
AHI1	5.571322023276
BST1	4.68419161511435
NCR2	3.56221342164888
NADSYN1	5.88490794363579
UBE2W	5.31931572241684
RGS14	4.36130034615905
KRT15	4.25837582229805
SCN11A	3.84785478455769
GFI1	3.73936540362449
FHL1	3.83613879282618
SMC6	6.54870974844902
GATA1	3.42045371626683
OSGEP	4.6588414623736
ARMC6	4.95845899342286
HK3	3.5328753629041
PSMD5	7.63846972145618
RSU1	6.60243982947749
RPL4	12.2656319277892
MAD2L1	5.22703814502997
RBPMS	6.61326238614121
EIF4A3	9.62387736068012
E4F1	4.53620025219455
DLEC1	4.19838298936295
PRPF3	5.87750732029854
EMR1	3.29437296743613
CHMP2B	7.48939610202472
CAMSAP1	4.41632773794633
RPS21	9.70325272679251
XCR1	3.47822514236226
ARID5A	4.3084877717311
RBM6	6.3513433963411
UBE2N	7.04247731421952
KLF4	5.02908734064505
MGC4172	4.93570335358889
LMO4	6.96667574335611
KLKB1	3.16320603111645
HDAC3	6.22710220934595
HP	8.89128429793132
SCHIP1	5.42155290314609
BTK	3.96133655194250
KRCC1	8.47962474093681
PRND	3.23493332307313
C6orf27	3.83438530702095
PIGL	3.76448784206007
CLCA1	3.9426054211728
C1orf112	4.35798563774115
OLFML2A	4.39789028332919
HUS1	5.18274243981558
SFRS6	6.91614561617046
CXCR7	3.67197420478804
