Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E11_491246
Composite Element REF	Signal
AACS	6.86211810780176
FSTL1	8.95905060553227
ELMO2	5.76126857623548
CREB3L1	4.52956507321607
RPS11	10.3373442362645
PNMA1	8.61591863533313
MMP2	8.49349524541403
SAMD4A	3.948181483935
SMARCD3	5.95865722731721
A4GNT	3.5118965503647
C9orf39	3.44851839085308
PKNOX2	4.63638853386571
RALYL	3.66690238247189
ZHX3	4.38821059937428
ERCC5	4.54533652670846
RXFP3	3.25422907880897
APBB2	4.27064137366262
BBOX1	4.2088308958711
PRO0478	3.26258465843424
GCSH	8.55072424309712
XDH	4.17879552222545
EDN1	4.05096043975818
MTERF	6.80399489376348
PDCL3	7.60740831944329
CLK4	5.98777143261686
KCNG1	4.90671447462424
CXCR4	8.06665059686588
DECR1	8.5352082063289
SALL1	4.73324832299185
PTPRR	3.84839132350894
CADM4	3.19490080082838
IRAK1	7.86457600985716
CFHR5	3.38779607918992
HNRPD	8.2734460392228
TMSB10	12.4008186040237
CXCL3	4.30075025487262
LMAN1	3.83135924467945
SUHW1	3.57371582725105
CHD8	7.07734497207456
SUMO1	7.93787332638419
GP1BA	3.21203351135977
OR7A10	3.56930782469200
DDB1	7.76912717578558
CHRNA10	3.62833528624504
STYK1	3.64070775823857
MYO9B	4.79804486096588
CCNI	10.5873959509153
MMP7	7.58541428572611
EP300	5.69611972014851
CRNKL1	7.58624285919241
C9orf45	3.41904578603433
XAB2	5.07524034448561
RTN1	4.10640383344624
HIC2	3.80985623019332
TBX10	3.48207662471152
CENPQ	4.72353158975759
UTY	3.15702012287925
OR2W1	2.90141198351072
ATP5G2	10.5599307570108
ZEB1	3.85075798572568
ZG16	3.32871162790533
ERG	3.81381426042651
PARN	7.16595354376548
SOD2	5.70468456083288
JOSD3	7.0622695118937
ADAM5P	3.35544788658924
CHD9	5.68050740131131
hCG_40738	3.87490135500483
STK16	5.18052655823304
PDE1C	3.63126388676262
SEMA4D	6.67274418280436
AGPAT1	6.06471267277171
TOB2	6.07318364757753
BANK1	4.53394456110429
MAP3K3	5.28285851510127
MAX	5.41934893301084
GRM2	3.80545704960081
OSBPL8	8.7445603070401
PROSC	6.55013860727414
NR4A2	4.02792995006193
RICS	4.32169583082017
PIR	6.58949594173677
