Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E09_516430
Composite Element REF	Signal
AACS	6.58282259685398
FSTL1	7.34113275424697
ELMO2	4.7828528756748
CREB3L1	4.26859582463729
RPS11	10.1041986511352
PNMA1	6.21659830283146
MMP2	6.87084640225645
SAMD4A	3.68663677108289
SMARCD3	6.78030496809333
A4GNT	3.80596915759828
C9orf39	3.64424402043246
PKNOX2	3.85560021520618
RALYL	3.17591284170032
ZHX3	4.3848166798287
ERCC5	6.69218841106909
RXFP3	2.9980852509582
APBB2	3.89664800032273
BBOX1	6.25330361870003
PRO0478	2.98383924758961
GCSH	7.75227354713655
XDH	3.80316287808777
EDN1	3.76946631011562
MTERF	7.0011294837652
PDCL3	6.54234220514038
CLK4	5.82405344022632
KCNG1	3.70365786396357
CXCR4	7.66285881405276
DECR1	7.89337736182347
SALL1	2.96077857069465
PTPRR	3.71070481997969
CADM4	3.62336143584654
IRAK1	8.57459652986963
CFHR5	3.41334269004539
HNRPD	6.77446003247469
TMSB10	11.6447702424776
CXCL3	3.59834617669233
LMAN1	3.57097833754717
SUHW1	3.33762476003830
CHD8	5.37868724653858
SUMO1	7.71598230246976
GP1BA	3.50795380797624
OR7A10	3.95403359452781
DDB1	7.14986028449508
CHRNA10	3.60920004709749
STYK1	3.32762212714642
MYO9B	4.13839680645780
CCNI	9.50772218643538
MMP7	9.49186838359542
EP300	5.59698885682811
CRNKL1	6.3359525166064
C9orf45	3.18252680889441
XAB2	4.43273596540122
RTN1	3.72170762140857
HIC2	3.65468202184490
TBX10	3.48887192086519
CENPQ	3.90985116087019
UTY	3.18553046340825
OR2W1	3.05230900289094
ATP5G2	10.7536688918542
ZEB1	3.27699319082944
ZG16	3.81845199045368
ERG	3.68241182392666
PARN	6.30230004957375
SOD2	5.17602549511499
JOSD3	8.1390199574459
ADAM5P	3.30151573164332
CHD9	5.19227776223545
hCG_40738	3.72792107759455
STK16	4.98956678825653
PDE1C	3.96854375684701
SEMA4D	4.58596412386502
AGPAT1	5.42778086077567
TOB2	4.98447817510278
BANK1	5.01498075193337
MAP3K3	5.07807977540115
MAX	5.60916092406462
GRM2	4.16644339102569
OSBPL8	6.79756030838754
PROSC	6.2616074482469
NR4A2	3.57114584971152
RICS	4.85617825018555
PIR	4.11698432091706
PPCS	9.2896958482393
IPO9	5.536007163991
LONP1	6.66252398180105
EVC	4.21193373205286
CXCL13	4.86787199984213
SCYL3	4.99099402431712
KIAA1199	4.64659309683357
SORL1	7.34702371344388
NAT10	6.2488931895758
CHD1	5.81954353989786
SYN3	3.82559944920540
DMC1	4.03431134527119
SLC22A2	3.41850325505132
SERPINF1	7.18289864981685
C20orf27	6.44438771166655
OR7A17	3.13486276942152
RPS6KA5	4.26324312034631
LHB	3.68631820737457
TAOK3	5.60626671269042
STK25	5.20766393425112
SLC12A4	3.68943595091771
BRCA1	3.50214589133095
GBL	5.61027185347078
C14orf108	8.20904679713795
CDC25B	6.95385727610502
BMP3	3.24690148035396
MAP1LC3C	3.43625073571706
TMEM180	4.66245183385266
CRYGC	3.75390255897848
SLK	5.47778753551976
POU3F1	3.26730391467485
C20orf32	4.02943990393464
USP52	4.52684043475342
HIGD1B	4.03104372054866
BAZ1B	6.03240345379798
USP6NL	5.47108512444392
SLCO2B1	4.13306615210204
ABCD4	4.3374012709883
DIMT1L	6.46423101087922
SLC25A46	7.54496655459773
LARP7	6.30492612453725
TEK	3.57036728002248
CD160	4.09340353998076
TERF2IP	6.36533085339306
PHF20	5.68193206783636
COL1A1	7.07220523860826
KIAA0090	5.41833197513542
GTPBP1	4.45018414953065
GRK5	3.76705542457203
AP1S2	4.83248994515649
RAB33B	4.90750299902119
CA11	5.78197636778817
ALDOC	6.03217792970268
NUDT1	5.3109860316016
ZNF212	4.74342149356831
ACBD3	6.67063647709773
ZNF83	6.61119087636399
PRDM2	4.92728245395689
GDPD5	4.41756218700639
PDCD4	6.52919937604804
CEP350	5.20562816456744
FOXP3	3.51278048182261
SMYD3	6.97790185340515
CST7	4.11653164128821
SELL	4.08400545201303
CIAO1	6.02801074799257
LGI2	3.56508150295848
WDR45	5.76919690613479
ANKRD6	6.58327447842286
LTBP4	5.11422607014166
PSCD3	3.67720519622908
PYY	3.45452446618267
KCNC1	3.22946912440883
SIRT6	4.71884607789901
CCL19	4.15090795672849
ARHGEF9	4.17226329253005
ABR	4.32382594725981
C10orf22	6.59608065013587
STK17A	4.65552089676068
FOXE1	3.425260346434
GML	3.13980612768728
CNGA3	2.81235213183369
CD38	3.53787374676224
ZDHHC6	7.34596825642807
NEFH	3.68021731902792
PGBD5	3.31312314854067
CTDSP2	6.76335472738494
RMND5B	5.80900913435661
ZNF257	3.22834105918769
DUSP4	3.52907543026724
FLJ22167	4.50152610425568
EXOSC7	6.76633297013058
ROR2	3.55481646556702
FOXM1	4.47403910684904
ZBTB48	4.61474286440629
BUD31	8.11031364140483
MAOA	4.67121159173825
CCDC41	4.88193572997818
TNNT3	4.18777099161060
FBXO11	4.73539767094595
GYPC	6.28787340576107
PLIN	3.60978462402862
RFXAP	3.79084521909738
