Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C02_451996
Composite Element REF	Signal
AACS	5.78362535285763
FSTL1	7.65927037096849
ELMO2	5.30560339617634
CREB3L1	4.40628948913721
RPS11	9.6316956326714
PNMA1	7.69372292166171
MMP2	8.33322934201557
SAMD4A	3.79203880083426
SMARCD3	6.03532971389885
A4GNT	3.57788827810443
C9orf39	3.57428330901042
PKNOX2	4.95456179934175
RALYL	3.3608224419288
ZHX3	4.45856819502821
ERCC5	5.30072456443628
RXFP3	3.18050698180797
APBB2	3.86814846959883
BBOX1	5.81137586953774
PRO0478	3.39409629693127
GCSH	7.6017817810896
XDH	3.66840146551145
EDN1	3.47862521913497
MTERF	6.29919152542978
PDCL3	6.2738685735805
CLK4	4.65893317980482
KCNG1	4.06258787562231
CXCR4	6.65865430586916
DECR1	6.9070695381916
SALL1	2.97319460703447
PTPRR	3.34194237574077
CADM4	3.50047162378566
IRAK1	8.90056954528321
CFHR5	3.2186832492516
HNRPD	7.54856935979743
TMSB10	11.0673122437389
CXCL3	3.51883945794778
LMAN1	4.24940920655393
SUHW1	3.39615555176284
CHD8	5.28126107736094
SUMO1	7.28370658512823
GP1BA	3.17071330737818
OR7A10	3.80928043187811
DDB1	6.92783175244994
CHRNA10	3.63359316041816
STYK1	3.33129502801437
MYO9B	4.43078954645531
CCNI	9.8697759660601
MMP7	4.88063401314406
EP300	6.19272760575648
CRNKL1	5.09348413816251
C9orf45	3.13511430219571
XAB2	4.30036191746339
RTN1	4.36966336946656
HIC2	4.18213334715924
TBX10	3.5836860542507
CENPQ	4.2084056946403
UTY	3.24822915757999
OR2W1	2.82012568029286
ATP5G2	10.0627879493087
ZEB1	3.51540990091055
ZG16	3.48194129811002
ERG	3.76863836325672
PARN	6.40596658151764
SOD2	5.7420370717822
JOSD3	7.39593898837403
ADAM5P	3.3838337329622
CHD9	5.42920533090739
hCG_40738	3.88413399207888
STK16	5.62450131397804
PDE1C	3.46199656912164
SEMA4D	5.57989675421277
AGPAT1	5.65060576109660
TOB2	5.8197490452316
BANK1	3.12975450649352
MAP3K3	5.29479067965108
MAX	4.93923950753673
GRM2	3.85364460191477
OSBPL8	7.1041392902234
PROSC	5.45923360611363
NR4A2	4.09147993781235
RICS	4.66043055146774
PIR	6.27620280060344
PPCS	9.03556800170182
IPO9	5.63921196025337
LONP1	6.50549660440704
EVC	4.33760747557969
CXCL13	4.22728366048874
SCYL3	4.87813129236574
KIAA1199	6.29072410010487
SORL1	8.35125536320588
NAT10	6.02120450858646
CHD1	4.74880132546069
SYN3	3.45673604125856
DMC1	3.96182738992516
SLC22A2	3.54953722301036
SERPINF1	8.58476550981005
C20orf27	5.63206754772138
OR7A17	3.17528440918041
RPS6KA5	4.26905332180589
LHB	3.50728218452979
TAOK3	4.70295513831526
STK25	5.105274724116
SLC12A4	3.74319721903499
BRCA1	3.40700954122757
GBL	5.57736266992554
C14orf108	7.23673466206054
CDC25B	6.45333256017484
BMP3	3.33052030212242
MAP1LC3C	3.33588138967661
TMEM180	3.40423387233415
CRYGC	3.6298665158494
SLK	6.13926858033161
POU3F1	3.41194486251951
C20orf32	4.211562171622
USP52	5.66821024209216
HIGD1B	3.79596908377252
BAZ1B	5.20606939244614
USP6NL	4.8559921221668
SLCO2B1	4.72823266339376
ABCD4	4.71302711718906
DIMT1L	5.33961136465225
SLC25A46	6.92258766905125
LARP7	6.34598638818487
TEK	3.67646202353525
CD160	3.98853084211979
TERF2IP	6.3478750369104
PHF20	5.63896017203234
COL1A1	8.49538552647472
KIAA0090	5.41179865776724
GTPBP1	4.03163642704179
GRK5	3.94715266499973
AP1S2	5.44699693466028
RAB33B	4.05951808483443
CA11	4.28914956830245
ALDOC	5.75974781633356
NUDT1	5.26226305812443
ZNF212	5.27422912372795
ACBD3	6.83949618604777
ZNF83	5.9031130429209
PRDM2	4.4046155041922
GDPD5	4.65077654746283
PDCD4	5.14575213842909
CEP350	4.93719518432115
FOXP3	3.55345141512927
SMYD3	6.45394012462338
CST7	4.60192252534679
SELL	3.61091692012546
CIAO1	6.10154358332769
LGI2	4.10878285626266
WDR45	6.63261198450175
ANKRD6	7.26677281775422
LTBP4	3.91835537551496
PSCD3	3.27270822806542
