Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H01_516304
Composite Element REF	Signal
AACS	6.05326519263748
FSTL1	7.92275342597376
ELMO2	6.14740462695903
CREB3L1	3.88970893113725
RPS11	9.42506834739733
PNMA1	8.9134872380981
MMP2	5.18791835431227
SAMD4A	3.64440114801225
SMARCD3	5.34843640839491
A4GNT	3.66006272134193
C9orf39	3.22356884340779
PKNOX2	3.86064741562097
RALYL	3.15057580876772
ZHX3	4.44012170915021
ERCC5	5.3314453854644
RXFP3	3.43052924691017
APBB2	4.95740984728785
BBOX1	3.23150993157351
PRO0478	3.34121231137347
GCSH	8.31440359650175
XDH	4.02133109963392
EDN1	3.40943159631004
MTERF	6.83999597048899
PDCL3	7.10421049102495
CLK4	6.38186384801236
KCNG1	4.42729967097813
CXCR4	9.3643663322673
DECR1	5.71816963564766
SALL1	3.92031487035465
PTPRR	3.37042162080901
CADM4	3.44831383285823
IRAK1	7.15968243694906
CFHR5	3.42441787124064
HNRPD	7.832097396969
TMSB10	11.4474745011883
CXCL3	3.56613848961778
LMAN1	3.97320503187121
SUHW1	3.20995424089294
CHD8	7.28044795963329
SUMO1	7.65711691741704
GP1BA	3.19297286113345
OR7A10	3.69738641681054
DDB1	7.75277946834172
CHRNA10	3.45801065508689
STYK1	3.29619016446773
MYO9B	4.44050118966384
CCNI	9.97700367653716
MMP7	6.17273620265761
EP300	5.50550338865955
CRNKL1	7.51214330022283
C9orf45	3.72731068940771
XAB2	3.77587356815654
RTN1	5.43887191199803
HIC2	3.94466631275851
TBX10	3.54835345913272
CENPQ	4.62793414019856
UTY	3.3450301007452
OR2W1	2.89368305258399
ATP5G2	10.4774058794426
ZEB1	3.39760674601234
ZG16	3.26856370160074
ERG	3.78426041297031
PARN	7.8704092168357
SOD2	4.36767909235359
JOSD3	7.14882596739994
ADAM5P	3.22910308049267
CHD9	5.54503645465498
hCG_40738	4.19916024639902
STK16	4.83534429626893
PDE1C	3.36603587328385
SEMA4D	5.06158956271241
AGPAT1	6.99305784076191
TOB2	5.19402893885003
BANK1	3.4354468315915
MAP3K3	4.67232940618472
MAX	4.58192231538098
GRM2	4.15805397883476
OSBPL8	6.96257065881814
PROSC	6.51516743965907
NR4A2	4.09630867662649
RICS	4.06612188219246
PIR	3.90032326921083
PPCS	8.44183428356272
IPO9	6.7018893589701
LONP1	6.28031145136074
EVC	3.53926272187247
CXCL13	4.21659697076847
SCYL3	5.70022051621545
KIAA1199	6.11527246415977
SORL1	9.41899767794256
NAT10	7.14965797644715
CHD1	6.24371340184206
SYN3	3.58660858181377
DMC1	4.18310468175882
SLC22A2	3.62269409888824
SERPINF1	4.64026987392222
C20orf27	5.68232555248097
OR7A17	3.05374346419638
RPS6KA5	4.3754936924007
LHB	3.49939471650258
TAOK3	4.00711009965058
STK25	6.06506830996384
SLC12A4	3.60716887033525
BRCA1	4.4707474849456
GBL	6.64633951701135
C14orf108	7.75468406419317
CDC25B	6.82107705930782
BMP3	3.55019592482315
MAP1LC3C	3.68127734427022
TMEM180	3.90485931237754
CRYGC	3.46382891704073
SLK	5.60921729697381
POU3F1	3.20192916254443
C20orf32	3.90938544184354
USP52	6.43696526595646
HIGD1B	4.39718655925182
BAZ1B	7.15894553740603
USP6NL	6.24895397514168
SLCO2B1	3.74992219813960
ABCD4	4.61310576551531
DIMT1L	5.71138823670352
SLC25A46	6.80018629932583
LARP7	6.24835295388942
TEK	4.0345145391781
CD160	3.82161868525107
TERF2IP	8.60176353545833
PHF20	6.51843129013908
COL1A1	6.05260635675904
KIAA0090	5.39296812388137
GTPBP1	4.7979976791471
GRK5	3.83592067506386
AP1S2	4.30462427018683
RAB33B	3.99945626038805
CA11	4.99244751174963
ALDOC	5.99205154999202
NUDT1	4.88181654970809
ZNF212	5.88532148535766
ACBD3	5.98487500405927
ZNF83	5.72670451169391
PRDM2	4.80590226428187
GDPD5	4.34260927651035
PDCD4	6.46994792843465
CEP350	5.75893480112619
FOXP3	3.42911310943793
SMYD3	6.96569561043393
CST7	3.98112554514353
SELL	3.52586677523434
CIAO1	5.81578862469188
LGI2	4.09343916493236
WDR45	6.37924601389475
ANKRD6	4.7655885051147
LTBP4	6.93867291249017
PSCD3	3.60750223676632
PYY	3.30733868838673
KCNC1	3.21860255191337
SIRT6	3.8181662204293
CCL19	4.00559508297825
ARHGEF9	4.50427855646768
ABR	4.88564843556054
C10orf22	6.70727707838827
STK17A	4.90016901429966
FOXE1	3.31164342098919
GML	3.32503117473305
CNGA3	3.1351525137986
CD38	3.32819047438115
ZDHHC6	7.11543535888136
NEFH	3.39936255404609
PGBD5	3.52063918064895
CTDSP2	7.38488912260084
RMND5B	6.2185998914847
ZNF257	4.22959850128505
DUSP4	3.53582104899778
FLJ22167	6.25968953901371
EXOSC7	6.89582218536552
ROR2	4.48067607616412
FOXM1	4.96285506530307
ZBTB48	4.95175479933239
BUD31	6.65114368612947
MAOA	4.09289034635779
CCDC41	4.75958976027815
TNNT3	3.73573646106128
FBXO11	5.77207087880246
GYPC	4.60036065096379
PLIN	3.79240496448143
RFXAP	3.85230690184803
C6orf15	3.9273308367911
RNF4	7.37004760172726
F8A1	6.99396732393605
PPP1R3D	4.01881634812013
GRB2	6.14100665010307
TPM3	3.80690779616078
SYT13	3.83216839969371
EPB42	4.15643587100724
RP5-1077B9.4	4.77414328937244
EIF1	10.3046029653490
CETN3	7.42427497575661
FPGT	4.71574586733536
PRY	3.89759926833721
NTHL1	5.72880488812574
POLR2B	8.4118737656843
RPS28	10.6999894237543
GDF10	3.4755693076698
COQ9	6.57812065548628
P2RX3	3.19507237579794
GCC2	7.37007794200074
RARRES3	2.59456972490121
PLXNA1	5.22482412189813
WBP4	5.32084502325924
KIAA0100	6.0710719538734
PMF1	8.23904358060769
HS2ST1	4.92324133211421
CRELD2	4.82426879431114
C8G	3.17346136607208
CD82	5.2183335281815
PMM1	4.12365460734964
CBLL1	4.52480053679938
LIM2	3.38220486290573
VAX2	3.92172582538055
SETDB1	6.63184902733796
LRAP	3.7516011609875
GCLM	4.39523627315363
CPEB3	3.0454722248468
PPM1A	5.84082660755491
INTS1	4.30937531937296
MMP16	3.32845388246457
CAMTA1	4.72317523165518
SAMSN1	4.01116889213016
DRD3	3.27814995465813
GMPPA	4.81742197741967
C11orf73	5.85001987624594
AIPL1	4.03596796823346
PTP4A2	8.27634807633737
IL24	3.36020289922786
BDKRB1	3.42055548756673
HPCA	3.82797508922033
MLF1	7.31256018886987
SEC14L1	6.03782927243147
CHFR	5.65886455567273
EMILIN1	3.45726977253401
THADA	5.93953500674044
TAF12	4.42365158086228
NDUFS4	8.53474540584284
ID1	4.47248682943134
PIK3CB	3.99703739675110
COL18A1	8.36616343946449
PDZD3	3.12543459725022
TBC1D17	4.44808100729286
COX8A	9.12530184034013
CDCA4	5.89349883120137
C2orf44	4.79395013033767
C9orf16	5.60478915452032
ERBB2IP	8.2678716691248
EMX2	9.58831146978922
FUS	6.8763186215688
NIPSNAP3B	3.53187900511776
TF	3.44106718301135
CXorf56	4.80100759560109
CLCN4	3.7911515586196
PWP2	5.31425795336701
MMP15	4.72815625271133
MTMR14	5.94429687794442
NPR1	4.69972599883827
DNAL4	6.23287028230908
ELAC2	4.59911672231896
ASS1	8.14441303672152
IPP	5.50232365294455
TMEM59	9.74631964366464
POLR2J	8.91579651713782
SEC23IP	5.75734738008966
RGS4	3.76316707192914
UQCRC1	9.54522303468068
SNX6	7.27914224734137
DDX18	6.9712625220032
POLG	4.63718691323365
ADAM23	4.24074577565476
ZNHIT2	4.14066363419265
TFR2	4.09974942068545
NCDN	4.16488897804711
RAG1	3.62049973977836
POMT1	4.38157107046073
CYP1A1	3.0045287548974
SNAPC1	5.44547033601242
GNA11	4.55288962882795
CCDC52	3.17413998038152
CAPN1	5.96919476364044
DDHD2	8.72028643226196
UPF3A	6.17158455817126
LAGE3	5.47876715121529
GNRHR	3.25458649711242
UNC13B	4.99218695001646
TTLL4	5.6055918715641
PPBP	2.91574391708899
HTR3A	3.50140048688941
