Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_H09_298020
Composite Element REF	Signal
AACS	6.53427450028331
FSTL1	8.22565301382591
ELMO2	5.10303114494074
CREB3L1	3.81146054101994
RPS11	10.3484256018605
PNMA1	8.41399766148997
MMP2	5.98493270290369
SAMD4A	3.90301031484391
SMARCD3	5.27228008476708
A4GNT	3.84030290471486
C9orf39	3.23355487726969
PKNOX2	3.90820559460963
RALYL	3.62195884456011
ZHX3	4.24506462137171
ERCC5	5.49853322018914
RXFP3	2.8718716879875
APBB2	4.09962551449034
BBOX1	6.01119193055422
PRO0478	2.89961092343965
GCSH	7.79544459409293
XDH	3.63713294972128
EDN1	3.52276385548273
MTERF	5.70355616790794
PDCL3	6.73851556321751
CLK4	5.06443803390973
KCNG1	3.79694849898591
CXCR4	5.14620180398645
DECR1	8.06323245818713
SALL1	3.26143126774859
PTPRR	3.25498230771427
CADM4	3.52414986736696
IRAK1	9.49988845453675
CFHR5	3.08911260732783
HNRPD	7.69132905756777
TMSB10	12.7443053073663
CXCL3	3.76852923340752
LMAN1	3.44664540726632
SUHW1	3.93869642038228
CHD8	5.92341227338553
SUMO1	7.37195619914643
GP1BA	3.18100981442459
OR7A10	3.40087839420941
DDB1	7.68422029998635
CHRNA10	4.0664168956968
STYK1	3.91864954224394
MYO9B	4.4394069653243
CCNI	10.3646069219189
MMP7	4.22303215321487
EP300	5.49764745665653
CRNKL1	7.11649547154627
C9orf45	3.46224401271801
XAB2	4.76617765633951
RTN1	3.80113828057051
HIC2	4.11063033963403
TBX10	3.46915861304759
CENPQ	4.35048278698016
UTY	3.07695713055585
OR2W1	3.05220683036028
ATP5G2	10.8284399469760
ZEB1	3.19742564012196
ZG16	3.66272649832910
ERG	3.67750351948839
PARN	6.9465412500806
SOD2	5.67678384666317
JOSD3	8.1436724978192
ADAM5P	3.41702489415396
CHD9	5.22987423187488
hCG_40738	3.65813879185718
STK16	4.93750843361676
PDE1C	3.90190918444052
SEMA4D	5.27545929382335
AGPAT1	7.45539445170501
TOB2	5.34938126190262
BANK1	3.19135430834416
MAP3K3	5.99824522616148
MAX	5.18289713476713
GRM2	3.82568348410460
OSBPL8	5.80440205577022
PROSC	4.62116552058868
NR4A2	7.78066060667093
RICS	4.51569418446079
PIR	5.12480886159103
PPCS	9.79543537864835
IPO9	6.01640654402952
LONP1	7.18741883042409
EVC	4.21617272014024
CXCL13	5.5858715438693
SCYL3	5.97487439881589
KIAA1199	5.57271468063636
SORL1	8.558909371438
NAT10	7.54780368379485
CHD1	4.62834808102392
SYN3	3.40488506749091
DMC1	3.75783454036829
SLC22A2	3.65880573238993
SERPINF1	6.85704387168098
C20orf27	6.86555280792108
OR7A17	3.41975448699924
RPS6KA5	4.2193611651044
LHB	3.75571461622678
TAOK3	4.62163014367889
STK25	6.29876935335804
SLC12A4	3.80560366585062
BRCA1	4.21506932134379
GBL	6.67657543914152
C14orf108	6.44185112303094
CDC25B	7.18501468113287
BMP3	3.37857202758793
MAP1LC3C	3.83246048843103
TMEM180	3.78269233238956
CRYGC	3.81726074572644
SLK	4.82919963157119
POU3F1	3.29741617250932
C20orf32	3.73154805974396
USP52	5.9748544482117
HIGD1B	4.38995923592440
BAZ1B	6.30912811593043
USP6NL	5.25253796342814
SLCO2B1	4.41613905746425
ABCD4	4.53724956910612
DIMT1L	5.23402961601015
SLC25A46	6.24062321714342
LARP7	7.43639880457279
TEK	3.41868725213877
CD160	3.91987578860971
TERF2IP	9.81336854506542
PHF20	5.52577479647763
COL1A1	6.30855290211014
KIAA0090	6.6310755611161
GTPBP1	4.54834158130667
GRK5	4.1200908739787
AP1S2	4.50599249765483
RAB33B	4.32320611646753
CA11	4.19663484198616
ALDOC	4.30686078041223
NUDT1	5.72993849522404
ZNF212	5.66632370484459
ACBD3	6.20515234018459
ZNF83	5.60430018274288
PRDM2	4.36431997307127
GDPD5	3.99025547650614
PDCD4	5.02995022653769
CEP350	4.93408189794973
FOXP3	3.45680095152322
SMYD3	5.42029924661212
CST7	5.2500899045152
SELL	4.20291953889295
CIAO1	6.97392731589302
LGI2	3.87577437591436
WDR45	7.73046236302108
ANKRD6	7.8831714698378
LTBP4	3.89943455686434
PSCD3	3.6473368789224
PYY	3.27684244386143
KCNC1	3.17968817621306
SIRT6	4.66532431381641
CCL19	4.18425428450508
ARHGEF9	4.89251372713191
ABR	4.27311660420748
C10orf22	6.16181324559669
