Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A02_433754
Composite Element REF	Signal
AACS	7.072499828654
FSTL1	6.97599075538587
ELMO2	5.70320191819616
CREB3L1	4.20041657799147
RPS11	10.0061793268018
PNMA1	8.31323444067625
MMP2	6.42963430038863
SAMD4A	3.61021676107527
SMARCD3	8.50987960373323
A4GNT	3.86043581401061
C9orf39	3.09805988111476
PKNOX2	4.94760118044337
RALYL	3.20136087644495
ZHX3	4.40791499922329
ERCC5	6.57474191423171
RXFP3	2.83652465716804
APBB2	5.01178346540374
BBOX1	9.64616490776616
PRO0478	3.00251477306099
GCSH	9.20103565628111
XDH	3.81757040786048
EDN1	4.0362073246902
MTERF	6.42159951369092
PDCL3	7.01685197460257
CLK4	5.9223424009673
KCNG1	3.51500148363126
CXCR4	8.5559972800311
DECR1	7.90502620020142
SALL1	2.96752522819934
PTPRR	3.23780222322212
CADM4	3.27185366616433
IRAK1	8.40335041729046
CFHR5	3.12314432676141
HNRPD	8.45475148587834
TMSB10	12.1405733040231
CXCL3	3.65865343430362
LMAN1	5.21126954869597
SUHW1	3.28093781036086
CHD8	6.45979292457537
SUMO1	7.67099514048133
GP1BA	3.18942599411329
OR7A10	3.96958510380429
DDB1	7.96328152582917
CHRNA10	3.77522083671809
STYK1	3.78921412373519
MYO9B	4.23236310096098
CCNI	10.3325475737382
MMP7	3.81205143703650
EP300	6.62653665800851
CRNKL1	6.82712984424186
C9orf45	3.15188536651728
XAB2	4.15462020318877
RTN1	3.08999479262083
HIC2	3.68372840391259
TBX10	3.63635954586551
CENPQ	4.44875769823435
UTY	3.26255913949467
OR2W1	2.89641759217979
ATP5G2	9.85069084844755
ZEB1	3.39191011036919
ZG16	3.42081373856459
ERG	3.51376192619844
PARN	7.16599569924103
SOD2	6.48897008147954
JOSD3	7.24676422461098
ADAM5P	3.18651568478436
CHD9	6.97855153224746
hCG_40738	3.96083485566353
STK16	4.78431214037676
PDE1C	3.74142985052913
SEMA4D	5.23166343970383
AGPAT1	6.752941027669
TOB2	6.14983625705447
BANK1	3.18067967009929
MAP3K3	5.34157867912371
MAX	5.69727218598766
GRM2	3.71628716073455
OSBPL8	7.24267215640359
PROSC	5.16020827758935
NR4A2	6.58919588516165
RICS	4.90994562297687
PIR	4.61776405331674
PPCS	8.30960277574361
IPO9	6.16238072522214
LONP1	7.0347610203119
EVC	4.66509016608846
CXCL13	3.88475193842791
SCYL3	5.39316562113509
KIAA1199	4.02845868115015
SORL1	7.00335526046349
NAT10	8.00079520056626
CHD1	6.3696959806119
SYN3	3.41999874161740
DMC1	4.02308917660458
SLC22A2	4.03112855208172
SERPINF1	5.28843509578784
C20orf27	6.53465031097906
OR7A17	3.12960752644935
RPS6KA5	5.05364222173558
LHB	3.32606350448571
TAOK3	5.21849953062005
STK25	4.81297447867922
SLC12A4	3.83116418339031
BRCA1	4.35215997453275
GBL	6.41926649671511
C14orf108	9.14120502862926
CDC25B	7.08465010694076
BMP3	3.35378582408923
MAP1LC3C	3.24579190040985
TMEM180	3.14914549081169
CRYGC	3.58288758650488
SLK	6.76749264357855
POU3F1	3.22354026817733
C20orf32	3.74126154412332
USP52	5.86705707644984
HIGD1B	4.21117803614675
BAZ1B	6.34763150534571
USP6NL	5.73880972008694
SLCO2B1	3.90797702506434
ABCD4	4.72082132927696
DIMT1L	6.45791775254825
SLC25A46	7.6728618825421
LARP7	8.4800604346189
TEK	3.61067974213447
CD160	3.71960022129787
TERF2IP	8.8681640159156
PHF20	5.87614500626741
COL1A1	5.71782920419999
KIAA0090	6.55002572732793
GTPBP1	4.24473793012158
GRK5	3.62911177939545
AP1S2	4.19498268459823
RAB33B	5.50283896497512
CA11	5.79386988081928
ALDOC	7.2985422799365
NUDT1	4.86067781777866
ZNF212	5.82927222896223
ACBD3	7.49180331986998
ZNF83	7.71214702248535
PRDM2	5.15696891194916
GDPD5	4.48747599404215
PDCD4	5.80467599320502
CEP350	6.64921319106625
FOXP3	3.38404487266377
SMYD3	6.81372659601135
CST7	4.28317725344498
SELL	3.88442180373234
CIAO1	5.91251066780376
LGI2	3.68709370863097
WDR45	7.34862550964549
ANKRD6	7.79392711733526
LTBP4	3.80203824423667
PSCD3	3.19072503340084
PYY	3.18132987305009
KCNC1	3.17568248375478
SIRT6	3.99965470350984
CCL19	4.18304999526622
ARHGEF9	5.91564509309366
ABR	4.1296097273305
C10orf22	6.35412788902096
STK17A	5.185044786104
FOXE1	3.19074808805668
GML	3.38269473277159
CNGA3	2.89893733229639
CD38	5.77938111973423
ZDHHC6	6.87824254386927
NEFH	6.86784664941799
PGBD5	3.63766088711074
CTDSP2	7.566958120386
RMND5B	4.91606997002456
ZNF257	5.37912092171009
DUSP4	5.25593520934987
FLJ22167	6.94629546910749
EXOSC7	6.62977037532158
ROR2	3.19114704100006
FOXM1	5.62752319759218
ZBTB48	4.41548234980544
BUD31	8.3641370601534
MAOA	3.86386431076704
CCDC41	4.70869250861484
TNNT3	3.74908203458857
FBXO11	5.25716250759010
GYPC	7.1200164962801
PLIN	3.53088505364512
RFXAP	3.30014068178413
C6orf15	3.9383144145392
RNF4	8.37585371134189
F8A1	8.29799360471605
PPP1R3D	4.38077890046149
GRB2	6.73424653308813
TPM3	3.32802950193016
SYT13	3.8509745393742
EPB42	3.81910436780197
RP5-1077B9.4	5.59481218511513
EIF1	9.90253778185355
CETN3	7.6418587081684
FPGT	5.7330758518422
PRY	3.65207239700701
NTHL1	5.0544161898265
POLR2B	8.75112936408682
RPS28	11.9994460235266
GDF10	3.28744974006277
COQ9	8.4451227314616
P2RX3	2.95133656871524
GCC2	6.49237827396318
RARRES3	7.6679004648086
PLXNA1	5.85846711410342
WBP4	4.2822476976706
KIAA0100	6.3701089469719
PMF1	7.7794775088747
HS2ST1	5.76454787595548
CRELD2	6.06696602519621
C8G	3.07233315794389
CD82	6.45424117481664
PMM1	4.78086642048055
CBLL1	5.29185291244802
LIM2	3.30311460792322
VAX2	3.43313560866575
SETDB1	6.22157340407078
LRAP	3.00085415690502
GCLM	8.55303956149046
CPEB3	3.58010649042528
PPM1A	6.44867163279928
INTS1	3.88855077804004
MMP16	3.28015906794971
CAMTA1	4.64701962126448
SAMSN1	4.18479848175512
DRD3	2.72834747944552
GMPPA	4.71853141283804
C11orf73	5.78781121425705
AIPL1	3.71046005600419
PTP4A2	9.48238195566756
IL24	3.34892815513521
BDKRB1	3.32782123857845
HPCA	3.63737532737520
MLF1	6.48412922434792
SEC14L1	5.62912768084686
CHFR	5.32696937518198
EMILIN1	3.06646781063151
THADA	4.02562420654035
TAF12	6.0007976069946
NDUFS4	7.84945110841634
ID1	6.65924510614495
PIK3CB	5.52440959642089
COL18A1	6.2047793273441
PDZD3	3.41196774202857
TBC1D17	5.31987109249839
COX8A	10.2949924113898
CDCA4	5.77954473698885
C2orf44	4.18317042399487
C9orf16	8.11237523386412
ERBB2IP	8.74679455316421
EMX2	7.96766620343418
FUS	7.48072611477256
NIPSNAP3B	3.69340932227572
TF	3.31984257125312
CXorf56	5.48523502919693
CLCN4	4.24224401938637
PWP2	5.83963323319608
MMP15	3.90821054318885
MTMR14	6.0936894819789
NPR1	7.72286119689966
DNAL4	5.18484326749183
ELAC2	4.80459939049138
ASS1	12.0966517855787
IPP	5.68528444810006
TMEM59	9.86361518510175
POLR2J	9.46369660678154
SEC23IP	5.36155162090843
RGS4	3.65838376843006
UQCRC1	9.56406003624137
SNX6	8.01097484280406
DDX18	6.34423291326434
POLG	4.88599243527206
ADAM23	4.01350635484542
ZNHIT2	4.58432189512507
TFR2	3.33813217756700
NCDN	4.79083567600396
RAG1	3.31277205141652
POMT1	5.21494826638093
CYP1A1	3.10370080784180
SNAPC1	6.12274491260975
GNA11	5.47642657480437
CCDC52	2.780295555296
CAPN1	6.40952223588167
DDHD2	6.98766406517305
UPF3A	5.75154824731945
LAGE3	6.53711860918871
GNRHR	3.04492418715416
UNC13B	5.65606626962624
TTLL4	3.95015618980576
PPBP	2.7892090482396
HTR3A	8.3423705516936
SDC2	7.71341535938631
ANKRD49	6.25954746064102
BTF3	9.92223549713092
COX7A2	10.9124578564447
SARS	8.33358982664608
C13orf18	3.12584571929808
CACNB1	4.23025664749767
QKI	6.1880892520372
SETMAR	6.00584552662986
LAMB4	3.41932179771438
MAN2B1	6.0599716862217
EML3	5.26782067465005
ACADL	3.30999057623725
OFD1	7.68290674013619
CGA	3.65078859705225
EIF3EIP	9.9396713016052
PEX16	5.34032525916403
GNG12	7.74668334835902
HABP4	5.26996674008381
CNTN2	3.38270792384264
ASNSD1	6.76377828099064
FUT4	3.32176188127916
DBH	3.60850773968275
CD53	5.18069211256974
HIST1H2BJ	5.81459155985419
TFAP2B	3.11004085561577
ACF	3.87508515330656
TMEM11	5.66605221736279
CDH8	3.30909813217220
C3orf32	4.00876575683368
AGPS	5.46670008924479
C4orf18	3.14907197567332
PCCB	7.67453474788688
IPO13	5.12513185582059
PECI	7.82063095332896
UNG	7.83349980213541
C6orf105	7.09452828348151
GSTP1	10.3188026075167
SUV420H1	6.70833246575655
ARHGAP15	3.87585975584704
LTBR	6.69418559287209
TDRKH	3.26070766912094
PSG4	3.68031960034876
SLC9A3R1	6.45036264001629
NBPF3	9.0202397131529
SLC9A3	3.71876739194286
OSBP	7.15859720790766
PRR5	4.20181342979149
CHMP7	6.65660914530325
ADRA1A	3.09339338429043
ASAH1	6.58718131894368
FKBP4	7.35673148959337
ZNF350	5.64328900334142
DOM3Z	6.71830030820214
GIPR	3.76989382260074
AHI1	5.02992057918961
BST1	6.85817882091663
NCR2	3.86124407108455
NADSYN1	4.9897847828669
UBE2W	6.5468399541531
RGS14	3.69961978941677
KRT15	3.87677715407195
SCN11A	3.70996472594347
GFI1	3.83428055673312
FHL1	4.12668430981319
SMC6	5.66657141291624
GATA1	3.63882476247696
OSGEP	5.69213731775282
ARMC6	5.26282907260099
HK3	3.32746698480947
PSMD5	8.2551154693876
RSU1	7.89200929205948
RPL4	11.1326831236412
