Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H10_516308
Composite Element REF	Signal
AACS	6.96645493264312
FSTL1	6.91727364014981
ELMO2	5.74949690922923
CREB3L1	3.74062363277636
RPS11	9.46668191947171
PNMA1	9.05789573453202
MMP2	5.63201527897045
SAMD4A	4.01060885994329
SMARCD3	4.969866989503
A4GNT	3.70784767099216
C9orf39	3.53748929569351
PKNOX2	3.86632735539557
RALYL	3.37992999433714
ZHX3	4.10800815723191
ERCC5	6.38550776739335
RXFP3	3.05971577950944
APBB2	3.89304539828906
BBOX1	4.84465864769075
PRO0478	3.11395354642203
GCSH	7.56378338084949
XDH	3.75692162865862
EDN1	4.01623734638058
MTERF	6.2793884071901
PDCL3	7.68530797759491
CLK4	5.9472538138862
KCNG1	3.94574449630409
CXCR4	8.96977329715895
DECR1	7.66045198719548
SALL1	3.01860617719705
PTPRR	3.49369545118242
CADM4	3.42227770007837
IRAK1	8.58601877535594
CFHR5	3.191044300072
HNRPD	8.22602478646466
TMSB10	11.9055730197905
CXCL3	3.78131928765445
LMAN1	4.23958469090957
SUHW1	3.35500434613568
CHD8	6.14434503754479
SUMO1	7.81249266312238
GP1BA	3.39399970947431
OR7A10	3.87076241800616
DDB1	7.95766153484572
CHRNA10	3.74007934830924
STYK1	4.21746447533323
MYO9B	4.45493305082376
CCNI	10.2088273245241
MMP7	7.9275513876963
EP300	6.46299894027246
CRNKL1	6.70767045127165
C9orf45	3.34367207188984
XAB2	4.00619645145947
RTN1	4.74067056730796
HIC2	3.83029507656822
TBX10	3.49583246411145
CENPQ	4.08384253939939
UTY	3.14564486945939
OR2W1	2.80106543799191
ATP5G2	10.356099438019
ZEB1	3.91239956069297
ZG16	3.55822391884908
ERG	3.37567543631332
PARN	7.24163874109396
SOD2	5.96383342595369
JOSD3	7.70975127792621
ADAM5P	3.15383634672980
CHD9	5.58651604316601
hCG_40738	3.90686674715049
STK16	4.56889119838753
PDE1C	3.44140373416525
SEMA4D	5.87836838152911
AGPAT1	6.11816468016514
TOB2	5.70171796177895
BANK1	5.32388241971079
MAP3K3	5.27709055761669
MAX	5.19861499655269
GRM2	3.65397633834209
OSBPL8	7.56928475921423
PROSC	5.32869930318869
NR4A2	5.28601254877843
RICS	4.86506925987358
PIR	4.56072488862458
PPCS	8.66564158354016
IPO9	6.52497756088053
LONP1	6.97635574767338
EVC	4.36128896613878
CXCL13	7.87617648906013
SCYL3	5.51932646711625
KIAA1199	5.39296353973812
SORL1	8.42315490270922
NAT10	7.25176944608068
CHD1	5.98105436330673
SYN3	3.30076826582965
DMC1	3.95711550666828
SLC22A2	3.71944741870906
SERPINF1	7.48798253381339
C20orf27	5.62513547918537
OR7A17	3.07541582022877
RPS6KA5	4.6463551198297
LHB	3.07800059303568
TAOK3	4.9594299909035
STK25	4.95193217502228
SLC12A4	3.44114318938227
BRCA1	4.3847733441407
GBL	5.00051946605589
C14orf108	8.5107956718722
CDC25B	7.11569665059375
BMP3	3.19158669554238
MAP1LC3C	3.37357888697191
TMEM180	3.26726276022272
CRYGC	3.63114518672822
SLK	5.67115640191246
POU3F1	3.30479553294323
C20orf32	4.04776279444123
USP52	7.20345629401295
HIGD1B	3.91563834655932
BAZ1B	6.52780174732633
USP6NL	5.76485256260826
SLCO2B1	4.57968146388805
ABCD4	4.5030950351155
DIMT1L	5.77771272789073
SLC25A46	6.27308387005422
LARP7	7.03516708504923
TEK	3.40307159286761
CD160	3.78606917115695
TERF2IP	6.98920174458202
PHF20	6.33147094467257
COL1A1	6.59871963324894
KIAA0090	6.45821309178403
GTPBP1	4.07300119675674
GRK5	3.61550100004871
AP1S2	5.75047167640347
RAB33B	4.08271235414407
CA11	5.03307678911865
ALDOC	4.80374526062158
NUDT1	4.20670959643343
ZNF212	5.50691999264456
ACBD3	7.41304486568366
ZNF83	7.4823258190175
PRDM2	5.10112371253215
GDPD5	4.72704098528384
PDCD4	5.65751450201909
