Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_H01_491214
Composite Element REF	Signal
AACS	7.25008614463516
FSTL1	7.65405984073757
ELMO2	5.25678356021314
CREB3L1	4.16867900339864
RPS11	10.1912313975823
PNMA1	8.79168387007394
MMP2	6.89514580531741
SAMD4A	3.80348435078223
SMARCD3	6.41122145028528
A4GNT	3.59155293441422
C9orf39	3.12814272438098
PKNOX2	5.46249590715306
RALYL	3.27641027203271
ZHX3	4.27029703766359
ERCC5	6.67462601180716
RXFP3	3.04885983357618
APBB2	3.72106548949504
BBOX1	7.168495691098
PRO0478	3.13756015183504
GCSH	8.84235120669901
XDH	3.58317965931956
EDN1	3.64687947417164
MTERF	6.0156374275919
PDCL3	7.75054180315373
CLK4	6.83679025217725
KCNG1	3.51944909358809
CXCR4	8.54194335067381
DECR1	8.01920163854609
SALL1	3.27467090591767
PTPRR	3.53575449727399
CADM4	3.37773280792743
IRAK1	8.37107761643977
CFHR5	2.97562610801674
HNRPD	7.96233218361043
TMSB10	11.5555958647367
CXCL3	4.68305360725482
LMAN1	4.53304438649579
SUHW1	3.24692307484165
CHD8	5.71248480893238
SUMO1	7.79974810974138
GP1BA	3.33247709824024
OR7A10	3.81926656321325
DDB1	7.77380032398942
CHRNA10	3.66419617268753
STYK1	3.1554691065725
MYO9B	3.9963058165299
CCNI	10.7306797128348
MMP7	6.36584236748296
EP300	6.48254961397322
CRNKL1	6.56782450880659
C9orf45	3.24456519361142
XAB2	4.45527140080994
RTN1	3.48604936830566
HIC2	3.71354363153396
TBX10	3.56885432916386
CENPQ	4.07339958329362
UTY	3.06519949378339
OR2W1	2.86390343357533
ATP5G2	10.7452465496522
ZEB1	3.54160204591280
ZG16	3.51940194002361
ERG	4.16012778221098
PARN	6.91037666512556
SOD2	5.8745706466467
JOSD3	8.67673166691333
ADAM5P	3.30264547736017
CHD9	7.06003899650122
hCG_40738	3.47039859465529
STK16	5.3069913242219
PDE1C	3.79174874359400
SEMA4D	5.93607050088426
AGPAT1	6.10767603877484
TOB2	5.41993292549581
BANK1	4.99446850822185
MAP3K3	5.61176823231587
MAX	5.24849700756647
GRM2	4.08837790335716
OSBPL8	6.85117294683238
