Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_A06
Composite Element REF	Signal
AACS	6.26992323670997
FSTL1	7.0969404614958
ELMO2	5.34915931677377
CREB3L1	5.21297691614744
RPS11	10.0729907329276
PNMA1	5.9352022859143
MMP2	4.08535477740957
SAMD4A	3.52133349421047
SMARCD3	3.69576703722395
A4GNT	3.74457272737063
C9orf39	3.30052865981466
PKNOX2	3.93500494050647
RALYL	3.23565389488351
ZHX3	4.54700099322836
ERCC5	7.07861634135865
RXFP3	2.98691487249736
APBB2	3.59442359133984
BBOX1	2.97838717595609
PRO0478	2.84604153426603
GCSH	7.45972077066876
XDH	5.1628192469662
EDN1	4.11829952142134
MTERF	5.89529569762804
PDCL3	7.21416953793988
CLK4	7.18546346751003
KCNG1	3.73443478353638
CXCR4	5.95717211189055
DECR1	8.87381262023448
SALL1	3.18805483256871
PTPRR	8.53026772847126
CADM4	3.36350811171
IRAK1	7.86911466100198
CFHR5	3.27291492155026
HNRPD	7.67493337897875
TMSB10	11.6330423291499
CXCL3	3.47490681176356
LMAN1	3.86388812477670
SUHW1	3.21899166067009
CHD8	5.8346893870056
SUMO1	6.90161729183291
GP1BA	3.27170394824556
OR7A10	4.01075004063754
DDB1	7.27636525852126
CHRNA10	3.88095913223548
STYK1	6.18314967158495
MYO9B	4.4966481586075
CCNI	10.5307972036184
MMP7	3.65744755496078
EP300	7.09411361622382
CRNKL1	5.21501553685536
C9orf45	3.40111648827538
XAB2	4.70133100083366
RTN1	3.70587248894
HIC2	4.58366011902862
TBX10	3.57053868478906
CENPQ	3.97139287009440
UTY	3.14624003386014
OR2W1	3.07453283834578
ATP5G2	10.5396483570996
ZEB1	3.3859282101399
ZG16	3.58210027980682
ERG	3.38799638853164
PARN	6.95083867798538
SOD2	5.92807048515451
JOSD3	8.3907817998655
ADAM5P	3.34317107341413
CHD9	7.00971929164487
hCG_40738	3.90834213251301
STK16	5.13053914226087
PDE1C	3.82634346334256
SEMA4D	5.87478675053853
AGPAT1	6.17198915037993
TOB2	6.65009569172573
BANK1	5.11219289955999
MAP3K3	5.39511596014111
MAX	5.7408292688211
GRM2	3.69388123740316
OSBPL8	8.72864309391649
PROSC	6.32690836163917
NR4A2	7.275778108271
RICS	7.87480747755254
PIR	6.92805909630527
PPCS	8.67915425877795
IPO9	5.80961928580938
LONP1	6.77249862707994
EVC	3.5668139232822
CXCL13	4.93012867253946
SCYL3	6.14937206137553
KIAA1199	3.38786916114857
SORL1	9.19534862571166
NAT10	6.92598690902707
CHD1	7.23715684948301
SYN3	3.44263362495513
DMC1	3.84263222653796
SLC22A2	3.67002016729561
SERPINF1	5.47514648359207
C20orf27	5.82920524589977
OR7A17	3.11312755666181
RPS6KA5	6.63631960343014
LHB	3.73217912488491
TAOK3	6.08767260436771
STK25	6.2258364120652
SLC12A4	3.76550757284823
BRCA1	4.08697813295784
GBL	5.90225153759225
C14orf108	8.54719273341963
CDC25B	5.34744146270662
BMP3	3.94744101873289
MAP1LC3C	3.22886770701179
TMEM180	3.32301365362011
CRYGC	3.7538362670445
SLK	8.66317912428545
POU3F1	3.41877422441214
C20orf32	3.70783124512417
USP52	6.68227507325517
HIGD1B	3.7655717120427
BAZ1B	6.88934659750321
USP6NL	5.56106950997976
SLCO2B1	4.18361312145242
ABCD4	4.70010026383262
DIMT1L	6.40220473423036
SLC25A46	6.60149855115145
LARP7	7.10122841111189
TEK	3.57487123510852
CD160	3.76200553748507
TERF2IP	8.12953709647986
PHF20	5.85325110466072
COL1A1	4.97269035797928
KIAA0090	5.80718115997857
GTPBP1	4.47641989965922
GRK5	4.16550247972833
AP1S2	4.35425018917298
RAB33B	5.05822200237879
CA11	4.16436207864592
ALDOC	5.85434842204934
NUDT1	4.64807852179702
ZNF212	5.78126304978269
ACBD3	7.8570393141393
ZNF83	7.37661666510088
PRDM2	5.46728986033757
GDPD5	4.46204676040633
PDCD4	6.56950450376175
CEP350	6.77109881056114
FOXP3	3.29424730760585
SMYD3	6.17025899130565
CST7	4.34576229615065
SELL	4.53087445954886
CIAO1	6.52393913199947
LGI2	3.73087972450289
WDR45	6.81576410103647
