Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F01_516422
Composite Element REF	Signal
AACS	6.1284358667321
FSTL1	7.7532637859661
ELMO2	5.44977132142368
CREB3L1	3.74411217979496
RPS11	9.50898821242404
PNMA1	6.93599418437159
MMP2	6.17090107401755
SAMD4A	3.80245276287871
SMARCD3	4.73928793194418
A4GNT	3.72612542298149
C9orf39	3.12676685043282
PKNOX2	3.83351022527091
RALYL	3.32128872811579
ZHX3	4.41777990620773
ERCC5	5.15394625448602
RXFP3	3.03876312666382
APBB2	5.1338928770936
BBOX1	8.52747998895424
PRO0478	3.09234083496769
GCSH	6.87325531675036
XDH	4.86047465100931
EDN1	4.22178445742782
MTERF	6.66354909238305
PDCL3	6.9963175412868
CLK4	4.72064507000335
KCNG1	3.46614244675486
CXCR4	7.12094499310433
DECR1	7.14498117916526
SALL1	3.25100109720641
PTPRR	3.36652285922650
CADM4	3.4484200856401
IRAK1	8.57739701719766
CFHR5	3.47554654908459
HNRPD	8.04404285675716
TMSB10	11.7402290547306
CXCL3	4.41457750134826
LMAN1	3.95600314885873
SUHW1	3.62159359189533
CHD8	4.66977759129358
SUMO1	7.30534942177526
GP1BA	3.41203935125422
OR7A10	4.10295524194102
DDB1	6.93076332080612
CHRNA10	3.52883883111371
STYK1	3.50018408125425
MYO9B	4.01579478795585
CCNI	10.3450850722959
MMP7	4.25695584752821
EP300	5.52618674395013
CRNKL1	5.91728684470492
C9orf45	3.65362806812655
XAB2	4.28621325506362
RTN1	4.27960009657565
HIC2	3.55460348842474
TBX10	3.57421712200675
CENPQ	4.57056914174851
UTY	3.25720668525292
OR2W1	3.06328101659954
ATP5G2	10.0527885863126
ZEB1	3.19479547193463
ZG16	3.52315213049362
ERG	3.6581244058187
PARN	7.79272298566276
SOD2	6.83148749905407
JOSD3	6.99120418989834
ADAM5P	3.12451356140648
CHD9	4.74841778216143
hCG_40738	3.90499359567728
STK16	4.85384768598332
PDE1C	3.52563430851282
SEMA4D	5.39292974760416
AGPAT1	6.10594222801329
TOB2	5.75821386011119
BANK1	4.8350916423742
MAP3K3	4.79086848012313
MAX	4.94723213972181
GRM2	3.85690353077268
OSBPL8	6.61312904043842
PROSC	5.76985640266422
NR4A2	5.46432849396313
RICS	4.80555210586136
PIR	5.09497616419798
PPCS	8.98987172901685
IPO9	5.38244315596301
LONP1	6.26434308735319
EVC	3.38593531738612
CXCL13	5.17578038656958
SCYL3	5.21820993782722
KIAA1199	3.83328707651201
SORL1	9.53302596364815
NAT10	6.51600835908503
CHD1	5.31797326960891
SYN3	3.33727304178658
DMC1	3.95767251528774
SLC22A2	3.51268115546857
SERPINF1	6.00529439038563
C20orf27	5.41409730780122
OR7A17	3.26351278224844
RPS6KA5	4.45879332801545
LHB	3.26786109898960
TAOK3	5.00771083707986
STK25	5.4722065477728
SLC12A4	3.54042463970169
BRCA1	4.23857821497031
GBL	6.22049612336148
C14orf108	7.33986440689054
CDC25B	7.06838484589716
BMP3	3.53547508889185
MAP1LC3C	3.83603715636415
TMEM180	3.83771030806594
CRYGC	3.68202500892167
SLK	4.99246799851677
POU3F1	3.38730386252826
C20orf32	3.8961280978764
USP52	7.78872898488126
HIGD1B	4.16912754595188
BAZ1B	6.20283631126964
USP6NL	5.15142972695252
SLCO2B1	4.47535135473519
ABCD4	4.19248607121953
DIMT1L	5.75744220053714
SLC25A46	6.45796420456538
LARP7	7.63054143091542
TEK	3.31751943529714
CD160	3.88657088835271
TERF2IP	7.24147654387266
PHF20	6.4201072288265
COL1A1	6.54442456688909
KIAA0090	6.4973284047482
GTPBP1	4.42942819640840
GRK5	3.49882437806111
AP1S2	4.600211585898
RAB33B	4.44338851040013
CA11	3.93439312412304
ALDOC	5.94269749446011
NUDT1	5.83676560147203
ZNF212	4.95081536711575
ACBD3	6.66917443372156
ZNF83	6.45169872897457
PRDM2	5.1975150296006
GDPD5	4.08865158105269
PDCD4	4.95406129214031
CEP350	4.3403541933838
FOXP3	3.46017301729339
SMYD3	6.33480792838197
CST7	4.52761671818723
SELL	4.20291401045644
CIAO1	5.82327160085487
LGI2	4.11602454759078
WDR45	6.6627609363482
ANKRD6	6.95150999395498
LTBP4	3.45892658918944
PSCD3	3.70559210290104
PYY	3.30406522732605
KCNC1	3.4579147475145
SIRT6	3.92938998859115
CCL19	4.07402661078317
ARHGEF9	4.1479973586263
ABR	4.11969647018496
C10orf22	5.43870519054449
STK17A	4.59113446385766
FOXE1	3.16208287236327
GML	3.72621951082687
CNGA3	3.18740523757472
CD38	5.20390042625817
ZDHHC6	6.46334438536686
NEFH	3.55510596570961
PGBD5	3.38081984672705
CTDSP2	7.32463132937588
RMND5B	4.42544463635068
ZNF257	3.89944018101370
DUSP4	3.62817016778723
FLJ22167	5.02317853895354
