Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_H03_491210
Composite Element REF	Signal
AACS	5.92591467387902
FSTL1	8.88486277371369
ELMO2	5.81510737642675
CREB3L1	4.20097371551964
RPS11	10.2504739391045
PNMA1	8.28415804511443
MMP2	8.50883133435899
SAMD4A	4.10382084363898
SMARCD3	6.78472579304432
A4GNT	3.55025089115324
C9orf39	3.23667175387730
PKNOX2	6.09510916491826
RALYL	3.602730236082
ZHX3	4.20993610058415
ERCC5	5.35250862136003
RXFP3	3.06959907233421
APBB2	4.59665873836970
BBOX1	7.1390308902573
PRO0478	3.08262335625762
GCSH	8.39532545523758
XDH	3.75195475425375
EDN1	5.40159984944227
MTERF	6.25394238811837
PDCL3	7.25516821184695
CLK4	6.14025374881005
KCNG1	3.89253308932769
CXCR4	8.9007242179622
DECR1	8.33028271456537
SALL1	3.22571537478462
PTPRR	4.24074825000679
CADM4	3.31093529081009
IRAK1	8.91610351001002
CFHR5	3.10634024963802
HNRPD	8.09844016392227
TMSB10	11.6510337295755
CXCL3	4.01852502061783
LMAN1	4.25862238806431
SUHW1	3.53832500543293
CHD8	5.6051101818707
SUMO1	8.31847288797006
GP1BA	3.38572366438411
OR7A10	3.82494786708828
DDB1	7.93712647232685
CHRNA10	3.48421553637993
STYK1	3.76625784321661
MYO9B	4.11694673519895
CCNI	11.0419105964250
MMP7	11.4945034430939
EP300	6.31620859954686
CRNKL1	6.91715479371491
C9orf45	3.10176461167273
XAB2	4.35485911380837
RTN1	3.65979103273053
HIC2	3.69587215042545
TBX10	3.42608568965239
CENPQ	4.16913060510848
UTY	3.15502232067741
OR2W1	2.86681114217767
ATP5G2	10.9066636523847
ZEB1	3.64604555914439
ZG16	3.35464971146784
ERG	3.93341295748982
PARN	7.5932416778236
SOD2	4.97834414171506
JOSD3	8.7745252829702
ADAM5P	3.18580249830649
CHD9	6.82455190153664
hCG_40738	3.80271080296004
STK16	5.44479816600204
PDE1C	3.7179929475337
SEMA4D	5.65461079166693
AGPAT1	6.70577653745936
TOB2	6.07921424532949
BANK1	4.97218356565405
MAP3K3	5.24168921489451
MAX	5.80263518040349
GRM2	3.77425772712629
OSBPL8	7.44149150068934
PROSC	6.57223923662973
NR4A2	4.8690907447912
RICS	5.28007536352127
PIR	4.98686055044518
PPCS	9.37018253121037
IPO9	5.84964905742568
LONP1	5.99103927869399
EVC	4.32186026333526
CXCL13	4.19498088170287
SCYL3	6.30623584164463
KIAA1199	7.53053016859574
SORL1	9.94138330540843
NAT10	7.10707305078564
CHD1	6.23865984335082
SYN3	3.66295462131221
DMC1	3.78140334017311
SLC22A2	3.67477426296468
SERPINF1	8.51887630741626
C20orf27	6.99140437680502
OR7A17	3.28503287632950
RPS6KA5	5.42737269735216
LHB	3.26037890169907
TAOK3	4.30470503076767
STK25	6.96574289816336
SLC12A4	3.57750155235325
BRCA1	3.43612286317204
GBL	6.45313760309973
C14orf108	8.10925694679824
CDC25B	6.56590080483626
BMP3	3.21987854864574
MAP1LC3C	3.58071366762364
TMEM180	3.33975922716106
CRYGC	3.89293611603553
SLK	5.56472330445444
POU3F1	3.18712474319577
C20orf32	3.85382798789031
USP52	5.50444732656453
HIGD1B	3.83280099078427
BAZ1B	6.43821582668033
USP6NL	5.67342867026777
SLCO2B1	4.22998905518935
ABCD4	4.68204108808668
DIMT1L	6.91484404075588
SLC25A46	6.80954539829686
LARP7	6.40271518095948
TEK	3.63591701931068
CD160	3.87265553149643
TERF2IP	7.44608816307195
PHF20	5.60809325632944
COL1A1	8.1165329103855
KIAA0090	5.87621218746712
GTPBP1	4.45235298628034
GRK5	3.5680339191436
AP1S2	4.74341717894973
RAB33B	4.22855538166831
CA11	4.94422626884496
ALDOC	4.51764944645511
NUDT1	4.62310295757076
ZNF212	5.12182974417862
ACBD3	7.14770024699977
ZNF83	6.45872950844643
PRDM2	4.68996929458899
GDPD5	5.71875735995872
PDCD4	6.14167123553776
CEP350	5.70408347340249
FOXP3	3.35197483953673
SMYD3	7.13015308501878
CST7	4.62589107220919
SELL	5.44773264420397
CIAO1	6.48122800706239
LGI2	3.72288016178709
WDR45	7.09273569143697
ANKRD6	8.39855087095943
LTBP4	3.59718941551571
PSCD3	3.48644335323953
PYY	3.15829271660524
KCNC1	3.11899159267060
SIRT6	4.06687605058943
CCL19	4.38736224315346
ARHGEF9	5.18677529507691
ABR	4.22265371302679
C10orf22	7.03521642948581
STK17A	6.29383911813395
FOXE1	3.36511709036170
GML	3.14410631483086
CNGA3	2.93844140209984
CD38	3.9604590213085
ZDHHC6	7.87336647547765
NEFH	3.19880785785063
PGBD5	4.08539514042113
CTDSP2	7.61345417546353
RMND5B	6.37943786254531
ZNF257	3.31861438287772
DUSP4	5.06386243835272
FLJ22167	5.95581155454338
EXOSC7	7.17939463496026
ROR2	3.48308347955258
FOXM1	4.95533285653565
ZBTB48	4.45648953108184
BUD31	7.5542238217245
MAOA	3.86701294715925
CCDC41	4.04429622142746
TNNT3	3.4441129149698
FBXO11	5.78776668514267
GYPC	5.24005657620317
PLIN	5.45259743942727
RFXAP	3.31325631050949
C6orf15	3.83727124179731
RNF4	8.85930320843104
F8A1	8.40368132131106
PPP1R3D	5.09304353353245
GRB2	7.66381399509973
TPM3	3.09212335968572
SYT13	4.03193941769581
EPB42	3.80260057214870
RP5-1077B9.4	5.33469897001426
EIF1	10.1567594218083
CETN3	6.88819744544099
FPGT	6.09044198282524
PRY	3.54248568074036
NTHL1	5.31644354406474
POLR2B	8.78604323942698
RPS28	11.7264195180802
GDF10	3.03534414653337
COQ9	7.90359651158844
P2RX3	2.92833195202145
GCC2	7.65908958705636
RARRES3	7.87528121027443
PLXNA1	6.16559586247957
WBP4	4.19102561911715
KIAA0100	5.89202819765697
PMF1	7.05512700653663
HS2ST1	6.22797898738942
CRELD2	6.72945302458819
C8G	3.13507436685700
CD82	6.33014085463485
PMM1	5.06284475529802
CBLL1	4.28086037970968
LIM2	3.21007021452571
VAX2	5.05047842137402
SETDB1	5.41865289921949
LRAP	3.63825570462262
GCLM	6.91135714941693
CPEB3	4.05003644351189
PPM1A	6.24432666710668
INTS1	3.87645455722868
MMP16	3.33742536373838
CAMTA1	3.57805429868369
SAMSN1	5.20135713697931
DRD3	2.99134356237203
GMPPA	4.85766868827628
C11orf73	7.34345670181964
AIPL1	3.71526051989584
PTP4A2	9.84455732237443
IL24	3.25410578572035
BDKRB1	3.25362837625621
