Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C04_543666
Composite Element REF	Signal
AACS	7.88533573046095
FSTL1	8.89357928051756
ELMO2	6.49102085777251
CREB3L1	3.88747257801365
RPS11	9.7143204673964
PNMA1	8.41893683305845
MMP2	7.63383369505404
SAMD4A	4.20208241191612
SMARCD3	6.24833529003652
A4GNT	3.45318458614455
C9orf39	3.1149038985723
PKNOX2	4.33319903590891
RALYL	3.96442777442963
ZHX3	4.27371806879682
ERCC5	5.25280992221836
RXFP3	3.05021634035716
APBB2	3.92016173861692
BBOX1	5.30709335982684
PRO0478	3.16559018915154
GCSH	7.2077803899618
XDH	5.11231414011989
EDN1	4.48196137010016
MTERF	6.45501811624061
PDCL3	7.8028659794702
CLK4	5.38110657010759
KCNG1	4.15618910896622
CXCR4	9.19835750826338
DECR1	8.02026040258618
SALL1	3.02441871615713
PTPRR	4.60678731791197
CADM4	3.30431608525878
IRAK1	9.45739115004538
CFHR5	3.12769557939116
HNRPD	7.80086149869106
TMSB10	12.3872293054571
CXCL3	5.55733549886973
LMAN1	6.21601000335733
SUHW1	3.66317423707457
CHD8	5.69420759582586
SUMO1	8.0216223693774
GP1BA	3.46749522822517
OR7A10	3.83314633606016
DDB1	7.41169135395946
CHRNA10	3.63983814809828
STYK1	3.56015706315872
MYO9B	4.17173999607188
CCNI	11.0386276748940
MMP7	4.76139073596499
EP300	5.90313483835828
CRNKL1	7.24061477448736
C9orf45	3.26983893627467
XAB2	3.79199479932724
RTN1	4.57034828526793
HIC2	3.83954375999032
TBX10	3.54264165736473
CENPQ	4.4482534556082
UTY	3.10119137465739
OR2W1	2.7830404867511
ATP5G2	10.5484635301754
ZEB1	3.54343568411208
ZG16	3.43903975591645
ERG	3.49218803378881
PARN	7.62372010240707
SOD2	8.21621787486595
JOSD3	6.8148786253452
ADAM5P	3.25936312578292
CHD9	5.58416129775505
hCG_40738	3.7279137050396
STK16	6.25725258829682
PDE1C	3.66692978833055
SEMA4D	6.06840042778266
AGPAT1	6.47741563825058
TOB2	5.05234084739542
BANK1	5.49912472519097
MAP3K3	5.11881072625711
MAX	5.44019751183311
GRM2	3.70588862081503
OSBPL8	7.60743100916437
PROSC	6.26833867752272
NR4A2	4.58271810205493
RICS	4.20295883500691
PIR	6.5086530431213
PPCS	9.0109222726184
IPO9	6.11195882235937
LONP1	7.5877257923172
EVC	4.27214707391912
CXCL13	6.42101182814802
SCYL3	5.08731359305623
KIAA1199	4.27127564926529
SORL1	8.45173821409593
NAT10	6.9017689986729
CHD1	5.56022133229831
SYN3	3.58113402175656
DMC1	3.69869968650843
SLC22A2	3.78452572097348
SERPINF1	7.07746836174079
C20orf27	4.72492898471477
OR7A17	3.30827000105383
RPS6KA5	4.86466809977403
LHB	3.49152762258133
TAOK3	4.34149167690361
STK25	5.36710489194424
SLC12A4	3.51544587556011
BRCA1	4.24392879322533
GBL	6.44908931087889
C14orf108	8.69506459953694
CDC25B	7.21344126742246
BMP3	3.24693032124159
MAP1LC3C	3.38310861110136
TMEM180	3.27227196775405
CRYGC	3.56028069997589
SLK	5.53783252239903
POU3F1	3.20715898554489
C20orf32	3.72139138942638
USP52	6.75540157499209
HIGD1B	3.68582756076200
BAZ1B	6.07050555072323
USP6NL	5.389650505808
SLCO2B1	4.54254153199208
ABCD4	5.00382394945502
DIMT1L	5.64067135568883
SLC25A46	7.67696490113862
LARP7	6.58416852502085
TEK	3.62938886212337
CD160	3.47830896892977
TERF2IP	6.90638611669773
PHF20	6.03394502015469
COL1A1	7.0011990805502
KIAA0090	7.13082755716991
GTPBP1	4.60160679484713
GRK5	3.7676458965293
AP1S2	6.21595388476032
RAB33B	4.20099825275772
CA11	5.22408678181776
ALDOC	6.66076499958491
NUDT1	6.0194807825193
ZNF212	5.39483645521011
ACBD3	7.04127897746753
ZNF83	7.01708976461625
PRDM2	4.85672841783003
GDPD5	6.55981712393936
PDCD4	5.02570834366434
CEP350	5.2049167564951
FOXP3	3.37916297293587
SMYD3	5.952491276950
CST7	6.14446827396807
SELL	4.7543378683202
CIAO1	6.66166775288061
LGI2	3.54736079410258
WDR45	6.74334660228541
ANKRD6	7.84370008213655
LTBP4	4.0499513875165
PSCD3	3.44951341702461
PYY	3.08333096509127
KCNC1	3.04838625982122
SIRT6	4.44746151084672
CCL19	4.12903565520541
ARHGEF9	4.14882503664586
ABR	5.01757049402982
C10orf22	6.37055571716252
STK17A	5.54350223644501
FOXE1	3.21969158531073
GML	3.31064814194256
CNGA3	3.03259985471367
CD38	6.75824090698591
ZDHHC6	7.20489885115851
NEFH	6.12238251719295
PGBD5	4.04037116761953
CTDSP2	7.24890809674922
RMND5B	5.42703771760195
ZNF257	3.20062281728492
DUSP4	4.29664809683372
FLJ22167	5.85949876769347
EXOSC7	6.05887728869476
ROR2	3.72469973528096
FOXM1	6.26648717941813
ZBTB48	4.58744127710397
BUD31	8.29104925826296
MAOA	4.56882592298729
CCDC41	4.01474482706413
TNNT3	3.66388151579978
FBXO11	5.25569336966969
GYPC	5.88628034166877
PLIN	3.81639454899189
RFXAP	3.43729566258589
C6orf15	4.46428960124626
RNF4	9.14846680686342
F8A1	8.96970901735503
PPP1R3D	4.37929797817804
GRB2	6.97099389411114
TPM3	3.27543698554069
SYT13	3.74132080338596
EPB42	3.46315364602728
RP5-1077B9.4	5.15406728245458
EIF1	11.0049878078912
CETN3	7.09173237026486
FPGT	5.32661888920140
PRY	3.56469121222436
NTHL1	6.70077612989814
POLR2B	8.84189666353704
RPS28	11.5033401402558
GDF10	3.02220947446552
COQ9	7.58242007806176
P2RX3	2.97412860115512
GCC2	6.9941063434004
RARRES3	7.75789830966875
PLXNA1	5.96352936903635
WBP4	4.41541349034584
KIAA0100	7.16378785528413
PMF1	6.93298433045669
HS2ST1	5.29486470263411
CRELD2	6.99010318460846
C8G	2.91639494694853
CD82	5.6513830645432
PMM1	5.20444875736981
CBLL1	4.65738005958617
LIM2	3.28275178209119
VAX2	3.56530386449028
SETDB1	5.54124706946949
LRAP	5.73855596953642
GCLM	6.96120820709668
CPEB3	3.45258072492724
PPM1A	6.27336550179928
INTS1	4.4118406721442
MMP16	3.19006427806641
CAMTA1	4.95680294207305
SAMSN1	6.39560042041978
DRD3	2.92419127328455
GMPPA	5.55626595879046
C11orf73	5.42018524716721
AIPL1	3.69762301660697
PTP4A2	10.0346663281820
IL24	3.29248846443033
BDKRB1	3.37642603072691
HPCA	3.68764425591425
MLF1	6.19648146308062
SEC14L1	6.80834854126036
CHFR	5.83417840340934
EMILIN1	3.19308780083827
THADA	5.89145424677546
TAF12	5.88553849844484
NDUFS4	8.23436912073152
ID1	4.89137460602907
PIK3CB	3.37727911905995
COL18A1	7.38782184231727
PDZD3	3.48280931047347
TBC1D17	5.53985207855951
COX8A	9.83426493034766
CDCA4	6.18482329564586
C2orf44	4.3627174609882
C9orf16	8.42201303607302
ERBB2IP	7.40364231888902
EMX2	7.989183117428
FUS	6.01450409627138
NIPSNAP3B	3.74186791064912
TF	3.71959928134509
CXorf56	5.81006321807566
CLCN4	3.74348538950441
PWP2	5.76787751297366
MMP15	3.87851665940530
MTMR14	5.86833802901096
NPR1	6.68219704668809
DNAL4	5.86385429364553
ELAC2	4.62776140718786
ASS1	11.0278698968939
IPP	5.58758033720505
TMEM59	10.0497885710390
POLR2J	8.51158123766424
SEC23IP	5.69319075136724
RGS4	4.04889607684845
UQCRC1	8.83518081371899
SNX6	7.79882991008851
DDX18	8.58835093354317
POLG	4.83330329263669
ADAM23	3.83735180824437
ZNHIT2	4.46153789971175
TFR2	3.66995833807021
NCDN	4.06194712379813
RAG1	3.58786711348984
POMT1	4.9173806391009
CYP1A1	3.1056953067451
SNAPC1	6.22953733475213
GNA11	5.65235768886513
CCDC52	2.91877290517865
CAPN1	6.77346250888214
DDHD2	6.64710319780724
UPF3A	5.59760386060122
LAGE3	6.3734753402449
GNRHR	3.13949936147256
UNC13B	5.81214841060931
TTLL4	5.50892790461623
PPBP	2.99910790820791
HTR3A	5.80824247257133
SDC2	5.64628457616688
ANKRD49	7.01072511735957
BTF3	10.1407528667343
COX7A2	10.2652541971266
SARS	8.47090719418205
C13orf18	3.63694406153081
CACNB1	4.00928088060869
QKI	5.56375859794155
SETMAR	4.95124967038357
LAMB4	3.21561549814429
MAN2B1	6.50893467275231
EML3	5.17476281704456
ACADL	3.16482239742309
OFD1	7.46072472372059
CGA	3.50901999688743
EIF3EIP	10.1556988547761
PEX16	5.4846198554762
GNG12	7.60780923150949
HABP4	5.21658083790792
CNTN2	3.67998847453458
ASNSD1	7.22219526660996
FUT4	3.81508978147736
DBH	3.65972473555625
CD53	8.80788757682973
