Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_D03_433684
Composite Element REF	Signal
AACS	6.76403148254275
FSTL1	7.86177432957348
ELMO2	5.20635919633597
CREB3L1	4.13813037375316
RPS11	9.97056400297172
PNMA1	7.41058358986624
MMP2	6.45017407888746
SAMD4A	3.60167763056562
SMARCD3	6.68193281824972
A4GNT	3.75134423572769
C9orf39	3.23682704892095
PKNOX2	4.08516234865349
RALYL	3.34982801867776
ZHX3	4.30935505611406
ERCC5	6.49244538999193
RXFP3	2.9298999394235
APBB2	3.77276560338337
BBOX1	7.18144968715982
PRO0478	3.24749151680764
GCSH	7.56623013765753
XDH	4.24654142798659
EDN1	6.28160082593259
MTERF	5.5732426781513
PDCL3	7.21604154134687
CLK4	7.09150302010785
KCNG1	4.28051748325988
CXCR4	7.24404105123875
DECR1	7.99393131484704
SALL1	3.10296597108839
PTPRR	3.55404238492750
CADM4	3.34639253393501
IRAK1	8.79986023809697
CFHR5	3.47614532664991
HNRPD	7.182729863493
TMSB10	11.7842361463857
CXCL3	3.66257743849598
LMAN1	3.61619040932076
SUHW1	3.28759318321885
CHD8	6.72220404505083
SUMO1	8.41238093263013
GP1BA	3.37721291383337
OR7A10	3.97224782296202
DDB1	7.77641566228853
CHRNA10	3.49838104491141
STYK1	4.01013400221149
MYO9B	4.21116600240893
CCNI	9.14328262055234
MMP7	8.95293218353885
EP300	6.4559392115258
CRNKL1	5.61627444467043
C9orf45	3.36215399335659
XAB2	4.22944110589254
RTN1	3.0937507248684
HIC2	3.79948963797449
TBX10	3.58894859163720
CENPQ	4.3187059472347
UTY	3.23708359941105
OR2W1	3.03778269787808
ATP5G2	9.12997785605298
ZEB1	3.43270780656869
ZG16	3.68213734494024
ERG	4.00651544666917
PARN	7.22434693263111
SOD2	6.14225900282168
JOSD3	7.92184720077542
ADAM5P	3.22676113697708
CHD9	6.14400608309101
hCG_40738	3.96897328383952
STK16	4.97610336644913
PDE1C	3.71500552662419
SEMA4D	4.89714065833681
AGPAT1	6.38267125236671
TOB2	5.73528527421147
BANK1	4.45713222406396
MAP3K3	5.1523728947367
MAX	5.40140649836625
GRM2	3.76146418916134
OSBPL8	6.66720338507952
PROSC	5.28211588554383
NR4A2	7.10847659994245
RICS	6.23529058583428
PIR	4.01127367132752
PPCS	9.21119497234847
IPO9	6.28310093227162
LONP1	7.15432970669682
EVC	4.57498438136736
CXCL13	4.01959581824007
SCYL3	5.48210420564631
KIAA1199	5.00615226942838
SORL1	8.42515134944922
NAT10	7.51309589408967
CHD1	5.39985927758383
SYN3	3.40797903273193
DMC1	4.15041296016724
SLC22A2	3.7964293164673
SERPINF1	6.74888504246549
C20orf27	5.7204748430059
OR7A17	2.9730155333725
RPS6KA5	4.6756790620169
LHB	3.50037108160266
TAOK3	5.69700773397451
STK25	5.62632264612576
SLC12A4	3.90078390852213
BRCA1	3.74472391835823
GBL	5.11820587859574
C14orf108	8.03195237034764
CDC25B	7.41955673902353
BMP3	3.38398596225960
MAP1LC3C	3.22912597012898
TMEM180	3.60342384927867
CRYGC	3.72808419871373
SLK	6.45554583631737
POU3F1	3.3332659269178
C20orf32	4.04569368101598
USP52	4.50158113433728
HIGD1B	4.18613510051731
BAZ1B	6.3473219636194
USP6NL	5.64586223098149
SLCO2B1	3.95129636665766
ABCD4	4.68532134645511
DIMT1L	6.09967446833907
SLC25A46	6.60142181221932
LARP7	6.96271291319032
TEK	3.4084344441566
CD160	3.72392951095113
TERF2IP	6.75475011333246
PHF20	6.41376684800446
COL1A1	7.25809484410443
KIAA0090	5.33173498442762
GTPBP1	4.36933988022713
GRK5	3.58405793242048
AP1S2	4.5076745270512
RAB33B	4.38525654900850
CA11	4.38950425598402
ALDOC	4.80235957313403
NUDT1	4.46581398409247
ZNF212	5.00662244751378
ACBD3	7.32421598802467
ZNF83	6.23397872728071
PRDM2	4.55209562866169
GDPD5	4.76908246989576
PDCD4	5.66687497609261
CEP350	6.41097880938878
FOXP3	3.5738015645833
SMYD3	5.64375712436665
CST7	3.84839724572435
SELL	4.25205194761602
CIAO1	6.58784949201001
LGI2	3.93171797069329
WDR45	6.0928798645355
ANKRD6	6.49339348283964
LTBP4	3.65719925674047
PSCD3	3.24845516833238
PYY	3.30155131559565
KCNC1	3.16612583691992
SIRT6	4.10691256275196
CCL19	3.97937329465076
ARHGEF9	4.19912923606505
ABR	4.44123781171836
C10orf22	6.05190342154896
STK17A	4.55693094866562
FOXE1	3.35032010082285
GML	3.25201165553396
CNGA3	2.88916553584232
CD38	3.63424206870103
ZDHHC6	7.28776126692223
NEFH	3.20805466409527
PGBD5	4.55264107437524
CTDSP2	6.38668927627662
RMND5B	6.62327546765062
ZNF257	5.12572860558692
DUSP4	4.79313661609434
FLJ22167	5.18681155822103
EXOSC7	6.88418002343899
ROR2	3.57944807175708
FOXM1	5.27869644515186
ZBTB48	4.45619183301235
BUD31	7.44141918551345
MAOA	3.9162855966491
CCDC41	4.53289093482261
TNNT3	4.10640159687743
FBXO11	5.65031902678251
GYPC	6.50105516500596
PLIN	3.59437335806893
RFXAP	3.34989157917002
C6orf15	4.00970220875223
RNF4	7.0503776138417
F8A1	8.6732625937896
PPP1R3D	4.39257396532447
GRB2	6.30214076514055
TPM3	3.40816748733651
SYT13	3.68363300268931
EPB42	3.68280228505684
RP5-1077B9.4	5.12549702976825
EIF1	8.53475893943379
CETN3	6.08039808686783
FPGT	4.64026082578006
PRY	3.25315441635564
NTHL1	4.67337874149229
POLR2B	8.63447906079854
RPS28	11.2502538835965
GDF10	3.34529532591979
COQ9	6.82604382769728
P2RX3	2.93330164739194
GCC2	6.13660662127923
RARRES3	8.5021892409569
PLXNA1	5.59580528858783
WBP4	4.13725181300075
KIAA0100	6.71801730877868
PMF1	6.14678337907925
HS2ST1	5.38783340928602
CRELD2	5.75721907769625
C8G	3.28654309743064
CD82	5.90079938344935
PMM1	4.31028825858902
CBLL1	4.41758098605719
LIM2	3.26490685518767
VAX2	3.56492014443578
SETDB1	5.03655714643171
LRAP	3.47238530954744
GCLM	5.47727307897589
CPEB3	3.7127145383032
PPM1A	5.63717806689454
INTS1	3.92761612686621
MMP16	3.25278754962472
CAMTA1	3.39128187945429
SAMSN1	4.76779670901767
DRD3	2.92595151606684
GMPPA	4.51774626913445
C11orf73	4.36241983516154
AIPL1	3.85545944862744
PTP4A2	9.5501117095245
IL24	3.66343073897449
BDKRB1	3.55741239850056
