Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F05_516394
Composite Element REF	Signal
AACS	6.60335230682905
FSTL1	6.84701862426607
ELMO2	5.08677668989692
CREB3L1	3.69377066275780
RPS11	9.78999484076388
PNMA1	8.29940633842446
MMP2	6.07683174039867
SAMD4A	3.66053957658041
SMARCD3	7.80942018319477
A4GNT	3.63540372211254
C9orf39	3.40749572987963
PKNOX2	4.57037990444661
RALYL	3.71034338702708
ZHX3	4.18637603804077
ERCC5	4.96391366230702
RXFP3	3.43265403568749
APBB2	3.79146677590255
BBOX1	7.58344825900323
PRO0478	2.88203455720634
GCSH	8.7370833974723
XDH	3.88130667925754
EDN1	3.51114784166307
MTERF	6.0733521815524
PDCL3	7.09914150426616
CLK4	4.97520905532024
KCNG1	4.08723378264289
CXCR4	8.9829143055089
DECR1	8.48958450584716
SALL1	3.34530629130156
PTPRR	3.88607023335712
CADM4	3.58278941196321
IRAK1	8.79785117817389
CFHR5	3.72367656616761
HNRPD	7.22958838038311
TMSB10	11.6773182307932
CXCL3	3.54437102910095
LMAN1	4.02173774270091
SUHW1	3.63922002116782
CHD8	7.13609057307625
SUMO1	7.59485124370593
GP1BA	3.25092999197002
OR7A10	4.3164273850851
DDB1	6.56203764659849
CHRNA10	3.83263383985846
STYK1	3.17552320619284
MYO9B	4.17336742350658
CCNI	10.6424016668115
MMP7	8.12100667133281
EP300	5.3783569099492
CRNKL1	6.1640724628708
C9orf45	3.5248875574281
XAB2	4.67649322985683
RTN1	4.06802346296411
HIC2	3.80045817468616
TBX10	3.75490442006134
CENPQ	3.82451247380868
UTY	3.08561817027717
OR2W1	3.05640800939473
ATP5G2	10.5427868740358
ZEB1	3.23213953325924
ZG16	4.00186257314409
ERG	3.84566615043082
PARN	6.42750032476591
SOD2	4.82533130051223
JOSD3	8.12751674555724
ADAM5P	3.34180043640284
CHD9	4.94390473029984
hCG_40738	3.70265643171154
STK16	5.74022534829423
PDE1C	3.47794992487950
SEMA4D	5.70152951767804
AGPAT1	5.54172586534923
TOB2	5.33878669890633
BANK1	3.28719325407903
MAP3K3	4.97572291907442
MAX	5.15358728424796
GRM2	4.03442470077346
OSBPL8	6.19927035017096
PROSC	6.84119605278503
NR4A2	4.41426973645309
RICS	4.87645980328278
PIR	5.2473101265745
PPCS	8.88135401462224
IPO9	5.60234127729065
LONP1	5.64696986840854
EVC	3.86184161549259
CXCL13	4.30611385383908
SCYL3	5.0689371619896
KIAA1199	5.71363959219982
SORL1	7.67985976039215
NAT10	6.18801935550276
CHD1	5.17780029950664
SYN3	3.84396330562857
DMC1	3.81450335591961
SLC22A2	3.52104960073638
SERPINF1	5.655252937929
C20orf27	6.31713627641625
OR7A17	3.19701641757151
RPS6KA5	4.53687514622207
LHB	3.9181369636438
TAOK3	4.55540687657972
STK25	5.10238952672071
SLC12A4	3.63267931750909
BRCA1	3.7066705368579
GBL	5.86243352062712
C14orf108	7.70072735029409
CDC25B	8.4532063184258
BMP3	3.35880248949061
MAP1LC3C	3.36308135052886
TMEM180	3.47789966639962
CRYGC	3.86329048219505
SLK	4.44369227606151
POU3F1	3.38076318207023
C20orf32	4.2721650182823
USP52	5.26627012509246
HIGD1B	4.02763505826007
BAZ1B	5.44801356027555
USP6NL	4.88025406988486
SLCO2B1	3.90128408835679
ABCD4	4.68610048349164
DIMT1L	5.7962005554936
SLC25A46	6.21727142930256
LARP7	7.2099410074115
TEK	3.44967398304133
CD160	3.67399900816985
TERF2IP	7.75175151510424
PHF20	6.18375818398533
COL1A1	6.21594529649747
KIAA0090	4.90973289145141
GTPBP1	4.12001681278907
GRK5	3.73376126917091
AP1S2	4.8711601008523
RAB33B	4.75626158772103
CA11	4.68827005469101
ALDOC	6.25676384013552
NUDT1	5.21220395171303
ZNF212	5.22130036052628
ACBD3	6.77726805929505
ZNF83	5.86092934501004
PRDM2	4.64684860922866
GDPD5	4.71085004028812
PDCD4	5.70752354141825
CEP350	4.70797843950068
FOXP3	3.46904555220103
SMYD3	6.40944765287776
CST7	4.37247081682654
SELL	3.58625683463854
CIAO1	6.16923537730648
LGI2	3.74503918219696
WDR45	6.46745953039476
ANKRD6	5.79714161017518
LTBP4	4.13200088666024
PSCD3	3.52719921195547
PYY	3.32613429397677
KCNC1	3.21016596008912
SIRT6	4.05856272895719
CCL19	3.91502491829063
ARHGEF9	4.34648938592317
ABR	4.29366191953997
C10orf22	5.51982326787097
STK17A	4.76500427458701
FOXE1	3.40431990099422
GML	3.28003910425797
CNGA3	3.37774352951602
CD38	3.55204073257207
ZDHHC6	7.21354049756083
NEFH	4.73705440327361
PGBD5	3.45159196283686
CTDSP2	6.61949909283311
RMND5B	5.34545925645513
ZNF257	4.73960675480953
DUSP4	3.77260000738449
FLJ22167	6.47282195547174
EXOSC7	6.41741783818759
ROR2	3.44272979454362
FOXM1	4.89262267084153
ZBTB48	4.75435122429524
BUD31	8.14229983058211
MAOA	4.06764278931376
CCDC41	4.27078934873054
TNNT3	4.02705150771869
FBXO11	4.97091018989681
GYPC	6.07110502402917
PLIN	3.58096490603086
RFXAP	3.5092089972565
C6orf15	4.02823540655382
RNF4	8.01354707511014
F8A1	7.7991902033804
PPP1R3D	5.20103146713471
GRB2	6.13740129989467
TPM3	3.23505958063547
SYT13	3.35082091584487
EPB42	3.97962022052658
RP5-1077B9.4	4.9831201701236
EIF1	10.2383427786819
CETN3	6.85514859193267
FPGT	4.68784754751546
PRY	3.67149031670204
NTHL1	5.7900616800354
POLR2B	8.84358968070554
RPS28	11.9670449471469
GDF10	3.1378229383445
COQ9	7.97680244249425
P2RX3	3.13912662690915
GCC2	6.44436028490885
RARRES3	7.1880734010682
PLXNA1	5.61671428817498
WBP4	4.72014654355024
KIAA0100	5.68011910925698
PMF1	6.77014171777396
HS2ST1	4.8755318918472
CRELD2	5.96375477236197
C8G	3.49967219885565
CD82	6.05667343280312
PMM1	5.23243146740098
CBLL1	3.60341128432679
LIM2	3.36724116357067
VAX2	4.20604822136185
SETDB1	5.10590738990317
LRAP	3.25264796567372
GCLM	5.92254838177811
CPEB3	3.31514320347401
PPM1A	5.52402584579556
INTS1	4.13671706728775
MMP16	3.27836366928348
CAMTA1	4.34815392600547
SAMSN1	4.51447990362337
DRD3	3.02525921762921
GMPPA	5.29188255435578
C11orf73	5.47754681986851
AIPL1	3.98910566054321
PTP4A2	8.6294739109539
IL24	3.45713923960385
BDKRB1	3.39302954999562
HPCA	3.80218372889284
MLF1	6.90581298565155
SEC14L1	4.75571858865337
CHFR	4.83092288179777
EMILIN1	3.34684549102781
THADA	5.63572454042588
TAF12	5.24356218746533
NDUFS4	7.4950019084435
ID1	7.3040114564289
PIK3CB	3.97109777183336
COL18A1	6.59360095797877
PDZD3	3.25370987878241
TBC1D17	4.66865217111828
COX8A	9.52907090127744
CDCA4	6.58112620447138
C2orf44	4.25382253221587
C9orf16	8.41757480557437
ERBB2IP	5.993461905537
EMX2	8.77009220265514
FUS	5.88195383481165
NIPSNAP3B	3.69664433836601
TF	3.48908722822752
CXorf56	4.89186128232518
CLCN4	3.81129207515789
PWP2	5.07556728352124
MMP15	4.73322183806054
MTMR14	5.92206986221557
NPR1	7.09940126858147
DNAL4	6.3737256981817
ELAC2	4.3978799714843
ASS1	10.7676341783551
IPP	5.33329664113798
TMEM59	9.5593677539698
POLR2J	8.6095811874693
SEC23IP	4.95023291797608
RGS4	4.17928801595353
UQCRC1	9.01596369733226
SNX6	7.45338556585514
DDX18	6.51427040000079
POLG	4.71171632979235
ADAM23	4.51454082253043
ZNHIT2	4.29533174492993
TFR2	3.39977676292055
NCDN	4.08666462096975
RAG1	3.50185236673918
POMT1	4.64152469867132
CYP1A1	3.62871262891391
SNAPC1	4.5523431043267
GNA11	4.86210788931652
CCDC52	2.99786781811298
CAPN1	6.81454432937144
DDHD2	8.00540456594348
UPF3A	5.40115204271512
LAGE3	6.34996161392194
GNRHR	3.15183304417675
UNC13B	4.68899746342376
TTLL4	4.52636658322738
PPBP	3.07875411571398
HTR3A	4.5471828468874
SDC2	6.10635462813131
ANKRD49	7.17249145019924
BTF3	10.1816504672313
COX7A2	10.5367079935255
SARS	8.97922264125924
C13orf18	3.86948587637947
CACNB1	3.88110985205296
QKI	5.36512149679012
SETMAR	5.99890982013655
LAMB4	3.71738890805625
MAN2B1	6.55223309431957
EML3	4.07779512222561
ACADL	3.3071531321017
OFD1	6.43079184300699
CGA	3.5137950511
EIF3EIP	10.1116441665867
PEX16	5.15663152222433
GNG12	7.23088840827345
