Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_F07_297988
Composite Element REF	Signal
AACS	7.31320592634512
FSTL1	6.21138021764424
ELMO2	6.44211280589588
CREB3L1	3.803124438483
RPS11	10.2455000463036
PNMA1	8.19929356826091
MMP2	4.58313029581852
SAMD4A	3.80365363225465
SMARCD3	7.07676732899394
A4GNT	3.58873807863729
C9orf39	3.70487649719444
PKNOX2	4.87720820095604
RALYL	3.55270966561308
ZHX3	4.36612674532759
ERCC5	6.02348128046569
RXFP3	2.91706981934192
APBB2	3.76777196190088
BBOX1	5.14714932646003
PRO0478	3.02664534685089
GCSH	7.83414830586647
XDH	3.66025143644079
EDN1	3.56384481270118
MTERF	6.10881858193222
PDCL3	7.45957770268549
CLK4	5.16377910432301
KCNG1	3.75464104908459
CXCR4	8.121377950182
DECR1	8.2286751535146
SALL1	3.26957773055414
PTPRR	3.29184925984852
CADM4	3.4080673009864
IRAK1	9.10443910984177
CFHR5	3.32228329852034
HNRPD	7.96527814312872
TMSB10	12.5682625535579
CXCL3	4.02680792620966
LMAN1	4.15575721240386
SUHW1	3.42478305547657
CHD8	6.03031470436876
SUMO1	7.85456101343653
GP1BA	3.19952812491056
OR7A10	3.31660111915581
DDB1	8.28721594506229
CHRNA10	4.17793621797633
STYK1	3.79095853850635
MYO9B	4.23521212711593
CCNI	10.5046345024883
MMP7	6.40612830393369
EP300	5.56124575268494
CRNKL1	6.23120960603204
C9orf45	3.42508794553467
XAB2	4.31680534732277
RTN1	3.6858912794229
HIC2	4.13628086581943
TBX10	3.60726031952262
CENPQ	4.2039665714476
UTY	3.28274853049807
OR2W1	3.13412060182806
ATP5G2	10.8748543701504
ZEB1	3.34170666193321
ZG16	3.54420285563762
ERG	3.77752532561606
PARN	6.35999829123516
SOD2	4.59886521876903
JOSD3	7.69079429862085
ADAM5P	3.27166135201197
CHD9	4.94921429055829
hCG_40738	3.51976736983192
STK16	5.48849110231319
PDE1C	3.89582532799901
SEMA4D	6.59107840743707
AGPAT1	5.68060021961677
TOB2	5.3872536322618
BANK1	5.52134331983112
MAP3K3	5.33716304417549
MAX	5.347669889298
GRM2	4.88615649498916
OSBPL8	6.91775675711227
PROSC	6.14037920763582
NR4A2	3.54929185108156
RICS	4.7955351599539
PIR	6.22126392130981
PPCS	8.66505697672135
IPO9	6.15431348043388
LONP1	6.36355984391286
EVC	3.90895904940786
CXCL13	4.06521889087974
SCYL3	5.60081410430991
KIAA1199	4.36356773057153
SORL1	9.55787651410276
NAT10	6.41222546691269
CHD1	4.99327150724278
SYN3	3.55933939380773
DMC1	3.94574726419172
SLC22A2	3.69843295247176
SERPINF1	4.598040797305
C20orf27	5.19859671310263
OR7A17	3.32066876999828
RPS6KA5	4.35891058137775
LHB	3.47693354834719
TAOK3	4.37062076536817
STK25	6.09737537656792
SLC12A4	3.46943749999675
BRCA1	4.2775551593364
GBL	6.29908655312036
C14orf108	7.3820903204537
CDC25B	7.44577189594514
BMP3	3.35704264471891
MAP1LC3C	3.68871612554415
TMEM180	3.52607782639671
CRYGC	3.80592144724127
SLK	5.70871450189019
POU3F1	3.18494947675517
C20orf32	4.20979364662444
USP52	7.94886820316616
HIGD1B	4.42447105294125
BAZ1B	5.53760861088704
USP6NL	4.77503401497385
SLCO2B1	3.56237019166328
ABCD4	4.54004559913242
DIMT1L	6.07883472226777
SLC25A46	6.39792082684233
LARP7	7.36857439955976
TEK	3.49502765699462
CD160	3.52759345365669
TERF2IP	7.60600165032102
PHF20	5.8265312252814
COL1A1	5.96559645086989
KIAA0090	6.36103336062199
GTPBP1	4.12182626694848
GRK5	3.42597726705806
AP1S2	4.87182263076057
RAB33B	4.18775725108333
CA11	5.25991548519815
ALDOC	5.70148594572918
NUDT1	6.09145330393556
ZNF212	5.18445225319933
ACBD3	6.58209292728918
ZNF83	6.27065990701699
PRDM2	4.53305615322374
GDPD5	6.32058876043587
PDCD4	4.85121308264912
CEP350	4.98551720807038
FOXP3	3.08013585412966
SMYD3	7.19730894552181
CST7	4.72253396123018
SELL	3.37767456580728
CIAO1	6.39737773459221
LGI2	3.7382871225391
WDR45	7.29466505620018
ANKRD6	7.35202051915615
LTBP4	4.43378382212024
PSCD3	3.77220874279222
PYY	11.0738323382050
KCNC1	3.07292189866018
SIRT6	3.94086673713794
CCL19	3.83916331678217
ARHGEF9	4.97166773789474
ABR	4.00003284831235
C10orf22	5.99440307491904
STK17A	4.82705520010414
FOXE1	3.55350707784523
GML	3.01313402632727
CNGA3	2.93080716646797
CD38	3.38712278867106
ZDHHC6	7.6319899762197
NEFH	8.33171680932656
PGBD5	3.77094370665609
CTDSP2	6.82362360733205
RMND5B	5.08375004098302
ZNF257	5.30769625127868
DUSP4	4.02633009666089
FLJ22167	5.95799374478144
EXOSC7	6.59972321619347
ROR2	3.82112251893328
FOXM1	5.77125530851629
ZBTB48	4.68452958942759
BUD31	7.64061432318076
MAOA	4.66244716149666
CCDC41	4.47084378416173
TNNT3	4.21775347834455
FBXO11	4.89521478915413
GYPC	5.98762260775356
PLIN	3.48110578470891
RFXAP	3.74041673210093
C6orf15	3.66196093644135
RNF4	8.19129375802748
F8A1	8.92731627689391
PPP1R3D	4.53465636589506
GRB2	7.95808369038814
TPM3	3.27595922146108
SYT13	3.31353436068801
EPB42	3.67857478072203
RP5-1077B9.4	5.13464252477026
EIF1	10.4358809420570
CETN3	6.95200534169784
FPGT	4.87885273068907
PRY	3.45220704874530
NTHL1	5.80955864534046
POLR2B	9.79990350644483
RPS28	12.2505469461644
GDF10	3.06699918960305
COQ9	8.63639550417583
P2RX3	3.14529486841634
GCC2	6.92573714833096
RARRES3	5.13798033720343
PLXNA1	5.79432433768862
WBP4	4.81622118861535
KIAA0100	5.10037601116881
PMF1	6.87570754923671
HS2ST1	5.70129884636082
CRELD2	6.70086849977059
C8G	3.26597408928390
CD82	4.63041056162653
PMM1	5.60950622992607
CBLL1	4.22906786495841
LIM2	3.2795231608539
VAX2	4.59896446287854
SETDB1	6.48950292437738
LRAP	2.90111078108021
GCLM	7.77100659679902
CPEB3	3.49988577890523
PPM1A	5.99658011639339
INTS1	4.51798565513476
MMP16	3.22746670467115
CAMTA1	3.99491411813152
SAMSN1	3.65915188383004
DRD3	2.78269963019921
GMPPA	5.85788809778352
C11orf73	4.95747830852548
AIPL1	3.64740989650924
PTP4A2	10.7748999386288
IL24	3.56912224725582
BDKRB1	3.42430970770986
HPCA	3.80599670100355
MLF1	6.09954220887685
SEC14L1	6.7984963238231
CHFR	6.28371619213095
EMILIN1	3.20201976853031
THADA	5.48106746488337
TAF12	6.03287255205811
NDUFS4	8.24978995098708
ID1	8.9924871019489
PIK3CB	3.62397802376273
COL18A1	7.20969594303177
PDZD3	3.17982467608818
TBC1D17	4.34274245694
COX8A	10.7971381460812
CDCA4	6.66046319458116
C2orf44	4.54958128682445
C9orf16	8.61996436473041
ERBB2IP	6.71131492017409
EMX2	8.1566784251978
FUS	6.79944181166867
NIPSNAP3B	3.53733904167111
TF	4.51897328783831
CXorf56	5.65016539175495
CLCN4	3.40677215835705
PWP2	5.32744231399586
MMP15	4.91931108448888
MTMR14	5.77850209835867
NPR1	8.15294317103219
DNAL4	6.022435546144
ELAC2	4.72297425311869
ASS1	11.9903672393533
IPP	5.33689182611573
TMEM59	10.1264432767773
POLR2J	9.18948873427298
SEC23IP	4.90872840063869
RGS4	3.8806485848296
UQCRC1	10.2282187636702
SNX6	7.74209732743125
DDX18	6.9997131044141
POLG	4.30524837623901
ADAM23	3.863721607474
ZNHIT2	4.70706639284836
TFR2	3.2756505341178
NCDN	4.60229811610974
RAG1	3.30763247177685
POMT1	5.72219414118715
CYP1A1	4.10808283744631
SNAPC1	5.69811242489503
GNA11	4.7080181309784
CCDC52	2.64731634549165
CAPN1	6.04676798571592
DDHD2	6.67271397417377
UPF3A	6.28194700133602
LAGE3	6.21488010367008
GNRHR	3.21901116506921
UNC13B	6.14053679592495
TTLL4	4.66083309825601
PPBP	3.1792748019381
HTR3A	5.58001928620255
SDC2	4.67269336720927
ANKRD49	8.07503594954989
BTF3	10.0149719011918
COX7A2	11.1536158876495
SARS	8.41095112814314
C13orf18	3.32718886548800
CACNB1	3.77035690223509
QKI	5.70238778597235
SETMAR	5.56348840171861
LAMB4	3.36430808243224
MAN2B1	6.46523668977299
EML3	4.80035577069405
ACADL	3.2167655409696
OFD1	7.85420629650985
CGA	3.45096793342198
EIF3EIP	9.97083683504116
PEX16	5.22760668988599
GNG12	7.30769069326431
HABP4	4.2071199526523
CNTN2	3.47904727182269
ASNSD1	6.50230434792785
FUT4	3.57830899540948
DBH	3.47735300779118
CD53	4.81633751328573
