Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_G07_491194
Composite Element REF	Signal
AACS	5.67786746775002
FSTL1	6.69107437937235
ELMO2	5.06044031834829
CREB3L1	4.64250688480177
RPS11	10.5955118910613
PNMA1	6.29372772266676
MMP2	6.06291868206201
SAMD4A	4.14756269184819
SMARCD3	5.15260143457882
A4GNT	3.96326900023793
C9orf39	3.47007705931708
PKNOX2	4.16779191052632
RALYL	3.72246485707323
ZHX3	4.76170856659185
ERCC5	5.37234247855279
RXFP3	3.38523350529969
APBB2	4.56202867672075
BBOX1	3.53769723187349
PRO0478	3.49167856542269
GCSH	6.73812009879176
XDH	4.2548912203566
EDN1	6.52945950837994
MTERF	6.31255963494008
PDCL3	5.67473472362968
CLK4	5.89406984093479
KCNG1	4.87503611145831
CXCR4	5.78305098105614
DECR1	6.76552224215841
SALL1	3.13687208417872
PTPRR	3.47646687224681
CADM4	3.54520594528422
IRAK1	8.51586126363425
CFHR5	3.33025494559020
HNRPD	6.35107995498806
TMSB10	11.3396494189520
CXCL3	4.51019263193379
LMAN1	3.56670791412563
SUHW1	3.98021289691822
CHD8	6.37693693772299
SUMO1	6.44856615468597
GP1BA	3.5887066305494
OR7A10	3.93692103538269
DDB1	7.38793303910905
CHRNA10	3.8483010544744
STYK1	3.26254910383298
MYO9B	4.24088389622475
CCNI	8.94888005257557
MMP7	6.83124325502009
EP300	6.35077357987704
CRNKL1	5.02908043008295
C9orf45	3.78270532846326
XAB2	5.6875937488839
RTN1	3.67879525475518
HIC2	4.97152548675183
TBX10	3.82557150117967
CENPQ	3.89318467485792
UTY	3.23677611282127
OR2W1	2.91222959411548
ATP5G2	9.65565201903013
ZEB1	3.49132246667628
ZG16	3.57871669303331
ERG	3.85417651876938
PARN	5.83995513707128
SOD2	4.06910652061317
JOSD3	7.96165361104518
ADAM5P	3.24694278496436
CHD9	7.25667948698003
hCG_40738	3.94989295090396
STK16	3.95776938750201
PDE1C	4.09582821915033
SEMA4D	4.53213496791301
AGPAT1	6.16594541911407
TOB2	6.64116734415221
BANK1	3.91473128867061
MAP3K3	5.53055481455806
MAX	4.98985111874996
GRM2	4.05376135901521
OSBPL8	6.2770146234414
PROSC	4.13180516255114
NR4A2	4.14016011571122
RICS	5.40684441509262
PIR	2.98607091423977
PPCS	7.78279269902723
IPO9	6.53719766062436
LONP1	6.34768894574002
EVC	4.44945447536753
CXCL13	4.56202762828984
SCYL3	5.07174646782159
KIAA1199	6.9662259015326
SORL1	6.47577102704344
NAT10	6.34921156605396
CHD1	6.22792230450248
SYN3	3.77596205648907
DMC1	4.45163811595308
SLC22A2	3.89400376383763
SERPINF1	6.7606486895764
C20orf27	5.20064436744008
OR7A17	3.04131240338933
RPS6KA5	4.88191267865006
LHB	3.82999626060174
TAOK3	4.7488159609354
STK25	5.97228683180061
SLC12A4	3.76963993298764
BRCA1	3.87086285996327
GBL	5.00677343360518
C14orf108	7.44937626060474
CDC25B	5.31791215035104
BMP3	3.22229374905851
MAP1LC3C	3.61410894498406
TMEM180	4.56687685164902
CRYGC	3.68948298094688
SLK	5.3968531170444
POU3F1	3.56311013509577
C20orf32	4.08521341691627
USP52	6.15731007819674
HIGD1B	3.96490372898404
BAZ1B	5.89005196413049
USP6NL	4.67081560387299
SLCO2B1	4.15186694555466
ABCD4	4.58124771248418
DIMT1L	5.59812657817772
SLC25A46	5.29777354453308
LARP7	5.65069055428916
TEK	3.9145451737193
CD160	3.58487685081865
TERF2IP	6.64951834520869
PHF20	6.50858534711762
COL1A1	6.67480873779478
KIAA0090	4.78572264485016
GTPBP1	4.63499191179860
GRK5	3.86564219274847
AP1S2	4.42461328833832
RAB33B	4.92892231503887
CA11	4.39217118097582
ALDOC	4.82064146985445
NUDT1	4.45221195127938
ZNF212	5.3771734540733
ACBD3	6.3576485130201
ZNF83	7.32097857584322
PRDM2	5.36857040329231
GDPD5	5.04431390025062
PDCD4	5.87010871612962
CEP350	5.88796568361824
FOXP3	3.31789228258542
SMYD3	5.07992906008927
CST7	4.01476116942426
SELL	3.96762434323033
CIAO1	6.32619136204537
LGI2	4.33481911012684
WDR45	6.0483293806067
ANKRD6	7.16376590101806
LTBP4	5.14360166134022
PSCD3	3.65997727991801
PYY	3.40399876180881
KCNC1	3.91633352955063
SIRT6	4.18825167669323
CCL19	4.46437025260408
ARHGEF9	4.68320099496235
ABR	4.50735502336844
C10orf22	5.80864068089295
STK17A	4.62649421465652
FOXE1	4.00873413242809
GML	3.5226567143585
CNGA3	3.03012590826287
CD38	3.70801023488284
ZDHHC6	6.26041206897217
NEFH	3.92115012910026
PGBD5	3.67932341731950
CTDSP2	7.06642872126119
RMND5B	5.35770636127623
ZNF257	4.42258465977496
DUSP4	3.47270471978562
FLJ22167	4.78584724031626
EXOSC7	4.67526297447071
ROR2	3.56311514050165
FOXM1	4.6364695201535
ZBTB48	4.96231426548714
BUD31	6.047794739451
MAOA	4.69403273217128
CCDC41	5.20520395756499
TNNT3	4.31777417410882
FBXO11	5.30695893266387
GYPC	6.05160310177483
PLIN	3.79564058176021
RFXAP	3.54336511640562
C6orf15	3.76499506504181
RNF4	6.08849404479596
F8A1	7.53464983608261
PPP1R3D	4.80582798939232
GRB2	6.20938732277941
TPM3	3.48973883654958
SYT13	3.87542924329074
EPB42	3.7069449186515
RP5-1077B9.4	5.7076637116488
EIF1	8.81498381624451
CETN3	5.23035370159224
FPGT	4.36180579627747
PRY	3.59775421812476
NTHL1	4.78909270502355
POLR2B	7.59850395343636
RPS28	12.1130913014744
GDF10	3.29091670155005
COQ9	7.1499681705218
P2RX3	3.07988740483123
GCC2	5.52086046719885
RARRES3	4.10879242572518
PLXNA1	6.7181471587753
WBP4	4.26608464502833
KIAA0100	5.51452866303312
PMF1	5.27086874720657
HS2ST1	4.89111414359968
CRELD2	5.52899283356066
C8G	3.38265120138138
CD82	5.54153434243323
PMM1	4.33808020575052
CBLL1	4.17817396848948
LIM2	3.53268218581769
VAX2	4.02535148743599
SETDB1	5.09808655398465
LRAP	3.49730379376607
GCLM	4.97964812895271
CPEB3	3.99911195229443
PPM1A	5.26785381412162
INTS1	4.37249353390309
MMP16	3.51559421639463
CAMTA1	3.67493187085247
SAMSN1	3.48042462437172
DRD3	3.24617780566499
GMPPA	5.00929352566104
C11orf73	3.23663774436676
AIPL1	4.14024438577362
PTP4A2	8.34403334430581
IL24	3.64706036680671
BDKRB1	3.5105385505319
HPCA	3.43218797990256
MLF1	5.25877217595868
SEC14L1	4.94836473609337
CHFR	4.61353893237438
EMILIN1	3.72010154661128
THADA	5.91115230805739
TAF12	3.84776314408579
NDUFS4	6.24740053478106
ID1	4.69054666578588
PIK3CB	5.23497906348958
COL18A1	8.3678628895171
PDZD3	3.16521892100116
TBC1D17	4.25197511729667
COX8A	8.21920028496181
CDCA4	5.86045362232517
C2orf44	4.58079600045217
C9orf16	7.20290220642648
ERBB2IP	8.22521552886976
EMX2	10.0549033514560
FUS	4.81069802457899
NIPSNAP3B	3.79530318504018
TF	3.18307756600081
CXorf56	5.00258413137733
CLCN4	3.7955019663432
PWP2	4.75396762409922
MMP15	4.53333733758606
MTMR14	5.76910265331327
NPR1	8.85495548482889
DNAL4	5.18266016140445
ELAC2	4.57896643729383
ASS1	10.0369259940671
IPP	4.76114914596903
TMEM59	7.77344922805411
POLR2J	9.15158162279717
SEC23IP	5.02862240513593
RGS4	4.20204473650652
UQCRC1	7.55278235704078
SNX6	6.60889222050856
DDX18	6.15447836167749
POLG	4.53623666089472
ADAM23	4.43158036476777
ZNHIT2	4.56616416094848
TFR2	3.37746235928502
NCDN	4.95265150103647
RAG1	3.75392448564009
POMT1	3.88206572510731
CYP1A1	3.72320940251465
SNAPC1	6.11902263226228
GNA11	5.18138598975803
CCDC52	2.94074112764904
CAPN1	6.76704723871419
DDHD2	4.82776610143598
UPF3A	5.71133529792147
LAGE3	5.3578472811945
GNRHR	3.39911425854734
UNC13B	4.80908589592183
TTLL4	4.09519095588259
PPBP	2.95337659686982
HTR3A	3.52849298088194
SDC2	4.65543027240776
ANKRD49	7.72891623434339
BTF3	9.27354720265438
COX7A2	9.70021712896157
SARS	5.51514613962693
C13orf18	3.58036255046171
CACNB1	4.29509347693587
QKI	5.44104742069899
SETMAR	3.95750257473025
LAMB4	3.43368068779332
MAN2B1	7.48979468549738
EML3	5.93670685396364
ACADL	3.47921568820820
OFD1	7.78302749369623
CGA	4.01350686598558
EIF3EIP	10.5244003895144
PEX16	5.06542435258289
GNG12	6.2655702671515
HABP4	4.85708735750044
CNTN2	3.38263735020903
ASNSD1	6.55025617626692
FUT4	3.904557910163
DBH	3.53769829813564
CD53	5.37380321272156
HIST1H2BJ	3.52048680165074
TFAP2B	3.29191008847329
ACF	3.93518807506859
TMEM11	5.38895601541467
CDH8	3.47520599324454
C3orf32	4.05837065692793
AGPS	3.99105623790359
C4orf18	3.55270896212976
PCCB	4.78757321160056
IPO13	5.41702695510326
PECI	5.18939507548292
UNG	6.26973508734258
C6orf105	4.55102172596272
GSTP1	7.10075969356398
SUV420H1	8.16201078211425
ARHGAP15	4.01234423552281
LTBR	6.46786098680577
TDRKH	3.51076935827187
PSG4	3.87400678574764
SLC9A3R1	4.87578965282672
NBPF3	9.9379359881496
SLC9A3	4.04162740466121
OSBP	5.74156491353502
PRR5	4.46778426105262
CHMP7	5.17551346014969
ADRA1A	3.29414548145672
ASAH1	6.12987475175649
FKBP4	5.57391236849324
ZNF350	3.79050938352285
DOM3Z	5.01259657917646
GIPR	4.17589228911505
AHI1	5.2340862056789
BST1	3.88051313720658
NCR2	3.85366306528417
NADSYN1	4.97429029193972
UBE2W	5.80495165054947
RGS14	4.10137943304397
KRT15	3.74826523727094
SCN11A	4.20923737643759
GFI1	3.68212491123129
FHL1	4.91592386148045
SMC6	5.26312288819424
GATA1	3.67899131081269
OSGEP	4.90557311159843
ARMC6	4.96329687394059
HK3	3.19955343557716
PSMD5	5.46706181921923
RSU1	5.58532465072603
RPL4	12.3197448782702
MAD2L1	3.65609857508116
RBPMS	4.26722017556069
EIF4A3	7.7120826682426
E4F1	5.68231044105084
DLEC1	3.69760286842713
PRPF3	4.75703489650413
EMR1	3.41154990759032
CHMP2B	4.64860093375859
CAMSAP1	4.17671112111584
RPS21	9.23808295237533
XCR1	3.9458405656842
ARID5A	4.88318098075226
RBM6	5.57456223134338
UBE2N	5.92776675173639
KLF4	3.92281683861023
MGC4172	4.54162945723826
LMO4	7.0992168054113
KLKB1	3.51317542928429
HDAC3	5.63046166649674
HP	4.06988567478581
SCHIP1	5.42201919757179
BTK	4.16988540667091
KRCC1	6.83828179872
PRND	3.06101975348949
C6orf27	4.29680308871703
PIGL	3.57874421422997
CLCA1	3.97064720072066
C1orf112	3.80202157421044
OLFML2A	4.65119110504493
HUS1	4.50462347142006
SFRS6	7.60899934710258
CXCR7	3.87959867319737
UIMC1	4.76465659877632
FXYD2	3.95821682792148
GOT2	7.01264465586679
ZNF667	3.99790846547582
TFEC	3.57621986887711
ATP7B	3.46650593462264
RAB38	5.92518080237995
POLD2	6.09490869304328
PPM1H	5.22091703880183
DCX	3.55123581931392
NFYC	5.1056812413489
ZNF228	3.33414586917806
KIN	4.94391501134566
PLSCR4	6.35266324916255
HIST1H4I	4.45895849496807
PPARGC1A	3.2834960626851
HIG2	5.53985125048172
KCNK10	4.74739245232255
EXOC1	6.08943496328806
OR6A2	3.66816456981793
ETFA	4.67360313781922
PDAP1	4.64942120288736
C19orf6	3.59435228463405
POLRMT	4.48173699123141
ZNF146	6.69590803580526
MIA2	3.85595782030454
LY6G6E	3.42156779813956
EIF4E2	6.99850839757278
NENF	5.61957263749055
HOXB5	6.03680495537491
ZNF324	5.17631439569127
CUGBP1	4.28636147487979
ENTPD7	4.00956058378255
TTC13	5.27348730223856
GJB5	3.40519821730943
PRSS22	4.73156981092035
CYP3A5	5.0137257877013
MBOAT5	3.86910919985492
CUL4B	4.71084436625237
CENPJ	3.62354329194115
KIAA0664	6.67498174590712
PITX1	3.98843826740343
PDGFRB	5.53494412318729
RDX	5.33121013747846
CELSR3	5.46987404547199
JUND	7.04103360749449
ITSN1	5.52031869851509
CHRNB1	3.69185297168254
EHBP1L1	3.71654998645932
C19orf2	6.90541023522178
FETUB	3.2985164103147
CAMK2B	3.35152969071537
DCTN1	5.03507090889899
TNKS2	6.28195110344802
MRTO4	6.81348157703108
C1QBP	4.67451955463122
TTC3	8.37122734167354
NDUFB8	8.22552166459274
CADPS2	5.20553002931193
EDG2	4.58526412675791
MYF5	3.51345147879415
SEMA3G	4.64124265948569
IL23A	4.49038500892983
GJA9	3.93688689785714
R3HDM2	7.793307016794
C5	4.40849378998073
SLC2A10	5.8101633660063
TRIM45	4.99340014114882
TSP50	4.31633015116425
PAQR3	4.12212638427557
ANKRD26	3.337694440165
TCP1	6.90637464713214
TMED7	5.56393346542116
CMA1	2.87839513815919
PTCRA	4.55419114370213
HCRTR1	4.10024525995264
FST	6.4937048561393
PAWR	4.28525954558414
LDLR	4.12071707708398
ASTN2	3.75034981539991
SCRN1	5.71703646974147
GPATCH8	6.30885032586963
KIF4A	4.10940601471911
TANC2	3.20996375702930
ZMYM5	3.8126596180454
PGM1	5.5127543249388
ZNF586	4.27568903485591
POLR3G	4.39312646434567
CPD	4.6229159087723
SNCAIP	5.09117967290982
DCT	3.52884753292855
HLA-DOA	3.54413173571554
TANK	5.74289367887369
RCAN1	3.82642221770952
UPK1B	4.21143488051597
DNAJB4	4.38617760089374
UGT1A8	3.20409586682959
LIMD2	3.68067500643884
HIST1H4L	3.64420319527031
PECR	3.91591720740158
HSPA2	6.38245859219565
SERP1	7.94307467410369
TACR2	3.50027989460379
NUP85	5.52018151567952
CD177	3.68104974054833
GPR135	3.48211996594374
PIGG	5.9629471787463
LGR5	4.93724125994312
JAK2	3.73509982111806
DPYSL4	3.64060803512602
TM9SF4	5.47420872787464
PTHR1	3.34264792993800
SIRPG	2.94228262612766
ZNF264	5.90654980040125
BICD1	6.46773190613017
RAB5A	6.68807536235999
FLJ13224	3.39670511349422
METTL5	6.99137150445688
HERC6	4.70765686668712
CASP1	4.11142735317841
USP9Y	2.84183592541754
