Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_C09_458634
Composite Element REF	Signal
AACS	6.07297323854387
FSTL1	9.5497681024471
ELMO2	5.51717280636493
CREB3L1	4.52436057195671
RPS11	9.71627564596804
PNMA1	8.37987712762977
MMP2	9.07258961676722
SAMD4A	3.891781571356
SMARCD3	4.43545102836363
A4GNT	3.74307011808016
C9orf39	3.26161964235498
PKNOX2	4.14199359421198
RALYL	3.25938309772750
ZHX3	4.56320034614238
ERCC5	6.60917896363522
RXFP3	3.05594501394779
APBB2	4.16312616361603
BBOX1	3.26815003575455
PRO0478	3.07624475651988
GCSH	7.27259020590057
XDH	3.62068855614095
EDN1	5.05413709894641
MTERF	6.25332973473825
PDCL3	7.33586067772748
CLK4	5.71000110358874
KCNG1	4.0198993124213
CXCR4	8.59089286912574
DECR1	8.11556489944845
SALL1	3.04461990969775
PTPRR	3.18764943625055
CADM4	3.25299682807275
IRAK1	7.94168346958269
CFHR5	3.20369405766741
HNRPD	8.10872974459189
TMSB10	12.0754453633477
CXCL3	3.71419750586283
LMAN1	4.40913956867792
SUHW1	3.25748064289523
CHD8	6.62091257572982
SUMO1	8.11637061551322
GP1BA	3.21866580954985
OR7A10	3.75491399998781
DDB1	7.76975129889094
CHRNA10	3.45632884442770
STYK1	3.48996319904299
MYO9B	4.48489638430955
CCNI	10.2585541014737
MMP7	9.1419895417937
EP300	5.74966650795546
CRNKL1	6.90995248771448
C9orf45	3.21443014899100
XAB2	3.88813128467613
RTN1	3.50163421876245
HIC2	4.35694072429784
TBX10	3.34359536100122
CENPQ	4.22716847471629
UTY	3.2409180968523
OR2W1	2.72832007391259
ATP5G2	10.3461184454499
ZEB1	4.45777187597885
ZG16	3.34145570721413
ERG	3.80173243204739
PARN	7.02048135401206
SOD2	5.13000520260255
JOSD3	8.11121385086962
ADAM5P	3.2072279609372
CHD9	5.59545987448952
hCG_40738	4.17010660369136
STK16	4.98213817719015
PDE1C	3.36931498319326
SEMA4D	5.65527455992514
AGPAT1	5.9277730801682
TOB2	5.23194800174243
BANK1	3.73063442136844
MAP3K3	5.01654936881007
MAX	4.8479697330402
GRM2	3.40370888238682
OSBPL8	7.30024404105882
