Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_D04_443144
Composite Element REF	Signal
AACS	5.89737981481926
FSTL1	6.253905321833
ELMO2	5.75431839488311
CREB3L1	3.36807438055496
RPS11	9.84769959435523
PNMA1	8.24328237728448
MMP2	4.76226452571401
SAMD4A	3.61938624990525
SMARCD3	4.54012106038938
A4GNT	3.58623598597252
C9orf39	3.75801587374956
PKNOX2	4.22553622685525
RALYL	3.48000679701382
ZHX3	4.11302244591278
ERCC5	6.21703633684121
RXFP3	2.99997514829291
APBB2	3.62905328723394
BBOX1	6.09144620148537
PRO0478	3.14139230910681
GCSH	8.51557015565735
XDH	3.64745074082571
EDN1	3.26571032312399
MTERF	6.0085527487988
PDCL3	7.25059349527188
CLK4	5.07091199494412
KCNG1	3.95714571411334
CXCR4	9.32950908710653
DECR1	8.05539630679788
SALL1	3.47586760984196
PTPRR	3.37077705530431
CADM4	3.54137446453943
IRAK1	8.32346122763845
CFHR5	3.33455604343347
HNRPD	7.77324738466501
TMSB10	11.4446730706793
CXCL3	3.54718661319338
LMAN1	3.76619312779899
SUHW1	3.97747060962862
CHD8	6.67122487586247
SUMO1	7.48646888672425
GP1BA	3.19444426997452
OR7A10	3.76009596614737
DDB1	7.5391747887626
CHRNA10	3.5916444658032
STYK1	3.69908163328938
MYO9B	4.66928323266216
CCNI	10.1186295203527
MMP7	5.83513887977309
EP300	5.64782531272022
CRNKL1	6.1850816978746
C9orf45	3.19564900060299
XAB2	4.28553006245445
RTN1	4.06204679669222
HIC2	4.1722466562117
TBX10	3.74243824885267
CENPQ	4.37541600348082
UTY	3.18774864431277
OR2W1	2.98720675342163
ATP5G2	10.1725581356265
ZEB1	3.42825575523804
ZG16	3.61979235360942
ERG	3.64108827536226
PARN	5.84368781572808
SOD2	5.17072812792801
JOSD3	7.30734994609005
ADAM5P	3.24645589509404
CHD9	5.29516538195281
hCG_40738	3.48698449275049
STK16	5.26806691701863
PDE1C	3.56436362134719
SEMA4D	5.92585601410528
AGPAT1	4.74994214006891
TOB2	4.92476276791375
BANK1	5.67398359368278
MAP3K3	5.28683550681783
MAX	5.0281627168088
GRM2	3.85430551949636
OSBPL8	6.36767016180064
PROSC	6.62770219240106
NR4A2	4.91047859554324
RICS	4.95241289129766
PIR	4.9722321314688
PPCS	8.8244108890328
IPO9	5.74576929937157
LONP1	6.81209943487209
EVC	3.96775167890176
CXCL13	6.34053498515547
SCYL3	5.93870413662978
KIAA1199	6.49199006445448
SORL1	7.26951609565646
NAT10	6.48641303163946
CHD1	4.66136004717661
SYN3	3.5377845442862
DMC1	3.80558664338617
SLC22A2	3.56786384082261
SERPINF1	5.50199215358528
C20orf27	6.54637816204808
OR7A17	3.18297849068615
RPS6KA5	4.56358661843058
LHB	3.41177422422843
TAOK3	4.73138532982524
STK25	6.07350091972334
SLC12A4	3.74007039014219
BRCA1	3.98441984960192
GBL	5.0311339380424
C14orf108	7.33870306403671
CDC25B	8.2172038201025
BMP3	3.23907607626473
MAP1LC3C	3.47376048889292
TMEM180	3.28109294226925
CRYGC	3.372062911365
SLK	5.18507836980287
POU3F1	3.33925360516201
C20orf32	3.70199074969643
USP52	6.05881520779571
HIGD1B	3.97901430016934
BAZ1B	5.79553872698303
USP6NL	5.61316513269252
SLCO2B1	4.56106612945288
ABCD4	4.29433902914117
DIMT1L	5.33654524088999
SLC25A46	5.7878307388939
LARP7	7.63528458714199
TEK	3.54566469588750
CD160	3.58205524504819
TERF2IP	7.19831299020356
PHF20	6.49967341523247
COL1A1	5.61944569504771
KIAA0090	5.6332555683758
GTPBP1	4.72733427053773
GRK5	4.11448281507222
AP1S2	4.9838389867096
RAB33B	3.6040610091988
CA11	4.45234280507087
ALDOC	4.47347748179932
NUDT1	5.4577833963817
ZNF212	5.40445997898296
ACBD3	7.39276575282936
ZNF83	6.33613181721168
PRDM2	4.85125931848862
GDPD5	4.40111570684928
PDCD4	4.90126060745305
CEP350	6.14483838675366
FOXP3	3.44937764608832
SMYD3	5.97781558003212
CST7	4.41998061677412
SELL	5.34431135134603
CIAO1	6.68011331306158
LGI2	3.79528465318403
WDR45	8.87655113777451
ANKRD6	7.40339527906073
LTBP4	3.64975843191393
PSCD3	3.72613561179582
PYY	3.18913231579386
KCNC1	3.12413298934228
SIRT6	4.0059135260535
CCL19	3.96630010736912
ARHGEF9	4.14199343834995
ABR	4.13623689415059
C10orf22	6.44512715283021
STK17A	4.4691245714832
FOXE1	3.58434518025975
GML	3.18908600358612
CNGA3	2.99918044191039
CD38	5.81543411474197
ZDHHC6	7.12232168776738
NEFH	3.69715317266898
PGBD5	4.01039663612464
CTDSP2	7.68563371471391
RMND5B	5.32618518892568
ZNF257	4.49915916132402
DUSP4	3.92778438087024
FLJ22167	4.75115398961223
EXOSC7	6.29522621107913
ROR2	3.49717549308493
FOXM1	5.46574412321545
ZBTB48	4.57561483607549
BUD31	6.18563586600668
MAOA	3.82628061194553
CCDC41	3.92274952496234
TNNT3	4.14201712918542
FBXO11	5.40069002719162
GYPC	6.01297790944336
PLIN	3.36870373943895
RFXAP	4.10321480086758
C6orf15	3.79647021233443
RNF4	9.061457226166
F8A1	7.41102576281055
PPP1R3D	4.97419303452212
GRB2	7.4575414486008
TPM3	3.30941903707856
SYT13	4.23445318040442
EPB42	3.51562922405071
RP5-1077B9.4	5.50663070628408
EIF1	10.4386238529191
CETN3	6.48870891782611
FPGT	5.4026372529037
PRY	3.67830806095862
NTHL1	4.94445765716429
POLR2B	8.1442529145548
RPS28	11.6739735687881
GDF10	3.13804144772322
COQ9	7.66984559019617
P2RX3	3.15413946160763
GCC2	7.22333020813191
RARRES3	6.70701340059262
PLXNA1	6.04559653776212
WBP4	4.30573280155283
KIAA0100	5.54297799467547
PMF1	5.87558222915522
HS2ST1	5.17088763018840
CRELD2	6.00407264275481
C8G	3.29839880256443
CD82	5.80888809407726
PMM1	4.52632514814374
CBLL1	4.62520840258053
LIM2	3.64740089303663
VAX2	4.07975608526676
SETDB1	5.20228049064264
LRAP	4.19927184812352
GCLM	5.9407265232684
CPEB3	3.35048534988229
PPM1A	5.35099972659702
INTS1	4.04317467448904
MMP16	3.26572763246868
CAMTA1	3.08289731576526
SAMSN1	6.49473304659476
DRD3	2.87050921305249
GMPPA	5.60250971815526
C11orf73	5.26696464118836
AIPL1	3.86726676642669
PTP4A2	9.50855222327273
IL24	3.3649127775384
BDKRB1	3.59362489161233
HPCA	3.0825185980613
MLF1	6.71559674039817
SEC14L1	6.08948086971195
CHFR	6.74097056228666
EMILIN1	3.45147713955064
THADA	5.74017242758089
TAF12	5.01094906999785
NDUFS4	6.24000255024849
ID1	4.84517387928853
PIK3CB	3.83776563902841
COL18A1	7.51847451337373
PDZD3	3.05773695168941
TBC1D17	4.55852242852526
COX8A	9.5333218893186
CDCA4	5.94828131289978
C2orf44	4.49177616834991
C9orf16	8.01571721569447
ERBB2IP	6.94012752670114
EMX2	9.15087139941083
FUS	6.28600972768998
NIPSNAP3B	3.45920733582786
TF	3.36558756750187
CXorf56	5.15842370505211
CLCN4	3.66359567101616
PWP2	6.6341779112691
MMP15	4.4633601024612
MTMR14	6.62910577460597
NPR1	6.76379144856673
DNAL4	5.92433464393093
ELAC2	4.58127886378914
ASS1	10.3952264654032
IPP	4.96064982272177
TMEM59	9.70725432583192
POLR2J	8.79072423583433
SEC23IP	4.51817432528974
RGS4	3.85437505713876
UQCRC1	8.46166628689686
SNX6	6.99909861537039
DDX18	6.22429452345062
POLG	4.35886243723225
ADAM23	4.227206968944
ZNHIT2	4.72976625014852
TFR2	3.5757528483501
NCDN	4.51131050108158
RAG1	3.31862803516103
POMT1	4.86792053193931
CYP1A1	4.02684118265822
SNAPC1	5.38057534064763
GNA11	4.79181937591658
CCDC52	2.87687792738091
CAPN1	6.17287519258150
DDHD2	7.70180477314181
UPF3A	5.28151253578926
LAGE3	5.72905610539083
GNRHR	3.05948936899738
UNC13B	4.93562746722731
TTLL4	4.99428230038292
PPBP	2.90650658750573
HTR3A	3.80942999668303
SDC2	3.74458422377963
ANKRD49	7.41305894462902
BTF3	9.3220775056774
COX7A2	10.0625024035894
SARS	8.47869211408118
C13orf18	3.97269649238902
CACNB1	4.02350564594133
QKI	5.7257057476625
SETMAR	5.77171926095018
LAMB4	3.34122385086538
MAN2B1	7.43412500414059
EML3	5.17653171795174
ACADL	3.27851893643064
OFD1	7.3820329138454
CGA	3.43279037027651
EIF3EIP	10.6272672454147
PEX16	5.23688673965461
GNG12	5.25828768098681
HABP4	4.78796431618352
CNTN2	3.5951814344308
ASNSD1	6.73321128533526
FUT4	4.21289426672298
DBH	3.40701018976114
CD53	8.76411745968271
HIST1H2BJ	3.27132495429318
TFAP2B	3.11947627253312
ACF	3.77309804665489
TMEM11	6.02694820582237
CDH8	3.24376176966586
C3orf32	4.26504482878762
AGPS	4.46743639474374
C4orf18	2.99190057176239
PCCB	7.5808377400215
IPO13	4.65162295063455
PECI	7.28488861371376
UNG	6.73099888925737
C6orf105	3.64415433560611
GSTP1	8.36385964028244
SUV420H1	7.10434072339909
ARHGAP15	4.79822041917043
LTBR	6.4818478303799
TDRKH	4.07354275978587
PSG4	3.58903868776028
SLC9A3R1	6.54599043454625
NBPF3	9.5561141386311
SLC9A3	3.87936047727142
OSBP	6.05053920142455
PRR5	4.76277922058874
CHMP7	4.58278688574649
ADRA1A	3.17459033329816
ASAH1	8.27228321763709
FKBP4	5.89985298902678
ZNF350	5.56604451238817
DOM3Z	4.55211451337202
GIPR	3.60349776520360
AHI1	4.13044550497979
BST1	5.02409604450774
NCR2	3.53240408427232
NADSYN1	5.01897896341325
UBE2W	6.27157188158016
RGS14	4.04662529084215
KRT15	3.75230070560561
SCN11A	3.90546826318722
GFI1	3.72957614486556
FHL1	6.57012009702288
SMC6	6.04096423443785
GATA1	3.41786989408068
OSGEP	5.29794674156512
ARMC6	5.01548804695607
HK3	4.25789234482484
PSMD5	6.82089248046044
RSU1	6.40180970693901
RPL4	11.2868332512345
MAD2L1	7.03207062099941
RBPMS	4.00818837402947
EIF4A3	9.60556225810983
E4F1	4.74893703053188
DLEC1	3.84505899504016
PRPF3	5.77374097566323
EMR1	3.14294294908897
CHMP2B	7.325978854352
CAMSAP1	4.74118304242854
RPS21	9.94218578247956
XCR1	3.15356440111844
ARID5A	4.29499213103165
RBM6	5.51858976900225
UBE2N	7.66783129161378
KLF4	3.78544997367714
MGC4172	3.84454333930507
LMO4	6.77671996117928
KLKB1	3.17257125871142
HDAC3	6.03130308063864
HP	5.42759098708145
SCHIP1	4.51603734341896
BTK	4.52747700606040
KRCC1	8.71086180858743
PRND	3.0168924305668
C6orf27	3.66273019203612
PIGL	4.06325007108833
CLCA1	3.44105654179987
C1orf112	4.76748476329
OLFML2A	5.3887613563136
HUS1	4.90915889076334
SFRS6	7.73984631490252
CXCR7	6.67284667165891
UIMC1	5.45243166826601
FXYD2	3.52854615732126
GOT2	7.31950357994705
ZNF667	3.83396047143664
TFEC	5.46974588991477
ATP7B	3.85265141939665
RAB38	3.69370218728605
POLD2	7.05588413032398
PPM1H	5.85824191072689
DCX	3.31358251923628
NFYC	5.1592421905091
ZNF228	4.06698178659354
KIN	5.60454644254151
PLSCR4	5.95740905017799
HIST1H4I	4.04187167129503
PPARGC1A	3.06342125070283
HIG2	6.65579928537164
KCNK10	3.97564840924277
EXOC1	7.30992162613039
OR6A2	3.70280415498158
ETFA	8.19782919867279
PDAP1	5.07198110705652
C19orf6	3.76673159299445
POLRMT	4.17797300802211
ZNF146	7.31703770973043
MIA2	3.29610584425425
LY6G6E	3.37371813232715
EIF4E2	8.40142589974484
NENF	4.89725303911972
HOXB5	3.69146623070513
ZNF324	3.85387908818415
CUGBP1	4.57839019861602
ENTPD7	4.00207811679323
TTC13	5.43826037885842
GJB5	3.2743664930949
PRSS22	4.12964163972982
CYP3A5	3.52131575999406
MBOAT5	4.00469470278444
CUL4B	4.42799653209171
CENPJ	3.31355428855813
KIAA0664	7.02983298119272
PITX1	3.31582785570749
PDGFRB	4.80261319291899
RDX	5.70399627117750
CELSR3	3.9361034892225
JUND	6.45619371340346
ITSN1	4.94628832887456
CHRNB1	3.93608712997738
EHBP1L1	3.66530663747715
C19orf2	9.39855308893858
FETUB	3.15857717755992
CAMK2B	3.52137603147615
DCTN1	5.09897226304277
TNKS2	6.42538611180507
