Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C07_491132
Composite Element REF	Signal
AACS	6.56776510266695
FSTL1	9.82285446599014
ELMO2	5.70910432703754
CREB3L1	3.71568942292713
RPS11	10.5318135798301
PNMA1	8.03437801617865
MMP2	6.34289379574278
SAMD4A	3.55837867042502
SMARCD3	7.55714346563263
A4GNT	3.75416616675899
C9orf39	3.35846662878005
PKNOX2	4.24770924189713
RALYL	3.31355788661645
ZHX3	4.63033634524381
ERCC5	6.63482987944498
RXFP3	2.91501114576111
APBB2	4.7601709068974
BBOX1	4.25153788644452
PRO0478	3.07449527350878
GCSH	8.77608508743263
XDH	3.59521433550402
EDN1	4.32556431253742
MTERF	6.60718964448666
PDCL3	6.95522420065503
CLK4	6.93729775221606
KCNG1	4.14616124191527
CXCR4	8.57445274776367
DECR1	7.46867860250239
SALL1	3.00743402590010
PTPRR	3.19418603616154
CADM4	3.28242955600592
IRAK1	8.52539236477364
CFHR5	3.17661875942316
HNRPD	8.22834751868668
TMSB10	11.5065681208077
CXCL3	3.56236914348052
LMAN1	4.08454971284392
SUHW1	3.41564829533528
CHD8	5.89391149145475
SUMO1	8.38709675003829
GP1BA	3.19820641108541
OR7A10	3.64611567490862
DDB1	8.2026862802298
CHRNA10	3.78505289703533
STYK1	3.18204375747552
MYO9B	4.61378564331374
CCNI	10.8634876758478
MMP7	5.31531681581349
EP300	6.3523511479678
CRNKL1	6.91354868548159
C9orf45	3.24878782186092
XAB2	4.62395771315203
RTN1	3.4779122620553
HIC2	3.75233378515552
TBX10	3.47960500643542
CENPQ	5.02210362348872
UTY	2.94780260581448
OR2W1	2.90252398160112
ATP5G2	10.6704960123198
ZEB1	5.55168256642761
ZG16	3.33134464770524
ERG	3.82060271413121
PARN	7.1801012802792
SOD2	5.97190791930173
JOSD3	8.0899459939723
ADAM5P	3.31786386016727
CHD9	7.1605546796739
hCG_40738	3.69768494398764
STK16	4.64709001917328
PDE1C	3.88780266603206
SEMA4D	5.4754757972768
AGPAT1	7.14796383185037
TOB2	6.22922940914883
BANK1	3.6250873075816
MAP3K3	6.44348855020207
MAX	4.90505614060838
GRM2	3.8226627243082
OSBPL8	7.67777135562427
PROSC	6.37486914604086
NR4A2	4.82405062302258
RICS	4.20069180657791
PIR	6.51212123193933
PPCS	8.43081825308855
IPO9	6.72834042049439
LONP1	7.02493926946209
EVC	4.1388831341142
CXCL13	3.96033713911129
SCYL3	5.72957790809566
KIAA1199	6.13103613507456
SORL1	9.18166350787074
NAT10	7.51191186793343
CHD1	7.1381645986554
SYN3	3.79667903054182
DMC1	3.95272285412346
SLC22A2	3.56148828432703
SERPINF1	5.32243941187731
C20orf27	6.75955075149238
OR7A17	2.99201990294345
RPS6KA5	5.12492478824954
LHB	3.23741903091283
TAOK3	5.91274336196003
STK25	6.34575891285201
SLC12A4	3.54381513285916
BRCA1	4.5034361082013
GBL	6.21877857270947
C14orf108	7.91410734398655
CDC25B	7.30117268523989
BMP3	3.14354452256912
MAP1LC3C	3.8719906589313
TMEM180	3.57063005373854
CRYGC	3.85963373836305
SLK	6.73786602065611
POU3F1	3.12000810876712
C20orf32	3.63787421851083
USP52	7.01116052994449
HIGD1B	3.77058647088512
BAZ1B	6.91819011357659
USP6NL	6.44160306918306
SLCO2B1	4.30069705840766
ABCD4	4.65426037975918
DIMT1L	6.9393320649353
SLC25A46	8.13244591498526
LARP7	6.51642623039647
TEK	3.89358094685413
CD160	3.68526701463592
TERF2IP	8.50837099578289
PHF20	6.4941525588675
COL1A1	5.08908107918222
KIAA0090	6.10886307829244
GTPBP1	4.64659232781137
GRK5	4.24551513364886
AP1S2	6.85870404246944
RAB33B	5.17534807194193
CA11	5.86148167976201
ALDOC	5.63538301813529
NUDT1	4.26252415774291
ZNF212	6.32144701360763
ACBD3	7.4054606600912
ZNF83	6.41080999727433
PRDM2	4.80385323668958
GDPD5	4.4289034816488
PDCD4	8.01698370729353
CEP350	6.50062564519751
FOXP3	3.21380196372808
SMYD3	7.66055665861095
CST7	3.92181960397599
SELL	3.72768420244697
CIAO1	6.42579368531601
LGI2	3.45112317982845
WDR45	7.3509854333398
ANKRD6	8.42808013281014
LTBP4	5.36184996120618
PSCD3	3.36059180219828
PYY	3.28821174174198
