Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E01_516292
Composite Element REF	Signal
AACS	6.2656967329971
FSTL1	6.89234983287464
ELMO2	4.68392304138804
CREB3L1	4.96618320723977
RPS11	10.0391215353242
PNMA1	6.57455368545574
MMP2	6.49338713007595
SAMD4A	3.98025552674788
SMARCD3	8.99533500375441
A4GNT	4.07500133667777
C9orf39	2.94925998392439
PKNOX2	5.00418479798169
RALYL	3.41554707985849
ZHX3	4.4695713962663
ERCC5	6.09568128242263
RXFP3	3.32446680037785
APBB2	4.02879217959401
BBOX1	4.59977496579559
PRO0478	3.01493445514601
GCSH	6.30599783762229
XDH	3.71713491843533
EDN1	4.29874153039584
MTERF	5.9185430013094
PDCL3	7.07408787719622
CLK4	5.76130672689632
KCNG1	3.81039845582072
CXCR4	7.50360946521014
DECR1	6.79896771189365
SALL1	3.28207274698548
PTPRR	3.37268920478701
CADM4	3.55853807638979
IRAK1	7.76858889746541
CFHR5	3.38448998359497
HNRPD	6.52470000231311
TMSB10	12.3836336357396
CXCL3	4.9714611972624
LMAN1	3.60664828986128
SUHW1	3.53479692778268
CHD8	6.00251958018056
SUMO1	7.7316122765577
GP1BA	3.65995975563757
OR7A10	3.79359537189489
DDB1	7.66864557131323
CHRNA10	3.4093013243236
STYK1	3.39293603457273
MYO9B	4.19661803413454
CCNI	8.97657688370343
MMP7	4.2540276225392
EP300	5.55151735535172
CRNKL1	5.95416763892973
C9orf45	3.21227001420496
XAB2	4.54960372947647
RTN1	3.83359032648433
HIC2	4.00363783021658
TBX10	3.45652875997277
CENPQ	4.17048257609154
UTY	3.36402922552990
OR2W1	3.00425716262868
ATP5G2	10.4777325783269
ZEB1	3.27441810987987
ZG16	3.6310125953486
ERG	3.557628700557
PARN	6.65247607881799
SOD2	6.78028774463032
JOSD3	5.67087080673718
ADAM5P	3.39307316225880
CHD9	4.91582486749527
hCG_40738	3.62576501890632
STK16	4.35391030635649
PDE1C	3.27945812359074
SEMA4D	4.26923556653848
AGPAT1	6.21592767559121
TOB2	5.49266297604635
BANK1	4.00198314415788
MAP3K3	4.84576624957839
MAX	4.5402541133351
GRM2	4.10131274165583
OSBPL8	7.4672382338901
PROSC	5.34502089348265
NR4A2	5.84106405034445
RICS	4.40629195479356
PIR	3.97075241969452
PPCS	8.53711754249804
IPO9	5.68650255757891
LONP1	6.58463454986173
EVC	3.43448786706005
CXCL13	4.73020029738883
SCYL3	5.4257233957452
KIAA1199	5.95708414695062
SORL1	7.30653485591652
NAT10	6.11190057563227
CHD1	4.53789210780921
SYN3	3.35256465564914
DMC1	3.93259585320533
SLC22A2	3.87116423790803
SERPINF1	6.19428013602359
C20orf27	4.8558410358275
OR7A17	3.28794257248248
RPS6KA5	4.54113597367714
LHB	3.3834986401182
TAOK3	4.76513269607504
STK25	5.44211913532403
SLC12A4	3.73269628062279
BRCA1	3.44461026621034
GBL	5.10461970749096
C14orf108	6.2767385300007
CDC25B	5.81237788876689
BMP3	3.51229909511222
MAP1LC3C	3.35109020232676
TMEM180	3.87890688013515
CRYGC	3.85726926213337
SLK	5.82561361709497
POU3F1	3.41186238986551
C20orf32	3.98892075224048
USP52	4.6977208903403
HIGD1B	3.90604033805292
BAZ1B	5.53337583870199
USP6NL	5.5132888196087
SLCO2B1	4.13537957007138
ABCD4	4.06894355633556
DIMT1L	5.28247932971929
SLC25A46	6.07081997368588
LARP7	6.04916986701243
TEK	3.58125162080288
CD160	3.97467794334971
TERF2IP	6.56097660089282
PHF20	5.51252986250496
COL1A1	6.11311054227941
KIAA0090	5.68953907371613
GTPBP1	4.20446174281156
GRK5	3.44968456088089
AP1S2	4.89076820943849
RAB33B	5.32156702372682
CA11	3.99767455523839
ALDOC	5.64223484476221
NUDT1	5.36868016341475
ZNF212	4.74566745189158
ACBD3	7.70529921582128
ZNF83	5.2188112324766
PRDM2	4.60349821796942
GDPD5	4.71261610233015
PDCD4	5.74840129990017
CEP350	5.67610934518357
FOXP3	3.24946780028997
SMYD3	6.05504754756259
CST7	4.31310016924435
SELL	3.81497140098924
CIAO1	6.25033948079206
LGI2	3.81136459923192
WDR45	6.83235105867221
ANKRD6	4.96382566659718
LTBP4	3.34432042767087
PSCD3	3.76395674206732
PYY	3.28678024401189
KCNC1	3.25403728500685
SIRT6	4.53143464958637
CCL19	3.60444509311633
ARHGEF9	3.88288667282274
ABR	4.68585525092852
C10orf22	5.78204688007501
STK17A	4.51753531708736
FOXE1	3.56514148466668
GML	3.53567880726865
CNGA3	3.32194900782613
CD38	3.60514127442040
ZDHHC6	6.49617099063523
NEFH	3.28687018596707
PGBD5	4.25154669881402
CTDSP2	6.33417588255569
RMND5B	5.6281895290157
ZNF257	3.5375855069278
DUSP4	4.92664138650871
FLJ22167	5.18828246889685
EXOSC7	5.94513927284313
ROR2	3.7132728097451
FOXM1	4.81480197584468
ZBTB48	4.83736143356441
BUD31	7.92611199943776
MAOA	3.87397459868506
CCDC41	4.13196729996752
TNNT3	3.72424497893199
FBXO11	5.17609795401407
GYPC	5.18032030952844
PLIN	3.67785542720814
RFXAP	3.66631232615556
C6orf15	3.96843609143427
RNF4	6.71175444844684
F8A1	7.2934312341306
PPP1R3D	4.0574254486246
GRB2	6.8358428229301
TPM3	3.29744709974246
SYT13	3.6473258985145
EPB42	3.93918811409162
RP5-1077B9.4	5.08396813301878
EIF1	10.0824890370081
CETN3	5.25041495248452
FPGT	4.64760246953044
PRY	3.60483699088074
NTHL1	4.57862836832473
POLR2B	8.45729783181357
RPS28	12.0370857428885
GDF10	3.19913777520902
COQ9	6.66778355043224
P2RX3	3.06041491945265
GCC2	6.97948442088608
RARRES3	8.3473961785838
PLXNA1	5.22752928106297
WBP4	4.37844939065076
KIAA0100	4.45657500608124
PMF1	7.13588194207361
HS2ST1	5.30751866213183
CRELD2	6.42439262526524
C8G	3.21713014169911
CD82	5.38784090147765
PMM1	4.21428517322654
CBLL1	3.74019271065181
LIM2	3.33982404813358
VAX2	4.17233502491684
SETDB1	5.18545787177504
LRAP	5.07884986602684
GCLM	5.23813267584473
CPEB3	3.37845534414089
PPM1A	4.7989129486203
INTS1	4.11866500302106
MMP16	3.32505272918147
CAMTA1	4.11795550075164
SAMSN1	4.41411408694342
DRD3	3.07440217382726
GMPPA	5.92892439271897
C11orf73	5.05498695715405
AIPL1	4.07730340514755
PTP4A2	9.1690867055899
IL24	3.9951459741716
BDKRB1	3.63565103970047
HPCA	3.73920602584321
MLF1	6.10708678326082
SEC14L1	4.94937300866523
CHFR	4.82908443621364
EMILIN1	3.43659425761067
THADA	5.99767791430622
TAF12	3.94105495171315
NDUFS4	6.53561402865602
ID1	5.59371492410619
PIK3CB	3.61597586697647
COL18A1	6.68026411390039
PDZD3	3.22229448617724
TBC1D17	4.56368378122849
COX8A	9.92050496738159
CDCA4	5.91297126900728
C2orf44	4.23698641329623
C9orf16	8.34548632824442
ERBB2IP	7.4401826811868
EMX2	6.40956768300907
FUS	4.85855750809869
NIPSNAP3B	3.64454439648054
TF	3.44523768264195
CXorf56	4.95216988648448
CLCN4	3.73734762023859
PWP2	4.7613691254038
MMP15	5.5233680064106
MTMR14	6.2925036299854
NPR1	6.61688453588762
DNAL4	5.25929156935195
ELAC2	4.2841942010053
ASS1	11.4857713409888
IPP	4.86537826973338
TMEM59	9.83665505328607
POLR2J	8.47258363233713
SEC23IP	4.51299996399115
RGS4	4.03667569093247
UQCRC1	9.13544063428142
SNX6	7.70201633413443
DDX18	6.85995670679261
POLG	3.91752814804727
ADAM23	4.12081830724199
ZNHIT2	5.31166046505361
TFR2	3.29878571133157
NCDN	4.41082008774887
RAG1	3.44558248123868
POMT1	5.08434517272149
CYP1A1	3.29859289915187
SNAPC1	5.48136056718365
GNA11	5.19495173458202
