Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D08_458656
Composite Element REF	Signal
AACS	6.7112929665056
FSTL1	8.94681098978483
ELMO2	6.18715450205131
CREB3L1	4.10505839043173
RPS11	9.63961572356292
PNMA1	7.33898386762096
MMP2	8.17040311041706
SAMD4A	3.81354997908826
SMARCD3	7.57337432949806
A4GNT	3.36601705765204
C9orf39	3.54905301993371
PKNOX2	4.2715194504684
RALYL	3.22955699046755
ZHX3	4.32332817959585
ERCC5	6.33665950745921
RXFP3	2.96332342402366
APBB2	3.73731037817862
BBOX1	5.9141373703189
PRO0478	2.91432737049219
GCSH	7.75540177875074
XDH	3.67163273614102
EDN1	5.04308186838815
MTERF	5.78545835511754
PDCL3	7.58759338413167
CLK4	6.81883062168968
KCNG1	3.83566262922907
CXCR4	7.75416290382363
DECR1	8.15494864099604
SALL1	3.02754833375511
PTPRR	3.24487784604882
CADM4	3.30254898345341
IRAK1	8.19150055248313
CFHR5	3.19425142569396
HNRPD	7.9433065154952
TMSB10	12.0372369264248
CXCL3	3.76531827478232
LMAN1	4.24981150228325
SUHW1	3.33124376621090
CHD8	5.16687899464403
SUMO1	8.23523112123807
GP1BA	3.19777356798893
OR7A10	3.59579595723455
DDB1	7.41315051900295
CHRNA10	3.35669643511221
STYK1	3.72804910482960
MYO9B	3.91205924192739
CCNI	10.4784793230873
MMP7	8.10169970113137
EP300	6.37327964318673
CRNKL1	5.29650247049813
C9orf45	3.09006281712169
XAB2	3.53759960631103
RTN1	4.86819670974429
HIC2	4.15789474698575
TBX10	3.41821833493943
CENPQ	4.5978437660294
UTY	3.15923310391053
OR2W1	2.86187700795146
ATP5G2	10.3153588334944
ZEB1	4.46123149774248
ZG16	3.71543639079831
ERG	3.60476868504938
PARN	6.07134500551759
SOD2	6.72349700989877
JOSD3	8.67057013620685
ADAM5P	3.22134255215345
CHD9	5.56969547816557
hCG_40738	3.7674884003516
STK16	5.10499890497436
PDE1C	3.38713002154121
SEMA4D	5.31716913048176
AGPAT1	5.1434556182375
TOB2	5.71552594159646
BANK1	5.22195994299849
MAP3K3	5.21453864892699
MAX	4.90498174765358
GRM2	3.59024198334774
OSBPL8	7.25343419416378
PROSC	6.13577612817382
NR4A2	5.29500923277621
RICS	4.51963469328307
PIR	4.7414176088549
PPCS	8.95378944192876
IPO9	7.05825520322322
LONP1	6.8994526278237
EVC	4.48264845184812
CXCL13	4.84152787757528
SCYL3	5.20589077031219
KIAA1199	6.4126973692699
SORL1	8.62487921453462
NAT10	5.78647952859772
CHD1	5.8642226133728
SYN3	3.56299570445274
DMC1	4.55275867410692
SLC22A2	3.28794214988528
SERPINF1	8.64864207348299
C20orf27	4.80029394952937
OR7A17	3.16518502517972
RPS6KA5	4.49712285360717
LHB	3.26912039967844
TAOK3	4.65749945555677
STK25	6.06767856378629
SLC12A4	3.67278205058713
BRCA1	4.20663955302842
GBL	4.48209127714878
C14orf108	6.763086713074
CDC25B	8.42504375327967
BMP3	3.2522610440043
MAP1LC3C	3.28983231556862
TMEM180	3.48063429382895
CRYGC	3.53258065345901
SLK	6.91761509841607
POU3F1	3.24359429097814
C20orf32	3.73060415717051
USP52	6.12822392275168
HIGD1B	3.64175983618661
BAZ1B	6.30452581970909
USP6NL	5.12945031196758
SLCO2B1	4.47850549165378
ABCD4	4.06496111833873
DIMT1L	5.49826598974608
SLC25A46	6.8211444208111
LARP7	6.92513135109833
TEK	3.22426566814531
CD160	3.43866230169733
TERF2IP	7.14051230065742
PHF20	6.28637755109001
COL1A1	8.4315872506363
KIAA0090	5.12508470443256
GTPBP1	4.2521637197594
GRK5	4.03416455765396
AP1S2	6.9310873502803
RAB33B	4.31208650123553
CA11	4.26402030340096
ALDOC	5.59988095589668
NUDT1	5.1718981651913
ZNF212	5.10705548580127
ACBD3	7.50523744630588
ZNF83	5.86442799251512
PRDM2	4.44120500494456
GDPD5	5.93162465300377
PDCD4	5.49208984732916
CEP350	6.58904943489173
FOXP3	3.27239371815461
SMYD3	7.2424930666645
CST7	4.50395587419342
SELL	3.77151495891463
CIAO1	6.32095365614463
LGI2	3.69076798165915
WDR45	6.36042636714035
ANKRD6	6.84573428750784
LTBP4	3.68173083576759
PSCD3	3.33765442894116
PYY	3.37140829432973
KCNC1	2.91291308533997
SIRT6	3.99628616010604
CCL19	3.97019587434146
ARHGEF9	4.17741178181816
ABR	4.61127970673677
C10orf22	6.95067851937694
STK17A	4.26485962052931
FOXE1	2.86809476285184
