Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C10
Composite Element REF	Signal
AACS	7.14481567554676
FSTL1	8.29519733858779
ELMO2	6.55481295327979
CREB3L1	3.91186793730169
RPS11	9.98973420620182
PNMA1	9.52720673028367
MMP2	8.07211231821962
SAMD4A	4.02122959042604
SMARCD3	5.94491674898161
A4GNT	3.51513205977202
C9orf39	3.40452156741174
PKNOX2	6.19946387276255
RALYL	3.07230960331718
ZHX3	4.64489365628099
ERCC5	6.69779426477571
RXFP3	2.9333858512101
APBB2	4.30231455446283
BBOX1	2.93554510263047
PRO0478	3.13893858348935
GCSH	9.14694089073095
XDH	3.34231588357757
EDN1	3.33865519279136
MTERF	6.45140922224327
PDCL3	8.86111407973802
CLK4	6.38078827857976
KCNG1	4.86813867062218
CXCR4	9.9803994476036
DECR1	7.97691000964521
SALL1	4.73166230154643
PTPRR	3.06756647841494
CADM4	3.52825258938119
IRAK1	9.16640370058477
CFHR5	3.06370546276028
HNRPD	8.56606007887889
TMSB10	12.1972196932813
CXCL3	3.56244204859861
LMAN1	4.68702651786668
SUHW1	3.57226861669513
CHD8	6.82942254234697
SUMO1	8.18959701495737
GP1BA	3.29665271742876
OR7A10	3.74730987808689
DDB1	7.9223790622585
CHRNA10	3.64359178005686
STYK1	3.67928958719788
MYO9B	4.22790791315597
CCNI	9.80996531945157
MMP7	9.115868861358
EP300	7.17091543433304
CRNKL1	8.15811994777232
C9orf45	3.37568590809499
XAB2	3.72941288116488
RTN1	6.80002925388886
HIC2	4.16271830965689
TBX10	3.40842537361906
CENPQ	4.8616989012612
UTY	3.14035892274419
OR2W1	2.90822832127788
ATP5G2	9.9976562955534
ZEB1	4.13524428015362
ZG16	3.22210931011639
ERG	4.03024312980555
PARN	7.49523460496145
SOD2	5.21866329703307
JOSD3	9.18912401892784
ADAM5P	3.09389850292504
CHD9	5.70903952130374
hCG_40738	4.81949354768739
STK16	4.92219202547861
PDE1C	3.49876011415292
SEMA4D	6.02487909167324
AGPAT1	6.60873061344814
TOB2	6.45180548721168
BANK1	3.25431458466979
MAP3K3	4.77330614956263
MAX	5.21502916837546
GRM2	3.80295292622852
OSBPL8	7.6165682494259
PROSC	6.22116463083895
NR4A2	5.18721552844402
RICS	6.23011706581213
PIR	4.80524477403756
PPCS	8.87592535719242
IPO9	6.37321126244762
LONP1	7.03270308899465
EVC	4.58837312428136
CXCL13	3.91016527838051
SCYL3	5.47267472773094
KIAA1199	6.1120832651373
SORL1	9.61120123455988
NAT10	7.3330907751128
CHD1	6.69574017373264
SYN3	3.72141454596703
DMC1	3.84332552632775
SLC22A2	3.78608403182288
SERPINF1	4.44810042136386
C20orf27	7.19974257756557
OR7A17	2.99140368476331
RPS6KA5	4.87122789065635
LHB	3.4392170935799
TAOK3	4.13849727240886
STK25	7.35188185885204
SLC12A4	3.67275151909062
BRCA1	4.44355962357075
GBL	6.07111926688252
C14orf108	8.91408781284525
CDC25B	7.38466730452103
BMP3	3.18578722700027
MAP1LC3C	3.29544904242228
TMEM180	3.87456933341646
CRYGC	3.54801543209447
SLK	6.78644981525953
POU3F1	3.10485321920779
C20orf32	3.62043742943012
USP52	6.86902662102543
HIGD1B	4.19152284173997
BAZ1B	7.28362124953156
USP6NL	6.83764073238304
SLCO2B1	3.83847311091735
ABCD4	4.83501152806591
DIMT1L	5.94412544378608
SLC25A46	7.23151051751346
LARP7	7.43058003452873
TEK	3.44115889686631
CD160	3.56709324855109
TERF2IP	8.00465716046006
PHF20	6.42752180802994
COL1A1	6.7680246655524
KIAA0090	6.37594582252021
GTPBP1	4.24846211749335
GRK5	4.09225791428343
AP1S2	5.78881400048245
RAB33B	4.51506009392308
CA11	3.8880084331862
ALDOC	3.87822411170679
NUDT1	5.91217905717969
ZNF212	5.89825521407864
ACBD3	7.47974363559519
ZNF83	7.13909773478796
PRDM2	4.86739695875993
GDPD5	5.02817857056896
PDCD4	6.28235658916318
CEP350	6.92389197966395
FOXP3	3.24821728415929
SMYD3	7.81951635136669
CST7	3.66822312097924
SELL	3.27864951805299
CIAO1	6.69921574095965
LGI2	6.09220515876049
WDR45	6.76468160184167
ANKRD6	6.9283915052521
LTBP4	8.07949113159395
PSCD3	3.38724850394249
PYY	3.10486377432406
KCNC1	3.44335942040746
SIRT6	4.1199023902719
CCL19	3.8132736109447
ARHGEF9	5.16325917127284
ABR	6.14628914066676
C10orf22	7.60880730293547
STK17A	5.2605076898291
FOXE1	4.53696369373954
GML	2.98158722698953
CNGA3	2.98275845185321
CD38	3.13167613021215
ZDHHC6	8.52318803227567
NEFH	7.96366509145435
PGBD5	7.0606842239372
CTDSP2	7.24061943251061
RMND5B	5.72343513904709
ZNF257	6.27600950297315
DUSP4	6.19461424616895
FLJ22167	6.06946353493743
EXOSC7	6.65937120805541
ROR2	4.07627591393048
FOXM1	6.67940235118505
ZBTB48	4.8277765660784
BUD31	7.42140407317171
MAOA	5.71983393721516
CCDC41	5.21580758116223
TNNT3	3.55060178066991
FBXO11	6.76628190852206
GYPC	5.18796213746039
PLIN	3.24265456821725
RFXAP	3.60785764493736
C6orf15	3.75139337686082
RNF4	9.60348214469586
F8A1	8.48789755057343
PPP1R3D	5.56394835668225
GRB2	8.40787053703838
TPM3	3.11761773875615
SYT13	4.36755325976324
EPB42	3.54073004674515
RP5-1077B9.4	5.71238625232028
EIF1	9.91652059843346
CETN3	7.41847481704413
FPGT	5.39116700632489
PRY	3.37142836923604
NTHL1	5.12886107689295
POLR2B	9.11247721010602
RPS28	11.7290017357639
GDF10	3.93475835573319
COQ9	7.67763814266159
P2RX3	2.74653256760150
GCC2	7.60698516414131
RARRES3	3.17949775325579
PLXNA1	6.89953551161995
WBP4	4.61151892483816
KIAA0100	8.22142294886634
PMF1	6.75916467017576
HS2ST1	6.26840550305744
CRELD2	6.96122181060134
C8G	3.01356343104356
CD82	5.12556671135788
PMM1	4.14395394115609
CBLL1	5.03260019099368
LIM2	3.18269819491803
VAX2	5.00617607309386
SETDB1	5.49524753822377
LRAP	4.36470108961861
GCLM	6.66643033505485
CPEB3	3.53263106386045
PPM1A	6.44860055878902
INTS1	4.33926189770467
MMP16	3.17178610507695
CAMTA1	6.13408079569205
SAMSN1	3.66638265585366
DRD3	2.82550657815528
GMPPA	5.09393959446036
C11orf73	6.24271823352797
AIPL1	3.64066208943860
PTP4A2	8.80657292616713
IL24	3.25653524029328
BDKRB1	3.38636563538682
HPCA	3.68537556928188
MLF1	7.30007223710805
SEC14L1	6.79239612680061
CHFR	6.05378356153744
EMILIN1	3.63193470814189
THADA	6.99847362072138
TAF12	4.58570985836707
NDUFS4	7.36259855178706
ID1	5.0874732006387
PIK3CB	3.79929861971602
COL18A1	8.16961861048114
PDZD3	3.16847273716574
TBC1D17	4.78124003365139
COX8A	9.18346607554428
CDCA4	6.79504837592897
C2orf44	5.37593826829963
C9orf16	7.28706739015781
ERBB2IP	8.50474674790288
EMX2	10.1593652389800
FUS	6.9548827461824
NIPSNAP3B	3.99978775779759
TF	3.38832124061617
CXorf56	5.53155767898163
CLCN4	4.26978144939666
PWP2	6.36157732155896
MMP15	4.52745767675883
MTMR14	6.2024869120583
NPR1	5.07758962214791
DNAL4	5.5024132539797
ELAC2	5.26863736937052
ASS1	9.3435431790022
IPP	5.60975633622977
TMEM59	9.33508117449853
POLR2J	8.38785562286367
SEC23IP	6.39806257160604
RGS4	3.56341554945908
UQCRC1	8.77237236994782
SNX6	7.66261025036426
DDX18	7.73236215875852
POLG	4.5566855449734
ADAM23	4.16291864103786
ZNHIT2	4.4356014682229
TFR2	3.42626091508432
NCDN	4.49514846159604
RAG1	3.44345908281427
POMT1	4.73152340801427
CYP1A1	3.17684775079936
SNAPC1	6.65732172097512
GNA11	5.85716957819699
CCDC52	2.71681004363961
CAPN1	6.27486964245346
DDHD2	8.18100738716848
UPF3A	7.74728324022845
LAGE3	6.45369162928796
GNRHR	3.11381082833338
UNC13B	4.52859647044356
TTLL4	6.0486337081979
PPBP	2.82100025167529
HTR3A	3.25038632575559
SDC2	5.90629206356803
ANKRD49	7.77975581891772
BTF3	9.8981681040852
COX7A2	10.4225659258121
