Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C05_433696
Composite Element REF	Signal
AACS	5.95301898058926
FSTL1	8.13892702520387
ELMO2	5.44351700526285
CREB3L1	4.62212512236175
RPS11	10.0791365904336
PNMA1	6.78392194214315
MMP2	7.79013040587871
SAMD4A	4.18637089926638
SMARCD3	6.39131374332519
A4GNT	4.08063441338032
C9orf39	3.50946128141305
PKNOX2	4.05434033545252
RALYL	3.29740385740839
ZHX3	5.38417823587723
ERCC5	6.41131430524702
RXFP3	2.93140526503706
APBB2	3.52284477467777
BBOX1	2.86645084067211
PRO0478	3.173903545981
GCSH	7.33676899875542
XDH	6.04993444216839
EDN1	7.69609233244924
MTERF	4.46411257627561
PDCL3	7.79788590054642
CLK4	5.66552719665549
KCNG1	3.52347126600706
CXCR4	9.04058053283198
DECR1	6.37449282911078
SALL1	5.09498341031574
PTPRR	4.46870470089064
CADM4	3.27884473042251
IRAK1	8.0216994553668
CFHR5	3.58313006621690
HNRPD	7.05500003562699
TMSB10	12.5062173740006
CXCL3	4.284279079048
LMAN1	3.71273458147895
SUHW1	3.51063573088534
CHD8	6.69889231475002
SUMO1	7.31779473340554
GP1BA	3.31667651709909
OR7A10	3.88005214635998
DDB1	7.13250333811878
CHRNA10	3.72141652781586
STYK1	3.9141792601154
MYO9B	4.61062838222002
CCNI	9.83052362078558
MMP7	9.82540962488154
EP300	6.46316936519971
CRNKL1	3.89873496300082
C9orf45	3.16278406566167
XAB2	4.54723545658351
RTN1	3.67918175510354
HIC2	4.89965895262944
TBX10	3.7590095989659
CENPQ	3.74955675182813
UTY	3.35310320120247
OR2W1	3.04303613081143
ATP5G2	9.69411926309681
ZEB1	4.45867682389068
ZG16	3.46509902670687
ERG	3.44365611081487
PARN	6.6420192918076
SOD2	9.44277559938323
JOSD3	7.14404125837665
ADAM5P	3.41161106480634
CHD9	6.29291458391581
hCG_40738	3.97463007241877
STK16	3.91993196508075
PDE1C	3.83612665462997
SEMA4D	5.77486325140071
AGPAT1	5.8157488590326
TOB2	6.62506779316397
BANK1	3.02531211294722
MAP3K3	5.66135080411722
MAX	5.23254638013448
GRM2	3.9095572086825
OSBPL8	8.49328291632448
PROSC	6.68405514009458
NR4A2	5.15400313735011
RICS	4.18805468160432
PIR	3.14651414035425
PPCS	7.78508403642352
IPO9	5.78867074530751
LONP1	7.51399065319419
EVC	4.15812503403711
CXCL13	5.54852538265278
SCYL3	4.12347811362798
KIAA1199	5.04836480564406
SORL1	6.37084861049259
NAT10	6.80455261948261
CHD1	7.81180770093549
SYN3	3.83919686671741
DMC1	3.99406153051446
SLC22A2	3.87828642456730
SERPINF1	8.43555619803027
C20orf27	5.49268595512945
OR7A17	3.24507057108171
RPS6KA5	3.99552745890987
LHB	3.45139048153451
TAOK3	6.46726858797698
STK25	5.54156754471114
SLC12A4	3.89293657911339
BRCA1	3.79553981690684
GBL	5.7263429073515
C14orf108	5.77912187915012
CDC25B	6.98423999055096
BMP3	3.38120626939972
MAP1LC3C	3.15883077204934
TMEM180	5.06418374078315
CRYGC	3.60948616544170
SLK	6.32445073101417
POU3F1	3.31799603345626
C20orf32	3.82562827003989
USP52	4.40335587879794
HIGD1B	4.33191631293543
BAZ1B	5.69964531004129
USP6NL	4.56713190402266
SLCO2B1	4.34729492625374
ABCD4	3.96177317457401
DIMT1L	6.05850228600287
SLC25A46	6.67217971634896
LARP7	6.05541732566217
TEK	3.58267033048301
CD160	4.32502829162954
TERF2IP	7.08599283468413
PHF20	6.60767741235801
COL1A1	8.18520331850183
KIAA0090	5.49679210701899
GTPBP1	4.49679686036254
GRK5	4.00811723241267
AP1S2	4.79003562104486
RAB33B	4.61297386719122
CA11	4.10384901059261
ALDOC	6.42899712171365
NUDT1	4.29792631714843
ZNF212	4.92522563312091
ACBD3	7.92869582996745
ZNF83	5.2967039630361
PRDM2	4.65118979091584
GDPD5	4.50154226120813
PDCD4	4.88154978167729
CEP350	6.01771116502389
FOXP3	3.60779004625177
SMYD3	5.11010013354965
CST7	4.68825094953389
SELL	3.93904181661829
CIAO1	6.46011963531477
