Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_H08_297966
Composite Element REF	Signal
AACS	7.54867118408321
FSTL1	8.45179454768494
ELMO2	5.51611503299365
CREB3L1	3.86138304377893
RPS11	10.4856732081316
PNMA1	7.32170683944
MMP2	6.14440307823234
SAMD4A	3.66848814078451
SMARCD3	8.40241697605194
A4GNT	3.88282912841922
C9orf39	3.47885810382467
PKNOX2	3.77569958888996
RALYL	3.42084778313281
ZHX3	4.15387622983710
ERCC5	5.7646196501334
RXFP3	3.40916482395666
APBB2	4.02928790107425
BBOX1	5.11631841709444
PRO0478	2.81934512006069
GCSH	8.42027161510476
XDH	3.44512209983641
EDN1	4.05968937778133
MTERF	6.59778626509475
PDCL3	7.05614005586595
CLK4	5.57774908721267
KCNG1	4.31245369195778
CXCR4	6.09686021699576
DECR1	7.37689733797131
SALL1	3.15759719991631
PTPRR	3.90302659363927
CADM4	4.07806527525187
IRAK1	10.1515923060008
CFHR5	3.26931961684492
HNRPD	6.89511279177816
TMSB10	12.4780422872500
CXCL3	4.40076675780451
LMAN1	3.4879365478332
SUHW1	3.71841361785976
CHD8	5.38393390296521
SUMO1	7.67385391144182
GP1BA	3.26449843897643
OR7A10	3.57820037177587
DDB1	7.7773358921544
CHRNA10	3.60011537743411
STYK1	3.77059806429237
MYO9B	4.26142395034072
CCNI	10.981110908284
MMP7	11.2821461524836
EP300	5.28040717843182
CRNKL1	5.49227594351666
C9orf45	3.37236679195945
XAB2	4.67873992452675
RTN1	4.70715562193047
HIC2	3.90534761381791
TBX10	3.62811753508855
CENPQ	4.04390456325868
UTY	3.17405492333814
OR2W1	2.90144052587804
ATP5G2	11.0271500764881
ZEB1	3.48836618370113
ZG16	3.65048842276168
ERG	3.90717206935152
PARN	6.44609207652227
SOD2	4.96229405216468
JOSD3	8.10356667602958
ADAM5P	3.42345410989751
CHD9	5.5134066589824
hCG_40738	3.75696030151941
STK16	4.90214359468241
PDE1C	3.71847831744568
SEMA4D	6.28210584356838
AGPAT1	6.82321133713269
TOB2	5.48539387983191
BANK1	3.4623650972966
MAP3K3	4.9923773185947
MAX	5.10688701077077
GRM2	3.79431957764272
OSBPL8	7.95561656502417
PROSC	5.743721533367
NR4A2	4.31599503065225
RICS	4.23404219168392
PIR	5.04856420077649
PPCS	9.32427395619957
IPO9	6.26330760306971
LONP1	7.31933915425843
EVC	4.24988396434761
CXCL13	4.05382548029337
SCYL3	5.45688465388534
KIAA1199	5.86314715484129
SORL1	8.65298377619261
NAT10	7.95547201280953
CHD1	4.61926421736152
SYN3	3.62210143341551
DMC1	3.70722641132586
SLC22A2	3.70286818483293
SERPINF1	5.99856607020617
C20orf27	7.38847391685237
OR7A17	3.22046630632003
RPS6KA5	4.62920840858893
LHB	3.60818182633133
TAOK3	4.9965080552325
STK25	6.75036484411702
SLC12A4	3.83105755549189
BRCA1	4.2250392617299
GBL	6.12810951985476
C14orf108	6.45487671418073
CDC25B	8.88001028176827
BMP3	3.51763262795761
MAP1LC3C	3.47556633917904
TMEM180	3.35824943120568
CRYGC	4.36627871969894
SLK	4.59696998195613
POU3F1	3.09720110471774
C20orf32	3.81682244019568
USP52	5.78609450401229
HIGD1B	3.93922632300551
BAZ1B	6.86915599556539
USP6NL	5.10728557014908
SLCO2B1	4.24659941350407
ABCD4	4.36531977214049
DIMT1L	6.0248549184278
SLC25A46	8.75789037679924
LARP7	7.00530192988328
TEK	3.40772495592351
CD160	3.4413429403692
TERF2IP	7.20557029838546
PHF20	5.78071136212291
COL1A1	6.28138093948981
KIAA0090	6.20944458983888
GTPBP1	4.31526055996291
GRK5	3.93864123903743
AP1S2	4.22929014860645
RAB33B	4.21615258511841
CA11	4.44800170944588
ALDOC	5.57944415854942
NUDT1	5.86987704136295
ZNF212	5.30829472412407
ACBD3	6.0843602587488
ZNF83	5.1278205610054
PRDM2	4.52230686413277
GDPD5	4.52918293000908
PDCD4	5.58080174977585
CEP350	5.11885855828457
FOXP3	3.30212835081641
SMYD3	6.9341105213208
CST7	4.98625367051916
SELL	3.84258638471710
CIAO1	6.79136691154986
LGI2	4.27209736971612
WDR45	6.43230269176645
ANKRD6	5.9271594547738
LTBP4	4.06713397372782
PSCD3	3.39256544957771
PYY	3.29609617933025
KCNC1	2.97795572798584
SIRT6	4.10247491075627
CCL19	4.06117553798168
ARHGEF9	4.93893327242571
ABR	4.36777159363535
C10orf22	7.26263841876797
STK17A	4.9691887900182
FOXE1	3.26243340194849
GML	3.12215514421671
CNGA3	2.79335852009161
CD38	3.8004588659131
ZDHHC6	7.33632376405802
NEFH	3.39056455944980
PGBD5	3.55728769748928
CTDSP2	7.49137825435414
RMND5B	6.30737385104527
ZNF257	4.25231302459071
DUSP4	3.67955934693439
FLJ22167	5.32315346668261
EXOSC7	8.10610889595512
ROR2	4.13080478140088
FOXM1	6.79049934105413
ZBTB48	4.82960816212044
BUD31	8.2913737810284
MAOA	4.4686853135616
CCDC41	4.47744022027171
TNNT3	3.94239485638219
FBXO11	5.19331058327243
GYPC	7.32558846653661
PLIN	3.95508457692208
RFXAP	3.54499319481660
C6orf15	3.66064663514032
RNF4	9.17198182292618
F8A1	9.1993632202889
PPP1R3D	4.77953582017627
GRB2	6.82071099384437
TPM3	2.97164888297007
