Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_D01_543638
Composite Element REF	Signal
AACS	6.85878048103017
FSTL1	8.48969964301453
ELMO2	5.35676828916675
CREB3L1	3.60090482323669
RPS11	9.8251052327291
PNMA1	7.90072090174757
MMP2	6.88060636390024
SAMD4A	3.65573782615393
SMARCD3	7.9758326653978
A4GNT	3.60317773741863
C9orf39	3.5539039200648
PKNOX2	3.69247247819746
RALYL	3.5928663442467
ZHX3	4.13334543839239
ERCC5	6.36491050723338
RXFP3	3.04563552915069
APBB2	4.58365070878853
BBOX1	6.46155563480849
PRO0478	3.16140302112273
GCSH	7.04782385538021
XDH	3.64942262827345
EDN1	5.63677373130254
MTERF	6.60316992545319
PDCL3	7.09873795803188
CLK4	6.81614470809197
KCNG1	4.07761243882712
CXCR4	8.62629055831759
DECR1	7.33083975946012
SALL1	3.11540836979912
PTPRR	3.39451646872431
CADM4	3.17873505027209
IRAK1	8.01033175052804
CFHR5	3.20216329111905
HNRPD	7.67443410305676
TMSB10	12.0888891468374
CXCL3	4.21952099335728
LMAN1	3.50460128780779
SUHW1	3.20657129469400
CHD8	5.83197615294619
SUMO1	8.03129062703421
GP1BA	3.06845963741279
OR7A10	3.73985970272802
DDB1	7.53321743092323
CHRNA10	3.40193701255352
STYK1	3.87900815939453
MYO9B	4.30151489436328
CCNI	10.0553787632594
MMP7	10.8477784338288
EP300	5.94282642297823
CRNKL1	6.28159516647009
C9orf45	3.32494344343229
XAB2	4.72705823289633
RTN1	5.02303010640722
HIC2	3.71549860562645
TBX10	3.45393648351513
CENPQ	5.46313593056419
UTY	3.14443233109869
OR2W1	2.98707938815187
ATP5G2	10.3386237764233
ZEB1	3.27307348036334
ZG16	3.31859590382383
ERG	4.12020638918462
PARN	7.96284597716377
SOD2	7.33852612291124
JOSD3	7.95047153252817
ADAM5P	3.10002512193387
CHD9	5.60436658766376
hCG_40738	3.50419840800622
STK16	5.40113550284666
PDE1C	3.65782390099516
SEMA4D	5.54560672672505
AGPAT1	8.03658665771309
TOB2	6.25574753145326
BANK1	3.40349305988244
MAP3K3	5.87397459868506
MAX	5.42309962017911
GRM2	3.70544656327887
OSBPL8	7.0515762192771
PROSC	5.98807172415951
NR4A2	5.23139859866512
RICS	3.99751227710814
PIR	5.43559574594552
PPCS	9.80811694788127
IPO9	6.47383417309685
LONP1	7.47708157771075
EVC	4.16022151349311
CXCL13	4.57579173404007
SCYL3	5.08442352101648
KIAA1199	5.49277872334453
SORL1	8.17755503613288
NAT10	6.8196666127532
CHD1	6.06628122325894
SYN3	3.56129295689675
DMC1	4.07847187586509
SLC22A2	3.77250144609235
SERPINF1	7.61408782077512
C20orf27	5.69676795619594
OR7A17	2.92324106004299
RPS6KA5	4.77061016166149
LHB	3.19774537695821
TAOK3	5.14278422143474
STK25	6.20977937071317
SLC12A4	3.5647081886379
BRCA1	4.42365658139944
GBL	6.77668241671729
C14orf108	7.87393687415832
CDC25B	6.39837394352043
BMP3	3.29750279507850
MAP1LC3C	3.29783048640085
TMEM180	3.94742050676178
CRYGC	3.87415457426537
SLK	6.61399747758304
POU3F1	3.24597855744184
C20orf32	3.9074166290216
USP52	5.88950024995948
HIGD1B	4.16370540991321
BAZ1B	7.32323415891077
USP6NL	4.97580197224709
SLCO2B1	4.53177063543744
ABCD4	4.70933869749944
DIMT1L	5.89059363422434
SLC25A46	7.34157053561272
LARP7	7.17243712295034
TEK	3.54818963058776
CD160	3.75132676519180
TERF2IP	7.47600758777364
PHF20	6.1219193589914
COL1A1	7.00266515964241
KIAA0090	5.94387540656666
GTPBP1	4.47650914626806
GRK5	3.66215125101284
AP1S2	5.84733123747521
RAB33B	4.70133269315448
CA11	4.6285201875852
ALDOC	6.61866073226689
NUDT1	4.7614209699158
ZNF212	5.77056197320511
ACBD3	6.3433036597444
ZNF83	6.0171244355115
PRDM2	4.7412108220225
GDPD5	4.35159034577607
PDCD4	6.51894280212106
CEP350	5.48396150358279
FOXP3	3.22271045590764
SMYD3	6.79115632912957
CST7	5.30327225173467
SELL	4.64315014520275
CIAO1	6.29633568228089
LGI2	3.92510001296184
WDR45	7.02213563364328
ANKRD6	6.20026479817022
LTBP4	3.63070350129606
PSCD3	3.22842928757131
PYY	3.05238993962941
KCNC1	3.30756688294324
SIRT6	4.49414608734091
CCL19	4.21236041842061
ARHGEF9	4.36277510635363
ABR	4.29584094587746
C10orf22	6.64922327983816
STK17A	4.68783238705051
FOXE1	3.37304514350166
GML	3.13294209464022
CNGA3	2.98929704253744
CD38	4.03562941316505
ZDHHC6	7.95930280310145
NEFH	3.4401222162048
PGBD5	3.88654074790114
CTDSP2	7.30689790109994
RMND5B	6.56120111123156
ZNF257	2.99378865130084
DUSP4	3.49385276239702
FLJ22167	5.21066034614256
EXOSC7	6.5642084636079
ROR2	3.77613248920846
FOXM1	4.54206371547459
ZBTB48	5.06203493515507
BUD31	8.68632793310437
MAOA	3.53780551269475
CCDC41	4.85232147669262
TNNT3	3.56367039991433
FBXO11	5.93349490361037
GYPC	7.78847510285915
PLIN	3.56449108478542
RFXAP	3.38254395026102
C6orf15	3.90275387658819
RNF4	8.77785727586295
F8A1	8.55557749359974
PPP1R3D	4.56325365530923
GRB2	6.97055926371501
TPM3	3.02881392681492
SYT13	3.79424817506951
EPB42	3.3334259067107
RP5-1077B9.4	5.53462098583022
EIF1	10.0885053672773
CETN3	7.46618701628937
FPGT	5.47221584591465
PRY	3.5450454129335
NTHL1	6.4176006861695
POLR2B	8.26064292652683
RPS28	12.0377349490233
GDF10	3.15827191146331
COQ9	8.56520971663995
P2RX3	2.88783603316044
GCC2	6.7406794188248
RARRES3	8.37198384142505
PLXNA1	5.73962189585544
WBP4	4.8859277554406
KIAA0100	6.52570562936789
PMF1	6.98861916395687
HS2ST1	6.35624333637696
CRELD2	7.34239415465676
C8G	2.96142796749554
CD82	5.70911484717423
PMM1	5.85583400375088
CBLL1	4.19046447511206
LIM2	3.40299979725876
VAX2	3.26096474462838
SETDB1	5.08720885110165
LRAP	6.75997186870307
GCLM	6.77191084337651
CPEB3	3.60017210489893
PPM1A	5.23742661697837
INTS1	3.86391004843806
MMP16	3.20756132034208
CAMTA1	3.73634009527421
SAMSN1	5.97584831777881
DRD3	2.69834339423
GMPPA	4.89877398171478
C11orf73	6.21140576685294
AIPL1	3.76761569173153
PTP4A2	9.17009575100054
IL24	3.32556856696435
BDKRB1	3.30884560533646
HPCA	4.56409377107469
MLF1	7.33096404972766
SEC14L1	5.68848158203624
CHFR	6.06504167720547
EMILIN1	3.51589241592589
THADA	10.9719486909264
TAF12	5.96773681779013
NDUFS4	7.72267038792433
ID1	4.61197271107463
PIK3CB	4.06804101747248
COL18A1	7.04401516575499
PDZD3	3.22864932121231
TBC1D17	5.11696069119169
COX8A	9.99514925285101
CDCA4	7.04277336204003
C2orf44	4.84042556407476
C9orf16	8.4149614379465
ERBB2IP	8.46393478144983
EMX2	2.86392186061750
FUS	5.869407461205
NIPSNAP3B	3.75908662855724
TF	3.33149349653905
CXorf56	4.98759849598677
CLCN4	3.51225134552548
PWP2	5.21987500454241
MMP15	5.06595365149463
MTMR14	6.93487791997646
NPR1	5.95156913164187
DNAL4	5.81493923813813
ELAC2	4.52389786636279
ASS1	11.3669507374854
IPP	7.02749282058644
TMEM59	10.0876132069507
POLR2J	9.12238393914884
SEC23IP	4.29181357627462
RGS4	3.99223329091176
UQCRC1	9.44599082835973
SNX6	7.9197329741719
DDX18	6.86647470635551
POLG	4.20455189139171
ADAM23	4.08244030867524
ZNHIT2	5.47951003037175
TFR2	3.35394327553626
NCDN	4.85249017218492
RAG1	3.40047883409226
POMT1	5.46530919119288
CYP1A1	3.44950271198808
SNAPC1	5.06681644753206
GNA11	5.68747607025432
CCDC52	2.78683454567703
CAPN1	7.22507222149653
DDHD2	5.43346879364765
UPF3A	5.63010300539786
LAGE3	6.12996764025492
GNRHR	3.15512101775032
UNC13B	5.23735017095508
TTLL4	4.51734536177435
PPBP	3.04160969288678
HTR3A	5.07401206983911
SDC2	6.02306801993509
ANKRD49	7.18498124723773
BTF3	10.4285510952595
COX7A2	10.7533596913665
SARS	8.77660200403415
C13orf18	3.99556877605509
CACNB1	3.94983240895565
QKI	5.84437131730814
SETMAR	5.8516308673713
LAMB4	3.2487195024169
MAN2B1	7.34782787446196
EML3	5.61648041716072
ACADL	3.38098560118553
OFD1	7.43993002974903
CGA	3.37281379332651
EIF3EIP	10.9351833081080
PEX16	5.15487696574568
GNG12	8.8499166367302
HABP4	4.59071016193360
CNTN2	3.48253472000776
ASNSD1	6.93407163660295
FUT4	4.00851530673705
DBH	3.44406702615281
CD53	8.19008342373025
HIST1H2BJ	3.6247323269346
TFAP2B	3.27418773970897
ACF	3.60543091172244
TMEM11	6.69362913611125
CDH8	3.27403058339402
C3orf32	3.65676504108152
AGPS	4.92302891956742
C4orf18	3.27597711847133
PCCB	7.88008120789566
IPO13	6.09374572883533
PECI	8.84861558656675
UNG	8.80357283682356
C6orf105	3.66471679592367
