Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A08_433740
Composite Element REF	Signal
AACS	5.4931094136621
FSTL1	8.87939964955456
ELMO2	5.67424637198901
CREB3L1	4.24337478166355
RPS11	9.39704773231846
PNMA1	8.25929113827835
MMP2	8.6904772911352
SAMD4A	3.79884770446197
SMARCD3	5.42666337940819
A4GNT	3.50078123024417
C9orf39	3.21938982322887
PKNOX2	3.89700610384687
RALYL	3.85028624205662
ZHX3	4.16170455054535
ERCC5	6.54580430717565
RXFP3	2.83015781657586
APBB2	4.27039385927886
BBOX1	7.59277660088667
PRO0478	2.89014392691495
GCSH	6.8834930345085
XDH	4.32105415837363
EDN1	4.36830675839643
MTERF	5.16069207869617
PDCL3	6.84675088938559
CLK4	5.6404355993656
KCNG1	4.06134168956734
CXCR4	7.39408700492318
DECR1	8.81279336388636
SALL1	3.11674134446542
PTPRR	4.44178439706714
CADM4	3.35429660400838
IRAK1	9.60220374609023
CFHR5	3.20337190238954
HNRPD	7.94648110276078
TMSB10	12.2425249032347
CXCL3	3.68526926067687
LMAN1	5.21882556707304
SUHW1	3.34878325515403
CHD8	6.43107505635493
SUMO1	8.34924005259051
GP1BA	3.09692325513523
OR7A10	3.82023175555714
DDB1	7.56963313614553
CHRNA10	3.69389123123234
STYK1	4.56648507211252
MYO9B	4.31664475654104
CCNI	9.1114442282253
MMP7	9.60459134620492
EP300	6.20990130623881
CRNKL1	6.86646904654535
C9orf45	2.85213218277188
XAB2	4.69096891601575
RTN1	4.08820027622085
HIC2	3.69839850765209
TBX10	3.68379264360629
CENPQ	4.82490728513227
UTY	3.21863225970023
OR2W1	2.84294262748794
ATP5G2	10.2996915416458
ZEB1	4.06480442667987
ZG16	3.40752399614553
ERG	3.53821889535211
PARN	6.97126734667137
SOD2	6.43463153606219
JOSD3	7.68934081973189
ADAM5P	3.24184513432948
CHD9	5.97377337806894
hCG_40738	3.86120023700127
STK16	6.30051385767183
PDE1C	3.67824959524355
SEMA4D	5.10621067697325
AGPAT1	6.47216885869075
TOB2	6.08101590222962
BANK1	6.86935982637704
MAP3K3	5.85915455428363
MAX	5.84445982116454
GRM2	3.79557439678934
OSBPL8	7.51563836680381
PROSC	6.23952394631216
NR4A2	6.23965839674671
RICS	6.2034778018851
PIR	5.99020682103572
PPCS	8.90052163852909
IPO9	6.20804051985327
LONP1	7.43166796586685
EVC	4.46504171513254
CXCL13	5.48970515466973
SCYL3	5.33431311759113
KIAA1199	5.49368494687238
SORL1	8.54154580380414
NAT10	7.51383997929655
CHD1	6.93913348973193
SYN3	3.33087202946961
DMC1	4.04202502688403
SLC22A2	3.6292096317018
SERPINF1	8.88056544951995
C20orf27	4.84332552632775
OR7A17	3.10638306517385
RPS6KA5	4.59311832561611
